Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_pure_uncentered_0.25_0_mixed,Y,9,5,13,0.267881793349,0.185873682186,0.546244524465,-28.1292762427
CW_mixed_centered_0.25_0_blocks,Y,17,4,6,0.80089738186,0.113219327597,0.0858832905428,-27.216691199
CW_pure_centered_1.0_1_mixed,Y,24,2,1,0.80089738186,0.167891401706,0.0312112164343,-12.3643924654
W_mixed_centered_0.25_1_mixed,Y,16,11,0,0.664942429256,0.249174280202,0.0858832905428,-21.8145068094
CB_pure_centered_1.0_0_blocks,Y,21,3,3,0.527537011318,0.222563475814,0.249899512868,-22.0979792735
D_pure_uncentered_1.0_1_blocks,Y,19,6,2,0.937577567131,0.0312112164343,0.0312112164343,-28.9604819208
CD_mixed_uncentered_1.0_1_blocks,Y,7,4,16,0.550595920465,0.0585472534885,0.390856826046,-30.5595864219
B_mixed_uncentered_0.25_1_blocks,Y,6,21,0,0.0312112164343,0.937577567131,0.0312112164343,-22.1554379981
D_mixed_centered_0.25_0_mixed,Y,11,11,5,0.593013307333,0.158537645132,0.248449047535,-32.9699055644
CB_pure_centered_1.0_1_mixed,Y,15,6,6,0.491572450356,0.322553867457,0.185873682186,-27.5372276935
CD_pure_uncentered_1.0_1_mixed,Y,16,4,7,0.80089738186,0.167891401706,0.0312112164343,-34.9589551843
CB_mixed_centered_0.25_0_mixed,Y,21,4,2,0.554873048372,0.140555364651,0.304571586977,-22.5956480933
D_mixed_centered_0.25_1_mixed,Y,10,13,4,0.529712709318,0.348439439178,0.121847851504,-28.4799142126
CD_pure_centered_1.0_0_mixed,Y,11,7,9,0.674296185829,0.167891401706,0.157812412465,-33.443143434
D_mixed_uncentered_0.25_1_mixed,Y,16,7,4,0.529712709318,0.113219327597,0.357067963085,-29.5350429319
CW_pure_centered_1.0_1_blocks,Y,26,1,0,0.80089738186,0.140555364651,0.0585472534885,-7.7347375824
CD_pure_uncentered_0.25_0_blocks,Y,5,6,16,0.441251772248,0.0858832905428,0.472864937209,-30.8024218387
W_mixed_centered_0.25_1_blocks,Y,23,3,1,0.718889270697,0.167891401706,0.113219327597,-15.1228447378
CB_pure_uncentered_0.25_0_blocks,Y,26,0,1,0.691553233643,0.140555364651,0.167891401706,-11.3736317747
CB_pure_uncentered_1.0_0_mixed,Y,11,8,8,0.48294392645,0.340536147938,0.176519925612,-30.4988460995
CB_pure_uncentered_0.25_0_mixed,Y,22,4,1,0.554873048372,0.222563475814,0.222563475814,-20.4710651951
CD_mixed_centered_1.0_1_mixed,Y,16,8,3,0.810251138434,0.113219327597,0.0765295339691,-28.5042392682
CW_pure_centered_0.25_0_mixed,Y,11,11,5,0.51100519617,0.221838243147,0.267156560682,-30.5486076052
CW_pure_uncentered_0.25_0_mixed,Y,15,11,1,0.574305794186,0.185873682186,0.239820523628,-28.2563312883
W_pure_uncentered_0.25_1_blocks,Y,24,3,0,0.773561344806,0.140555364651,0.0858832905428,-12.0484687367
CB_mixed_uncentered_1.0_0_mixed,Y,17,6,4,0.482218693783,0.19522743876,0.322553867457,-26.726559075
B_mixed_uncentered_1.0_1_blocks,Y,0,25,2,0.0312112164343,0.937577567131,0.0312112164343,-8.54535015251
B_pure_centered_0.25_0_mixed,Y,5,18,4,0.230466767054,0.312474878217,0.457058354729,-31.4081814937
CW_mixed_uncentered_0.25_1_mixed,Y,13,3,11,0.746950540418,0.149183888558,0.103865571023,-34.4117945636
CD_mixed_uncentered_0.25_1_blocks,Y,9,2,16,0.359243661085,0.140555364651,0.500200974263,-24.2220222227
CB_pure_centered_0.25_0_blocks,Y,22,2,3,0.60954512248,0.222563475814,0.167891401706,-19.2493302665
CB_mixed_uncentered_0.25_1_mixed,Y,23,2,2,0.50092620693,0.140555364651,0.358518428419,-21.8756771057
CD_mixed_uncentered_1.0_1_mixed,Y,6,3,18,0.458508820062,0.19522743876,0.346263741178,-28.6694063045
CD_pure_centered_0.25_1_blocks,Y,4,2,21,0.495923846357,0.113219327597,0.390856826046,-26.8898815339
W_pure_uncentered_1.0_1_blocks,Y,19,8,0,0.621074577054,0.149183888558,0.229741534388,-24.2703827959
CD_pure_centered_0.25_1_mixed,Y,6,6,15,0.467862576636,0.185873682186,0.346263741178,-30.5619298275
B_mixed_uncentered_1.0_0_mixed,Y,5,17,5,0.31174964555,0.41246526986,0.275785084589,-27.3236967425
W_mixed_centered_1.0_0_mixed,Y,18,8,1,0.78291510138,0.113219327597,0.103865571023,-24.0972432087
CB_pure_centered_1.0_1_blocks,Y,17,7,3,0.527537011318,0.222563475814,0.249899512868,-25.5500059977
W_mixed_uncentered_1.0_0_blocks,Y,22,5,0,0.746225307752,0.19522743876,0.0585472534885,-14.6079597091
CD_pure_centered_1.0_1_mixed,Y,9,4,14,0.522534650744,0.140555364651,0.336909984605,-28.9213439669
CB_mixed_uncentered_0.25_0_blocks,Y,25,1,1,0.636881159535,0.113219327597,0.249899512868,-14.8444298686
W_pure_centered_0.25_0_blocks,Y,27,0,0,0.882905493023,0.0858832905428,0.0312112164343,-3.36250206518
CB_pure_uncentered_1.0_1_mixed,Y,4,9,14,0.267156560682,0.295217830403,0.437625608915,-27.8295388904
CB_mixed_uncentered_0.25_1_blocks,Y,20,3,4,0.527537011318,0.277235549923,0.19522743876,-23.1737485593
CD_mixed_uncentered_1.0_0_blocks,Y,5,3,19,0.657764370682,0.113219327597,0.229016301721,-36.6351074599
W_pure_centered_0.25_1_blocks,Y,15,12,0,0.664217196589,0.0858832905428,0.249899512868,-35.5943830888
CB_mixed_centered_0.25_1_blocks,Y,25,0,2,0.527537011318,0.140555364651,0.331907624031,-18.1942034907
B_mixed_centered_1.0_1_blocks,Y,1,23,3,0.0312112164343,0.937577567131,0.0312112164343,-15.3503940753
D_pure_uncentered_0.25_0_blocks,Y,15,7,5,0.846940932062,0.0765295339691,0.0765295339691,-33.3328074412
W_mixed_centered_1.0_0_blocks,Y,25,2,0,0.80089738186,0.167891401706,0.0312112164343,-9.11943717041
B_pure_uncentered_1.0_1_mixed,Y,5,12,10,0.0585472534885,0.828958651581,0.11249409493,-38.2891710072
CW_pure_centered_0.25_1_blocks,Y,25,1,1,0.828233418914,0.0858832905428,0.0858832905428,-9.62103841782
CW_pure_uncentered_1.0_0_mixed,Y,14,7,6,0.646234916108,0.222563475814,0.131201608078,-28.8162121268
CD_mixed_centered_0.25_0_blocks,Y,2,3,22,0.377225941566,0.167891401706,0.454882656729,-24.6328830872
CW_mixed_centered_0.25_1_blocks,Y,25,2,0,0.691553233643,0.167891401706,0.140555364651,-12.7892545537
B_mixed_uncentered_0.25_1_mixed,Y,10,14,3,0.193776973426,0.349164671845,0.457058354729,-33.4902694491
D_pure_uncentered_0.25_0_mixed,Y,15,11,1,0.775011810139,0.103865571023,0.121122618837,-30.8453428554
CW_mixed_centered_0.25_1_mixed,Y,18,3,6,0.78291510138,0.131201608078,0.0858832905428,-25.2268146764
CD_pure_uncentered_1.0_0_blocks,Y,8,7,12,0.585110016093,0.221838243147,0.19305174076,-34.565855152
CB_mixed_centered_1.0_0_mixed,Y,19,6,2,0.554873048372,0.304571586977,0.140555364651,-22.2487050911
CB_mixed_centered_0.25_1_mixed,Y,20,3,4,0.60954512248,0.19522743876,0.19522743876,-21.335976349
CW_pure_uncentered_0.25_1_blocks,Y,17,3,7,0.636881159535,0.19522743876,0.167891401706,-25.0617630919
B_mixed_uncentered_1.0_0_blocks,Y,1,20,6,0.0312112164343,0.937577567131,0.0312112164343,-25.5579599594
W_mixed_uncentered_0.25_0_mixed,Y,15,5,7,0.646960148775,0.113219327597,0.239820523628,-27.4192518253
B_pure_centered_1.0_1_mixed,Y,1,20,6,0.167166169039,0.783640334046,0.0491934969149,-24.7368324113
B_mixed_uncentered_0.25_0_mixed,Y,3,20,4,0.29376736507,0.349164671845,0.357067963085,-28.8384504498
CD_pure_centered_0.25_0_blocks,Y,7,3,17,0.550595920465,0.0585472534885,0.390856826046,-28.6610792829
W_mixed_uncentered_1.0_1_blocks,Y,21,3,3,0.773561344806,0.19522743876,0.0312112164343,-20.69345977
B_pure_uncentered_1.0_0_blocks,Y,5,15,7,0.257802804109,0.50310190493,0.239095290961,-27.0984912809
D_pure_uncentered_1.0_1_mixed,Y,12,13,2,0.937577567131,0.0312112164343,0.0312112164343,-52.7781356505
CW_pure_centered_1.0_0_blocks,Y,25,2,0,0.773561344806,0.19522743876,0.0312112164343,-9.68593769558
W_pure_uncentered_0.25_0_blocks,Y,20,6,1,0.718889270697,0.113219327597,0.167891401706,-21.4559670171
CW_mixed_uncentered_1.0_1_mixed,Y,26,1,0,0.819604895008,0.131201608078,0.0491934969149,-7.20327529107
D_mixed_centered_1.0_1_blocks,Y,18,7,2,0.647685381442,0.285138841163,0.0671757773955,-22.0026425053
CW_mixed_uncentered_1.0_1_blocks,Y,26,1,0,0.937577567131,0.0312112164343,0.0312112164343,-5.14282819113
D_pure_uncentered_0.25_1_blocks,Y,18,8,1,0.937577567131,0.0312112164343,0.0312112164343,-32.3630038822
CB_pure_centered_0.25_1_blocks,Y,20,3,4,0.582209085426,0.222563475814,0.19522743876,-21.8605018395
D_pure_centered_1.0_1_blocks,Y,18,9,0,0.665667661922,0.303121121643,0.0312112164343,-18.0679706115
CW_mixed_centered_1.0_0_mixed,Y,26,0,1,0.855569455969,0.113219327597,0.0312112164343,-7.52266578336
W_mixed_centered_0.25_0_mixed,Y,17,9,1,0.40238628062,0.566402502946,0.0312112164343,-24.0588574351
B_pure_uncentered_1.0_0_mixed,Y,2,4,21,0.457058354729,0.19522743876,0.347714206512,-30.2841106283
CD_pure_uncentered_0.25_1_blocks,Y,10,0,17,0.359243661085,0.19522743876,0.445528900155,-23.9819277596
B_mixed_centered_0.25_1_mixed,Y,3,21,3,0.248449047535,0.557048746372,0.194502206093,-21.3766408706
B_mixed_centered_1.0_0_blocks,Y,0,26,1,0.0312112164343,0.937577567131,0.0312112164343,-5.14282819113
B_pure_uncentered_0.25_1_mixed,Y,1,21,5,0.38440400014,0.167891401706,0.447704598155,-42.447365879
W_pure_centered_0.25_0_mixed,Y,23,4,0,0.429722317674,0.539066465891,0.0312112164343,-21.8978347995
W_mixed_centered_1.0_1_mixed,Y,14,12,1,0.593013307333,0.267156560682,0.139830131985,-25.1219101636
CW_mixed_centered_1.0_1_blocks,Y,25,1,1,0.937577567131,0.0312112164343,0.0312112164343,-8.54535015251
W_mixed_uncentered_1.0_0_mixed,Y,12,10,5,0.710260746791,0.203855962667,0.0858832905428,-32.2827234828
W_mixed_uncentered_0.25_0_blocks,Y,19,5,3,0.646234916108,0.222563475814,0.131201608078,-21.9010267926
B_mixed_centered_1.0_1_mixed,Y,3,9,15,0.221113010481,0.413190502527,0.365696486992,-27.5711361921
B_pure_centered_0.25_1_mixed,Y,7,17,3,0.0765295339691,0.801622614527,0.121847851504,-28.0644909623
CD_pure_centered_1.0_1_blocks,Y,9,4,14,0.586560481426,0.0585472534885,0.354892265085,-30.6561740363
CD_pure_uncentered_1.0_1_blocks,Y,13,5,9,0.828233418914,0.140555364651,0.0312112164343,-43.4635521424
D_mixed_uncentered_1.0_0_blocks,Y,16,8,3,0.874276969116,0.0765295339691,0.0491934969149,-31.7463387874
W_pure_uncentered_0.25_0_mixed,Y,10,15,2,0.510279963504,0.30384635431,0.185873682186,-27.9618302683
B_pure_centered_0.25_1_blocks,Y,2,24,1,0.0765295339691,0.892259249597,0.0312112164343,-11.3431000447
D_pure_uncentered_1.0_0_blocks,Y,17,8,2,0.892259249597,0.0765295339691,0.0312112164343,-29.4325592281
CB_mixed_centered_0.25_0_blocks,Y,21,3,3,0.664217196589,0.113219327597,0.222563475814,-19.634981642
CB_pure_centered_1.0_0_mixed,Y,22,1,4,0.582209085426,0.304571586977,0.113219327597,-21.8029268139
B_pure_centered_1.0_1_blocks,Y,1,26,0,0.0312112164343,0.937577567131,0.0312112164343,-5.14282819113
CD_pure_uncentered_0.25_1_mixed,Y,15,3,9,0.295217830403,0.249899512868,0.454882656729,-29.5501580915
CD_mixed_uncentered_0.25_0_blocks,Y,2,3,22,0.38657969814,0.19522743876,0.418192863101,-25.9814808709
CD_mixed_centered_0.25_1_blocks,Y,7,2,18,0.441251772248,0.0858832905428,0.472864937209,-24.1175281355
CB_mixed_uncentered_1.0_1_blocks,Y,16,8,3,0.582209085426,0.222563475814,0.19522743876,-25.5759238897
CW_mixed_centered_0.25_0_mixed,Y,16,4,7,0.420368561101,0.113219327597,0.466412111302,-27.918488111
D_mixed_uncentered_1.0_0_mixed,Y,19,2,6,0.721064968697,0.0858832905428,0.19305174076,-20.9918089128
CW_pure_uncentered_1.0_1_blocks,Y,25,2,0,0.855569455969,0.113219327597,0.0312112164343,-8.25655681291
CB_mixed_uncentered_1.0_1_mixed,Y,14,8,5,0.456333122062,0.258528036775,0.285138841163,-28.079355203
W_mixed_centered_1.0_1_blocks,Y,20,7,0,0.828233418914,0.140555364651,0.0312112164343,-17.5042818421
D_mixed_uncentered_0.25_1_blocks,Y,15,5,7,0.439076074248,0.303121121643,0.257802804109,-27.8032751059
B_pure_centered_1.0_0_mixed,Y,6,19,2,0.0312112164343,0.937577567131,0.0312112164343,-28.9604819208
B_mixed_uncentered_1.0_1_mixed,Y,8,16,3,0.429722317674,0.258528036775,0.31174964555,-31.8976110111
CW_mixed_uncentered_0.25_1_blocks,Y,10,7,10,0.664217196589,0.249899512868,0.0858832905428,-38.3459954413
CB_pure_uncentered_0.25_1_mixed,Y,22,3,2,0.582209085426,0.222563475814,0.19522743876,-19.6751730295
D_pure_centered_1.0_1_mixed,Y,14,8,5,0.675021418496,0.140555364651,0.184423216853,-29.6519928668
CB_mixed_uncentered_1.0_0_blocks,Y,16,5,6,0.554873048372,0.277235549923,0.167891401706,-26.5453213584
D_pure_centered_0.25_1_mixed,Y,23,4,0,0.801622614527,0.0765295339691,0.121847851504,-15.366012949
W_mixed_uncentered_0.25_1_mixed,Y,20,6,1,0.80089738186,0.140555364651,0.0585472534885,-19.0512930322
B_mixed_centered_0.25_0_mixed,Y,11,15,1,0.429722317674,0.149183888558,0.421093793767,-38.6943099899
CW_mixed_uncentered_1.0_0_blocks,Y,26,0,1,0.937577567131,0.0312112164343,0.0312112164343,-5.14282819113
CW_pure_uncentered_1.0_1_mixed,Y,12,9,6,0.728968259938,0.221838243147,0.0491934969149,-35.4177252642
CW_pure_uncentered_0.25_1_mixed,Y,18,6,3,0.773561344806,0.113219327597,0.113219327597,-24.2273609761
W_pure_uncentered_1.0_1_mixed,Y,13,14,0,0.738322016511,0.131201608078,0.130476375411,-32.3781598086
CD_mixed_uncentered_1.0_0_mixed,Y,7,6,14,0.522534650744,0.113219327597,0.364246021659,-31.7529787803
D_mixed_centered_1.0_1_mixed,Y,18,6,3,0.693003698977,0.212484486574,0.0945118144497,-22.97136804
CB_pure_centered_0.25_0_mixed,Y,17,5,5,0.437625608915,0.167891401706,0.39448298938,-27.6217415715
CD_mixed_centered_1.0_0_mixed,Y,18,6,3,0.585110016093,0.0858832905428,0.329006693364,-27.7108244775
CB_pure_uncentered_1.0_0_blocks,Y,16,6,5,0.554873048372,0.277235549923,0.167891401706,-26.0437712047
CB_pure_uncentered_1.0_1_blocks,Y,7,9,11,0.19522743876,0.19522743876,0.60954512248,-31.5829060687
D_mixed_centered_1.0_0_mixed,Y,23,0,4,0.539066465891,0.267881793349,0.19305174076,-20.7912654103
CW_mixed_uncentered_1.0_0_mixed,Y,25,1,1,0.937577567131,0.0312112164343,0.0312112164343,-8.54535015251
W_pure_uncentered_0.25_1_mixed,Y,19,7,1,0.60164183124,0.194502206093,0.203855962667,-22.7052905487
B_pure_uncentered_0.25_0_blocks,Y,5,20,2,0.303121121643,0.439076074248,0.257802804109,-25.1408865039
CB_mixed_centered_1.0_1_mixed,Y,21,4,2,0.357793195752,0.421819026434,0.220387777814,-28.0612515574
CB_mixed_uncentered_0.25_0_mixed,Y,23,1,3,0.582209085426,0.19522743876,0.222563475814,-18.5825086245
W_pure_uncentered_1.0_0_blocks,Y,20,6,1,0.855569455969,0.113219327597,0.0312112164343,-19.6573081109
B_pure_centered_0.25_0_blocks,Y,0,27,0,0.0312112164343,0.892259249597,0.0765295339691,-3.07796085184
D_mixed_uncentered_1.0_1_blocks,Y,17,10,0,0.547694989798,0.421093793767,0.0312112164343,-18.8836213148
CW_mixed_uncentered_0.25_0_mixed,Y,23,1,3,0.700906990217,0.21320971924,0.0858832905428,-17.0835188671
W_pure_uncentered_1.0_0_mixed,Y,12,11,4,0.746950540418,0.221838243147,0.0312112164343,-33.9328614434
D_mixed_centered_0.25_0_blocks,Y,14,12,1,0.484394391783,0.303121121643,0.212484486574,-26.0203418714
B_mixed_centered_1.0_0_mixed,Y,2,24,1,0.157812412465,0.521084185411,0.321103402124,-20.4729364951
B_mixed_centered_0.25_1_blocks,Y,0,26,1,0.0765295339691,0.892259249597,0.0312112164343,-6.43094004944
B_pure_uncentered_0.25_1_blocks,Y,0,27,0,0.0312112164343,0.937577567131,0.0312112164343,-1.74030622974
D_pure_centered_1.0_0_mixed,Y,20,6,1,0.892259249597,0.0312112164343,0.0765295339691,-25.6519160351
CB_pure_uncentered_0.25_1_blocks,Y,24,3,0,0.636881159535,0.249899512868,0.113219327597,-14.9882220567
D_pure_centered_0.25_1_blocks,Y,18,7,2,0.575031026853,0.348439439178,0.0765295339691,-22.4801560104
CB_mixed_centered_1.0_0_blocks,Y,16,5,6,0.636881159535,0.277235549923,0.0858832905428,-28.3617900707
D_mixed_centered_1.0_0_blocks,Y,19,8,0,0.675746651163,0.131201608078,0.19305174076,-23.6949651087
D_mixed_uncentered_0.25_0_blocks,Y,10,17,0,0.348439439178,0.348439439178,0.303121121643,-28.465852668
CW_mixed_centered_1.0_0_blocks,Y,26,1,0,0.910241530077,0.0585472534885,0.0312112164343,-5.28309882141
B_mixed_uncentered_0.25_0_blocks,Y,7,17,3,0.0765295339691,0.892259249597,0.0312112164343,-30.3294584281
B_pure_uncentered_1.0_1_blocks,Y,4,14,9,0.0765295339691,0.783640334046,0.139830131985,-31.3995283159
D_pure_centered_0.25_0_blocks,Y,17,10,0,0.303121121643,0.348439439178,0.348439439178,-30.8344961987
D_mixed_uncentered_0.25_0_mixed,Y,6,13,8,0.475040635209,0.194502206093,0.330457158698,-34.6094086722
CW_pure_centered_1.0_0_mixed,Y,18,8,1,0.637606392201,0.30384635431,0.0585472534885,-20.4684003198
CD_mixed_uncentered_0.25_1_mixed,Y,7,4,16,0.331182391364,0.167891401706,0.50092620693,-25.9340975613
B_mixed_centered_0.25_0_blocks,Y,0,27,0,0.0312112164343,0.892259249597,0.0765295339691,-3.07796085184
CB_pure_centered_0.25_1_mixed,Y,16,6,5,0.500200974263,0.19522743876,0.304571586977,-26.8297109028
CW_pure_uncentered_0.25_0_blocks,Y,23,4,0,0.718889270697,0.140555364651,0.140555364651,-15.4397178209
CD_pure_uncentered_1.0_0_mixed,Y,13,7,7,0.675746651163,0.113219327597,0.21103402124,-31.2343318123
CW_mixed_centered_1.0_1_mixed,Y,24,2,1,0.910241530077,0.0585472534885,0.0312112164343,-11.3999070739
D_pure_centered_1.0_0_blocks,Y,19,7,1,0.937577567131,0.0312112164343,0.0312112164343,-28.9604819208
W_pure_centered_1.0_1_mixed,Y,24,2,1,0.764932820899,0.203855962667,0.0312112164343,-13.0788753033
CW_pure_centered_0.25_0_blocks,Y,24,2,1,0.691553233643,0.19522743876,0.113219327597,-14.2971720359
D_pure_uncentered_0.25_1_mixed,Y,13,7,7,0.766383286232,0.0312112164343,0.202405497333,-38.9101666914
CD_mixed_centered_1.0_0_blocks,Y,9,7,11,0.649135846775,0.0858832905428,0.264980862682,-35.6814557327
B_pure_centered_1.0_0_blocks,Y,0,27,0,0.0312112164343,0.937577567131,0.0312112164343,-1.74030622974
CD_mixed_centered_0.25_0_mixed,Y,5,3,19,0.304571586977,0.167891401706,0.527537011318,-23.448748191
CB_mixed_centered_1.0_1_blocks,Y,21,6,0,0.167891401706,0.19522743876,0.636881159535,-47.2747367521
W_pure_centered_1.0_0_blocks,Y,27,0,0,0.882905493023,0.0858832905428,0.0312112164343,-3.36250206518
D_pure_uncentered_1.0_0_mixed,Y,20,3,4,0.919595286651,0.0312112164343,0.0491934969149,-24.1253408368
W_mixed_centered_0.25_0_blocks,Y,24,3,0,0.582209085426,0.249899512868,0.167891401706,-17.1423045903
CD_mixed_centered_1.0_1_blocks,Y,10,10,7,0.801622614527,0.113219327597,0.0851580578761,-41.2381809798
CW_pure_uncentered_1.0_0_blocks,Y,25,0,2,0.746225307752,0.19522743876,0.0585472534885,-12.9940347793
CD_mixed_centered_0.25_1_mixed,Y,2,2,23,0.468587809302,0.113219327597,0.418192863101,-25.9246091468
CW_mixed_uncentered_0.25_0_blocks,Y,22,1,4,0.691553233643,0.167891401706,0.140555364651,-17.7469864362
CD_mixed_uncentered_0.25_0_mixed,Y,4,1,22,0.304571586977,0.140555364651,0.554873048372,-19.6759008316
CW_pure_centered_0.25_1_mixed,Y,17,6,4,0.710260746791,0.140555364651,0.149183888558,-25.1993183757
