Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_1_2,Y,2,8,11,0.249899512868,0.113219327597,0.636881159535,-25.1637141344
CD_1_3,Y,1,6,14,0.249899512868,0.140555364651,0.60954512248,-20.0902114824
CD_1_0,Y,2,3,16,0.249899512868,0.249899512868,0.500200974263,-18.0174069569
Bal_2,Y,1,20,0,0.0312112164343,0.937577567131,0.0312112164343,-4.75609347341
Bal_5,Y,0,21,0,0.0312112164343,0.937577567131,0.0312112164343,-1.35357151202
Bal_4,Y,0,21,0,0.0312112164343,0.937577567131,0.0312112164343,-1.35357151202
Bal_7,Y,0,21,0,0.0312112164343,0.937577567131,0.0312112164343,-1.35357151202
Bal_6,Y,0,21,0,0.0312112164343,0.937577567131,0.0312112164343,-1.35357151202
CD_3_4,Y,5,9,7,0.331907624031,0.167891401706,0.500200974263,-26.423651481
CD_3_5,Y,3,6,12,0.359243661085,0.167891401706,0.472864937209,-22.7652364745
CD_3_6,Y,2,9,10,0.38657969814,0.113219327597,0.500200974263,-28.4341430865
CD_3_7,Y,4,3,14,0.413915735194,0.167891401706,0.418192863101,-21.0870610477
CD_3_0,Y,4,5,12,0.38657969814,0.19522743876,0.418192863101,-22.4313698418
CD_3_1,Y,4,5,12,0.468587809302,0.113219327597,0.418192863101,-24.3860197147
CD_3_2,Y,4,8,9,0.304571586977,0.19522743876,0.500200974263,-24.0588246855
CD_3_3,Y,8,5,8,0.277235549923,0.113219327597,0.60954512248,-25.1155825405
Weight_2_4,Y,20,1,0,0.691553233643,0.167891401706,0.140555364651,-9.16074088675
Weight_2_5,Y,18,3,0,0.80089738186,0.140555364651,0.0585472534885,-9.8828655879
Weight_2_6,Y,20,1,0,0.691553233643,0.113219327597,0.19522743876,-9.55473134903
Weight_2_7,Y,18,3,0,0.664217196589,0.167891401706,0.167891401706,-12.7179432156
Weight_2_0,Y,19,2,0,0.636881159535,0.19522743876,0.167891401706,-11.8394519625
Weight_2_1,Y,17,3,1,0.718889270697,0.167891401706,0.113219327597,-13.1425571115
Weight_2_2,Y,17,4,0,0.718889270697,0.140555364651,0.140555364651,-13.4594301946
Weight_2_3,Y,20,1,0,0.773561344806,0.19522743876,0.0312112164343,-6.76859612798
Bal_1,Y,1,19,1,0.0312112164343,0.937577567131,0.0312112164343,-8.15861543479
Bal_0,Y,1,19,1,0.0312112164343,0.937577567131,0.0312112164343,-8.15861543479
Bal_3,Y,2,17,2,0.0312112164343,0.937577567131,0.0312112164343,-14.9636593576
CD_1_1,Y,1,6,14,0.249899512868,0.167891401706,0.582209085426,-19.666282947
CB_6,Y,18,1,2,0.718889270697,0.167891401706,0.113219327597,-12.0821575845
CB_7,Y,16,4,1,0.582209085426,0.19522743876,0.222563475814,-16.6917134027
CB_4,Y,9,6,6,0.527537011318,0.277235549923,0.19522743876,-23.2546931974
CB_5,Y,18,3,0,0.60954512248,0.222563475814,0.167891401706,-13.4183902156
CB_2,Y,16,4,1,0.582209085426,0.19522743876,0.222563475814,-16.6917134027
CB_3,Y,18,0,3,0.60954512248,0.113219327597,0.277235549923,-12.7594247354
CB_0,Y,15,6,0,0.500200974263,0.222563475814,0.277235549923,-19.4064372929
CB_1,Y,16,5,0,0.60954512248,0.140555364651,0.249899512868,-17.7314458803
CD_1_4,Y,1,11,9,0.222563475814,0.249899512868,0.527537011318,-22.5120295006
CD_1_5,Y,3,3,15,0.277235549923,0.222563475814,0.500200974263,-18.7474718127
CW_1_1,Y,14,5,2,0.582209085426,0.140555364651,0.277235549923,-19.9495036081
CW_1_0,Y,19,2,0,0.527537011318,0.249899512868,0.222563475814,-14.9245815776
CW_1_3,Y,17,4,0,0.60954512248,0.167891401706,0.222563475814,-15.5534708223
CW_1_2,Y,15,5,1,0.636881159535,0.222563475814,0.140555364651,-16.2424515342
CW_1_5,Y,18,2,1,0.582209085426,0.113219327597,0.304571586977,-15.2823674655
CW_1_4,Y,17,4,0,0.527537011318,0.167891401706,0.304571586977,-18.0098679999
CW_1_7,Y,19,1,1,0.636881159535,0.167891401706,0.19522743876,-11.990299842
CW_1_6,Y,17,4,0,0.527537011318,0.167891401706,0.304571586977,-18.0098679999
Dist_1_1,Y,12,8,1,0.212484486574,0.529712709318,0.257802804109,-25.0255597015
Dist_1_0,Y,10,11,0,0.484394391783,0.393757756713,0.121847851504,-17.5007717342
Dist_1_3,Y,11,10,0,0.529712709318,0.303121121643,0.167166169039,-18.9258533697
Dist_1_2,Y,11,9,1,0.257802804109,0.484394391783,0.257802804109,-22.7904263428
Dist_1_5,Y,10,10,1,0.484394391783,0.393757756713,0.121847851504,-18.6737344761
Dist_1_4,Y,11,9,1,0.303121121643,0.529712709318,0.167166169039,-20.6374021642
Dist_1_7,Y,14,6,1,0.212484486574,0.529712709318,0.257802804109,-26.8524913422
Dist_1_6,Y,15,5,1,0.348439439178,0.393757756713,0.257802804109,-21.830019852
Dist_3_7,Y,18,3,0,0.846940932062,0.121847851504,0.0312112164343,-9.30518423668
Dist_3_6,Y,15,4,2,0.665667661922,0.121847851504,0.212484486574,-17.6221722074
Dist_3_5,Y,19,2,0,0.801622614527,0.121847851504,0.0765295339691,-8.41119367171
Dist_3_4,Y,16,4,1,0.801622614527,0.167166169039,0.0312112164343,-14.1599228931
Dist_3_3,Y,17,4,0,0.710985979457,0.167166169039,0.121847851504,-12.9538114187
Dist_3_2,Y,19,2,0,0.892259249597,0.0765295339691,0.0312112164343,-7.30612954669
Dist_3_1,Y,17,4,0,0.846940932062,0.0312112164343,0.121847851504,-16.6920245087
Dist_3_0,Y,16,5,0,0.801622614527,0.121847851504,0.0765295339691,-14.0627880539
CW_3_5,Y,19,2,0,0.664217196589,0.249899512868,0.0858832905428,-10.5471682951
Dist_4_4,Y,18,3,0,0.892259249597,0.0765295339691,0.0312112164343,-9.76220954432
CW_3_7,Y,18,2,1,0.664217196589,0.113219327597,0.222563475814,-13.2240291466
Dist_4_5,Y,19,1,1,0.937577567131,0.0312112164343,0.0312112164343,-8.15861543479
Dist_4_6,Y,19,2,0,0.892259249597,0.0765295339691,0.0312112164343,-7.30612954669
CW_3_4,Y,19,1,1,0.773561344806,0.113219327597,0.113219327597,-9.23511255509
CW_3_3,Y,19,1,1,0.80089738186,0.113219327597,0.0858832905428,-8.85162098086
CW_3_2,Y,17,3,1,0.718889270697,0.167891401706,0.113219327597,-13.1425571115
CW_3_1,Y,18,2,1,0.80089738186,0.113219327597,0.0858832905428,-10.8080269175
Dist_4_3,Y,19,1,1,0.892259249597,0.0765295339691,0.0312112164343,-8.20302874667
Dist_4_0,Y,18,3,0,0.937577567131,0.0312112164343,0.0312112164343,-11.5611373962
Dist_4_1,Y,18,3,0,0.937577567131,0.0312112164343,0.0312112164343,-11.5611373962
Dist_4_2,Y,18,2,1,0.846940932062,0.121847851504,0.0312112164343,-10.667179853
CW_2_6,Y,19,2,0,0.718889270697,0.0858832905428,0.19522743876,-11.1804427988
CW_2_7,Y,15,5,1,0.718889270697,0.222563475814,0.0585472534885,-15.3013548321
CW_2_4,Y,18,2,1,0.691553233643,0.167891401706,0.140555364651,-12.1697023312
CW_3_0,Y,17,4,0,0.80089738186,0.113219327597,0.0858832905428,-12.4880952523
CW_2_2,Y,21,0,0,0.691553233643,0.19522743876,0.113219327597,-7.74511810772
CW_2_3,Y,18,3,0,0.691553233643,0.113219327597,0.19522743876,-13.1739578317
CW_2_0,Y,16,4,1,0.718889270697,0.0585472534885,0.222563475814,-18.1349943324
CW_2_1,Y,14,7,0,0.691553233643,0.167891401706,0.140555364651,-17.6544775609
CD_1_6,Y,1,4,16,0.277235549923,0.140555364651,0.582209085426,-17.7863133062
CD_1_7,Y,2,9,10,0.277235549923,0.167891401706,0.554873048372,-24.5158762207
CD_2_5,Y,2,8,11,0.38657969814,0.19522743876,0.418192863101,-24.5594929714
CD_2_4,Y,10,4,7,0.331907624031,0.113219327597,0.554873048372,-23.8658109852
CD_2_7,Y,5,7,9,0.249899512868,0.19522743876,0.554873048372,-23.6697556822
CD_2_6,Y,6,7,8,0.277235549923,0.222563475814,0.500200974263,-23.7570896774
CD_2_1,Y,3,6,12,0.359243661085,0.113219327597,0.527537011318,-23.8162685624
CD_2_0,Y,9,4,8,0.413915735194,0.140555364651,0.445528900155,-22.2553963331
CD_2_3,Y,6,6,9,0.304571586977,0.167891401706,0.527537011318,-23.5955485702
CD_2_2,Y,8,7,6,0.304571586977,0.113219327597,0.582209085426,-28.0053455611
Weight_1_3,Y,15,6,0,0.582209085426,0.19522743876,0.222563475814,-17.9154249216
Weight_1_2,Y,15,5,1,0.691553233643,0.140555364651,0.167891401706,-17.1274342137
Weight_1_1,Y,16,5,0,0.554873048372,0.222563475814,0.222563475814,-16.9369695967
Weight_1_0,Y,16,5,0,0.582209085426,0.140555364651,0.277235549923,-18.4655793462
Weight_1_7,Y,17,3,1,0.664217196589,0.167891401706,0.167891401706,-14.0932350629
Weight_1_6,Y,13,8,0,0.636881159535,0.19522743876,0.167891401706,-18.9339590259
Weight_1_5,Y,15,6,0,0.60954512248,0.249899512868,0.140555364651,-15.7458128553
Weight_1_4,Y,15,6,0,0.582209085426,0.19522743876,0.222563475814,-17.9154249216
