Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CBO_Mixed_8,Y,19,1,5,0.582209085426,0.19522743876,0.222563475814,-19.4238919217
CBO_Mixed_9,Y,22,1,2,0.60954512248,0.140555364651,0.249899512868,-15.6264772127
WW_Pure_9,Y,1,6,18,0.113219327597,0.140555364651,0.746225307752,-19.2204499282
WW_Pure_8,Y,0,0,25,0.0312112164343,0.0585472534885,0.910241530077,-2.35113242552
CBO_Mixed_0,Y,22,0,3,0.582209085426,0.140555364651,0.277235549923,-15.7490274543
CBO_Mixed_1,Y,19,2,4,0.664217196589,0.113219327597,0.222563475814,-18.1408040268
CBO_Mixed_2,Y,12,4,9,0.527537011318,0.277235549923,0.19522743876,-27.5082965503
CBO_Mixed_3,Y,18,3,4,0.60954512248,0.140555364651,0.249899512868,-20.344008417
WW_Pure_3,Y,0,3,22,0.222563475814,0.113219327597,0.664217196589,-15.5364989212
CBO_Mixed_5,Y,20,3,2,0.500200974263,0.222563475814,0.277235549923,-20.9283106032
CBO_Mixed_6,Y,20,2,3,0.527537011318,0.249899512868,0.222563475814,-20.0717466306
CBO_Mixed_7,Y,11,7,7,0.554873048372,0.222563475814,0.222563475814,-27.5147763329
CWCD_Pure_10,Y,15,2,8,0.554873048372,0.19522743876,0.249899512868,-23.1959902146
CWCD_Pure_11,Y,10,2,13,0.418192863101,0.19522743876,0.38657969814,-24.3407296307
CWCD_Pure_12,Y,8,1,16,0.390856826046,0.0858832905428,0.523259883411,-20.3329101392
CWCD_Pure_13,Y,12,1,12,0.418192863101,0.0585472534885,0.523259883411,-21.0717961455
WW_Pure_7,Y,1,3,21,0.0858832905428,0.167891401706,0.746225307752,-13.9553615407
WW_Pure_6,Y,0,1,24,0.19522743876,0.167891401706,0.636881159535,-12.6125708123
WW_Pure_5,Y,0,0,25,0.0312112164343,0.0585472534885,0.910241530077,-2.35113242552
WW_Pure_4,Y,2,3,20,0.19522743876,0.249899512868,0.554873048372,-19.2075879277
CBO_Mixed_4,Y,24,0,1,0.527537011318,0.222563475814,0.249899512868,-16.7355664494
WW_Pure_2,Y,1,0,24,0.0858832905428,0.0858832905428,0.828233418914,-6.97781216928
CWCD_Pure_6,Y,15,4,6,0.582209085426,0.140555364651,0.277235549923,-23.6598265308
CWCD_Pure_7,Y,10,3,12,0.418192863101,0.167891401706,0.413915735194,-24.6565537286
CWCD_Pure_4,Y,17,4,4,0.472864937209,0.222563475814,0.304571586977,-23.4976413214
CWCD_Pure_5,Y,12,2,11,0.472864937209,0.140555364651,0.38657969814,-23.3662428441
CWCD_Pure_2,Y,13,4,8,0.527537011318,0.0858832905428,0.38657969814,-25.736373066
WW_Pure_1,Y,0,0,25,0.0585472534885,0.0858832905428,0.855569455969,-3.89970003431
CWCD_Pure_0,Y,14,4,7,0.582209085426,0.222563475814,0.19522743876,-25.0182610607
CWCD_Pure_1,Y,10,9,6,0.527537011318,0.222563475814,0.249899512868,-28.2384272688
WW_Pure_0,Y,0,1,24,0.0585472534885,0.113219327597,0.828233418914,-6.70147456746
CWCD_Pure_8,Y,10,6,9,0.390856826046,0.140555364651,0.468587809302,-27.9893483943
CWCD_Pure_9,Y,18,3,4,0.500200974263,0.167891401706,0.331907624031,-22.2343237699
CWCB_Mixed_8,Y,21,1,3,0.80089738186,0.167891401706,0.0312112164343,-16.8478426758
CWCB_Mixed_9,Y,11,3,11,0.582209085426,0.249899512868,0.167891401706,-29.7390884356
CWCB_Mixed_0,Y,20,4,1,0.691553233643,0.140555364651,0.167891401706,-17.0093561402
CWCB_Mixed_1,Y,24,0,1,0.773561344806,0.140555364651,0.0858832905428,-8.61677328774
CWCB_Mixed_2,Y,21,2,2,0.80089738186,0.140555364651,0.0585472534885,-14.2626213302
CWCB_Mixed_3,Y,20,2,3,0.718889270697,0.19522743876,0.0858832905428,-17.2324368226
CWCB_Mixed_4,Y,20,3,2,0.773561344806,0.140555364651,0.0858832905428,-15.9309995029
CWCB_Mixed_5,Y,23,1,1,0.718889270697,0.167891401706,0.113219327597,-11.5539688837
CWCB_Mixed_6,Y,19,4,2,0.746225307752,0.113219327597,0.140555364651,-18.1998475459
CWCB_Mixed_7,Y,20,3,2,0.554873048372,0.19522743876,0.249899512868,-19.4544815848
WB_Pure_12,Y,1,24,0,0.0312112164343,0.892259249597,0.0765295339691,-6.20294294931
WB_Pure_13,Y,2,23,0,0.0312112164343,0.937577567131,0.0312112164343,-8.41643857994
WB_Pure_10,Y,0,25,0,0.0312112164343,0.937577567131,0.0312112164343,-1.61139465717
WB_Pure_11,Y,0,25,0,0.0312112164343,0.937577567131,0.0312112164343,-1.61139465717
CWCD_Mixed_10,Y,18,2,5,0.718889270697,0.0858832905428,0.19522743876,-19.0183450984
CWCD_Mixed_11,Y,23,2,0,0.664217196589,0.140555364651,0.19522743876,-13.3346674597
CWCD_Mixed_12,Y,20,3,2,0.554873048372,0.19522743876,0.249899512868,-19.4544815848
WB_Pure_8,Y,0,25,0,0.0312112164343,0.937577567131,0.0312112164343,-1.61139465717
CWCD_Mixed_13,Y,21,2,2,0.746225307752,0.140555364651,0.113219327597,-14.4284461739
WB_Pure_9,Y,0,25,0,0.0312112164343,0.937577567131,0.0312112164343,-1.61139465717
CBO_Pure_0,Y,14,5,6,0.472864937209,0.304571586977,0.222563475814,-25.4447398822
CBO_Pure_1,Y,18,3,4,0.773561344806,0.140555364651,0.0858832905428,-20.327030877
CBO_Pure_2,Y,0,0,25,0.0312112164343,0.0312112164343,0.937577567131,-1.61139465717
CBO_Pure_3,Y,19,4,2,0.636881159535,0.249899512868,0.113219327597,-18.4759142079
CBO_Pure_4,Y,20,3,2,0.527537011318,0.167891401706,0.304571586977,-20.5217370755
CWCB_Pure_9,Y,14,5,6,0.500200974263,0.249899512868,0.249899512868,-24.952094674
CBO_Pure_6,Y,20,1,4,0.472864937209,0.167891401706,0.359243661085,-20.8583650487
CBO_Pure_7,Y,0,0,25,0.0312112164343,0.0312112164343,0.937577567131,-1.61139465717
CBO_Pure_8,Y,3,8,14,0.121847851504,0.212484486574,0.665667661922,-24.4035431228
CBO_Pure_9,Y,23,0,2,0.828233418914,0.140555364651,0.0312112164343,-11.2685414161
CWCB_Pure_6,Y,16,7,2,0.582209085426,0.167891401706,0.249899512868,-23.9192685493
CWCB_Pure_7,Y,18,3,4,0.554873048372,0.249899512868,0.19522743876,-21.2967361565
CWCB_Pure_0,Y,18,2,5,0.636881159535,0.19522743876,0.167891401706,-20.310469394
CWCB_Pure_1,Y,20,1,4,0.445528900155,0.167891401706,0.38657969814,-21.7559700947
CWCB_Pure_2,Y,20,2,3,0.60954512248,0.222563475814,0.167891401706,-18.2592456649
CWCB_Pure_3,Y,23,1,1,0.636881159535,0.140555364651,0.222563475814,-13.8416574286
CBO_Mixed_12,Y,22,1,2,0.636881159535,0.167891401706,0.19522743876,-14.9774065002
CBO_Mixed_13,Y,16,4,5,0.636881159535,0.113219327597,0.249899512868,-22.8659507663
CBO_Mixed_10,Y,14,6,5,0.582209085426,0.19522743876,0.222563475814,-24.8872139467
CBO_Mixed_11,Y,15,3,7,0.664217196589,0.0585472534885,0.277235549923,-23.6311689059
WB_Pure_0,Y,0,25,0,0.0312112164343,0.937577567131,0.0312112164343,-1.61139465717
WB_Pure_1,Y,0,25,0,0.0312112164343,0.937577567131,0.0312112164343,-1.61139465717
WW_Mixed_11,Y,17,3,5,0.746225307752,0.167891401706,0.0858832905428,-22.6035146921
WW_Mixed_10,Y,25,0,0,0.773561344806,0.0858832905428,0.140555364651,-6.41875760065
WW_Mixed_13,Y,21,2,2,0.746225307752,0.167891401706,0.0858832905428,-14.6256896048
WW_Mixed_12,Y,22,1,2,0.664217196589,0.167891401706,0.167891401706,-14.3545275344
CBO_Pure_12,Y,17,3,5,0.582209085426,0.113219327597,0.304571586977,-21.675266703
CBO_Pure_13,Y,1,1,23,0.0312112164343,0.0585472534885,0.910241530077,-8.46794067802
CBO_Pure_10,Y,3,10,12,0.121847851504,0.0765295339691,0.801622614527,-34.6691399189
CBO_Pure_11,Y,0,2,23,0.0312112164343,0.140555364651,0.828233418914,-8.25889354748
CWCD_Mixed_9,Y,23,2,0,0.828233418914,0.0858832905428,0.0858832905428,-9.24411790298
CWCB_Pure_12,Y,20,2,3,0.636881159535,0.167891401706,0.19522743876,-17.4930900675
CWCB_Pure_13,Y,15,4,6,0.500200974263,0.304571586977,0.19522743876,-24.9481164673
CWCB_Pure_10,Y,20,1,4,0.60954512248,0.113219327597,0.277235549923,-17.2108254998
CWCB_Pure_11,Y,20,3,2,0.60954512248,0.277235549923,0.113219327597,-18.1063661156
CWCB_Mixed_10,Y,22,1,2,0.664217196589,0.19522743876,0.140555364651,-14.5591114275
WB_Mixed_12,Y,25,0,0,0.828233418914,0.140555364651,0.0312112164343,-4.71150643559
WB_Mixed_13,Y,23,0,2,0.910241530077,0.0312112164343,0.0585472534885,-7.8388840292
WB_Mixed_10,Y,21,4,0,0.746225307752,0.140555364651,0.113219327597,-13.995897022
WB_Mixed_11,Y,21,3,1,0.554873048372,0.222563475814,0.222563475814,-18.3795063286
WB_Mixed_8,Y,22,2,1,0.664217196589,0.222563475814,0.113219327597,-14.1847280096
WB_Mixed_9,Y,25,0,0,0.691553233643,0.222563475814,0.0858832905428,-9.22037869967
WB_Mixed_0,Y,21,2,2,0.664217196589,0.249899512868,0.0858832905428,-16.2749924367
WB_Mixed_1,Y,24,1,0,0.80089738186,0.140555364651,0.0585472534885,-7.29069267709
WB_Mixed_2,Y,23,2,0,0.718889270697,0.19522743876,0.0858832905428,-10.8582826624
WB_Mixed_3,Y,25,0,0,0.664217196589,0.167891401706,0.167891401706,-10.2286519924
WB_Mixed_4,Y,17,5,3,0.664217196589,0.167891401706,0.167891401706,-21.230986771
WB_Mixed_5,Y,20,1,4,0.527537011318,0.113219327597,0.359243661085,-19.0641710346
WB_Mixed_6,Y,18,4,3,0.664217196589,0.113219327597,0.222563475814,-20.5859717922
WB_Mixed_7,Y,8,2,15,0.472864937209,0.0858832905428,0.441251772248,-23.1731906072
WW_Mixed_5,Y,21,2,2,0.773561344806,0.167891401706,0.0585472534885,-14.6364744363
WW_Mixed_4,Y,21,2,2,0.718889270697,0.167891401706,0.113219327597,-14.8567393246
WW_Mixed_7,Y,23,1,1,0.828233418914,0.113219327597,0.0585472534885,-9.3509354089
WW_Mixed_6,Y,11,8,6,0.527537011318,0.277235549923,0.19522743876,-27.0995412491
WW_Mixed_1,Y,18,0,7,0.855569455969,0.0858832905428,0.0585472534885,-22.6732317167
WW_Mixed_0,Y,19,4,2,0.882905493023,0.0585472534885,0.0585472534885,-19.3937317501
