Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_pure_uncentered_0.25_0_mixed,Y,9,5,13,0.49407415379,0.15605590102,0.34986994519,-29.2858510812
CW_mixed_centered_0.25_0_blocks,Y,17,4,6,0.682732528441,0.144777156813,0.172490314746,-24.762809268
CW_pure_centered_1.0_1_mixed,Y,24,2,1,0.714976255252,0.142511745467,0.142511999281,-13.8971335047
W_mixed_centered_0.25_1_mixed,Y,16,11,0,0.647151030081,0.246583805994,0.106265163925,-22.3633962409
CB_pure_centered_1.0_0_blocks,Y,21,3,3,0.516471347812,0.144777156813,0.338751495375,-22.9205889619
D_pure_uncentered_1.0_1_blocks,Y,19,6,2,0.688033135534,0.21249793458,0.0994689298862,-21.0132052756
CD_mixed_uncentered_1.0_1_blocks,Y,7,4,16,0.516678178032,0.133450100082,0.349871721886,-29.4814753674
B_mixed_uncentered_0.25_1_blocks,Y,6,21,0,0.16962825092,0.636966738112,0.193405010968,-20.11667064
D_mixed_centered_0.25_0_mixed,Y,11,11,5,0.580140251858,0.209212558826,0.210647189316,-30.9856421458
CB_pure_centered_1.0_1_mixed,Y,15,6,6,0.535665790634,0.154935273478,0.309398935888,-27.590902279
CD_pure_uncentered_1.0_1_mixed,Y,16,4,7,0.778456339289,0.122074730825,0.0994689298862,-28.5749350768
CB_mixed_centered_0.25_0_mixed,Y,21,4,2,0.801062140228,0.0994689298862,0.0994689298862,-18.505611565
D_mixed_centered_0.25_1_mixed,Y,10,13,4,0.629176714969,0.271354355145,0.0994689298862,-30.8213574155
CD_pure_centered_1.0_0_mixed,Y,11,7,9,0.605822185606,0.127774493584,0.266403320809,-31.8199695874
D_mixed_uncentered_0.25_1_mixed,Y,16,7,4,0.573916502568,0.151500922065,0.274582575367,-27.2644996902
CW_pure_centered_1.0_1_blocks,Y,26,1,0,0.714976128345,0.142511745467,0.142512126188,-10.6714900765
CD_pure_uncentered_0.25_0_blocks,Y,5,6,16,0.421885892896,0.144777156813,0.433336950291,-29.2902942358
W_mixed_centered_0.25_1_blocks,Y,23,3,1,0.801062140228,0.0994689298862,0.0994689298862,-14.3334251862
CB_pure_uncentered_0.25_0_blocks,Y,26,0,1,0.765982479711,0.0994689298862,0.134548590403,-8.93732540878
