Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_1_2,Y,2,8,11,0.394174638567,0.144777156813,0.46104820462,-25.8391784292
CD_1_3,Y,1,6,14,0.360238687814,0.131184688735,0.508576623451,-22.6738345658
CD_1_0,Y,2,3,16,0.308775464234,0.142511745467,0.548712790299,-17.7981564134
Bal_2,Y,1,20,0,0.128897140169,0.742205719663,0.128897140169,-8.01131703616
Bal_5,Y,0,21,0,0.128897140169,0.742205719663,0.128897140169,-6.26070530446
Bal_4,Y,0,21,0,0.134548590403,0.765982479711,0.0994689298862,-5.59851562082
Bal_7,Y,0,21,0,0.0994689298862,0.801062140228,0.0994689298862,-4.65815188883
Bal_6,Y,0,21,0,0.0994689298862,0.801062140228,0.0994689298862,-4.65815188883
CD_3_4,Y,5,9,7,0.341281525237,0.133450100082,0.525268374682,-28.008408354
CD_3_5,Y,3,6,12,0.421883481665,0.144777156813,0.433339361522,-24.2192451055
CD_3_6,Y,2,9,10,0.421884370013,0.144777156813,0.433338473173,-27.48144576
CD_3_7,Y,4,3,14,0.421885258362,0.144777156813,0.433337584825,-20.9571012946
CD_3_0,Y,4,5,12,0.421883735479,0.144777156813,0.433339107708,-23.1497162722
CD_3_1,Y,4,5,12,0.421883862386,0.144777156813,0.433338980801,-23.1497185832
CD_3_2,Y,4,8,9,0.373523094631,0.137980922774,0.488495982595,-26.2320368099
CD_3_3,Y,8,5,8,0.389643815874,0.140246334121,0.470109850005,-23.4002634692
Weight_2_4,Y,20,1,0,0.796531317535,0.101734341233,0.101734341233,-6.83516699034
Weight_2_5,Y,18,3,0,0.796531317535,0.101734341233,0.101734341233,-10.9509700495
Weight_2_6,Y,20,1,0,0.782676007638,0.101734341233,0.11558965113,-7.18611940047
Weight_2_7,Y,18,3,0,0.801062140228,0.0994689298862,0.0994689298862,-10.9164314571
Weight_2_0,Y,19,2,0,0.801062140228,0.0994689298862,0.0994689298862,-8.83033826768
Weight_2_1,Y,17,3,1,0.782676007638,0.101734341233,0.11558965113,-13.1794996164
Weight_2_2,Y,17,4,0,0.796531317535,0.101734341233,0.101734341233,-13.008871579
Weight_2_3,Y,20,1,0,0.801062140228,0.0994689298862,0.0994689298862,-6.74424507825
Bal_1,Y,1,19,1,0.128897140169,0.771633929945,0.0994689298862,-9.28230598486
Bal_0,Y,1,19,1,0.128897140169,0.742205719663,0.128897140169,-9.76192876785
Bal_3,Y,2,17,2,0.128897140169,0.683349299098,0.187753560733,-13.9154663893
CD_1_1,Y,1,6,14,0.228435334369,0.117592220657,0.653972444974,-20.2653573495
CB_6,Y,18,1,2,0.613458517093,0.144777156813,0.241764326094,-13.5677107517
CB_7,Y,16,4,1,0.530326657709,0.144777156813,0.324896185477,-19.002681882
CB_4,Y,9,6,6,0.655021908646,0.144777156813,0.20020093454,-25.0537392345
CB_5,Y,18,3,0,0.60360834625,0.128919277389,0.267472376361,-15.2326415267
CB_2,Y,16,4,1,0.604134029888,0.142511745467,0.253354224645,-17.2296373354
CB_3,Y,18,0,3,0.571892587401,0.144777156813,0.283330255786,-13.8418998515
CB_0,Y,15,6,0,0.59480928887,0.140246334121,0.264944377009,-19.5788459544
CB_1,Y,16,5,0,0.667828389405,0.117592220657,0.214579389938,-17.1622466315
CD_1_4,Y,1,11,9,0.391909607941,0.142511745467,0.465578646592,-29.2486317112
CD_1_5,Y,3,3,15,0.276797371193,0.124388454696,0.598814174111,-17.7985057278
CW_1_1,Y,14,5,2,0.691007551973,0.119857632003,0.189134816024,-19.1123069815
CW_1_0,Y,19,2,0,0.641169136887,0.144777156813,0.214053706299,-12.3098969992
CW_1_3,Y,17,4,0,0.677941402067,0.140246334121,0.181812263812,-14.4652246733
CW_1_2,Y,15,5,1,0.769346127565,0.115326809311,0.115327063124,-16.8931246125
CW_1_5,Y,18,2,1,0.672622053917,0.12212304335,0.205254902733,-12.9272454661
CW_1_4,Y,17,4,0,0.585747897298,0.144777156813,0.269474945888,-16.8229567263
CW_1_7,Y,19,1,1,0.62731382699,0.144777156813,0.227909016197,-12.2712268487
CW_1_6,Y,17,4,0,0.677152368982,0.119857632003,0.202989999014,-15.1134049913
Dist_1_1,Y,12,8,1,0.334894612145,0.536208247686,0.128897140169,-20.1618745754
Dist_1_0,Y,10,11,0,0.364322822428,0.536208247686,0.0994689298862,-16.9527086831
Dist_1_3,Y,11,10,0,0.334894612145,0.565636457969,0.0994689298862,-17.7313703354
Dist_1_2,Y,11,9,1,0.452607453275,0.447923616839,0.0994689298862,-18.2561338397
Dist_1_5,Y,10,10,1,0.27603819158,0.624492878533,0.0994689298862,-19.888223951
Dist_1_4,Y,11,9,1,0.452607453275,0.447923616839,0.0994689298862,-18.2561338397
Dist_1_7,Y,14,6,1,0.452607453275,0.447923616839,0.0994689298862,-18.2249263967
Dist_1_6,Y,15,5,1,0.482035663557,0.418495406557,0.0994689298862,-17.6094144247
Dist_3_7,Y,18,3,0,0.688033135534,0.21249793458,0.0994689298862,-11.3769980726
Dist_3_6,Y,15,4,2,0.629176714969,0.271354355145,0.0994689298862,-16.7832855444
Dist_3_5,Y,19,2,0,0.688033135534,0.21249793458,0.0994689298862,-10.2020933424
Dist_3_4,Y,16,4,1,0.688033135534,0.21249793458,0.0994689298862,-14.4858944687
Dist_3_3,Y,17,4,0,0.658604925251,0.241926144863,0.0994689298862,-12.7762254656
Dist_3_2,Y,19,2,0,0.688033135534,0.21249793458,0.0994689298862,-10.2020933424
Dist_3_1,Y,17,4,0,0.688033135534,0.21249793458,0.0994689298862,-12.5519028028
Dist_3_0,Y,16,5,0,0.688033135534,0.21249793458,0.0994689298862,-13.726807533
CW_3_5,Y,19,2,0,0.760284735993,0.119857632003,0.119857632003,-9.45008428264
Dist_4_4,Y,18,3,0,0.693684585768,0.206846484346,0.0994689298862,-11.3106175118
CW_3_7,Y,18,2,1,0.710445686373,0.144777156813,0.144777156813,-11.9512087196
Dist_4_5,Y,19,1,1,0.688033135534,0.21249793458,0.0994689298862,-10.9611802781
Dist_4_6,Y,19,2,0,0.688033135534,0.21249793458,0.0994689298862,-10.2020933424
CW_3_4,Y,19,1,1,0.741898603403,0.12212304335,0.135978353247,-9.77029703038
CW_3_3,Y,19,1,1,0.710445686373,0.144777156813,0.144777156813,-10.36051193
CW_3_2,Y,17,3,1,0.714976509066,0.142511745467,0.142511745467,-13.4969184851
CW_3_1,Y,18,2,1,0.710445686373,0.144777156813,0.144777156813,-11.9512087196
Dist_4_3,Y,19,1,1,0.688033135534,0.21249793458,0.0994689298862,-10.9611802781
Dist_4_0,Y,18,3,0,0.688033135534,0.21249793458,0.0994689298862,-11.3769980726
Dist_4_1,Y,18,3,0,0.688033135534,0.21249793458,0.0994689298862,-11.3769980726
Dist_4_2,Y,18,2,1,0.688033135534,0.21249793458,0.0994689298862,-12.1360850083
CW_2_6,Y,19,2,0,0.732836958018,0.126653866042,0.14050917594,-10.0384033806
CW_2_7,Y,15,5,1,0.710444036584,0.144777156813,0.144778806603,-16.7233225263
CW_2_4,Y,18,2,1,0.710445686373,0.144777156813,0.144777156813,-11.9512087196
CW_3_0,Y,17,4,0,0.764815558686,0.117592220657,0.117592220657,-13.120179344
CW_2_2,Y,21,0,0,0.679896848549,0.142511745467,0.177591405984,-8.1020978982
CW_2_3,Y,18,3,0,0.710445686373,0.144777156813,0.144777156813,-11.9512087196
CW_2_0,Y,16,4,1,0.696590376476,0.144777156813,0.158632466711,-15.356327334
CW_2_1,Y,14,7,0,0.710444290397,0.144777156813,0.144778552789,-18.3140233875
CD_1_6,Y,1,4,16,0.331955261336,0.137980922774,0.53006381589,-19.1814404083
CD_1_7,Y,2,9,10,0.231273044772,0.113061397964,0.655665557264,-26.7677752889
CD_2_5,Y,2,8,11,0.228434953649,0.117592220657,0.653972825694,-24.7488509969
CD_2_4,Y,10,4,7,0.421885892896,0.144777156813,0.433336950291,-22.2141199899
CD_2_7,Y,5,7,9,0.421885892896,0.144777156813,0.433336950291,-25.3691760622
CD_2_6,Y,6,7,8,0.421885892896,0.144777156813,0.433336950291,-25.3959567823
CD_2_1,Y,3,6,12,0.276797244286,0.124388454696,0.598814301018,-22.5131304252
CD_2_0,Y,9,4,8,0.421885892896,0.144777156813,0.433336950291,-22.1873392699
CD_2_3,Y,6,6,9,0.421885892896,0.144777156813,0.433336950291,-24.2996368914
CD_2_2,Y,8,7,6,0.405764664025,0.142511745467,0.451723590508,-25.6222803398
Weight_1_3,Y,15,6,0,0.801062140228,0.0994689298862,0.0994689298862,-17.1747110254
Weight_1_2,Y,15,5,1,0.782676007638,0.101734341233,0.11558965113,-17.2602074346
Weight_1_1,Y,16,5,0,0.801062140228,0.0994689298862,0.0994689298862,-15.0886178359
Weight_1_0,Y,16,5,0,0.801062140228,0.0994689298862,0.0994689298862,-15.0886178359
Weight_1_7,Y,17,3,1,0.765982479711,0.0994689298862,0.134548590403,-13.4616914094
Weight_1_6,Y,13,8,0,0.801062140228,0.0994689298862,0.0994689298862,-21.3468974042
Weight_1_5,Y,15,6,0,0.801062140228,0.0994689298862,0.0994689298862,-17.1747110254
Weight_1_4,Y,15,6,0,0.782676007638,0.101734341233,0.11558965113,-17.3878889457
CD_4_7,Y,16,4,1,0.421885892896,0.144777156813,0.433336950291,-22.3748043104
CD_4_6,Y,13,3,5,0.421885892896,0.144777156813,0.433336950291,-21.1981422593
CD_4_5,Y,12,4,5,0.421885892896,0.144777156813,0.433336950291,-22.2676814301
CD_4_4,Y,13,4,4,0.421885892896,0.144777156813,0.433336950291,-22.2944621502
CD_4_3,Y,14,4,3,0.421885892896,0.144777156813,0.433336950291,-22.3212428703
CD_4_2,Y,12,3,6,0.421885892896,0.144777156813,0.433336950291,-21.1713615392
CD_4_1,Y,18,2,1,0.421885892896,0.144777156813,0.433336950291,-20.2357259688
CD_4_0,Y,10,4,7,0.421885892896,0.144777156813,0.433336950291,-22.2141199899
Weight_3_5,Y,20,1,0,0.801062140228,0.0994689298862,0.0994689298862,-6.74424507825
Weight_3_4,Y,20,1,0,0.801062140228,0.0994689298862,0.0994689298862,-6.74424507825
Weight_3_7,Y,19,1,1,0.801062140228,0.0994689298862,0.0994689298862,-8.83033826768
Weight_3_6,Y,19,1,1,0.801062140228,0.0994689298862,0.0994689298862,-8.83033826768
Weight_3_1,Y,20,1,0,0.796531317535,0.101734341233,0.101734341233,-6.83516699034
Weight_3_0,Y,21,0,0,0.801062140228,0.0994689298862,0.0994689298862,-4.65815188883
Weight_3_3,Y,21,0,0,0.792000494842,0.103999752579,0.103999752579,-4.89705850971
Weight_3_2,Y,19,2,0,0.801062140228,0.0994689298862,0.0994689298862,-8.83033826768
Dist_2_6,Y,17,4,0,0.688033135534,0.21249793458,0.0994689298862,-12.5519028028
Dist_2_7,Y,17,4,0,0.688033135534,0.21249793458,0.0994689298862,-12.5519028028
Dist_2_4,Y,12,9,0,0.364322822428,0.536208247686,0.0994689298862,-17.7256731991
Dist_2_5,Y,16,5,0,0.688033135534,0.21249793458,0.0994689298862,-13.726807533
Dist_2_2,Y,18,3,0,0.688033135534,0.21249793458,0.0994689298862,-11.3769980726
Dist_2_3,Y,17,3,1,0.688033135534,0.21249793458,0.0994689298862,-13.3109897385
Dist_2_0,Y,11,9,1,0.334894612145,0.565636457969,0.0994689298862,-19.4694765739
Dist_2_1,Y,8,13,0,0.334894612145,0.565636457969,0.0994689298862,-16.1589632963
Weight_4_6,Y,21,0,0,0.801062140228,0.0994689298862,0.0994689298862,-4.65815188883
Weight_4_7,Y,21,0,0,0.796531317535,0.101734341233,0.101734341233,-4.77726546078
Weight_4_4,Y,21,0,0,0.801062140228,0.0994689298862,0.0994689298862,-4.65815188883
Weight_4_5,Y,21,0,0,0.796531317535,0.101734341233,0.101734341233,-4.77726546078
Weight_4_2,Y,21,0,0,0.801062140228,0.0994689298862,0.0994689298862,-4.65815188883
Weight_4_3,Y,21,0,0,0.801062140228,0.0994689298862,0.0994689298862,-4.65815188883
Weight_4_0,Y,21,0,0,0.796531317535,0.101734341233,0.101734341233,-4.77726546078
Weight_4_1,Y,21,0,0,0.78746967215,0.106265163925,0.106265163925,-5.01753883218
CW_4_4,Y,21,0,0,0.769346381379,0.115326809311,0.115326809311,-5.50649357934
CW_4_5,Y,21,0,0,0.714976509066,0.142511745467,0.142511745467,-7.0456174169
CW_4_6,Y,21,0,0,0.778408026764,0.110795986618,0.110795986618,-5.26059316204
CW_4_7,Y,20,0,1,0.746692267915,0.126653866042,0.126653866042,-7.90834009765
CW_4_0,Y,21,0,0,0.746692267915,0.126653866042,0.126653866042,-6.13414485606
CW_4_1,Y,21,0,0,0.773877204071,0.113061397964,0.113061397964,-5.38318345004
CW_4_2,Y,20,0,1,0.719507331759,0.140246334121,0.140246334121,-8.54812612573
CW_4_3,Y,20,1,0,0.764815558686,0.117592220657,0.117592220657,-7.50294387622
CW_2_5,Y,18,3,0,0.773876950258,0.113061397964,0.113061651778,-11.1536359355
Dist_4_7,Y,19,2,0,0.688033135534,0.21249793458,0.0994689298862,-10.2020933424
CW_3_6,Y,19,2,0,0.710445686373,0.144777156813,0.144777156813,-10.36051193
