Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CBO_Mixed_8,Y,19,1,5,0.548712790299,0.142511745467,0.308775464234,-19.2274578293
CBO_Mixed_9,Y,22,1,2,0.801062140228,0.0994689298862,0.0994689298862,-11.8036984835
WW_Pure_9,Y,1,6,18,0.115589778037,0.101734341233,0.782675880731,-20.2807089722
WW_Pure_8,Y,0,0,25,0.0994689298862,0.0994689298862,0.801062140228,-5.54541891528
CBO_Mixed_0,Y,22,0,3,0.571892587401,0.144777156813,0.283330255786,-16.0771162095
CBO_Mixed_1,Y,19,2,4,0.801062140228,0.0994689298862,0.0994689298862,-18.0619780518
CBO_Mixed_2,Y,12,4,9,0.627311288852,0.144777156813,0.227911554335,-26.6351657342
CBO_Mixed_3,Y,18,3,4,0.626786366655,0.131184688735,0.24202894461,-20.1769304996
WW_Pure_3,Y,0,3,22,0.101734341233,0.101734341233,0.796531317535,-11.8609253753
CBO_Mixed_5,Y,20,3,2,0.544180317817,0.144777156813,0.31104252537,-20.3028223916
CBO_Mixed_6,Y,20,2,3,0.745903742458,0.106265163925,0.147831093617,-16.0818646462
CBO_Mixed_7,Y,11,7,7,0.594807258359,0.140246334121,0.26494640752,-28.7627745521
CWCD_Pure_10,Y,15,2,8,0.49329155071,0.142511745467,0.364196703823,-22.576974499
CWCD_Pure_11,Y,10,2,13,0.433339488429,0.144777156813,0.421883354758,-23.4468007168
CWCD_Pure_12,Y,8,1,16,0.433339488429,0.144777156813,0.421883354758,-22.4308527491
CWCD_Pure_13,Y,12,1,12,0.416645452874,0.148163195702,0.435191351424,-22.3993102355
WW_Pure_7,Y,1,3,21,0.0994689298862,0.0994689298862,0.801062140228,-13.889791673
WW_Pure_6,Y,0,1,24,0.0994689298862,0.0994689298862,0.801062140228,-7.6315121047
WW_Pure_5,Y,0,0,25,0.103999752579,0.103999752579,0.792000494842,-5.82983155918
WW_Pure_4,Y,2,3,20,0.101734341233,0.101734341233,0.796531317535,-15.9767284344
CBO_Mixed_4,Y,24,0,1,0.613195675274,0.137980922774,0.248823401952,-13.1287202967
WW_Pure_2,Y,1,0,24,0.0994689298862,0.0994689298862,0.801062140228,-7.6315121047
CWCD_Pure_6,Y,15,4,6,0.544181967607,0.144777156813,0.31104087558,-23.8642977611
CWCD_Pure_7,Y,10,3,12,0.435032093092,0.145897784355,0.419070122553,-24.5345059564
CWCD_Pure_4,Y,17,4,4,0.470109723098,0.140246334121,0.389643942781,-24.4589228769
CWCD_Pure_5,Y,12,2,11,0.433339488429,0.144777156813,0.421883354758,-23.3932155299
CWCD_Pure_2,Y,13,4,8,0.433339488429,0.144777156813,0.421883354758,-25.5054892457
WW_Pure_1,Y,0,0,25,0.0994689298862,0.0994689298862,0.801062140228,-5.54541891528
CWCD_Pure_0,Y,14,4,7,0.483964779182,0.140246334121,0.375788886698,-24.868917879
CWCD_Pure_1,Y,10,9,6,0.433336950291,0.144777156813,0.421885892896,-30.9335552737
WW_Pure_0,Y,0,1,24,0.101734341233,0.101734341233,0.796531317535,-7.74512231621
CWCD_Pure_8,Y,10,6,9,0.433336950291,0.144777156813,0.421885892896,-27.7249377613
CWCD_Pure_9,Y,18,3,4,0.461050108223,0.144777156813,0.394172734964,-23.4580167642
CWCB_Mixed_8,Y,21,1,3,0.801062140228,0.0994689298862,0.0994689298862,-13.889791673
CWCB_Mixed_9,Y,11,3,11,0.613455978955,0.144777156813,0.241766864232,-26.7903884589
CWCB_Mixed_0,Y,20,4,1,0.679896848549,0.142511745467,0.177591405984,-17.2378769853
CWCB_Mixed_1,Y,24,0,1,0.701121199169,0.142511745467,0.156367055364,-10.3773374097
CWCB_Mixed_2,Y,21,2,2,0.682735066579,0.144777156813,0.172487776608,-15.394593165
CWCB_Mixed_3,Y,20,2,3,0.696590376476,0.144777156813,0.158632466711,-16.6197697071
CWCB_Mixed_4,Y,20,3,2,0.710445686373,0.144777156813,0.144777156813,-16.5000534134
CWCB_Mixed_5,Y,23,1,1,0.710445686373,0.144777156813,0.144777156813,-11.7279630443
CWCB_Mixed_6,Y,19,4,2,0.701121199169,0.142511745467,0.156367055364,-18.2508373985
CWCB_Mixed_7,Y,20,3,2,0.641166598749,0.144777156813,0.214056244438,-17.7700306806
WB_Pure_12,Y,1,24,0,0.0994689298862,0.771633929945,0.128897140169,-8.52979055628
WB_Pure_13,Y,2,23,0,0.0994689298862,0.771633929945,0.128897140169,-10.5784554769
WB_Pure_10,Y,0,25,0,0.128897140169,0.742205719663,0.128897140169,-7.45322060055
WB_Pure_11,Y,0,25,0,0.0994689298862,0.771633929945,0.128897140169,-6.48112563567
CWCD_Mixed_10,Y,18,2,5,0.668879756682,0.144777156813,0.186343086505,-19.5046653793
CWCD_Mixed_11,Y,23,2,0,0.641169136887,0.144777156813,0.214053706299,-14.0877449703
CWCD_Mixed_12,Y,20,3,2,0.558037277504,0.144777156813,0.297185565683,-19.8910660403
WB_Pure_8,Y,0,25,0,0.0994689298862,0.801062140228,0.0994689298862,-5.54541891528
CWCD_Mixed_13,Y,21,2,2,0.668879756682,0.144777156813,0.186343086505,-15.6706210322
WB_Pure_9,Y,0,25,0,0.134548590403,0.736554269428,0.128897140169,-7.6443090054
