WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S124,Testing_CD_7,Y,1,0,0,0.584179913531,0.155932540304,0.259887546165,-0.537546272484
S124,Testing_CD_6,Y,1,0,0,0.5322024106,0.103955037373,0.363842552027,-0.630731390949
S124,Testing_CD_5,Y,0,0,1,0.480224907669,3.15115680084e-08,0.519775060819,-0.654359136342
S124,Testing_CD_4,Y,0,0,1,0.480224907669,0.311865049096,0.207910043235,-1.57064977728
S111,Testing_CD_7,Y,1,0,0,0.999998315989,8.39012787051e-07,8.44997896337e-07,-1.68401210151e-06
S111,Testing_CD_6,Y,1,0,0,0.999998312997,8.36020232408e-07,8.50983005624e-07,-1.68700466121e-06
S111,Testing_CD_5,Y,1,0,0,0.999998310004,8.30035123121e-07,8.59960669553e-07,-1.68999722091e-06
S111,Testing_CD_4,Y,1,0,0,0.999998310004,8.47990450981e-07,8.42005341694e-07,-1.68999722091e-06
S090,Testing_CD_7,Y,1,0,0,0.772547384813,0.113072508455,0.114380106685,-0.258061932527
S090,Testing_CD_6,Y,1,0,0,0.771893585699,0.112418709341,0.115687704914,-0.258908580818
S090,Testing_CD_5,Y,1,0,0,0.771239786584,0.111111111111,0.117649102259,-0.259755946529
S090,Testing_CD_4,Y,0,1,0,0.771239786584,0.1150339058,0.11372630757,-2.16252836103
S078,Testing_CD_7,Y,1,0,0,0.999998315989,8.39012787051e-07,8.44997896337e-07,-1.68401210151e-06
S078,Testing_CD_6,Y,1,0,0,0.999998312997,8.36020232408e-07,8.50983005624e-07,-1.68700466121e-06
S078,Testing_CD_5,Y,1,0,0,0.999998310004,8.30035123121e-07,8.59960669553e-07,-1.68999722091e-06
S078,Testing_CD_4,Y,1,0,0,0.999998310004,8.47990450981e-07,8.42005341694e-07,-1.68999722091e-06
S114,Testing_CD_7,Y,0,1,0,0.281984332583,0.297033652954,0.420982014183,-1.21390983699
S114,Testing_CD_6,Y,0,1,0,0.220010151968,0.23505947234,0.544930375412,-1.44791672307
S114,Testing_CD_5,Y,1,0,0,0.158035971354,0.111111111111,0.730852917256,-1.84493260507
S114,Testing_CD_4,Y,0,0,1,0.158035971354,0.482956194798,0.359007833569,-1.02441107021
S123,Testing_CD_7,Y,0,0,1,0.200050006393,0.300012496977,0.499937496631,-0.693272195112
S123,Testing_CD_6,Y,0,1,0,0.100087506566,0.200049997149,0.699862496285,-1.60918795793
S123,Testing_CD_5,Y,0,0,1,0.000125006738435,0.000124997495188,0.999749995766,-0.000250035489891
S123,Testing_CD_4,Y,1,0,0,0.000125006738435,0.599899996458,0.399974996804,-8.98714291464
S081,Testing_CD_7,Y,0,0,1,0.563623230523,0.163641302963,0.272735466513,-1.2992529407
S081,Testing_CD_6,Y,1,0,0,0.509076148748,0.109094221188,0.381829630064,-0.675157669008
S081,Testing_CD_5,Y,0,0,1,0.454529066973,5.76382713546e-08,0.545470875389,-0.606105865806
S081,Testing_CD_4,Y,1,0,0,0.454529066973,0.327282548289,0.218188384738,-0.788493413673
S103,Testing_CD_7,Y,1,0,0,0.78613194072,0.0802005422742,0.133667517006,-0.240630637129
S103,Testing_CD_6,Y,1,0,0,0.759398453354,0.0534670549085,0.187134491737,-0.275228667855
S103,Testing_CD_5,Y,0,0,1,0.732664965989,8.01769439459e-08,0.267334953835,-1.31925289808
S103,Testing_CD_4,Y,1,0,0,0.732664965989,0.160401004371,0.10693402964,-0.311066753906
S104,Testing_CD_7,Y,1,0,0,0.777777771216,0.111111111111,0.111111111111,-0.251314436718
S104,Testing_CD_6,Y,0,1,0,0.777777771216,0.111111111111,0.111111111111,-2.19722457734
S104,Testing_CD_5,Y,0,0,1,0.777777771216,0.111111111111,0.111111111111,-2.19722457734
S104,Testing_CD_4,Y,0,1,0,0.777777771216,0.111111111111,0.111111111111,-2.19722457734
S084,Testing_CD_7,Y,0,0,1,0.20000094833,0.300000237083,0.499998814587,-0.693149551388
S084,Testing_CD_6,Y,0,1,0,0.100001659578,0.20000094833,0.699997392092,-1.60943317079
S084,Testing_CD_5,Y,0,0,1,2.37082534294e-06,2.37082533532e-06,0.999995258349,-4.74166192009e-06
S084,Testing_CD_4,Y,0,1,0,2.37082534294e-06,0.59999810334,0.399999525835,-0.510828784871
S098,Testing_CD_7,Y,0,0,1,0.200000520107,0.300000116906,0.499999362987,-0.693148454586
S098,Testing_CD_6,Y,0,0,1,0.100000897066,0.200000493865,0.699998609069,-0.356676930985
S098,Testing_CD_5,Y,0,0,1,1.27402543244e-06,1.24778291407e-06,0.999997478192,-2.52181152646e-06
S098,Testing_CD_4,Y,0,0,1,1.27402543244e-06,0.599998986028,0.399999739946,-0.916291382008
S091,Testing_CD_7,Y,0,1,0,0.111111111111,0.111111111111,0.111111111111,-2.19722457734
S091,Testing_CD_6,Y,1,0,0,0.111111111111,0.111111111111,0.111111111111,-2.19722457734
S091,Testing_CD_5,Y,0,1,0,0.111111111111,0.111111111111,0.111111111111,-2.19722457734
S091,Testing_CD_4,Y,0,1,0,0.111111111111,0.111111111111,0.111111111111,-2.19722457734
S128,Testing_CD_7,Y,1,0,0,0.558948297005,0.165394389282,0.275657313713,-0.581698302045
S128,Testing_CD_6,Y,0,0,1,0.503816834789,0.110262927066,0.385920238145,-0.952124567801
S128,Testing_CD_5,Y,1,0,0,0.448685372574,2.63433620146e-09,0.551314624792,-0.8014333661
S128,Testing_CD_4,Y,0,0,1,0.448685372574,0.330788775929,0.220525851497,-1.51174035062
S106,Testing_CD_7,Y,1,0,0,0.999998315989,8.39012787051e-07,8.44997896337e-07,-1.68401210151e-06
S106,Testing_CD_6,Y,1,0,0,0.999998312997,8.36020232408e-07,8.50983005624e-07,-1.68700466121e-06
S106,Testing_CD_5,Y,1,0,0,0.999998310004,8.30035123121e-07,8.59960669553e-07,-1.68999722091e-06
S106,Testing_CD_4,Y,1,0,0,0.999998310004,8.47990450981e-07,8.42005341694e-07,-1.68999722091e-06
S116,Testing_CD_7,Y,1,0,0,0.584179933336,0.155932525205,0.259887541459,-0.537546238582
S116,Testing_CD_6,Y,1,0,0,0.532202425209,0.103955017078,0.363842557713,-0.630731363499
S116,Testing_CD_5,Y,0,0,1,0.480224917081,8.2417097424e-10,0.519775082094,-0.654359095411
S116,Testing_CD_4,Y,0,1,0,0.480224917081,0.311865049586,0.207910033332,-1.16518471812
S127,Testing_CD_7,Y,1,0,0,0.999998315989,8.39012787051e-07,8.44997896337e-07,-1.68401210151e-06
