WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S124,Testing_CD_7,Y,1,0,0,0.444,0.308,0.248,-0.81193071655
S124,Testing_CD_6,Y,1,0,0,0.753999999999,0.19,0.0560000000004,-0.282362910975
S124,Testing_CD_5,Y,0,0,1,0.681999999999,0.236,0.0820000000004,-2.50103603171
S124,Testing_CD_4,Y,0,0,1,0.436,0.328,0.236,-1.44392347396
S124,Testing_CD_3,Y,1,0,0,0.787999999999,0.158,0.0540000000004,-0.238257189125
S124,Testing_CD_2,Y,1,0,0,0.576,0.286,0.138,-0.551647618287
S124,Testing_CD_1,Y,0,1,0,0.5,0.34,0.16,-1.07880966137
S124,Testing_CD_0,Y,0,0,1,0.466,0.344,0.19,-1.66073120682
S124,Testing_CD_9,Y,0,0,1,0.512,0.322,0.166,-1.79576749062
S124,Testing_CD_8,Y,1,0,0,0.458,0.348,0.194,-0.780886094868
S124,Testing_CB_5,Y,1,0,0,0.376,0.328,0.296,-0.978166135592
S124,Testing_CB_4,Y,0,0,1,0.318,0.328,0.354,-1.03845836585
S124,Testing_CB_7,Y,1,0,0,0.316,0.342,0.342,-1.1520130654
S124,Testing_CB_6,Y,0,0,1,0.342,0.346,0.312,-1.16475209117
S124,Testing_CB_1,Y,1,0,0,0.294,0.35,0.356,-1.22417551164
S124,Testing_CB_0,Y,0,1,0,0.316,0.33,0.354,-1.10866262452
S124,Testing_CB_3,Y,0,0,1,0.326,0.386,0.288,-1.24479479885
S124,Testing_CB_2,Y,0,0,1,0.328,0.364,0.308,-1.17765549601
S124,Testing_CB_9,Y,1,0,0,0.298,0.406,0.296,-1.21066179248
S124,Testing_CB_8,Y,0,1,0,0.326,0.32,0.354,-1.13943428319
S124,Testing_CD_35,Y,1,0,0,0.576,0.292,0.132,-0.551647618287
S124,Testing_CD_34,Y,0,1,0,0.624,0.278,0.0980000000004,-1.28013416529
S124,Testing_CD_37,Y,0,1,0,0.52,0.33,0.15,-1.10866262452
S124,Testing_CD_36,Y,0,1,0,0.484,0.304,0.212,-1.19072757758
S124,Testing_CD_31,Y,1,0,0,0.488,0.314,0.198,-0.717439873129
S124,Testing_CD_30,Y,0,0,1,0.506,0.3,0.194,-1.63989711992
S124,Testing_CD_33,Y,0,1,0,0.432,0.358,0.21,-1.02722229258
S124,Testing_CD_32,Y,1,0,0,0.436,0.316,0.248,-0.830113035633
S124,Testing_CD_39,Y,1,0,0,0.538,0.294,0.168,-0.619896718821
S124,Testing_CD_38,Y,0,0,1,0.46,0.302,0.238,-1.43548460531
S124,Testing_CD_40,Y,0,0,1,0.432,0.34,0.228,-1.47840965003
S124,Testing_CD_41,Y,1,0,0,0.628,0.242,0.13,-0.465215112515
S124,Testing_CD_42,Y,0,0,1,0.45,0.334,0.216,-1.5324768713
S124,Testing_CD_43,Y,1,0,0,0.466,0.302,0.232,-0.763569644857
S124,Testing_CD_44,Y,0,0,1,0.426,0.314,0.26,-1.34707364797
S124,Testing_CD_45,Y,1,0,0,0.823999999999,0.128,0.0480000000004,-0.193584749074
S124,Testing_CD_46,Y,0,0,1,0.436,0.34,0.224,-1.49610922713
S124,Testing_CD_47,Y,1,0,0,0.526,0.312,0.162,-0.642454066245
S124,Testing_CD_48,Y,0,1,0,0.53,0.302,0.168,-1.19732826161
S124,Testing_CD_49,Y,1,0,0,0.518,0.294,0.188,-0.657780036723
S124,Testing_CD_26,Y,0,0,1,0.464,0.32,0.216,-1.5324768713
S124,Testing_CD_27,Y,1,0,0,0.49,0.338,0.172,-0.713349887878
S124,Testing_CD_24,Y,0,0,1,0.572,0.28,0.148,-1.91054300522
S124,Testing_CD_25,Y,0,0,1,0.428,0.34,0.232,-1.46101790732
S124,Testing_CD_22,Y,1,0,0,0.592,0.248,0.16,-0.524248644099
S124,Testing_CD_23,Y,0,0,1,0.422,0.332,0.246,-1.40242374305
S124,Testing_CD_20,Y,1,0,0,0.514,0.318,0.168,-0.665532013527
S124,Testing_CD_21,Y,0,0,1,0.536,0.296,0.168,-1.78379129958
S124,Testing_CD_28,Y,1,0,0,0.61,0.252,0.138,-0.494296321815
S124,Testing_CD_29,Y,1,0,0,0.548,0.282,0.17,-0.601479992035
S124,Testing_CB_15,Y,0,0,1,0.318,0.39,0.292,-1.23100147671
S124,Testing_CB_14,Y,1,0,0,0.334,0.332,0.334,-1.09661428601
S124,Testing_CB_17,Y,0,1,0,0.344,0.322,0.334,-1.13320373344
S124,Testing_CB_16,Y,0,1,0,0.344,0.356,0.3,-1.03282454813
S124,Testing_CB_11,Y,1,0,0,0.332,0.35,0.318,-1.10262031007
S124,Testing_CB_10,Y,0,0,1,0.334,0.31,0.356,-1.03282454813
S124,Testing_CB_13,Y,0,0,1,0.326,0.38,0.294,-1.22417551164
S124,Testing_CB_12,Y,0,0,1,0.306,0.332,0.362,-1.01611106716
S124,Testing_CB_19,Y,0,1,0,0.302,0.344,0.354,-1.06711362161
S124,Testing_CB_18,Y,0,0,1,0.306,0.348,0.346,-1.06131650392
S124,Testing_CW_12,Y,1,0,0,0.446,0.316,0.238,-0.807436326962
S124,Testing_CW_13,Y,1,0,0,0.793999999999,0.16,0.0460000000004,-0.230671817736
S124,Testing_CW_10,Y,1,0,0,0.556,0.3,0.144,-0.586986984732
S124,Testing_CW_11,Y,0,0,1,0.604,0.252,0.144,-1.9379419794
S124,Testing_CW_16,Y,0,1,0,0.51,0.3,0.19,-1.20397280433
S124,Testing_CW_17,Y,1,0,0,0.592,0.29,0.118,-0.524248644099
S124,Testing_CW_14,Y,1,0,0,0.642,0.246,0.112,-0.443166975293
S124,Testing_CW_15,Y,0,1,0,0.414,0.36,0.226,-1.02165124753
S124,Testing_CW_18,Y,1,0,0,0.875999999999,0.102,0.0220000000005,-0.132389188047
S124,Testing_CW_19,Y,1,0,0,0.436,0.322,0.242,-0.830113035633
S124,Testing_CB_40,Y,0,1,0,0.328,0.334,0.338,-1.09661428601
S124,Testing_CD_13,Y,1,0,0,0.677999999999,0.234,0.0880000000004,-0.388607991043
S124,Testing_CD_12,Y,0,1,0,0.422,0.342,0.236,-1.07294454192
S124,Testing_CD_11,Y,1,0,0,0.484,0.33,0.186,-0.725670372266
S124,Testing_CD_10,Y,0,1,0,0.54,0.296,0.164,-1.21739582466
S124,Testing_CD_17,Y,0,1,0,0.492,0.284,0.224,-1.25878104082
S124,Testing_CD_16,Y,0,1,0,0.456,0.328,0.216,-1.1147416706
S124,Testing_CD_15,Y,0,1,0,0.454,0.314,0.232,-1.15836229307
S124,Testing_CD_14,Y,1,0,0,0.709999999999,0.208,0.0820000000004,-0.342490308948
S124,Testing_CB_46,Y,1,0,0,0.314,0.34,0.346,-1.15836229307
S124,Testing_CD_19,Y,1,0,0,0.426,0.314,0.26,-0.853315932713
S124,Testing_CD_18,Y,1,0,0,0.454,0.332,0.214,-0.789658080941
S124,Testing_CB_47,Y,1,0,0,0.336,0.34,0.324,-1.09064411902
S124,Testing_CB_44,Y,1,0,0,0.36,0.338,0.302,-1.02165124753
S124,Testing_CB_45,Y,0,0,1,0.332,0.332,0.336,-1.09064411902
S124,Testing_CW_29,Y,1,0,0,0.658,0.268,0.0740000000004,-0.418550347658
S124,Testing_CW_28,Y,1,0,0,0.921999999999,0.0760000000004,0.0020000000005,-0.0812100554265
S124,Testing_CW_27,Y,1,0,0,0.382,0.356,0.262,-0.962334670376
S124,Testing_CW_26,Y,0,1,0,0.498,0.31,0.192,-1.1711829815
S124,Testing_CW_25,Y,1,0,0,0.482,0.334,0.184,-0.729811164932
S124,Testing_CW_24,Y,0,0,1,0.384,0.364,0.252,-1.37832619147
S124,Testing_CW_23,Y,0,1,0,0.486,0.338,0.176,-1.0847093835
S124,Testing_CW_22,Y,0,1,0,0.454,0.306,0.24,-1.18417017703
S124,Testing_CW_21,Y,1,0,0,0.628,0.246,0.126,-0.465215112515
S124,Testing_CW_20,Y,1,0,0,0.496,0.32,0.184,-0.701179352258
S124,Testing_CB_33,Y,1,0,0,0.33,0.362,0.308,-1.10866262452
S124,Testing_CB_32,Y,0,0,1,0.318,0.344,0.338,-1.0847093835
S124,Testing_CB_31,Y,1,0,0,0.324,0.356,0.32,-1.12701176319
S124,Testing_CB_30,Y,0,1,0,0.298,0.37,0.332,-0.994252273344
S124,Testing_CB_37,Y,1,0,0,0.376,0.346,0.278,-0.978166135592
S124,Testing_CB_36,Y,0,1,0,0.334,0.36,0.306,-1.02165124753
S124,Testing_CB_35,Y,1,0,0,0.338,0.336,0.326,-1.0847093835
S124,Testing_CB_34,Y,0,0,1,0.348,0.314,0.338,-1.0847093835
S124,Testing_CB_39,Y,1,0,0,0.3,0.362,0.338,-1.20397280433
S124,Testing_CB_38,Y,1,0,0,0.3,0.326,0.374,-1.20397280433
S124,Testing_CW_38,Y,1,0,0,0.881999999999,0.0960000000004,0.0220000000005,-0.125563222976
S124,Testing_CW_39,Y,1,0,0,0.701999999999,0.202,0.0960000000004,-0.353821874957
S124,Testing_CW_30,Y,0,0,1,0.522,0.318,0.16,-1.83258146375
S124,Testing_CW_31,Y,1,0,0,0.472,0.32,0.208,-0.750776293397
S124,Testing_CW_32,Y,0,1,0,0.54,0.31,0.15,-1.1711829815
S124,Testing_CW_33,Y,1,0,0,0.494,0.342,0.164,-0.705219761795
S124,Testing_CW_34,Y,1,0,0,0.741999999999,0.216,0.0420000000004,-0.298406035816
S124,Testing_CW_35,Y,1,0,0,0.546,0.294,0.16,-0.605136303238
S124,Testing_CW_36,Y,1,0,0,0.454,0.332,0.214,-0.789658080941
S124,Testing_CW_37,Y,0,1,0,0.494,0.318,0.188,-1.1457038962
S124,Testing_CB_41,Y,0,0,1,0.308,0.342,0.35,-1.0498221245
S124,Testing_CB_28,Y,1,0,0,0.362,0.318,0.32,-1.01611106716
S124,Testing_CB_29,Y,1,0,0,0.288,0.354,0.358,-1.24479479885
S124,Testing_CB_24,Y,0,0,1,0.366,0.312,0.322,-1.13320373344
S124,Testing_CB_25,Y,1,0,0,0.32,0.358,0.322,-1.13943428319
S124,Testing_CB_26,Y,0,0,1,0.346,0.344,0.31,-1.1711829815
S124,Testing_CB_27,Y,1,0,0,0.332,0.328,0.34,-1.10262031007
S124,Testing_CB_20,Y,0,1,0,0.328,0.31,0.362,-1.1711829815
S124,Testing_CB_21,Y,0,0,1,0.34,0.32,0.34,-1.07880966137
S124,Testing_CB_22,Y,0,1,0,0.32,0.35,0.33,-1.0498221245
S124,Testing_CB_23,Y,0,0,1,0.296,0.334,0.37,-0.994252273344
S124,Testing_CW_49,Y,1,0,0,0.65,0.242,0.108,-0.430782916093
S124,Testing_CW_48,Y,1,0,0,0.753999999999,0.17,0.0760000000004,-0.282362910975
S124,Testing_CW_45,Y,0,0,1,0.689999999999,0.218,0.0920000000004,-2.38596670193
S124,Testing_CW_44,Y,1,0,0,0.452,0.32,0.228,-0.79407309915
S124,Testing_CW_47,Y,1,0,0,0.55,0.264,0.186,-0.597837000756
S124,Testing_CW_46,Y,1,0,0,0.729999999999,0.188,0.0820000000004,-0.314710744841
S124,Testing_CW_41,Y,1,0,0,0.536,0.292,0.172,-0.623621117912
S124,Testing_CW_40,Y,0,0,1,0.749999999999,0.168,0.0820000000004,-2.50103603171
S124,Testing_CW_43,Y,1,0,0,0.737999999999,0.208,0.0540000000004,-0.303811454382
S124,Testing_CW_42,Y,0,1,0,0.482,0.302,0.216,-1.19732826161
S124,Testing_CW_8,Y,1,0,0,0.488,0.322,0.19,-0.717439873129
S124,Testing_CW_9,Y,1,0,0,0.739999999999,0.202,0.0580000000004,-0.301105092785
S124,Testing_CB_48,Y,0,1,0,0.344,0.344,0.312,-1.06711362161
S124,Testing_CB_49,Y,1,0,0,0.36,0.332,0.308,-1.02165124753
S124,Testing_CB_42,Y,0,1,0,0.354,0.346,0.3,-1.06131650392
S124,Testing_CB_43,Y,0,0,1,0.31,0.348,0.342,-1.07294454192
S124,Testing_CW_2,Y,1,0,0,0.548,0.28,0.172,-0.601479992035
S124,Testing_CW_3,Y,0,0,1,0.482,0.292,0.226,-1.48722027971
S124,Testing_CW_4,Y,1,0,0,0.831999999999,0.146,0.0220000000005,-0.183922838162
S124,Testing_CW_5,Y,1,0,0,0.418,0.336,0.246,-0.872273846458
S124,Testing_CW_6,Y,0,0,1,0.703999999999,0.22,0.0760000000004,-2.57702193869
S124,Testing_CW_7,Y,0,0,1,0.448,0.312,0.24,-1.42711635564
S124,Testing_CW_0,Y,1,0,0,0.598,0.28,0.122,-0.514164525032
S124,Testing_CW_1,Y,1,0,0,0.458,0.314,0.228,-0.780886094868
S097,Testing_CD_7,Y,1,0,0,0.443999999999,0.308,0.248000000001,-0.811930716551
S097,Testing_CD_6,Y,1,0,0,0.753999999997,0.190000000001,0.0560000000017,-0.282362910978
S097,Testing_CD_5,Y,1,0,0,0.681999999998,0.236000000001,0.0820000000016,-0.382725621142
S097,Testing_CD_4,Y,0,1,0,0.435999999999,0.328,0.236000000001,-1.1147416706
S097,Testing_CD_3,Y,1,0,0,0.787999999997,0.158000000001,0.0540000000017,-0.238257189128
S097,Testing_CD_2,Y,1,0,0,0.575999999999,0.286,0.138000000001,-0.551647618289
S097,Testing_CD_1,Y,1,0,0,0.499999999999,0.34,0.160000000001,-0.693147180562
S097,Testing_CD_0,Y,0,1,0,0.465999999999,0.344,0.190000000001,-1.06711362161
S097,Testing_CD_9,Y,0,0,1,0.511999999999,0.322,0.166000000001,-1.79576749062
S097,Testing_CD_8,Y,1,0,0,0.457999999999,0.348,0.194000000001,-0.78088609487
S097,Testing_CB_5,Y,0,1,0,0.376,0.328,0.296,-1.1147416706
S097,Testing_CB_4,Y,0,1,0,0.318,0.328,0.354,-1.1147416706
S097,Testing_CB_7,Y,0,1,0,0.316,0.342,0.342,-1.07294454192
S097,Testing_CB_6,Y,0,1,0,0.342,0.346,0.312,-1.06131650392
S097,Testing_CB_1,Y,1,0,0,0.294,0.35,0.356,-1.22417551164
S097,Testing_CB_0,Y,0,0,1,0.316,0.33,0.354,-1.03845836585
S097,Testing_CB_3,Y,0,1,0,0.326,0.386,0.288,-0.951917909518
S097,Testing_CB_2,Y,1,0,0,0.328,0.364,0.308,-1.1147416706
S097,Testing_CB_9,Y,1,0,0,0.298,0.406,0.296,-1.21066179248
S097,Testing_CB_8,Y,0,1,0,0.326,0.32,0.354,-1.13943428319
S097,Testing_CD_35,Y,1,0,0,0.575999999999,0.292,0.132000000001,-0.551647618289
S097,Testing_CD_34,Y,1,0,0,0.623999999998,0.278,0.0980000000015,-0.471604910616
S097,Testing_CD_37,Y,1,0,0,0.519999999999,0.33,0.150000000001,-0.653926467409
S097,Testing_CD_36,Y,1,0,0,0.483999999999,0.304,0.212000000001,-0.725670372267
S097,Testing_CD_31,Y,0,1,0,0.487999999999,0.314,0.198000000001,-1.15836229307
S097,Testing_CD_30,Y,1,0,0,0.505999999999,0.3,0.194000000001,-0.681218609697
S097,Testing_CD_33,Y,1,0,0,0.431999999999,0.358,0.210000000001,-0.839329690739
S097,Testing_CD_32,Y,1,0,0,0.435999999999,0.316,0.248000000001,-0.830113035635
S097,Testing_CD_39,Y,1,0,0,0.537999999999,0.294,0.168000000001,-0.619896718823
S097,Testing_CD_38,Y,0,1,0,0.459999999999,0.302,0.238000000001,-1.19732826161
S097,Testing_CD_40,Y,0,1,0,0.431999999999,0.34,0.228000000001,-1.07880966137
S097,Testing_CD_41,Y,1,0,0,0.627999999998,0.242000000001,0.130000000001,-0.465215112517
S097,Testing_CD_42,Y,0,1,0,0.449999999999,0.334,0.216000000001,-1.09661428601
S097,Testing_CD_43,Y,1,0,0,0.465999999999,0.302,0.232000000001,-0.763569644858
S097,Testing_CD_44,Y,0,1,0,0.425999999999,0.314,0.26,-1.15836229307
S097,Testing_CD_45,Y,1,0,0,0.823999999997,0.128000000001,0.0480000000018,-0.193584749076
S097,Testing_CD_46,Y,1,0,0,0.435999999999,0.34,0.224000000001,-0.830113035635
S097,Testing_CD_47,Y,1,0,0,0.525999999999,0.312,0.162000000001,-0.642454066247
S097,Testing_CD_48,Y,1,0,0,0.529999999999,0.302,0.168000000001,-0.634878272438
S097,Testing_CD_49,Y,1,0,0,0.517999999999,0.294,0.188000000001,-0.657780036725
S097,Testing_CD_26,Y,0,1,0,0.463999999999,0.32,0.216000000001,-1.13943428319
S097,Testing_CD_27,Y,1,0,0,0.489999999999,0.338,0.172000000001,-0.713349887879
S097,Testing_CD_24,Y,1,0,0,0.571999999999,0.28,0.148000000001,-0.558616287605
S097,Testing_CD_25,Y,0,1,0,0.427999999999,0.34,0.232000000001,-1.07880966137
S097,Testing_CD_22,Y,1,0,0,0.591999999998,0.248000000001,0.160000000001,-0.524248644101
S097,Testing_CD_23,Y,1,0,0,0.421999999999,0.332,0.246000000001,-0.862749964947
S097,Testing_CD_20,Y,0,1,0,0.513999999999,0.318,0.168000000001,-1.1457038962
S097,Testing_CD_21,Y,1,0,0,0.535999999999,0.296,0.168000000001,-0.623621117914
S097,Testing_CD_28,Y,1,0,0,0.609999999998,0.252000000001,0.138000000001,-0.494296321818
S097,Testing_CD_29,Y,1,0,0,0.547999999999,0.282,0.170000000001,-0.601479992037
S097,Testing_CB_15,Y,0,0,1,0.318,0.39,0.292,-1.23100147671
S097,Testing_CB_14,Y,1,0,0,0.334,0.332,0.334,-1.09661428601
S097,Testing_CB_17,Y,0,1,0,0.344,0.322,0.334,-1.13320373344
S097,Testing_CB_16,Y,0,0,1,0.344,0.356,0.3,-1.20397280433
S097,Testing_CB_11,Y,0,1,0,0.332,0.35,0.318,-1.0498221245
S097,Testing_CB_10,Y,0,0,1,0.334,0.31,0.356,-1.03282454813
S097,Testing_CB_13,Y,1,0,0,0.326,0.38,0.294,-1.12085789762
S097,Testing_CB_12,Y,0,1,0,0.306,0.332,0.362,-1.10262031007
S097,Testing_CB_19,Y,0,1,0,0.302,0.344,0.354,-1.06711362161
S097,Testing_CB_18,Y,0,1,0,0.306,0.348,0.346,-1.05555279921
S097,Testing_CW_12,Y,1,0,0,0.445999999999,0.316,0.238000000001,-0.807436326964
S097,Testing_CW_13,Y,1,0,0,0.793999999997,0.160000000001,0.0460000000018,-0.230671817739
S097,Testing_CW_10,Y,0,1,0,0.555999999999,0.3,0.144000000001,-1.20397280433
S097,Testing_CW_11,Y,1,0,0,0.603999999998,0.252000000001,0.144000000001,-0.50418108105
S097,Testing_CW_16,Y,0,0,1,0.509999999999,0.3,0.190000000001,-1.66073120682
S097,Testing_CW_17,Y,1,0,0,0.591999999998,0.29,0.118000000001,-0.524248644101
S097,Testing_CW_14,Y,1,0,0,0.641999999998,0.246000000001,0.112000000001,-0.443166975295
S097,Testing_CW_15,Y,1,0,0,0.414,0.36,0.226000000001,-0.881889305158
S097,Testing_CW_18,Y,1,0,0,0.875999999997,0.102000000001,0.0220000000019,-0.13238918805
S097,Testing_CW_19,Y,0,0,1,0.435999999999,0.322,0.242000000001,-1.41881755282
S097,Testing_CB_40,Y,0,1,0,0.328,0.334,0.338,-1.09661428601
S097,Testing_CD_13,Y,1,0,0,0.677999999998,0.234000000001,0.0880000000015,-0.388607991045
S097,Testing_CD_12,Y,1,0,0,0.421999999999,0.342,0.236000000001,-0.862749964947
S097,Testing_CD_11,Y,1,0,0,0.483999999999,0.33,0.186000000001,-0.725670372267
S097,Testing_CD_10,Y,1,0,0,0.539999999999,0.296,0.164000000001,-0.616186139426
S097,Testing_CD_17,Y,1,0,0,0.491999999999,0.284,0.224000000001,-0.709276562492
S097,Testing_CD_16,Y,1,0,0,0.455999999999,0.328,0.216000000001,-0.785262469469
S097,Testing_CD_15,Y,1,0,0,0.453999999999,0.314,0.232000000001,-0.789658080942
S097,Testing_CD_14,Y,0,0,1,0.709999999998,0.208000000001,0.0820000000016,-2.5010360317
S097,Testing_CB_46,Y,1,0,0,0.314,0.34,0.346,-1.15836229307
S097,Testing_CD_19,Y,0,1,0,0.425999999999,0.314,0.26,-1.15836229307
S097,Testing_CD_18,Y,1,0,0,0.453999999999,0.332,0.214000000001,-0.789658080942
S097,Testing_CB_47,Y,0,1,0,0.336,0.34,0.324,-1.07880966137
S097,Testing_CB_44,Y,0,1,0,0.36,0.338,0.302,-1.0847093835
S097,Testing_CB_45,Y,0,1,0,0.332,0.332,0.336,-1.10262031007
S097,Testing_CW_29,Y,1,0,0,0.657999999998,0.268,0.0740000000016,-0.41855034766
S097,Testing_CW_28,Y,1,0,0,0.921999999996,0.0760000000016,0.00200000000205,-0.0812100554295
S097,Testing_CW_27,Y,0,1,0,0.382,0.356,0.262,-1.03282454813
S097,Testing_CW_26,Y,0,1,0,0.497999999999,0.31,0.192000000001,-1.1711829815
S097,Testing_CW_25,Y,1,0,0,0.481999999999,0.334,0.184000000001,-0.729811164933
S097,Testing_CW_24,Y,1,0,0,0.384,0.364,0.252000000001,-0.957112726395
S097,Testing_CW_23,Y,0,1,0,0.485999999999,0.338,0.176000000001,-1.0847093835
S097,Testing_CW_22,Y,0,1,0,0.453999999999,0.306,0.240000000001,-1.18417017703
S097,Testing_CW_21,Y,1,0,0,0.627999999998,0.246000000001,0.126000000001,-0.465215112517
S097,Testing_CW_20,Y,0,1,0,0.495999999999,0.32,0.184000000001,-1.13943428319
S097,Testing_CB_33,Y,0,1,0,0.33,0.362,0.308,-1.01611106716
S097,Testing_CB_32,Y,0,1,0,0.318,0.344,0.338,-1.06711362161
S097,Testing_CB_31,Y,1,0,0,0.324,0.356,0.32,-1.12701176319
S097,Testing_CB_30,Y,0,0,1,0.298,0.37,0.332,-1.10262031007
