WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S124,Testing_CD_7,Y,1,0,0,0.738974064034,0.208820349811,0.0522055861548,-0.302492454679
S124,Testing_CD_6,Y,1,0,0,0.477949457941,6.64936070165e-07,0.522049877123,-0.738250288607
S124,Testing_CD_5,Y,0,0,1,0.477949457941,0.156615428592,0.365435113467,-1.00666654369
S124,Testing_CD_4,Y,0,0,1,0.634564221597,0.104410507373,0.26102527103,-1.34313805248
S097,Testing_CD_7,Y,1,0,0,0.775721627368,0.112756031359,0.111522341173,-0.253961550776
S097,Testing_CD_6,Y,1,0,0,0.773665477058,0.111111111111,0.115223411731,-0.256615699001
S097,Testing_CD_5,Y,1,0,0,0.773665477058,0.112344801297,0.113989721545,-0.256615699001
S097,Testing_CD_4,Y,0,1,0,0.774899167244,0.111933571235,0.113167261421,-2.18984969762
S112,Testing_CD_7,Y,0,0,1,0.868240230195,0.105406926579,0.0263528432267,-3.63617910748
S112,Testing_CD_6,Y,1,0,0,0.736483424608,1.48210936638e-06,0.263515093282,-0.305868548956
S112,Testing_CD_5,Y,1,0,0,0.736483424608,0.0790555654613,0.184461009931,-0.305868548956
S112,Testing_CD_4,Y,1,0,0,0.81553750796,0.052704204344,0.131758287696,-0.203907864159
S111,Testing_CD_7,Y,1,0,0,0.999998017363,9.99106510763e-07,9.83530160127e-07,-1.98263863649e-06
S111,Testing_CD_6,Y,1,0,0,0.999997991403,9.78338043248e-07,1.03025921204e-06,-2.00859927264e-06
S111,Testing_CD_5,Y,1,0,0,0.999997991403,9.93914393884e-07,1.0146828614e-06,-2.00859927264e-06
S111,Testing_CD_4,Y,1,0,0,0.999998006979,9.88722277005e-07,1.00429862764e-06,-1.99302289082e-06
S090,Testing_CD_7,Y,1,0,0,0.775721627368,0.112756031359,0.111522341173,-0.253961550776
S090,Testing_CD_6,Y,1,0,0,0.773665477058,0.111111111111,0.115223411731,-0.256615699001
S090,Testing_CD_5,Y,1,0,0,0.773665477058,0.112344801297,0.113989721545,-0.256615699001
S090,Testing_CD_4,Y,0,1,0,0.774899167244,0.111933571235,0.113167261421,-2.18984969762
S078,Testing_CD_7,Y,1,0,0,0.999998017363,9.99106510763e-07,9.83530160127e-07,-1.98263863649e-06
S078,Testing_CD_6,Y,1,0,0,0.999997991403,9.78338043248e-07,1.03025921204e-06,-2.00859927264e-06
S078,Testing_CD_5,Y,1,0,0,0.999997991403,9.93914393884e-07,1.0146828614e-06,-2.00859927264e-06
S078,Testing_CD_4,Y,1,0,0,0.999998006979,9.88722277005e-07,1.00429862764e-06,-1.99302289082e-06
S089,Testing_CD_7,Y,0,1,0,0.645132642677,0.217227218965,0.137640138075,-1.52681138126
S089,Testing_CD_6,Y,1,0,0,0.512487507859,0.111111111111,0.376401380746,-0.668478943175
S089,Testing_CD_5,Y,0,1,0,0.512487507859,0.190698192002,0.296814299856,-1.65706324727
