WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S124,Testing_CD_7,Y,1,0,0,0.408623310185,0.262622860082,0.328753829732,-0.894961549314
S124,Testing_CD_6,Y,1,0,0,0.673026564336,0.151342029211,0.175631406453,-0.395970478592
S124,Testing_CD_5,Y,0,0,1,0.649880151515,0.163805482268,0.186314366217,-1.680319891
S124,Testing_CD_4,Y,0,0,1,0.429989229713,0.235915460673,0.334095309614,-1.09632896859
S124,Testing_CD_3,Y,1,0,0,0.721099883272,0.106829696862,0.172070419865,-0.326977616934
S124,Testing_CD_2,Y,1,0,0,0.526135867586,0.221671514321,0.252192618093,-0.642195796204
S124,Testing_CD_1,Y,0,1,0,0.478062548649,0.231464227438,0.290473223913,-1.4633299425
S124,Testing_CD_0,Y,0,0,1,0.481623535237,0.220781267674,0.297595197088,-1.21202111497
S124,Testing_CD_9,Y,0,0,1,0.504769948058,0.208317814617,0.286912237325,-1.24857890328
S124,Testing_CD_8,Y,1,0,0,0.47183082212,0.235915460673,0.292253717207,-0.751134785358
S124,Testing_CB_5,Y,1,0,0,0.430241947487,0.246598420437,0.323159632076,-0.843407559958
S124,Testing_CB_4,Y,0,0,1,0.418668741076,0.259061873494,0.322269385429,-1.13236748248
S124,Testing_CB_7,Y,1,0,0,0.434693180722,0.238586200614,0.326720618664,-0.83311482843
S124,Testing_CB_6,Y,0,0,1,0.43825416731,0.254610640259,0.307135192431,-1.1804672621
S124,Testing_CB_1,Y,1,0,0,0.441815153898,0.249269160378,0.308915685725,-0.816863688227
S124,Testing_CB_0,Y,0,1,0,0.422229727664,0.264403353376,0.31336691896,-1.33027948812
S124,Testing_CB_3,Y,0,0,1,0.418668741076,0.258171626847,0.323159632076,-1.12960886089
S124,Testing_CB_2,Y,0,0,1,0.43825416731,0.259061873494,0.302683959196,-1.19506605677
S124,Testing_CB_9,Y,1,0,0,0.442705400545,0.244817927143,0.312476672313,-0.814850740211
S124,Testing_CB_8,Y,0,1,0,0.427571207546,0.241256940555,0.331171851899,-1.42189277004
S124,Testing_CD_35,Y,1,0,0,0.574209186522,0.17804942862,0.247741384858,-0.554761512604
S124,Testing_CD_34,Y,0,1,0,0.597355599343,0.18695189509,0.215692505567,-1.67690394073
S124,Testing_CD_37,Y,0,1,0,0.531587100523,0.196744608206,0.271668291271,-1.62584879635
S124,Testing_CD_36,Y,0,1,0,0.428208736419,0.242147187202,0.329644076379,-1.41820952613
S124,Testing_CD_31,Y,1,0,0,0.450464902593,0.213659294499,0.335875802908,-0.797475112642
S124,Testing_CD_30,Y,0,0,1,0.439781942829,0.233244720732,0.326973336438,-1.11787665135
S124,Testing_CD_33,Y,0,1,0,0.407733063538,0.259061873494,0.333205062967,-1.35068835201
S124,Testing_CD_32,Y,1,0,0,0.390818377246,0.240366693908,0.368814928846,-0.939512335236
