WID,Experiment,Iteration,Set1,Set2
S139,Shapes,0,Rule4,Rule3
S136,Shapes,0,Rule2,Rule4
S134,Shapes,0,Rule3,Rule3
S143,Shapes,0,Rule4,Rule2
S151,Shapes,0,Rule2,Rule2
S152,Shapes,0,Rule3,Rule3
S140,Shapes,0,Rule3,Rule3
S135,Shapes,0,Rule4,Rule3
S138,Shapes,0,Rule2,Rule2
S132,Shapes,0,Rule3,Rule3
S137,Shapes,0,Rule1,Rule1
S129,Shapes,0,Rule3,Rule3
S131,Shapes,0,Rule2,Rule4
S130,Shapes,0,Rule2,Rule4
S147,Shapes,0,Rule3,Rule3
S153,Shapes,0,Rule1,Rule1
S149,Shapes,0,Rule1,Rule2
S133,Shapes,0,Rule3,Rule3
S142,Shapes,0,Rule3,Rule4
S150,Shapes,0,Rule1,Rule1
S141,Shapes,0,Rule1,Rule1
S146,Shapes,0,Rule2,Rule2
S148,Shapes,0,Rule3,Rule3
S144,Shapes,0,Rule3,Rule3
S145,Shapes,0,Rule3,Rule3
S156,Materials,0,Rule2,Rule2
S169,Materials,0,Rule3,Rule3
S157,Materials,0,Rule3,Rule3
S166,Materials,0,Rule3,Rule4
S160,Materials,0,Rule2,Rule2
S158,Materials,0,Rule4,Rule4
S167,Materials,0,Rule2,Rule2
S161,Materials,0,Rule4,Rule4
S154,Materials,0,Rule2,Rule4
S170,Materials,0,Rule4,Rule4
S155,Materials,0,Rule4,Rule4
S172,Materials,0,Rule4,Rule4
S168,Materials,0,Rule3,Rule3
S178,Materials,0,Rule2,Rule2
S177,Materials,0,Rule2,Rule4
S175,Materials,0,Rule4,Rule4
S171,Materials,0,Rule2,Rule4
S164,Materials,0,Rule2,Rule4
S162,Materials,0,Rule3,Rule3
S173,Materials,0,Rule3,Rule3
S176,Materials,0,Rule3,Rule3
S165,Materials,0,Rule3,Rule4
S159,Materials,0,Rule4,Rule3
S174,Materials,0,Rule2,Rule4
S163,Materials,0,Rule3,Rule4
S195,Balance,0,Rule3,Rule1
S221,Balance,0,Rule4,Rule4
S205,Balance,0,Rule1,Rule1
S219,Balance,0,Rule1,Rule1
S203,Balance,0,Rule3,Rule3
S201,Balance,0,Rule4,Rule3
S225,Balance,0,Rule4,Rule4
S183,Balance,0,Rule3,Rule3
S207,Balance,0,Rule3,Rule3
S194,Balance,0,Rule4,Rule3
S199,Balance,0,Rule3,Rule3
S193,Balance,0,Rule4,Rule4
S211,Balance,0,Rule3,Rule2
S212,Balance,0,Rule2,Rule2
S198,Balance,0,Rule4,Rule2
S200,Balance,0,Rule2,Rule2
S202,Balance,0,Rule3,Rule4
S208,Balance,0,Rule2,Rule3
