WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S154,Dist_Mixed_2,Y,0,1,0,0.5412240817726023,0.41100679978317,0.0477691184442276,-0.8891455201381623
S154,Weight_Pure_4,Y,1,0,0,0.8684806720355175,0.05976281546957,0.0717565124949125,-0.1410099479694311
S154,CB_Mixed_5,Y,1,0,0,0.894181451375537,0.0477691184442276,0.0580494301802354,-0.1118465586589344
S154,CB_Pure_11,Y,1,0,0,0.9027483778222102,0.0477691184442276,0.0494825037335622,-0.102311415755334
S154,Dist_Mixed_6,Y,0,1,0,0.5035296054072405,0.4469878908591974,0.0494825037335622,-0.8052237745359566
S154,CW_Mixed_12,Y,1,0,0,0.9027483778222102,0.0477691184442276,0.0494825037335622,-0.102311415755334
S154,CD_Pure_10,Y,1,0,0,0.0614762007589046,0.0546226596015661,0.8839011396395292,-2.789105158595571
S154,CD_Mixed_10,Y,0,0,1,0.0477691184442276,0.0477691184442276,0.9044617631115448,-0.1004152491016708
S154,CB_Pure_6,Y,1,0,0,0.9027483778222102,0.0477691184442276,0.0494825037335622,-0.102311415755334
S154,CW_Mixed_10,Y,1,0,0,0.9044617631115448,0.0477691184442276,0.0477691184442276,-0.1004152491016708
S154,CB_Mixed_15,Y,1,0,0,0.8410665074061634,0.0477691184442276,0.111164374149609,-0.1730845407968766
S154,CD_Mixed_4,Y,0,0,1,0.0511958890228968,0.0477691184442276,0.9010349925328756,-0.1042111846885794
S154,CW_Mixed_5,Y,1,0,0,0.875334213192856,0.0563360448909007,0.0683297419162432,-0.1331495076171925
S154,CB_Pure_12,Y,1,0,0,0.8496334338528365,0.0768966683629163,0.0734698977842471,-0.1629502768054307
S154,Weight_Pure_2,Y,1,0,0,0.9027483778222102,0.0494825037335622,0.0477691184442276,-0.102311415755334
S154,Dist_Mixed_1,Y,1,0,0,0.5789185581379642,0.3733123234178081,0.0477691184442276,-0.5465934708225435
S154,CB_Pure_4,Y,1,0,0,0.9044617631115448,0.0477691184442276,0.0477691184442276,-0.1004152491016708
S154,Bal_Mixed_7,Y,0,1,0,0.1025974477029359,0.7828114075687858,0.1145911447282783,-0.2448634707907389
S154,CB_Pure_3,Y,1,0,0,0.9044617631115448,0.0477691184442276,0.0477691184442276,-0.1004152491016708
