WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S179,BalAdjust_Adj_CD_0.25_3,Y,1,0,0,0.1896338063886278,0.0537622692385755,0.7566039243727967,-1.6626604013179491
S179,BalAdjust_Raw_CW_0.5_2,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Centered_D_1_0_0.5,Y,0,1,0,0.7918298784487362,0.1544078523126883,0.0537622692385755,-1.8681577857371687
S179,Uncentered_CW_3_0_1.0,Y,1,0,0,0.3489893129226397,0.0537622692385755,0.5972484178387847,-1.0527139792467397
S179,Uncentered_W_0_0_0.5,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Uncentered_CW_4_0_0.5,Y,1,0,0,0.7347973813734056,0.0537622692385755,0.2114403493880189,-0.3081604893745095
S179,Uncentered_CD_4_0_0.25,Y,1,0,0,0.055439695623144,0.0537622692385755,0.8907980351382804,-2.8924594143185898
S179,BalAdjust_Raw_CD_0.5_3,Y,0,1,0,0.4412477640739098,0.0537622692385755,0.5049899666875146,-2.923183373119104
S179,Uncentered_CW_3_0_0.25,Y,1,0,0,0.8505398019086352,0.0537622692385755,0.0956979288527891,-0.1618840699947397
S179,Uncentered_W_1_0_0.25,Y,1,0,0,0.7096359856048774,0.0839559441608093,0.2064080702343133,-0.3430031367516378
S179,Uncentered_CD_0_0_1.0,Y,0,0,1,0.0537622692385755,0.0537622692385755,0.892475461522849,-0.1137562597983583
S179,BalAdjust_Raw_CW_0.5_3,Y,1,0,0,0.7180231175277201,0.0537622692385755,0.2282146132337044,-0.3312535133384126
S179,Centered_W_3_0_0.25,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,BalAdjust_Raw_CD_0.25_4,Y,1,0,0,0.0621494011614182,0.0537622692385755,0.8840883296000062,-2.778214096447248
S179,BalAdjust_Raw_CD_0.25_2,Y,0,0,1,0.1476981467744141,0.0537622692385755,0.7985395839870103,-0.2249707396227548
S179,BalAdjust_Raw_CW_0.5_1,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Uncentered_D_2_0_0.25,Y,1,0,0,0.6375066510684297,0.1493755731589827,0.2131177757725874,-0.4501905689554624
S179,Uncentered_CD_3_0_0.5,Y,0,0,1,0.0839559441608093,0.0537622692385755,0.862281786600615,-0.1481731631295504
S179,Centered_CD_0_0_0.25,Y,0,0,1,0.2584082881559382,0.0537622692385755,0.6878294426054863,-0.3742143749715686
S179,Uncentered_D_4_0_1.0,Y,0,0,1,0.499957687533809,0.3691184295374623,0.1309238829287286,-2.0331391709994144
S179,Centered_D_1_0_2.0,Y,0,1,0,0.7834427465258934,0.162794984235531,0.0537622692385755,-1.815263635252375
S179,Uncentered_CD_4_0_1.0,Y,0,0,1,0.0621494011614182,0.0537622692385755,0.8840883296000062,-0.1231983009742025
S179,Centered_D_3_0_2.0,Y,1,0,0,0.8471849491394982,0.0990527816219262,0.0537622692385755,-0.1658362502688259
S179,Uncentered_W_2_0_2.0,Y,1,0,0,0.644216356606704,0.1191818982367488,0.2366017451565471,-0.4397206518350298
S179,BalAdjust_Adj_CW_0.5_2,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,BalAdjust_Adj_CD_0.25_1,Y,0,1,0,0.2617631409250753,0.0537622692385755,0.6844745898363491,-2.923183373119104
S179,Uncentered_D_3_0_2.0,Y,0,0,1,0.7062811328357402,0.107439913544769,0.1862789536194907,-1.6805099781293316
S179,Uncentered_D_1_0_2.0,Y,1,0,0,0.6895068689900548,0.251698582617664,0.0587945483922811,-0.3717786195213119
S179,Uncentered_W_3_0_0.25,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Uncentered_W_4_0_0.5,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,BalAdjust_Raw_CW_0.5_4,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,BalAdjust_Adj_CD_0.25_2,Y,0,0,1,0.1745369689275108,0.0537622692385755,0.7717007618339136,-0.2591584183039399
S179,BalAdjust_Raw_CW_0.25_1,Y,1,0,0,0.8723463449080264,0.0537622692385755,0.073891385853398,-0.1365687494024988
S179,Uncentered_D_4_0_0.25,Y,1,0,0,0.5100222458412202,0.2818922575398979,0.2080854966188818,-0.6733009349185491
S179,Uncentered_D_0_0_1.0,Y,0,1,0,0.7046037064511718,0.1560852786972568,0.1393110148515713,-1.8573527627800768
S179,Uncentered_CW_4_0_2.0,Y,0,1,0,0.0537622692385755,0.5167319513794945,0.42950577938193,-0.660231008210693
S179,Centered_W_0_0_0.5,Y,1,0,0,0.8723463449080264,0.0537622692385755,0.073891385853398,-0.1365687494024988
S179,BalAdjust_Adj_CW_0.5_5,Y,1,0,0,0.8874431823691433,0.0537622692385755,0.0587945483922811,-0.1194107795476792
S179,BalAdjust_Raw_CD_0.5_1,Y,0,0,1,0.4261509266127929,0.0537622692385755,0.5200868041486316,-0.6537595502830414
S179,Uncentered_CW_0_0_0.5,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Uncentered_W_4_0_2.0,Y,1,0,0,0.5653773165319823,0.2047306438497447,0.2298920396182729,-0.5702619538553896
S179,Centered_W_1_0_1.0,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Centered_D_0_0_1.0,Y,0,1,0,0.5066673930720832,0.3238279171541116,0.1695046897738052,-1.127543024178657
S179,Centered_CD_3_0_2.0,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Uncentered_CW_2_0_0.5,Y,1,0,0,0.8907980351382804,0.0537622692385755,0.055439695623144,-0.1156375493284783
S179,Centered_CW_3_0_1.0,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,Uncentered_CD_2_0_1.0,Y,1,0,0,0.0537622692385755,0.0537622692385755,0.892475461522849,-2.923183373119104
S179,Centered_W_3_0_1.0,Y,1,0,0,0.892475461522849,0.0537622692385755,0.0537622692385755,-0.1137562597983583
S179,BalAdjust_Raw_CD_0.5_0,Y,0,0,1,0.4966028347646719,0.0537622692385755,0.4496348959967525,-0.7993193677634546
S179,Uncentered_D_1_0_0.5,Y,1,0,0,0.6475712093758411,0.2986665213855833,0.0537622692385755,-0.434526515585322
