WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S129,CB_1_BC_N,Y,0,0,1,0.5284444451104864,0.1271111104071396,0.3444444444823739,-1.065822465735001
S129,CB_4_CC_N,Y,0,0,1,0.5311111117862561,0.1257777770692548,0.343111111144489,-1.0697009450764094
S129,CD_5_CB_N,Y,1,0,0,0.4964444450012493,0.2231111107348505,0.2804444442639,-0.7002836950076796
S129,Weight_2_BB_N,Y,0,1,0,0.7537777792130298,0.1111111103525212,0.1351111104344489,-2.1972245841635285
S129,CD_1_CC_N,Y,1,0,0,0.4151111113902722,0.2164444440454261,0.3684444445643016,-0.879209056297126
S129,CD_6_BB_N,Y,0,1,0,0.7017777790355197,0.1111111103525212,0.1871111106119589,-2.1972245841635285
S129,CD_5_CC_N,Y,1,0,0,0.5017777783527889,0.2057777773423471,0.2924444443048639,-0.689597929902856
S129,CW_4_BC_N,Y,1,0,0,0.5937777786668451,0.1137777770282909,0.2924444443048639,-0.5212501396045682
S129,Dist_4_BC_N,Y,1,0,0,0.6711111122641676,0.1164444437040607,0.2124444440317715,-0.3988205636713652
S129,CB_6_BC_N,Y,0,0,1,0.5311111117862561,0.1164444437040607,0.3524444445096831,-1.0428622733785142
S129,Bal_5_BB_N,Y,0,1,0,0.1431111104617581,0.6937777790082106,0.1631111105300312,-0.3656035729095079
S129,CD_3_CC_N,Y,1,0,0,0.6351111121412761,0.1137777770282909,0.2511111108304328,-0.4539553156465751
S129,CD_4_BC_N,Y,1,0,0,0.4644444448920125,0.1417777771238732,0.3937777779841142,-0.7669133298358912
S129,Weight_2_CB_N,Y,0,1,0,0.4991111116770191,0.3511111111717983,0.1497777771511825,-1.0466525495645556
S129,CB_5_BC_N,Y,0,1,0,0.5231111117589469,0.1191111103798304,0.3577777778612226,-2.127698520827092
S129,Weight_3_BC_N,Y,0,1,0,0.4457777781616242,0.343111111144489,0.2111111106938866,-1.0697009450764094
S129,Dist_2_CB_N,Y,1,0,0,0.7777777792949575,0.1111111103525212,0.1111111103525212,-0.2513144263302464
S129,Weight_1_CC_N,Y,0,1,0,0.4657777782298973,0.3404444444687193,0.1937777773013833,-1.0775033253865711
S129,Dist_3_BB_N,Y,1,0,0,0.5404444451514502,0.3457777778202587,0.1137777770282909,-0.6153634313641603
S129,Dist_5_BB_N,Y,0,1,0,0.155111110502722,0.6884444456566711,0.1564444438406068,-0.3733206530207774
S129,Bal_5_CB_N,Y,0,1,0,0.2631111108713967,0.564444445233378,0.1724444438952253,-0.5719133143481119
S129,CD_5_BC_N,Y,1,0,0,0.5164444450695225,0.2151111107075412,0.2684444442229362,-0.6607875565762602
S129,Bal_2_BB_N,Y,0,1,0,0.1644444438679161,0.6831111123051316,0.1524444438269522,-0.3810977499119545
S129,CB_2_BC_N,Y,0,0,1,0.4417777781479696,0.1111111103525212,0.4471111114995091,-0.8049481436700979
S129,CB_5_CC_N,Y,0,1,0,0.5337777784620259,0.1297777770829094,0.3364444444550647,-2.041931698284478
S129,CB_6_CB_N,Y,0,0,1,0.573777778598572,0.112444443690406,0.3137777777110218,-1.1590702579179728
S129,CB_7_CC_N,Y,0,1,0,0.4604444448783578,0.1111111103525212,0.4284444447691208,-2.1972245841635285
S129,Dist_4_CC_N,Y,1,0,0,0.6644444455747434,0.1151111103661758,0.2204444440590807,-0.4088040076725602
S129,Weight_4_CC_N,Y,0,1,0,0.4951111116633644,0.291111110966979,0.2137777773696564,-1.2340502600583243
S129,Bal_2_CC_N,Y,0,1,0,0.364444444550647,0.2951111109806336,0.3404444444687193,-1.220403346164162
S129,CD_3_BB_N,Y,1,0,0,0.7644444459161087,0.1111111103525212,0.1244444437313699,-0.2686059234658248
S129,CW_6_BC_N,Y,0,0,1,0.5591111118818385,0.1111111103525212,0.3297777777656403,-1.1093362520678902
S129,CW_5_BB_N,Y,0,0,1,0.64711111218224,0.1111111103525212,0.2417777774652387,-1.419736249635194
S129,CD_2_CC_N,Y,1,0,0,0.4137777780523873,0.1644444438679161,0.4217777780796965,-0.8824262172577345
S129,CB_7_BB_N,Y,0,0,1,0.4524444448510485,0.1111111103525212,0.4364444447964301,-0.8290941860375154
S129,CB_7_CB_N,Y,0,0,1,0.4524444448510485,0.1111111103525212,0.4364444447964301,-0.8290941860375154
S129,CB_3_BC_N,Y,0,0,1,0.4924444449875947,0.1417777771238732,0.3657777778885319,-1.0057292942186054
S129,CW_7_BB_N,Y,0,0,1,0.5831111119637661,0.112444443690406,0.3044444443458277,-1.189266657260164
S129,Weight_5_CB_N,Y,0,1,0,0.500444445014904,0.3697777779021864,0.1297777770829094,-0.9948530540408156
S129,CD_2_CB_N,Y,1,0,0,0.4204444447418116,0.1591111105163766,0.4204444447418116,-0.8664429254393189
S129,Bal_3_CC_N,Y,0,1,0,0.3044444443458277,0.3937777779841142,0.301777777670058,-0.9319685440693928
S129,CB_4_BB_N,Y,0,0,1,0.4844444449602855,0.1111111103525212,0.4044444446871931,-0.9052408950873672
S129,Bal_3_CB_N,Y,0,1,0,0.2937777776427487,0.4577777782025881,0.2484444441546631,-0.7813714130468007
S129,CB_2_CB_N,Y,0,0,1,0.4524444448510485,0.1111111103525212,0.4364444447964301,-0.8290941860375154
