WID,Strategy,CVOrder,CVLLH
S139,base_strats,42,-77.0964811406
S139,base_strats,48,-78.7498219112
S139,base_strats,43,-79.1000847832
S139,base_strats,49,-72.6471848411
S139,base_strats,24,-74.0212336285
S139,base_strats,25,-76.1542894551
S139,base_strats,26,-72.8159092154
S139,base_strats,27,-75.5502713864
S139,base_strats,20,-79.1000827009
S139,base_strats,21,-74.3647385213
S139,base_strats,22,-76.6249248493
S139,base_strats,23,-80.0235314093
S139,base_strats,46,-84.4368639598
S139,base_strats,47,-73.034389032
S139,base_strats,44,-74.4792109117
S139,base_strats,45,-74.4384390374
S139,base_strats,28,-76.2917810629
S139,base_strats,29,-77.3860301962
S139,base_strats,40,-76.6674934435
S139,base_strats,41,-78.6555962026
S139,base_strats,1,-74.7636482128
S139,base_strats,0,-79.1000838998
S139,base_strats,3,-72.4777275596
S139,base_strats,2,-71.657835695
S139,base_strats,5,-75.6178486703
S139,base_strats,4,-84.031702613
S139,base_strats,7,-79.2702849863
S139,base_strats,6,-85.2753961663
S139,base_strats,9,-74.803222032
S139,base_strats,8,-73.76883788
S139,base_strats,39,-73.6522743759
S139,base_strats,38,-76.8672993553
S139,base_strats,11,-74.9859116802
S139,base_strats,10,-75.8062900427
S139,base_strats,13,-73.9677529732
S139,base_strats,12,-79.1000847836
S139,base_strats,15,-78.132194942
S139,base_strats,14,-72.6160439917
S139,base_strats,17,-76.0318792785
S139,base_strats,16,-75.6787655819
S139,base_strats,19,-73.8737637945
S139,base_strats,18,-79.1000847555
S139,base_strats,31,-75.4178845501
S139,base_strats,30,-73.8319169194
S139,base_strats,37,-76.0398420334
S139,base_strats,36,-74.8999873886
S139,base_strats,35,-81.4583802315
S139,base_strats,34,-77.0936902861
S139,base_strats,33,-76.5509191674
S139,base_strats,32,-74.5795599827
S205,base_strats,42,-54.6793123574
S205,base_strats,48,-66.4551619321
S205,base_strats,43,-60.1202199286
S205,base_strats,49,-67.3256375694
S205,base_strats,24,-57.6355639986
S205,base_strats,25,-58.6729985533
S205,base_strats,26,-65.2719181199
S205,base_strats,27,-53.3571934713
S205,base_strats,20,-52.0453914973
S205,base_strats,21,-63.7254450287
S205,base_strats,22,-59.1481816416
S205,base_strats,23,-52.9294021476
S205,base_strats,46,-61.1476626471
S205,base_strats,47,-63.7889904229
S205,base_strats,44,-53.1489664038
S205,base_strats,45,-49.5939367976
S205,base_strats,28,-55.3088879783
S205,base_strats,29,-57.1951979159
S205,base_strats,40,-57.7358194958
S205,base_strats,41,-55.7680459484
S205,base_strats,1,-54.8169530272
S205,base_strats,0,-58.8983557657
S205,base_strats,3,-57.0707716102
S205,base_strats,2,-56.5875309147
S205,base_strats,5,-59.2011143824
S205,base_strats,4,-57.2850134625
S205,base_strats,7,-48.1886079204
S205,base_strats,6,-50.7945044017
S205,base_strats,9,-56.2576615764
S205,base_strats,8,-47.3268422893
S205,base_strats,39,-54.3727687551
S205,base_strats,38,-62.4271686699
S205,base_strats,11,-56.4123820957
S205,base_strats,10,-55.2406145764
S205,base_strats,13,-62.5337653159
S205,base_strats,12,-53.4459341751
S205,base_strats,15,-49.5568115
S205,base_strats,14,-55.9534554672
S205,base_strats,17,-51.2541642607
S205,base_strats,16,-55.2602867931
S205,base_strats,19,-62.5050539294
S205,base_strats,18,-53.6998909922
S205,base_strats,31,-62.7622789432
S205,base_strats,30,-61.9300205631
S205,base_strats,37,-61.1647589538
S205,base_strats,36,-51.9797929521
S205,base_strats,35,-55.1857864239
S205,base_strats,34,-58.3160751399
S205,base_strats,33,-79.5795231024
S205,base_strats,32,-68.2193393891
S136,base_strats,42,-61.0668961806
S136,base_strats,48,-64.1086979928
S136,base_strats,43,-56.5150890616
S136,base_strats,49,-61.937462072
S136,base_strats,24,-61.9688004834
S136,base_strats,25,-65.6816815402
S136,base_strats,26,-57.4936057655
S136,base_strats,27,-72.0658428691
S136,base_strats,20,-62.9005357929
S136,base_strats,21,-62.1258533554
S136,base_strats,22,-63.3736788154
S136,base_strats,23,-60.0530057819
S136,base_strats,46,-68.8792928397
S136,base_strats,47,-58.5172383628
S136,base_strats,44,-65.21907923
S136,base_strats,45,-67.2898864315
S136,base_strats,28,-65.0347057661
S136,base_strats,29,-68.7598610483
S136,base_strats,40,-60.3999301469
S136,base_strats,41,-69.1544412463
S136,base_strats,1,-58.1164540723
S136,base_strats,0,-62.5864806456
S136,base_strats,3,-59.6917458022
S136,base_strats,2,-66.1075041144
S136,base_strats,5,-62.8650036646
S136,base_strats,4,-61.752751902
S136,base_strats,7,-61.9280592544
S136,base_strats,6,-63.6527560221
S136,base_strats,9,-63.466880176
S136,base_strats,8,-65.0132518686
S136,base_strats,39,-58.109856799
S136,base_strats,38,-60.9597073843
S136,base_strats,11,-62.7573521922
S136,base_strats,10,-66.2290077126
S136,base_strats,13,-65.6107445409
S136,base_strats,12,-63.663088633
S136,base_strats,15,-59.0500955705
S136,base_strats,14,-59.3352184751
S136,base_strats,17,-70.0151505994
S136,base_strats,16,-64.3227587109
S136,base_strats,19,-58.9338975414
S136,base_strats,18,-57.4647277348
S136,base_strats,31,-63.061781161
S136,base_strats,30,-59.761792413
S136,base_strats,37,-58.0087661526
S136,base_strats,36,-62.5480900146
S136,base_strats,35,-61.8240734877
S136,base_strats,34,-64.8629335523
S136,base_strats,33,-64.6910070188
S136,base_strats,32,-62.6549805383
S134,base_strats,42,-70.8384942122
S134,base_strats,48,-79.1000851002
S134,base_strats,43,-79.100085823
S134,base_strats,49,-66.5834235286
S134,base_strats,24,-73.0645648279
S134,base_strats,25,-69.8334783812
S134,base_strats,26,-66.4135910758
S134,base_strats,27,-64.0617809578
S134,base_strats,20,-71.6024459747
S134,base_strats,21,-77.1203873863
S134,base_strats,22,-70.721887844
S134,base_strats,23,-72.1187532993
S134,base_strats,46,-75.0546709871
S134,base_strats,47,-66.7889474137
S134,base_strats,44,-79.100085199
S134,base_strats,45,-79.1000853603
S134,base_strats,28,-66.3482738
S134,base_strats,29,-78.871511973
S134,base_strats,40,-70.4239553151
S134,base_strats,41,-73.1920765702
S134,base_strats,1,-79.1000851894
S134,base_strats,0,-71.5013034174
S134,base_strats,3,-67.4098678503
S134,base_strats,2,-67.9830641567
S134,base_strats,5,-80.6845526067
S134,base_strats,4,-72.7022366116
S134,base_strats,7,-66.054190661
S134,base_strats,6,-70.3094435376
S134,base_strats,9,-68.4126881921
S134,base_strats,8,-68.5409276334
S134,base_strats,39,-71.7894239094
S134,base_strats,38,-69.8961010116
S134,base_strats,11,-67.0017639695
S134,base_strats,10,-72.7137855199
S134,base_strats,13,-75.6499228336
S134,base_strats,12,-70.9823301353
S134,base_strats,15,-79.1000876512
S134,base_strats,14,-68.1306108036
S134,base_strats,17,-67.1656551662
S134,base_strats,16,-67.7408425459
S134,base_strats,19,-70.9395855869
S134,base_strats,18,-66.8489295178
S134,base_strats,31,-79.1000848186
S134,base_strats,30,-69.2384055145
S134,base_strats,37,-72.825793575
S134,base_strats,36,-67.5066387123
S134,base_strats,35,-74.4639538462
S134,base_strats,34,-79.1363060719
S134,base_strats,33,-72.91610664
S134,base_strats,32,-68.0205133533
S140,base_strats,42,-64.1386491032
S140,base_strats,48,-63.8320758039
S140,base_strats,43,-65.8840158392
S140,base_strats,49,-70.1461521016
S140,base_strats,24,-69.6563686246
S140,base_strats,25,-68.1824026877
S140,base_strats,26,-66.8955851921
S140,base_strats,27,-71.976287389
S140,base_strats,20,-66.0697659865
S140,base_strats,21,-67.1706165751
S140,base_strats,22,-72.0057866633
S140,base_strats,23,-69.3154011525
S140,base_strats,46,-68.1495875189
S140,base_strats,47,-66.8444655744
S140,base_strats,44,-67.1162189722
S140,base_strats,45,-60.8486967032
S140,base_strats,28,-68.1233224326
S140,base_strats,29,-72.3292493054
S140,base_strats,40,-66.9484874066
S140,base_strats,41,-68.2049298982
S140,base_strats,1,-63.5979459383
S140,base_strats,0,-64.3167162991
S140,base_strats,3,-67.3439799303
S140,base_strats,2,-68.9160278653
S140,base_strats,5,-71.1601711938
S140,base_strats,4,-66.5851013938
S140,base_strats,7,-65.6592247478
S140,base_strats,6,-69.0887331653
S140,base_strats,9,-70.0611860286
S140,base_strats,8,-63.2507639774
S140,base_strats,39,-69.2989815428
S140,base_strats,38,-62.1815230572
S140,base_strats,11,-69.8701097377
S140,base_strats,10,-67.631766904
S140,base_strats,13,-73.3965956808
S140,base_strats,12,-66.4732706255
S140,base_strats,15,-66.4033482495
S140,base_strats,14,-66.2662136636
S140,base_strats,17,-69.8627752349
S140,base_strats,16,-71.2639025356
S140,base_strats,19,-67.9365602616
S140,base_strats,18,-63.2368361503
S140,base_strats,31,-70.309376134
S140,base_strats,30,-73.4991010477
S140,base_strats,37,-67.9224719089
S140,base_strats,36,-68.4523481936
S140,base_strats,35,-69.0013522386
S140,base_strats,34,-66.4973778124
S140,base_strats,33,-71.5178592681
S140,base_strats,32,-68.6531957214
S207,base_strats,42,-65.252949213
S207,base_strats,48,-69.7565177954
S207,base_strats,43,-67.4511841446
S207,base_strats,49,-77.242654271
S207,base_strats,24,-70.7685902857
S207,base_strats,25,-64.1904016296
S207,base_strats,26,-67.3030692016
S207,base_strats,27,-63.551032974
S207,base_strats,20,-56.758224646
S207,base_strats,21,-72.9301309584
S207,base_strats,22,-68.431941798
S207,base_strats,23,-59.7252432181
S207,base_strats,46,-66.6405394676
S207,base_strats,47,-65.170003068
S207,base_strats,44,-61.6203982999
S207,base_strats,45,-64.1995821841
S207,base_strats,28,-66.1522099191
S207,base_strats,29,-64.715105859
S207,base_strats,40,-62.5872536431
S207,base_strats,41,-91.4744770068
S207,base_strats,1,-67.1688267647
S207,base_strats,0,-62.4146942129
S207,base_strats,3,-63.1192156543
S207,base_strats,2,-69.9667678041
S207,base_strats,5,-73.1261842714
S207,base_strats,4,-68.2083573805
S207,base_strats,7,-60.1998017781
S207,base_strats,6,-59.8272025752
S207,base_strats,9,-66.5868153025
S207,base_strats,8,-55.0277899484
S207,base_strats,39,-63.4589301401
S207,base_strats,38,-70.6065669618
S207,base_strats,11,-69.82636274
S207,base_strats,10,-73.2226789109
S207,base_strats,13,-65.5321952202
S207,base_strats,12,-70.5612247274
S207,base_strats,15,-58.1468335877
S207,base_strats,14,-63.2083307507
S207,base_strats,17,-56.5456582656
S207,base_strats,16,-57.1791252994
S207,base_strats,19,-76.3000579538
S207,base_strats,18,-63.5872534009
S207,base_strats,31,-85.453544151
S207,base_strats,30,-69.7449434848
S207,base_strats,37,-67.1965288217
S207,base_strats,36,-63.7197325708
S207,base_strats,35,-65.0330613806
S207,base_strats,34,-69.5600507578
S207,base_strats,33,-76.023632073
S207,base_strats,32,-68.8552263357
S129,base_strats,42,-61.606407837
S129,base_strats,48,-60.3851984694
S129,base_strats,43,-60.1181229431
S129,base_strats,49,-61.8086150488
S129,base_strats,24,-62.0847921816
S129,base_strats,25,-59.8843233608
S129,base_strats,26,-60.4777054199
S129,base_strats,27,-60.5424994596
S129,base_strats,20,-62.7609812498
S129,base_strats,21,-64.5052758149
S129,base_strats,22,-61.5029599563
S129,base_strats,23,-66.1833662538
S129,base_strats,46,-70.3258877163
S129,base_strats,47,-64.8939053642
S129,base_strats,44,-63.5648095638
S129,base_strats,45,-61.1721033026
S129,base_strats,28,-61.4880742959
S129,base_strats,29,-64.5260619279
S129,base_strats,40,-65.0294311164
S129,base_strats,41,-65.9509600712
S129,base_strats,1,-62.2764595434
S129,base_strats,0,-62.8028172971
S129,base_strats,3,-63.5356075451
S129,base_strats,2,-59.8450367772
S129,base_strats,5,-68.5506999752
S129,base_strats,4,-64.0547680235
S129,base_strats,7,-61.9608776034
S129,base_strats,6,-65.2746300736
S129,base_strats,9,-61.4463064537
S129,base_strats,8,-62.0309148671
S129,base_strats,39,-63.8015658511
S129,base_strats,38,-59.8799213928
S129,base_strats,11,-62.900366231
S129,base_strats,10,-63.913886697
S129,base_strats,13,-65.2059514032
S129,base_strats,12,-64.23846892
S129,base_strats,15,-65.520033994
S129,base_strats,14,-63.0894976557
S129,base_strats,17,-64.7441528948
S129,base_strats,16,-60.2657123067
S129,base_strats,19,-63.5530807329
S129,base_strats,18,-57.4846696256
S129,base_strats,31,-62.3945924134
S129,base_strats,30,-62.4825624865
S129,base_strats,37,-65.883883626
S129,base_strats,36,-61.4825310367
S129,base_strats,35,-68.10282428
S129,base_strats,34,-68.4690902132
S129,base_strats,33,-65.2481621448
S129,base_strats,32,-63.2180333946
S181,base_strats,42,-59.7627531536
S181,base_strats,48,-62.0014598109
S181,base_strats,43,-59.1149858854
S181,base_strats,49,-60.6061299218
S181,base_strats,24,-64.6314384526
S181,base_strats,25,-70.5947204695
S181,base_strats,26,-55.6407174891
S181,base_strats,27,-75.2876326621
S181,base_strats,20,-67.1028374573
S181,base_strats,21,-64.5618400976
S181,base_strats,22,-59.9230455413
S181,base_strats,23,-54.9347517555
S181,base_strats,46,-72.5084038251
S181,base_strats,47,-56.7495446886
S181,base_strats,44,-63.0935800723
S181,base_strats,45,-66.457056592
S181,base_strats,28,-66.1771872487
S181,base_strats,29,-66.7983120228
S181,base_strats,40,-67.1062244828
S181,base_strats,41,-68.1204788524
S181,base_strats,1,-66.1604697037
S181,base_strats,0,-57.0791494189
S181,base_strats,3,-61.7476558161
S181,base_strats,2,-61.6746967203
S181,base_strats,5,-58.7823370704
S181,base_strats,4,-69.1612743434
S181,base_strats,7,-71.2440831475
S181,base_strats,6,-59.5750374108
S181,base_strats,9,-59.2140122216
S181,base_strats,8,-71.1011799917
S181,base_strats,39,-71.9696471426
S181,base_strats,38,-69.4990313102
S181,base_strats,11,-62.7389107868
S181,base_strats,10,-60.5214975681
S181,base_strats,13,-73.1863540821
S181,base_strats,12,-60.6407578449
S181,base_strats,15,-62.7206090047
S181,base_strats,14,-56.2195303911
S181,base_strats,17,-71.4097987614
S181,base_strats,16,-65.3872056279
S181,base_strats,19,-58.2162505964
S181,base_strats,18,-55.906510541
S181,base_strats,31,-65.0627336739
S181,base_strats,30,-54.0600991339
S181,base_strats,37,-65.6338306898
S181,base_strats,36,-72.3987358348
S181,base_strats,35,-57.4125724957
S181,base_strats,34,-62.2159418149
S181,base_strats,33,-56.7189412884
S181,base_strats,32,-53.3744573234
S168,base_strats,42,-54.7339597351
S168,base_strats,48,-60.7575593447
S168,base_strats,43,-46.2205869677
S168,base_strats,49,-53.0618407341
S168,base_strats,24,-49.6724509534
S168,base_strats,25,-50.906810693
S168,base_strats,26,-47.9788998725
S168,base_strats,27,-54.221175315
S168,base_strats,20,-51.2335997257
S168,base_strats,21,-62.6980832939
S168,base_strats,22,-55.7221679434
S168,base_strats,23,-51.9697976307
S168,base_strats,46,-44.0946813147
S168,base_strats,47,-56.0408756578
S168,base_strats,44,-53.7400906855
S168,base_strats,45,-48.9633855572
S168,base_strats,28,-44.1343509281
S168,base_strats,29,-43.4759635314
S168,base_strats,40,-43.1053337636
S168,base_strats,41,-43.7195494861
S168,base_strats,1,-46.4401327372
S168,base_strats,0,-51.7820146536
S168,base_strats,3,-46.1762124114
S168,base_strats,2,-47.432411875
S168,base_strats,5,-53.6390595192
S168,base_strats,4,-49.4130658746
S168,base_strats,7,-49.2993249987
S168,base_strats,6,-49.2878141828
S168,base_strats,9,-53.6925223675
S168,base_strats,8,-55.9188926872
S168,base_strats,39,-48.3162215431
S168,base_strats,38,-51.7293082932
S168,base_strats,11,-48.044063629
S168,base_strats,10,-66.9039291824
S168,base_strats,13,-49.0403176214
S168,base_strats,12,-45.0706005838
S168,base_strats,15,-54.4647378288
S168,base_strats,14,-48.3501358889
S168,base_strats,17,-56.5467842686
S168,base_strats,16,-46.1526772398
S168,base_strats,19,-49.114239649
S168,base_strats,18,-48.1160096422
S168,base_strats,31,-45.4588907803
S168,base_strats,30,-43.7464831315
S168,base_strats,37,-45.9912519372
S168,base_strats,36,-44.0268187578
S168,base_strats,35,-56.9509827965
S168,base_strats,34,-54.1790797781
S168,base_strats,33,-46.8004405284
S168,base_strats,32,-40.9555009123
S190,base_strats,42,-52.2494329489
S190,base_strats,48,-53.080416708
S190,base_strats,43,-55.9517964919
S190,base_strats,49,-59.9580313379
S190,base_strats,24,-55.7621616355
S190,base_strats,25,-61.431136172
S190,base_strats,26,-52.9050242933
S190,base_strats,27,-55.2358255735
S190,base_strats,20,-61.2003169676
S190,base_strats,21,-54.3327634226
S190,base_strats,22,-49.3674826393
S190,base_strats,23,-50.0614185525
S190,base_strats,46,-56.1292611597
S190,base_strats,47,-57.0594823143
S190,base_strats,44,-57.7253923326
S190,base_strats,45,-59.7446658754
S190,base_strats,28,-59.35508242
S190,base_strats,29,-62.4819505912
S190,base_strats,40,-58.6076054956
S190,base_strats,41,-60.5533418297
S190,base_strats,1,-65.9005474699
S190,base_strats,0,-56.402538286
S190,base_strats,3,-59.9210018957
S190,base_strats,2,-66.4471156666
S190,base_strats,5,-47.6393670237
S190,base_strats,4,-55.5571311084
S190,base_strats,7,-69.2104112493
S190,base_strats,6,-60.3104330909
S190,base_strats,9,-57.8642545024
S190,base_strats,8,-56.9244093518
S190,base_strats,39,-55.661678171
S190,base_strats,38,-47.1355612947
S190,base_strats,11,-51.7171313614
S190,base_strats,10,-53.737514123
S190,base_strats,13,-63.7250144163
S190,base_strats,12,-52.0371013173
S190,base_strats,15,-54.8347330208
S190,base_strats,14,-58.6677068782
S190,base_strats,17,-55.0822100728
S190,base_strats,16,-58.6577844621
S190,base_strats,19,-52.6885567472
S190,base_strats,18,-53.1700082822
S190,base_strats,31,-54.3716082581
S190,base_strats,30,-49.277307264
S190,base_strats,37,-53.9710053522
S190,base_strats,36,-62.0464843984
S190,base_strats,35,-52.9874142255
S190,base_strats,34,-51.3741595454
S190,base_strats,33,-45.1563123435
S190,base_strats,32,-53.1392679758
S175,base_strats,42,-46.1545693557
S175,base_strats,48,-46.9823354092
S175,base_strats,43,-44.070718564
S175,base_strats,49,-45.7160301679
S175,base_strats,24,-44.288539724
S175,base_strats,25,-49.9521440226
S175,base_strats,26,-42.6446725486
S175,base_strats,27,-49.1234580054
S175,base_strats,20,-48.0525064199
S175,base_strats,21,-46.5771842302
