Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CB_Mixed_11,Y,18,3,4,0.5761159663557147,0.1812055016581305,0.2426785319861553,-20.71447461614672
CB_Pure_10,Y,19,3,3,0.5928813382633579,0.1733816614345637,0.2337370003020789,-19.549915193248065
CB_Pure_5,Y,17,6,2,0.5906459553423388,0.1867939589606782,0.2225600856969835,-22.022765415559498
CB_Mixed_12,Y,14,6,5,0.5761159663557147,0.1789701187371114,0.2449139149071744,-25.077709331578536
CD_Pure_15,Y,7,3,15,0.3175638598402945,0.1856762675001687,0.4967598726595373,-23.575514138311867
CB_Pure_9,Y,22,2,1,0.61188209309202,0.165557821210997,0.2225600856969835,-15.90617252466483
CB_Pure_6,Y,13,8,4,0.5627036688296002,0.1834408845791496,0.2538554465912507,-26.52589139642487
CW_Mixed_5,Y,24,1,0,0.867833437548705,0.0862017275148195,0.045964834936476,-5.853196459788929
CB_Pure_11,Y,14,5,6,0.5805867321977529,0.1935001077237355,0.2259131600785122,-24.75003876843074
CW_Mixed_8,Y,25,0,0,0.7616527488002985,0.1309093859352011,0.1074378652645008,-6.806613434969646
Bal_Pure_6,Y,1,22,2,0.0500598840154041,0.892554194486832,0.0573859214977643,-11.211144852791564
CD_Pure_12,Y,9,4,12,0.2784446587224606,0.1722639699740542,0.5492913713034857,-25.731247607162285
Dist_Pure_5,Y,20,4,1,0.5116002454040994,0.2551889335214909,0.2332108210744102,-20.32305138457508
CB_Pure_3,Y,23,2,0,0.5817044236582624,0.1990885650262832,0.2192070113154549,-15.689245943660543
CD_Mixed_14,Y,7,7,11,0.4986298764428402,0.0906724933568577,0.4106976302003027,-31.46362530237154
CB_Mixed_8,Y,17,3,5,0.5839398065792815,0.1711462785135446,0.2449139149071744,-21.4752277949422
CB_Pure_13,Y,19,2,4,0.568292126132148,0.1689108955925256,0.262796978275327,-19.63953589086016
CW_Pure_0,Y,22,1,2,0.6353536137627204,0.1890293418816973,0.1756170443555828,-15.12337049224048
CD_Pure_11,Y,12,4,9,0.3763976336968712,0.1573301074370011,0.4662722588661283,-25.98981635967213
Bal_Pure_3,Y,1,24,0,0.0372393184212737,0.9236898537868632,0.0390708277918637,-5.195484203318858
CW_Mixed_14,Y,22,2,1,0.9315418507977488,0.0359056117918901,0.0325525374103615,-11.638734870149303
CW_Pure_12,Y,23,2,0,0.8644803631671764,0.0917901848173672,0.0437294520154569,-8.125913654657491
CD_Mixed_4,Y,12,2,11,0.5343960031791455,0.0672009726861573,0.3984030241346977,-23.042755533156683
Weight_Mixed_1,Y,24,1,0,0.6543543685913826,0.1577339809874302,0.1879116504211878,-12.025394760087966
CD_Mixed_11,Y,5,4,16,0.3220346256823327,0.1733816614345637,0.5045837128831041,-23.618865275354924
CD_Pure_4,Y,15,7,3,0.5525890109069497,0.0537886751600428,0.3936223139330081,-32.15304789330488
CD_Mixed_6,Y,5,4,16,0.4740406643116303,0.1107909396460294,0.4151683960423408,-26.597889056388368
Weight_Pure_1,Y,23,2,0,0.706885867235331,0.1554985980664111,0.1376155346982584,-11.700616473885107
