Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CB_5_CC_N,Y,11,7,7,0.5868326938357433,0.1629185647395488,0.2502487414247084,-28.261803578189987
Dist_5_BB_N,Y,9,15,1,0.4474974174334473,0.3137972333803729,0.2387053491861804,-26.05440977609109
CD_5_BB_N,Y,11,3,11,0.3935668791549433,0.1443216834613157,0.4621114373837415,-24.556119913831523
CD_6_BB_N,Y,4,7,14,0.3533299865765998,0.1644401297504874,0.4822298836729133,-27.00855328721353
Bal_3_CC_N,Y,9,10,6,0.2670138936332082,0.4838834328890556,0.2491026734777367,-27.48254444215447
CB_4_BC_N,Y,12,4,9,0.6098064117652371,0.1327408953057912,0.2574526929289722,-26.2250632180942
CD_1_BC_N,Y,14,6,5,0.3490187026296545,0.2188218357235241,0.432159461646822,-28.048604434235024
CW_1_BB_N,Y,20,0,5,0.6890028038671784,0.1566162895269206,0.1543809066059015,-16.791860324652497
CW_3_BC_N,Y,11,5,9,0.5343671872943967,0.204320003524219,0.2613128091813849,-26.912065783687808
Dist_2_BC_N,Y,21,4,0,0.7969212924945407,0.1047891499642319,0.0982895575412279,-13.7902067287123
CB_2_BB_N,Y,15,6,4,0.595116721184377,0.1767347358160924,0.2281485429995312,-24.094631299824236
Bal_2_BB_N,Y,1,23,1,0.0335762996800935,0.921858344416273,0.0445653559036339,-8.376098576720894
Dist_3_CC_N,Y,11,9,5,0.4894061177881447,0.2239688038595031,0.2866250783523528,-27.574326772095176
CD_4_BC_N,Y,14,8,3,0.3404999621536487,0.1790922047152079,0.480407833131144,-31.040959319002468
CB_6_BB_N,Y,17,3,5,0.5660567432111289,0.2013239479473023,0.2326193088415694,-21.774316304479072
Bal_2_BC_N,Y,8,10,7,0.2327130183332036,0.4737678961698319,0.293519085496965,-27.714659903752786
CD_7_CC_N,Y,13,3,9,0.3503242524717191,0.1834971981537874,0.466178549374494,-25.590996257896933
Bal_5_CB_N,Y,2,20,3,0.1740107892835442,0.6912760221034805,0.1347131886129759,-16.89541945383762
Dist_2_CC_N,Y,21,4,0,0.8019180178651043,0.1041692612449289,0.0939127208899673,-13.682679630864577
Bal_3_CB_N,Y,12,9,4,0.1716814771717476,0.6675321726892682,0.1607863501389847,-32.09359722295061
Bal_5_BB_N,Y,0,25,0,0.1288147869507767,0.7551909916925775,0.1159942213566463,-7.019614814879143
Bal_4_BB_N,Y,0,23,2,0.0518913933859941,0.9017117413397824,0.046396865274224,-8.520635667702459
Weight_2_CC_N,Y,9,12,4,0.4519868812339837,0.3382362027461674,0.2097769160198495,-26.401891215264925
Bal_3_BB_N,Y,1,22,2,0.0354078090506836,0.9310158912692236,0.0335762996800935,-11.70122906564987
Dist_1_BC_N,Y,13,10,2,0.5531708446118264,0.2158631760636037,0.2309659793245704,-25.959223860126567
CB_7_CC_N,Y,13,5,7,0.6030344905987213,0.1543809066059015,0.2425846027953777,-25.831646330341663
CD_1_CB_N,Y,10,10,5,0.3918572360633065,0.1777490392570036,0.4303937246796905,-30.85767739802668
CW_3_BB_N,Y,17,2,6,0.6487659112888349,0.1778524272766019,0.1733816614345637,-21.32277855783065
Weight_5_BB_N,Y,18,6,1,0.61188209309202,0.1856762675001687,0.2024416394078118,-20.541689469248563
Weight_2_CB_N,Y,9,13,3,0.4737113628960508,0.3771957022697652,0.1490929348341846,-25.108854654246027
CD_3_BC_N,Y,16,3,6,0.4926560238492184,0.1558648560007004,0.3514791201500818,-23.17703279596621
CD_7_CB_N,Y,13,5,7,0.3296235330793841,0.1610212829655002,0.5093551839551164,-28.28081464053597
CD_2_BB_N,Y,9,0,16,0.3186815513008041,0.1543809066059015,0.5269375420932949,-20.542838573942213
CW_7_BC_N,Y,18,1,6,0.6408199850871718,0.1465570663823347,0.2126229485304941,-19.219870182425232
CB_6_CC_N,Y,17,1,7,0.5981316944189351,0.1573301074370011,0.2445381981440643,-20.445148870787374
CB_1_BC_N,Y,10,4,11,0.5792248687810505,0.1535731595050435,0.2672019717139066,-27.47221292934297
Dist_4_CB_N,Y,12,4,9,0.50166310823761,0.2143792266688048,0.2839576650935857,-25.768323851084865
CD_2_BC_N,Y,13,4,8,0.3490000046711563,0.1644682865378063,0.4865317087910379,-26.6686591384774
CB_1_BB_N,Y,18,0,7,0.5671744346716384,0.1789701187371114,0.2538554465912507,-19.80452277071747
CB_5_BC_N,Y,13,7,5,0.5863630478818557,0.1633224382899779,0.250314513828167,-26.54899755714691
