WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S179,Centered_D_0_0_1.0,Y,0,1,0,0.2814785058273025,0.5233619903381764,0.1951595038345217,-0.6474819121991104
S179,BalAdjust_Adj_CW_0.5_4,Y,1,0,0,0.9260361378504954,0.0588348872633341,0.015128974886171,-0.0768420193409681
S179,Uncentered_CW_4_0_0.5,Y,1,0,0,0.8752510884883696,0.0487489074839888,0.0760000040276422,-0.1332444755167504
S179,Centered_CD_1_0_2.0,Y,0,0,1,0.779231788947256,0.1546516951671147,0.0661165158856299,-2.716336701222431
S179,BalAdjust_Adj_CD_0.5_3,Y,0,0,1,0.4031289688134052,0.0806878434519156,0.5161831877346799,-0.6612935615137953
S179,Centered_W_1_0_0.25,Y,1,0,0,0.9109071681814774,0.0554728940035523,0.0336199378149708,-0.0933142879226966
S179,Uncentered_CD_2_0_1.0,Y,1,0,0,0.0344604361299162,0.0890928266013701,0.8764467372687142,-3.36794339184183
S179,BalAdjust_Adj_CD_0.25_2,Y,0,0,1,0.1620747518955171,0.0479084091690433,0.7900168389354402,-0.2357010186400814
S179,Centered_D_0_0_0.25,Y,0,1,0,0.4084355138716374,0.3262884716879705,0.2652760144403928,-1.1199734064146862
S179,BalAdjust_Adj_CW_0.25_1,Y,1,0,0,0.8907352086227868,0.052951399058716,0.0563133923184978,-0.1157080801655982
S179,BalAdjust_Raw_CD_0.25_4,Y,1,0,0,0.1596946850567873,0.0353009344448617,0.8050043804983515,-1.834491505111561
S179,Centered_D_1_0_2.0,Y,0,1,0,0.3679999994574164,0.6279999953880371,0.0040000051545472,-0.4652151198578284
S179,Uncentered_W_1_0_0.25,Y,1,0,0,0.7277476693762912,0.0575894056737225,0.2146629249499868,-0.3178008988674875
S179,BalAdjust_Raw_CW_0.5_2,Y,1,0,0,0.9050236799768592,0.0722828603024612,0.02269345972068,-0.0997941699042409
S179,Uncentered_D_2_0_1.0,Y,1,0,0,0.5016809940213146,0.3475644847301661,0.1507545212485198,-0.6897908313641595
S179,BalAdjust_Raw_CD_0.25_0,Y,0,0,1,0.1290622942096985,0.0588348872633341,0.812102818526968,-0.2081283230348913
S179,Uncentered_CW_1_0_1.0,Y,1,0,0,0.9336006226850044,0.0588348872633341,0.007564490051662,-0.0687065310380719
S179,Centered_CD_2_0_1.0,Y,0,0,1,0.1086573112480616,0.0823688400818065,0.8089738486701324,-0.2119886879465799
S179,BalAdjust_Adj_CD_0.25_3,Y,1,0,0,0.1390373776485504,0.0554728940035523,0.8054897283478978,-1.973012478053225
S179,BalAdjust_Adj_CD_0.25_5,Y,0,0,1,0.0890928266013701,0.0504299041138797,0.8604772692847508,-0.1502680793857183
S179,Centered_CD_0_0_1.0,Y,0,0,1,0.1552704008010734,0.1775588720299343,0.667170727168993,-0.4047093030472914
S179,Centered_CD_4_0_1.0,Y,0,1,0,0.8277059053235727,0.0016810018470439,0.170613092829384,-6.388365325779363
S179,BalAdjust_Adj_CW_0.25_5,Y,1,0,0,0.8730847440089324,0.0638778771530068,0.0630373788380613,-0.1357226556785532
S179,BalAdjust_Raw_CW_0.5_5,Y,1,0,0,0.9714230468575494,0.0235339580356255,0.0050429951068257,-0.0289932239478286
S179,BalAdjust_Raw_CW_0.25_4,Y,1,0,0,0.9319196260551136,0.0369819310747526,0.0310984428701345,-0.070508706153558
S179,BalAdjust_Raw_CW_0.25_1,Y,1,0,0,0.9092261715515866,0.0470679108540979,0.0437059175943161,-0.0951614021655214
S179,Uncentered_W_0_0_0.5,Y,1,0,0,0.8882137136779504,0.0798473451369702,0.0319389411850799,-0.1185428963897477
S179,BalAdjust_Raw_CD_0.5_0,Y,0,0,1,0.5546323878628776,0.0420249209644252,0.4033426911726978,-0.9079687280739824
S179,Uncentered_CD_4_0_0.25,Y,1,0,0,0.1849096345051507,0.0184909681459528,0.7965993973488971,-1.6878880353746235
S179,Uncentered_CW_4_0_2.0,Y,0,1,0,0.3513009294990009,0.3224298998566829,0.3262691706443169,-1.131869531158938
S179,Centered_D_2_0_1.0,Y,0,1,0,0.4599999980174822,0.479999997704453,0.0600000042780655,-0.7339691798625899
S179,BalAdjust_Raw_CD_0.5_5,Y,0,0,1,0.415239864966081,0.0470679108540979,0.5376922241798218,-0.6204689565323274
S179,Centered_W_0_0_0.5,Y,1,0,0,0.8823302254733324,0.0764853518771884,0.0411844226494798,-0.125188887748957
S179,Centered_D_4_0_1.0,Y,1,0,0,0.999159491250749,0.0008405035320985,5.217153081687109e-09,-0.0008408621747818
S179,Uncentered_CD_4_0_1.0,Y,0,0,1,0.1689401665211872,0.0336199378149708,0.7974398956638425,-0.2263488131020479
S179,Centered_D_3_0_2.0,Y,1,0,0,0.9125881648113684,0.0874118299714792,5.217153081687109e-09,-0.0914705792214401
S179,Uncentered_D_3_0_2.0,Y,0,0,1,0.5395950134906993,0.3892149489683855,0.0711900375409158,-2.6424023925323765
S179,BalAdjust_Raw_CW_0.5_3,Y,1,0,0,0.8779750750705391,0.0462274125391524,0.0757975123903091,-0.1301370740523231
S179,Centered_CW_4_0_2.0,Y,1,0,0,0.9983189929358036,0.0016810018470439,5.217153081687109e-09,-0.0016824215419583
S179,Uncentered_D_1_0_0.5,Y,1,0,0,0.6759999946367671,0.2600000011477739,0.0640000042154597,-0.3915622108729495
S179,Uncentered_W_2_0_2.0,Y,1,0,0,0.6798087336587878,0.1727682065868616,0.1474230597543512,-0.3859437944081386
S179,Uncentered_D_4_0_0.25,Y,1,0,0,0.7178529505123195,0.0995644886117278,0.1825825608759533,-0.3314905352095683
S179,BalAdjust_Adj_CW_0.5_1,Y,1,0,0,0.9067046766067502,0.0739638569323521,0.0193314664608982,-0.0979384865109033
S179,Centered_W_3_0_0.25,Y,1,0,0,0.9672205552828222,0.0252149546655163,0.007564490051662,-0.0333287275471442
S179,BalAdjust_Raw_CW_0.5_4,Y,1,0,0,0.9588155721333678,0.0386629277046434,0.0025215001619894,-0.0420565352799454
S179,Uncentered_CD_2_0_0.25,Y,0,0,1,0.0411844226494798,0.0487489074839888,0.910066669866532,-0.0942374185652914
S179,BalAdjust_Adj_CW_0.25_4,Y,1,0,0,0.9142691614412592,0.0479084091690433,0.037822429389698,-0.0896302635272014
S179,BalAdjust_Adj_CW_0.5_5,Y,1,0,0,0.9125881648113684,0.068080368727734,0.0193314664608982,-0.0914705792214401
S179,Uncentered_CD_3_0_2.0,Y,1,0,0,0.4180056140358232,0.5377918897983556,0.0442024961658219,-0.8722604158398609
S179,BalAdjust_Raw_CD_0.25_5,Y,1,0,0,0.1277557490888605,0.0495894057989342,0.8226548451122059,-2.057635048258384
S179,Uncentered_D_1_0_2.0,Y,1,0,0,0.7930236817298227,0.1964548182334002,0.0105215000367777,-0.2319021943255734
S179,Centered_D_3_0_0.5,Y,1,0,0,0.7999999926959862,0.168000002587708,0.0320000047163063,-0.223143560444227
S179,Uncentered_CD_1_0_0.5,Y,0,0,1,0.0456199376271533,0.0773258501921339,0.8770542121807134,-0.1311864730350322
S179,Centered_W_2_0_0.5,Y,1,0,0,0.946208097409186,0.0437059175943161,0.0100859849964984,-0.0552927580018107
S179,Centered_CD_3_0_2.0,Y,1,0,0,0.9386436125746772,0.0613563822081704,5.217153081687109e-09,-0.0633194111412453
S179,BalAdjust_Adj_CD_0.25_0,Y,0,0,1,0.0983688398313832,0.052951399058716,0.8486797611099014,-0.1640733592215643
S179,Uncentered_CW_2_0_0.5,Y,1,0,0,0.8478697945605692,0.0890928266013701,0.0630373788380613,-0.1650281991296159
S179,Uncentered_CW_0_0_0.5,Y,1,0,0,0.9638585620230404,0.0336199378149708,0.0025215001619894,-0.0368107150291194
S179,Centered_CD_2_0_0.25,Y,0,0,1,0.1395227254980967,0.0462274125391524,0.8142498619627514,-0.205488004352672
S179,Uncentered_CW_2_0_2.0,Y,1,0,0,0.2581775764117764,0.1554921934820601,0.5863302301061641,-1.3541076501512266
S179,BalAdjust_Raw_CW_0.25_3,Y,1,0,0,0.9319196260551136,0.0411844226494798,0.0268959512954072,-0.070508706153558
S179,Centered_CW_2_0_2.0,Y,1,0,0,0.3521719595795595,0.1151482743646788,0.5326797660557623,-1.0436357011389965
S179,Uncentered_D_4_0_1.0,Y,0,0,1,0.7328404920752308,0.2033619953466431,0.0637975125781266,-2.752041077195094
S179,BalAdjust_Adj_CD_0.5_4,Y,0,0,1,0.1364548191724877,0.0739638569323521,0.7895813238951609,-0.2362524437576372
S179,Centered_CD_4_0_0.25,Y,0,0,1,0.2282410953732609,0.0008405035320985,0.7709184010946413,-0.2601727461758502
S179,Centered_CW_1_0_0.25,Y,1,0,0,0.8991401917722412,0.0470679108540979,0.0537918973736614,-0.1063163147635851
S179,BalAdjust_Adj_CW_0.5_0,Y,1,0,0,0.8999806900871866,0.0672398704127885,0.0327794395000253,-0.1053819713466794
S179,Centered_CW_4_0_0.5,Y,1,0,0,0.9999999895656944,5.217153081687109e-09,5.217153081687109e-09,-1.0434305585152817e-08
S179,BalAdjust_Adj_CD_0.5_5,Y,1,0,0,0.3706629225083592,0.0714423619875158,0.5578947155041256,-0.9924621940372488
S179,BalAdjust_Adj_CW_0.5_2,Y,1,0,0,0.8739252423238779,0.0840498367116974,0.0420249209644252,-0.1347604420834746
S179,BalAdjust_Adj_CW_0.25_2,Y,1,0,0,0.9151096597562046,0.0462274125391524,0.0386629277046434,-0.0887113741595686
S179,BalAdjust_Raw_CD_0.5_3,Y,0,1,0,0.4287489015364346,0.0613563822081704,0.5098947162553956,-2.7910560837628755
S179,BalAdjust_Raw_CD_0.5_1,Y,0,0,1,0.4074423567286257,0.0546323956886069,0.537925247582768,-0.6200356734875475
S179,Centered_D_1_0_0.5,Y,0,1,0,0.7159999940107087,0.2440000013981972,0.0400000045910947,-1.410587047958619
S179,Uncentered_D_3_0_0.5,Y,1,0,0,0.8199999923829572,0.1520000028381313,0.0280000047789122,-0.1984509480129149
S179,Uncentered_CD_0_0_0.25,Y,0,0,1,0.0168099715160619,0.0285769479252981,0.9546130805586404,-0.0464491718448453
S179,Uncentered_CD_1_0_2.0,Y,0,0,1,0.066319007522963,0.5837059091425285,0.3499750833345091,-1.0498933175056706
S179,BalAdjust_Adj_CD_0.5_1,Y,0,1,0,0.4113009285599133,0.0630373788380613,0.525661692602026,-2.7640274136424314
S179,Centered_CW_3_0_1.0,Y,1,0,0,0.99159500641624,0.007564490051662,0.0008405035320985,-0.0084405147189772
S179,Uncentered_CD_3_0_0.5,Y,0,0,1,0.1029763146807765,0.0720803686651282,0.8249433166540959,-0.1924406020938403
S179,Centered_W_0_0_2.0,Y,1,0,0,0.15515950446058,0.7856809895763005,0.0591595059631201,-1.863301630147231
S179,BalAdjust_Adj_CD_0.25_1,Y,0,1,0,0.1845464137180573,0.068080368727734,0.7473732175542093,-2.6870663786368847
S179,Centered_CW_3_0_0.25,Y,1,0,0,0.9949569996760218,0.0042024967918802,0.0008405035320985,-0.0050557591634083
S179,Uncentered_W_4_0_0.5,Y,1,0,0,0.997478494620858,0.0025215001619894,5.217153081687109e-09,-0.0025246897278582
S179,Uncentered_W_0_0_2.0,Y,1,0,0,0.3495090365286166,0.4942274055272991,0.156263557944085,-1.051225862052775
S179,BalAdjust_Adj_CD_0.5_2,Y,1,0,0,0.4919999975166355,0.0731233586174067,0.4348766438659585,-0.7092765675373177
S179,Centered_W_3_0_1.0,Y,1,0,0,0.9495700906689678,0.0445464159092616,0.0058834934217711,-0.0517459329508591
S179,BalAdjust_Raw_CD_0.25_1,Y,1,0,0,0.2231788044399345,0.052951399058716,0.7238697965013501,-1.499782015170848
S179,BalAdjust_Raw_CD_0.25_3,Y,1,0,0,0.1469763139921123,0.0462274125391524,0.8067962734687358,-1.91748383449148
S179,BalAdjust_Raw_CW_0.25_2,Y,1,0,0,0.9411651075195134,0.0361414327598071,0.02269345972068,-0.0606366951498342
