WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S179,Centered_W_1_0_0.25,Y,1,0,0,0.9100763386934452,0.0511657426612393,0.0387579186453162,-0.0942267943155836
S179,BalAdjust_Raw_CD_0.5_0,Y,0,0,1,0.5596071381290249,0.0548151026659225,0.3855777592050533,-0.9530123963193414
S179,BalAdjust_Adj_CW_0.25_2,Y,1,0,0,0.8969386426765855,0.0555449746668592,0.047516382656556,-0.1087678220760911
S179,BalAdjust_Adj_CW_0.25_3,Y,1,0,0,0.8648242746353729,0.0657631826799723,0.0694125426846555,-0.1452289433987099
S179,BalAdjust_Raw_CD_0.25_2,Y,0,0,1,0.182987599505567,0.0351085586406329,0.7819038418538008,-0.2460235103788942
S179,BalAdjust_Raw_CD_0.25_1,Y,1,0,0,0.2331219045380601,0.0518956146621759,0.7149824807997647,-1.456193766793134
S179,Uncentered_W_2_0_0.5,Y,1,0,0,0.8794217146541059,0.0825502387015153,0.0380280466443795,-0.1284907299611324
S179,Centered_D_4_0_0.25,Y,1,0,0,0.9662764827655674,0.0168617586172166,0.0168617586172166,-0.034305271678014
S179,Centered_W_0_0_2.0,Y,1,0,0,0.1156008899286451,0.8257631035916115,0.058636006479744,-2.157611624428811
S179,Centered_D_1_0_0.5,Y,0,1,0,0.6966427011074358,0.2485189513094142,0.0548383475831506,-1.3922361735387698
S179,Centered_D_0_0_1.0,Y,0,1,0,0.275102563585568,0.5727797015217269,0.1521177348927058,-0.5572541012511047
S179,BalAdjust_Adj_CD_0.5_0,Y,0,1,0,0.5179928116170217,0.0664930546809089,0.4155141337020701,-2.710657777663245
S179,Uncentered_CD_4_0_0.25,Y,1,0,0,0.1854621908335831,0.0285397106322031,0.7859980985342145,-1.6849042407089294
S179,BalAdjust_Adj_CW_0.25_4,Y,1,0,0,0.8786918426531692,0.0679527986827822,0.0533553586640492,-0.1293210199498912
S179,BalAdjust_Adj_CW_0.5_2,Y,1,0,0,0.8677437626391195,0.0876593427080718,0.0445968946528094,-0.1418588122359747
S179,Uncentered_W_1_0_0.25,Y,1,0,0,0.7872514313511073,0.0742366713660059,0.1385118972828875,-0.2392076008367526
S179,Uncentered_W_1_0_1.0,Y,1,0,0,0.2926311140666617,0.4845553760072317,0.2228135099261072,-1.2288424595263312
