WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S154,Bal_Mixed_0,Y,0,1,0,0.0120000269954622,0.9799999456730332,0.0080000273315053,-0.0202027627532015
S154,Weight_Mixed_3,Y,1,0,0,0.8607582586625028,0.0691126893354266,0.0701290520020712,-0.1499415820810953
S154,Weight_Mixed_5,Y,1,0,0,0.9999999439928174,2.8003591580060586e-08,2.8003591580060586e-08,-5.60071841267842e-08
S154,Dist_Pure_1,Y,1,0,0,0.9719999463451192,0.020000026323376,0.0080000273315053,-0.0283995297221941
S154,CW_Pure_1,Y,1,0,0,0.9867872293264373,0.0121963800033271,0.0010163906702362,-0.0133008359120584
S154,CD_Mixed_4,Y,0,0,1,0.2388452546650802,0.0142291053366164,0.7469256399983039,-0.2917896436525584
S154,CB_Pure_15,Y,1,0,0,0.8292510159965191,0.0802926786685175,0.0904563053349638,-0.1872323759564263
S154,Weight_Pure_1,Y,1,0,0,0.8831182373286847,0.076227228001939,0.0406545346693768,-0.1242961832330364
S154,CB_Pure_5,Y,1,0,0,0.8383982799963208,0.0884235800016746,0.0731781400020051,-0.1762620169485697
S154,CB_Mixed_0,Y,1,0,0,0.831545545340295,0.0833417666684514,0.0851126879912542,-0.1844692069360824
S154,CW_Pure_14,Y,1,0,0,0.862790983995792,0.0772435906685836,0.0599654253356249,-0.1475828142252669
S154,Bal_Mixed_6,Y,0,1,0,0.0120000269954622,0.9719999463451192,0.0160000266594191,-0.0283995297221941
S154,CB_Pure_8,Y,0,0,1,0.843480093329544,0.076227228001939,0.0802926786685175,-2.522076836924352
S154,CD_Mixed_3,Y,1,0,0,0.2266489026653446,0.0203272813364842,0.7530238159981717,-1.4843531431452974
S154,Weight_Pure_2,Y,1,0,0,0.8892164133285524,0.0589490626689802,0.0518345240024678,-0.1174146385283177
S154,CB_Pure_13,Y,1,0,0,0.8333164666630977,0.0711454146687158,0.095538118668187,-0.182341797003069
S154,Bal_Mixed_1,Y,0,1,0,0.0280000256512898,0.9559999476892916,0.0160000266594191,-0.0449974206490514
S154,CW_Mixed_6,Y,1,0,0,0.9634108879936106,0.0274418200029966,0.0091472920033932,-0.0372752832164868
S154,Weight_Mixed_2,Y,1,0,0,0.9349527333275608,0.0457363480026,0.0193109186698395,-0.0672593035621192
S154,CD_Pure_11,Y,1,0,0,0.1554380649975987,0.0680963266687819,0.7764656083336199,-1.8615079225390805
S154,CW_Pure_7,Y,1,0,0,0.9380018213274948,0.0457363480026,0.0162618306699057,-0.0640033882640503
S154,CD_Pure_3,Y,0,0,1,0.1208162833290596,0.0853744920017407,0.7938092246692003,-0.2309121178022306
S154,CD_Pure_1,Y,1,0,0,0.2388452546650802,0.0142291053366164,0.7469256399983039,-1.4319394067704456
S154,CD_Mixed_5,Y,1,0,0,0.1513726143310202,0.0579327000023356,0.7906946856666448,-1.888010837226331
S154,Weight_Mixed_1,Y,1,0,0,0.8648237093290813,0.0619981506689141,0.0731781400020051,-0.1452295970650015
S154,Dist_Mixed_0,Y,1,0,0,0.5719999799494287,0.3759999964155405,0.0520000236350313,-0.558616322655786
S154,CW_Pure_4,Y,1,0,0,0.8973473146617095,0.0752108653352944,0.0274418200029966,-0.1083122960318513
S154,CW_Pure_8,Y,1,0,0,0.9573127119937428,0.0335399960028644,0.0091472920033932,-0.0436251781106377
S154,CD_Pure_8,Y,0,0,1,0.2235998146654108,0.0274418200029966,0.7489583653315931,-0.2890718840171513
S154,CB_Pure_6,Y,1,0,0,0.824169202663296,0.0813090413351622,0.0945217560015424,-0.1933794271146807
S154,CW_Pure_11,Y,1,0,0,0.9380018213274948,0.0447199853359554,0.0172781933365503,-0.0640033882640503
S154,Dist_Mixed_6,Y,0,1,0,0.5079999853261182,0.4599999893586355,0.0320000253152467,-0.7765288126323977
S154,Dist_Pure_7,Y,0,0,1,0.7599999641554033,0.1400000162420832,0.1000000196025141,-2.302584896968923
S154,Bal_Pure_1,Y,0,1,0,0.0040000276675484,0.98399994533699,0.0120000269954622,-0.0161294374817246
S154,Bal_Pure_4,Y,0,1,0,0.0040000276675484,0.98399994533699,0.0120000269954622,-0.0161294374817246
S154,CD_Mixed_11,Y,0,0,1,0.1128162840011458,0.0772435906685836,0.809940125330271,-0.2107949533931664
S154,CW_Mixed_12,Y,1,0,0,0.9796726906599248,0.0162618306699057,0.0040654786701701,-0.0205367522268339
