WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S129,Dist_1_CC_N,Y,1,0,0,0.5639999970903362,0.299999995628772,0.1360000072808926,-0.5727010326430565
S129,CW_5_BC_N,Y,0,0,1,0.4680000204920248,0.2599999890274278,0.2719999904805482,-1.301953247684125
S129,Bal_5_CB_N,Y,0,1,0,0.2080000026292262,0.6599999966631178,0.1320000007076568,-0.4155154490175479
S129,CD_1_BB_N,Y,1,0,0,0.4159999800473234,0.3159999852002259,0.2680000347524515,-0.8770700666840396
S129,CW_2_BC_N,Y,0,0,1,0.4960000222505728,0.2759999872613868,0.2279999904880412,-1.4784096917468144
S129,CB_1_CB_N,Y,0,0,1,0.388000027627392,0.2559999884802826,0.3559999838923262,-1.0328245933763822
S129,Dist_2_BB_N,Y,1,0,0,0.92799999735362,0.0600000012163858,0.012000001429995,-0.0747235490476391
S129,Dist_5_CB_N,Y,1,0,0,0.4320000033272213,0.3199999927150382,0.2480000039577412,-0.8393296830361255
S129,CB_2_CB_N,Y,0,0,1,0.332000030889648,0.3319999845640768,0.335999984546276,-1.09064416501216
S129,Bal_3_CB_N,Y,0,1,0,0.1880000019649687,0.6439999971109515,0.1680000009240805,-0.4400565573638836
S129,CW_6_CC_N,Y,1,0,0,0.404000026991243,0.3359999841696454,0.2599999888391125,-0.9063403342109818
S129,CB_1_BB_N,Y,0,0,1,0.32800003166071,0.3239999847879937,0.3479999835512971,-1.0555528464740516
S129,CD_4_BC_N,Y,1,0,0,0.4879999806684864,0.263999989009627,0.2480000303218874,-0.7174399127427481
S129,Bal_3_BC_N,Y,0,1,0,0.1360000016314327,0.7159999960372765,0.1480000023312916,-0.3340751175560215
S129,CB_5_BC_N,Y,0,1,0,0.3560000298412668,0.2719999874675029,0.3719999826912312,-1.3019532587614977
S129,CB_5_CC_N,Y,0,1,0,0.3080000296782453,0.3359999843579607,0.3559999859637948,-1.0906441655726222
S129,CB_5_BB_N,Y,0,0,1,0.3360000312484779,0.2919999864369224,0.3719999823146005,-0.988861472250388
S129,CD_6_BC_N,Y,0,1,0,0.531999979342786,0.2879999883378765,0.1800000323193384,-1.2447948393396764
S129,Weight_3_CB_N,Y,0,1,0,0.3440000112514514,0.4759999923974391,0.1799999963511103,-0.7423374407224838
S129,CW_7_BB_N,Y,0,0,1,0.4040000277445043,0.3319999843757615,0.2639999878797351,-1.331806221745916
S129,Weight_4_BC_N,Y,0,1,0,0.444000004968657,0.4839999938683602,0.0720000011629835,-0.7256703849341827
S129,CW_7_CC_N,Y,0,0,1,0.4280000242480238,0.2639999878797351,0.307999987872242,-1.177655535384401
S129,CW_3_BB_N,Y,0,0,1,0.4440000256833433,0.3239999847879937,0.2319999895286638,-1.4610179524508975
S129,CB_1_CC_N,Y,0,0,1,0.3720000246855497,0.2479999892691454,0.3799999860453056,-0.9675840629845862
S129,CW_1_CC_N,Y,0,0,1,0.4960000220622574,0.2519999884980833,0.25199998943966,-1.3783262333768256
S129,CD_5_BB_N,Y,1,0,0,0.6519999678864739,0.2439999889103155,0.1040000432032114,-0.4277107663093598
S129,CW_7_BC_N,Y,0,0,1,0.4320000255484303,0.2359999893225477,0.3319999851290228,-1.1026203548577491
S129,CD_1_CB_N,Y,1,0,0,0.4799999906848004,0.2839999913687225,0.2360000179464779,-0.7339691944868664
S129,Bal_2_BB_N,Y,0,1,0,0.0040000014655966,0.9879999970866084,0.0080000014477958,-0.0120725841830462
S129,CW_6_CB_N,Y,0,1,0,0.4720000240522153,0.2959999864191216,0.2319999895286638,-1.2173958705394237
S129,CB_2_CC_N,Y,0,1,0,0.376000028057425,0.2719999876558182,0.3519999842867576,-1.301953258069162
S129,Bal_5_BC_N,Y,0,1,0,0.1080000004378307,0.6479999969048355,0.2440000026573346,-0.4338645874063508
S129,CB_7_CC_N,Y,0,1,0,0.3800000284162548,0.2439999889103155,0.3759999826734304,-1.4105870991384626
S129,CD_4_CC_N,Y,1,0,0,0.5399999815669683,0.263999989009627,0.1960000294234053,-0.6161861735590615
S129,Weight_4_BB_N,Y,1,0,0,0.6440000153775385,0.2559999882919673,0.0999999963304949,-0.4400565289996184
S129,CW_4_BC_N,Y,1,0,0,0.4280000261311771,0.3039999858185741,0.2679999880502496,-0.8486320223461901
S129,CD_3_CC_N,Y,1,0,0,0.639999989031193,0.207999993966721,0.1520000170020866,-0.4462871197671805
S129,Weight_5_BB_N,Y,0,1,0,0.4680000244466467,0.2639999878797351,0.267999987673619,-1.331806221745916
S129,CB_3_BB_N,Y,0,1,0,0.3520000304240135,0.351999983345181,0.2959999862308063,-1.0441241506988677
S129,CD_7_CB_N,Y,1,0,0,0.4079999866739615,0.2639999897628884,0.3280000235631509,-0.8964881372398349
S129,CB_4_BC_N,Y,0,0,1,0.2680000326809829,0.3399999839635292,0.3919999833554886,-0.9364934816521636
S129,CB_3_CB_N,Y,0,0,1,0.3680000273397652,0.3159999861418025,0.3159999865184332,-1.152013108058412
S129,Bal_3_BB_N,Y,0,1,0,0.0040000014655966,0.9839999971044092,0.012000001429995,-0.0161293848725573
S129,CW_3_BC_N,Y,0,0,1,0.4480000119185235,0.319999991961777,0.2319999961197004,-1.4610179240412566
S129,Dist_5_CC_N,Y,1,0,0,0.488000001571488,0.2519999945241739,0.2600000039043389,-0.7174398699087275
S129,Dist_4_CB_N,Y,1,0,0,0.5199999997342438,0.2639999939058257,0.2160000063599312,-0.6539264679177336
S129,CB_7_CB_N,Y,0,0,1,0.3640000298056652,0.307999985612458,0.3279999845818775,-1.1147417176044652
S129,Dist_1_BB_N,Y,1,0,0,0.4999999992583017,0.4039999996855201,0.096000001056179,-0.6931471820433419
S129,Bal_5_CC_N,Y,0,1,0,0.2160000018403633,0.5839999964363863,0.200000001723251,-0.5378543022559882
S129,CB_2_BC_N,Y,0,0,1,0.3120000324851744,0.2999999860246902,0.3879999814901361,-0.9467499870646994
S129,CD_1_BC_N,Y,1,0,0,0.4319999905217789,0.3079999905086566,0.2600000189695653,-0.8393297126783537
S129,CD_2_BC_N,Y,1,0,0,0.4119999860912148,0.3119999865362339,0.2760000273725521,-0.8867319633917986
S129,CD_5_CC_N,Y,1,0,0,0.6279999855066041,0.2479999913406141,0.1240000231527826,-0.4652151355925946
S129,CB_1_BC_N,Y,0,0,1,0.3880000280040226,0.2319999895286638,0.3799999824673143,-0.9675840724003532
S129,Dist_5_BC_N,Y,1,0,0,0.4439999978126745,0.2679999953945475,0.2880000067927788,-0.8119307214763211
S129,Weight_2_CC_N,Y,0,1,0,0.3680000079432862,0.4839999925501529,0.1479999995065617,-0.7256703876577515
S129,CW_3_CB_N,Y,0,1,0,0.4520000075694701,0.291999994722797,0.2559999977077338,-1.2310014947864685
S129,Bal_1_BB_N,Y,0,1,0,0.0040000014655966,0.9759999971400108,0.0200000013943935,-0.0242926954993614
S129,Dist_1_CB_N,Y,1,0,0,0.5879999986783695,0.2919999960410042,0.120000005280627,-0.531028333331181
S129,Weight_1_BC_N,Y,0,1,0,0.2360000132385946,0.5919999922578475,0.1719999945035585,-0.5242486571760918
S129,Dist_4_CC_N,Y,1,0,0,0.4959999987111566,0.2439999926766221,0.2600000086122221,-0.7011793548556842
S129,CW_5_CB_N,Y,0,0,1,0.5640000194998604,0.2639999878797351,0.1719999926204052,-1.7602608450733055
S129,Dist_5_BB_N,Y,0,1,0,0.3879999997567231,0.4319999995609147,0.1800000006823629,-0.8393296917544278
S129,CW_1_BC_N,Y,0,0,1,0.4600000244822483,0.2599999880858512,0.2799999874319013,-1.272965720698955
S129,CW_4_BB_N,Y,1,0,0,0.4880000234160663,0.2919999864369224,0.2199999901470121,-0.7174398251452486
S129,Dist_2_BC_N,Y,1,0,0,0.9119999917753632,0.0560000001042946,0.0320000081203431,-0.0921152979260479
S129,Weight_2_BB_N,Y,0,1,0,0.4880000234160663,0.3119999854063419,0.1999999911775926,-1.1647521379472008
S129,Weight_4_CC_N,Y,0,1,0,0.5080000016707994,0.3559999970743993,0.136000001254802,-1.032824556348086
S129,Bal_1_CC_N,Y,0,1,0,0.200000001723251,0.6319999945279392,0.1680000037488105,-0.4588658934936037
S129,Weight_1_CC_N,Y,0,1,0,0.3040000089813597,0.5079999941381862,0.1879999968804548,-0.6772738429426588
S129,CW_2_CC_N,Y,0,0,1,0.4880000194614444,0.2479999890808301,0.2639999914577264,-1.3318062081929185
