WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S179,BalAdjust_Adj_CW_0.5_4,Y,1,0,0,0.7226192486866108,0.2105023224083942,0.0668784289049956,-0.3248728225295422
S179,Centered_W_2_0_2.0,Y,1,0,0,0.7127988115239853,0.2632871721575065,0.0239140163185088,-0.3385560701614038
S179,Centered_W_1_0_0.25,Y,1,0,0,0.7447152323025183,0.1110703961368105,0.1442143715606718,-0.2947533721944514
S179,BalAdjust_Raw_CW_0.25_1,Y,1,0,0,0.690554614793933,0.1429868169153436,0.1664585682907241,-0.3702602147002337
S179,BalAdjust_Raw_CW_0.5_2,Y,1,0,0,0.7017508197160316,0.2301431967336453,0.0681059835503238,-0.3541768956381818
S179,BalAdjust_Adj_CD_0.25_3,Y,1,0,0,0.2809820901843413,0.1319388251073898,0.5870790847082696,-1.2694643476784018
S179,BalAdjust_Adj_CD_0.25_4,Y,0,0,1,0.4629871216945551,0.1000224043288568,0.4369904739765887,-0.8278438828047165
S179,Centered_CW_2_0_2.0,Y,1,0,0,0.4219224399217019,0.3357128962318698,0.2423646638464289,-0.8629337734926159
S179,Uncentered_D_2_0_1.0,Y,1,0,0,0.4737988251714116,0.3411357459085252,0.1850654289200638,-0.7469724668480913
S179,BalAdjust_Raw_CD_0.5_2,Y,0,0,1,0.5618444836745824,0.2019094398910968,0.2362460764343215,-1.4428813204316056
S179,BalAdjust_Adj_CW_0.25_5,Y,1,0,0,0.6440557513856064,0.1037050682648414,0.2522391803495528,-0.4399699861502466
S179,Centered_W_3_0_1.0,Y,1,0,0,0.8392369399927893,0.1172081693634515,0.0435548906437599,-0.1752622047649222
S179,BalAdjust_Raw_CW_0.5_1,Y,1,0,0,0.7913623088249897,0.1785859016298612,0.0300517895451498,-0.2339993771126652
S179,Centered_CD_3_0_2.0,Y,1,0,0,0.7741765437903949,0.2105023224083942,0.0153211338012115,-0.2559553386491586
S179,Uncentered_W_3_0_1.0,Y,1,0,0,0.7969490793272209,0.1429868169153436,0.0600641037574361,-0.2269644926630891
S179,Uncentered_CW_3_0_1.0,Y,1,0,0,0.3693276530189039,0.2301431967336453,0.4005291502474513,-0.9960710803740046
S179,BalAdjust_Raw_CD_0.25_5,Y,1,0,0,0.4088265041859698,0.0975672950382004,0.4936062007758304,-0.8944644080798753
