Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_5,Y,17,8,0,0.4875231794653789,0.3495993416097945,0.1628774789248271,-20.620836662663724
CD_Pure_11,Y,12,4,9,0.3600383373568839,0.1564854573147996,0.4834762053283172,-26.21848452599385
Weight_Pure_3,Y,23,2,0,0.7153726807880082,0.1494002738994781,0.1352270453125142,-11.506140070762056
CB_Pure_12,Y,21,2,2,0.6103041908826149,0.159137824737255,0.2305579843801308,-16.98022826126789
Dist_Pure_0,Y,19,5,1,0.4782484003832621,0.4168416052216834,0.1049099943950551,-20.64477264987605
CD_Mixed_8,Y,9,4,12,0.3243582858910302,0.1730464291794959,0.5025952849294747,-25.405580779789
CB_Pure_0,Y,18,4,3,0.590800539237382,0.1857985733086437,0.2234008874539751,-20.701713465509776
CW_Pure_14,Y,22,2,1,0.6819149538882104,0.1674402324077875,0.1506448137040027,-13.889795324883025
Weight_Mixed_5,Y,25,0,0,0.91175447614245,0.0396728326349456,0.048572691222605,-2.30961349771722
Bal_Mixed_2,Y,0,24,1,0.0356233460902043,0.9251009718547458,0.0392756820550507,-5.105607056818737
CB_Mixed_1,Y,19,6,0,0.6011041288258393,0.1756917909076573,0.2232040802665043,-20.104898945907827
Weight_Pure_4,Y,21,3,1,0.7434168978260156,0.1484712074103393,0.1081118947636458,-14.173145321872893
CB_Mixed_2,Y,23,2,0,0.5892029101262742,0.1841198940608187,0.2266771958129079,-15.550983342529706
CW_Mixed_10,Y,24,1,0,0.9021628833214812,0.0549082382188202,0.042928878459699,-5.37313656412873
CW_Mixed_12,Y,23,0,2,0.8976217726238449,0.0595477525101923,0.0428304748659635,-8.785160024829095
CB_Pure_1,Y,11,11,3,0.6262321561662113,0.1602161439907921,0.2135516998429976,-29.923550516846987
CD_Pure_3,Y,2,1,22,0.301990119312338,0.1672231626861373,0.5307867180015253,-18.11783800213378
Dist_Mixed_0,Y,18,6,1,0.55083368819999,0.3634056995357191,0.0857606122642916,-19.263410408156293
CB_Pure_2,Y,17,4,4,0.6174683171634846,0.1668295483111954,0.2157021345253206,-21.49472578628247
CW_Mixed_1,Y,23,1,1,0.8043945392818909,0.1156068111501153,0.0799986495679945,-9.6896103516931
CW_Mixed_4,Y,19,3,3,0.7189330502958805,0.1584998487517695,0.1225671009523508,-18.093048599843293
CD_Pure_9,Y,3,6,16,0.3710085001880273,0.1336091536672272,0.4953823461447462,-26.29041631366954
CW_Mixed_8,Y,25,0,0,0.759510258194187,0.1365294636424157,0.103960278163398,-6.877036263193238
Weight_Mixed_0,Y,19,3,3,0.6500172401083228,0.1729480255857604,0.1770347343059173,-18.642891930032185
CD_Pure_1,Y,21,3,1,0.5305892688564496,0.0573567927595107,0.4120539383840406,-22.77110131784661
CD_Pure_8,Y,14,4,7,0.5082901772522447,0.0703462691444879,0.4213635536032681,-26.14095592163948
CD_Mixed_5,Y,10,1,14,0.3231675043343294,0.1671044965582225,0.5097279991074487,-22.519273372151677
CD_Mixed_0,Y,9,2,14,0.2405795964303977,0.1682303702348323,0.5911900333347707,-23.74582926207841
CD_Pure_4,Y,15,7,3,0.5243723879881491,0.0585608074956766,0.4170668045161751,-32.17065168802331
CB_Mixed_13,Y,18,3,4,0.6077551491374401,0.188640742224276,0.2036041086382846,-20.333741461525683
CB_Pure_9,Y,22,2,1,0.6078109672084914,0.1662816413235257,0.2259073914679837,-16.029384523770755
CW_Mixed_5,Y,24,1,0,0.864618447701527,0.0741551205404566,0.0612264317580172,-6.092803443156718
CB_Pure_3,Y,23,2,0,0.6157114968561035,0.1752373889301775,0.2090511142137197,-14.637693243837472
Weight_Pure_0,Y,21,4,0,0.7068461740411114,0.1601756189224334,0.1329782070364558,-14.611724249520194
