Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CB_2_BB_N,Y,15,6,4,0.5943344423863233,0.1585779898113257,0.2470875678023516,-24.44579871921433
CB_1_CC_N,Y,11,3,11,0.5911501842838552,0.1401598772133269,0.268689938502819,-26.13362080854047
Dist_5_CC_N,Y,20,3,2,0.4435327569569237,0.1877188438597243,0.3687483991833528,-23.273383662944795
Dist_2_CC_N,Y,21,4,0,0.7922785000715399,0.0786903608258933,0.1290311391025674,-15.058626901111165
CB_2_CB_N,Y,14,5,6,0.6052082853918137,0.1766117444615649,0.2181799701466221,-24.83417397861646
Dist_5_BB_N,Y,9,15,1,0.4168812188953847,0.3543205918633662,0.2287981892412499,-24.912797668687467
CB_4_CB_N,Y,18,1,6,0.6145431087016205,0.1692486801887368,0.2162082111096435,-19.72923813596602
Bal_2_CB_N,Y,5,10,10,0.2839875205811304,0.4956765837552397,0.2203358956636304,-28.438462040456564
Weight_5_BB_N,Y,18,6,1,0.6310887401792332,0.1812979876793657,0.1876132721414017,-20.204610320317585
CD_3_BC_N,Y,16,3,6,0.5544261068317343,0.1265266900841582,0.319047203084108,-22.493551174872643
CB_5_BC_N,Y,13,7,5,0.5938569158654629,0.1513944973773111,0.254748586757227,-26.826974080538204
Weight_2_BC_N,Y,11,7,7,0.3516528168924699,0.4453773581889023,0.2029698249186285,-28.32093918194778
CB_1_BC_N,Y,10,4,11,0.5905206772189906,0.1347330150561595,0.2747463077248509,-27.49632514389083
Weight_1_BC_N,Y,12,12,1,0.3796212014537313,0.4674057048702409,0.1529730936760284,-22.627161388882705
CD_1_CB_N,Y,10,10,5,0.3732279912753315,0.2029523688403802,0.423819639884289,-30.095734190704555
CD_7_CC_N,Y,13,3,9,0.3354149702003904,0.1547992129445178,0.5097858168550924,-25.86178903969293
CB_6_BB_N,Y,17,3,5,0.5938800404088437,0.1868057808573386,0.2193141787338183,-21.4776321235742
Bal_2_BB_N,Y,1,23,1,0.0325969177063707,0.9382504376724308,0.0291526446211994,-8.42472980295846
CW_3_CC_N,Y,9,4,12,0.5054493962466227,0.241846624045697,0.252703979707681,-28.32501051318788
CD_4_BC_N,Y,14,8,3,0.3175758520994087,0.1596917408751939,0.5227324070253982,-32.68067650953436
Weight_3_BB_N,Y,19,5,1,0.6385298983178791,0.1667890232428369,0.1946810784392849,-19.11466934606615
Bal_5_BB_N,Y,0,25,0,0.20394656231698,0.6155509385969823,0.1805024990860385,-12.130939426984304
CB_3_BB_N,Y,15,8,2,0.6007683929762742,0.1707570658350789,0.2284745411886476,-24.735955007840357
Weight_1_BB_N,Y,15,9,1,0.6368917441384127,0.1592494615104556,0.2038587943511323,-24.893211766772104
