Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.4606253787945236,0.2278600727555479,0.311514548449929,-56.52689353236834
Centered_CW_1_0_0.5,Y,18,5,1,0.6352958999904768,0.2440749463547115,0.1206291536548125,-17.332393282784253
BalAdjust_Raw_CD_0.5_0,Y,21,15,12,0.6288664146710973,0.1457148576460934,0.2254187276828102,-56.509665948982
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.6631332955212859,0.1882164330770801,0.1486502714016341,-41.440110639231335
Centered_W_2_0_1.0,Y,23,0,1,0.8303565979879505,0.1224375327999882,0.0472058692120618,-7.328937835965975
Uncentered_CD_1_0_2.0,Y,1,11,12,0.2336317083558238,0.5597233855871434,0.2066449060570335,-26.75848824811162
Centered_CW_3_0_1.0,Y,21,3,0,0.889688979017345,0.0460755932736551,0.0642354277090005,-11.68696581906349
BalAdjust_Adj_CD_0.25_2,Y,12,10,26,0.4185662338350258,0.1408064668375286,0.440627299327446,-51.36318377606082
Centered_CD_1_0_0.5,Y,7,6,11,0.254955548927627,0.2537632650585252,0.4912811860138485,-25.612908295218304
Uncentered_D_2_0_0.25,Y,12,7,5,0.5911393415935737,0.2270699841789966,0.1817906742274307,-25.21041823929596
Uncentered_CD_2_0_0.5,Y,6,3,15,0.1229657985902522,0.2302450319655165,0.6467891694442321,-23.51695112116874
Centered_D_2_0_2.0,Y,6,14,4,0.3390059547895805,0.6102084871884327,0.0507855580219871,-25.326363029977927
Centered_CD_0_0_2.0,Y,6,16,2,0.2470796758149248,0.4760483508909079,0.2768719732941684,-22.832440299665222
Centered_CW_2_0_0.25,Y,19,2,3,0.7807512647377639,0.1100444949142756,0.1092042403479616,-15.759821743177966
Uncentered_CW_4_0_0.5,Y,16,6,2,0.7614672782779466,0.1327244128041511,0.1058083089179029,-20.96926400748081
Centered_W_3_0_1.0,Y,23,1,0,0.8499335365365092,0.1173405017529165,0.0327259617105749,-5.882409171326929
Uncentered_W_4_0_2.0,Y,20,4,0,0.775138404733299,0.0905155615042278,0.1343460337624737,-14.703207547357476
Uncentered_D_0_0_0.25,Y,13,3,8,0.7003911850069267,0.1569679939891038,0.1426408210039703,-25.76405589637837
Uncentered_CD_3_0_1.0,Y,5,4,15,0.2937872049498997,0.315851581946926,0.390361213103175,-24.84467096034185
Centered_W_4_0_0.5,Y,22,1,1,0.922821123441012,0.0377269306442536,0.0394519459147347,-8.27708997734695
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.6418139431404055,0.223424434555025,0.1347616223045704,-44.28041396819551
Uncentered_W_3_0_0.25,Y,20,2,2,0.8486278641759073,0.0987015705232504,0.0526705653008431,-13.80139609223852
Uncentered_CW_2_0_0.25,Y,10,1,13,0.5908529436232917,0.177839194385407,0.2313078619913018,-26.020831086611956
Centered_D_2_0_0.5,Y,14,7,3,0.5133058253473279,0.4283167388164726,0.0583774358362002,-23.794092150667467
Centered_W_1_0_0.25,Y,18,6,0,0.7529503318762039,0.1455903195902752,0.1014593485335213,-16.669360036829136
Centered_W_3_0_2.0,Y,20,3,1,0.684663911297198,0.2761056788611839,0.0392304098416185,-14.675761879351798
Uncentered_W_0_0_2.0,Y,16,3,5,0.2495175341774692,0.612262953989347,0.1382195118331842,-33.57795866070702
Uncentered_D_4_0_0.5,Y,13,7,4,0.7059641499517523,0.1386913146307017,0.1553445354175464,-25.803451977403014
Centered_W_4_0_0.25,Y,24,0,0,0.928312156537237,0.0359924185454405,0.0356954249173231,-1.7852934522863704
Uncentered_CW_2_0_0.5,Y,14,5,5,0.5553580056139101,0.248117332822951,0.1965246615631397,-23.338096851925528
BalAdjust_Adj_CW_0.5_1,Y,31,6,11,0.7122653850044302,0.1882765303829942,0.0994580846125762,-45.92571562807806
Centered_CW_2_0_2.0,Y,19,5,0,0.3297064124207405,0.3517178206889952,0.3185757668902649,-26.306131270073035
Uncentered_CD_4_0_0.5,Y,9,7,8,0.4898865868253448,0.094658265188892,0.4154551479857637,-29.9516518419521
Centered_CW_3_0_0.5,Y,22,1,1,0.8943072129536951,0.0496440947354734,0.0560486923108318,-8.341940626057827
BalAdjust_Raw_CD_0.25_4,Y,25,8,15,0.4462016864716825,0.1220008483101166,0.4317974652182013,-49.60140314907177
Centered_CW_1_0_2.0,Y,10,12,2,0.4712606257007256,0.4403294384300239,0.0884099358692512,-22.217767065795776
Centered_CD_0_0_0.5,Y,8,11,5,0.3478525329903795,0.2924078860566989,0.3597395809529222,-27.08534903115054
Uncentered_W_0_0_0.25,Y,15,4,5,0.7309280793812893,0.1529052377909271,0.1161666828277838,-22.97699679329298
Centered_W_0_0_0.25,Y,15,9,0,0.6613300884295137,0.1868030217425528,0.1518668898279341,-21.30183798908708
Uncentered_W_0_0_0.5,Y,18,1,5,0.7214926676108491,0.195418805500563,0.0830885268885889,-19.947648699183897
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.7112806613641154,0.1469374339907072,0.1417819046451783,-22.73270752878639
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.8161793617372799,0.111878542226064,0.0719420960366568,-39.55764908352431
Uncentered_D_0_0_1.0,Y,13,5,6,0.6541863181824388,0.250001653210515,0.0958120286070471,-26.52036100823292
Uncentered_CD_3_0_0.25,Y,6,2,16,0.3250059066647942,0.1674097453375141,0.5075843479976923,-21.16757141108216
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.7301082740087854,0.1827959750628976,0.0870957509283179,-29.143024685543672
Uncentered_CW_4_0_0.25,Y,15,8,1,0.8167109279925473,0.0971427788582846,0.086146293149169,-24.14134685128093
Uncentered_CD_1_0_0.25,Y,5,3,16,0.1670563540832347,0.156133248728449,0.676810397188317,-20.76408253936634
Uncentered_CW_1_0_0.25,Y,16,2,6,0.8183834760774166,0.0931014094580533,0.0885151144645304,-22.502411732217936
Centered_D_4_0_2.0,Y,22,2,0,0.9188101875318354,0.0438967977025114,0.0372930147656536,-8.114693661634792
Uncentered_W_2_0_1.0,Y,11,4,9,0.6546297567668593,0.2694128998553661,0.075957343377775,-33.10483089862335
Centered_CW_0_0_1.0,Y,14,7,3,0.5448326055242039,0.2990938515887354,0.1560735428870616,-22.523142434236767
Centered_CD_0_0_0.25,Y,8,6,10,0.3179363535243259,0.1967200301232129,0.4853436163524618,-26.15205638253804
Uncentered_CD_0_0_2.0,Y,3,10,11,0.135745923435844,0.3399899761101411,0.5242641004540153,-23.882659334465483
Centered_CD_3_0_0.5,Y,13,4,7,0.5784718302423897,0.0796559900468492,0.3418721797107615,-24.749131214799203
Uncentered_W_3_0_0.5,Y,12,7,5,0.8206960250413213,0.134038717350954,0.0452652576077252,-31.9146933548268
Uncentered_CD_4_0_1.0,Y,10,4,10,0.4931884782937738,0.089277058596648,0.417534463109579,-25.46656351503475
Centered_D_2_0_0.25,Y,14,7,3,0.4918469547143781,0.4397863795613378,0.068366665724285,-23.733100445283867
Centered_D_3_0_1.0,Y,18,3,3,0.7921272467935664,0.1544263015174619,0.0534464516889728,-18.585938244565604
Centered_CD_4_0_0.25,Y,17,3,4,0.5579400952613461,0.035864143062739,0.4061957616759153,-23.507294640144156
Uncentered_CW_0_0_0.25,Y,21,1,2,0.8454385564378252,0.0689327321109547,0.0856287114512208,-11.11598889841762
Uncentered_CD_2_0_0.25,Y,5,1,18,0.165388967350707,0.1592777419698888,0.6753332906794047,-17.90026283110789
Centered_D_1_0_1.0,Y,16,6,2,0.685736377483595,0.2549151204792979,0.0593485020371082,-19.885796927989425
