Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Weight_Mixed_3,Y,23,0,2,0.6636063405844521,0.1580697784935686,0.1783238809219802,-12.87982946796953
Weight_Pure_6,Y,22,3,0,0.7228411113774398,0.1454731460870089,0.1316857425355515,-12.923739883781815
CW_Pure_2,Y,25,0,0,0.818627632578943,0.0924015133537815,0.0889708540672764,-5.003148989863139
Dist_Mixed_4,Y,22,2,1,0.8064792835289394,0.1048134881776866,0.0887072282933746,-11.665255034152748
Bal_Pure_5,Y,1,24,0,0.1191666580290053,0.779400704817547,0.1014326371534486,-8.108751840481881
CB_Pure_4,Y,18,5,2,0.6164903994590868,0.1747075605611442,0.2088020399797694,-20.56277175766344
CW_Pure_3,Y,20,4,1,0.7693682568106811,0.1255217060708543,0.1051100371184652,-15.79756475120252
CW_Pure_13,Y,25,0,0,0.837015010270076,0.0987900620684448,0.0641949276614801,-4.4478318809101856
CW_Mixed_11,Y,25,0,0,0.8609484459707898,0.0888346799823028,0.0502168740469079,-3.743016331709172
CB_Mixed_8,Y,17,3,5,0.5862033254616613,0.1654592053448982,0.2483374691934413,-21.44143112123876
CD_Pure_6,Y,7,11,7,0.3826043964616397,0.1359520066422691,0.4814435968960917,-33.7920263087573
CD_Pure_12,Y,9,4,12,0.2466595584400734,0.1706657851623474,0.5826746563975796,-26.15142381188405
CB_Mixed_13,Y,18,3,4,0.5919909609712484,0.1670267708835033,0.2409822681452489,-20.49768165279827
CD_Pure_9,Y,3,6,16,0.372641157448266,0.1282608256360499,0.4990980169156851,-26.40279884214157
CD_Pure_4,Y,15,7,3,0.5441978374458863,0.0439464720664378,0.4118556904876767,-33.66136367452944
CB_Pure_11,Y,14,5,6,0.5797742143379339,0.1654584150748125,0.2547673705872544,-24.831234971267754
CB_Mixed_1,Y,19,6,0,0.6278011127451558,0.160895895418242,0.2113029918366027,-19.807091793063368
Dist_Pure_0,Y,19,5,1,0.4763713360500045,0.4566034648910459,0.0670251990589504,-20.71198101873111
CW_Mixed_6,Y,19,2,4,0.8301765783070071,0.0911398669220687,0.0786835547709248,-18.49622459362145
CD_Pure_0,Y,14,4,7,0.4650139379378005,0.0937518521762727,0.4412342098859275,-25.91530222245036
CD_Mixed_8,Y,9,4,12,0.312339518139864,0.1402565758147132,0.5474039060454237,-25.560927911407678
CB_Mixed_0,Y,14,5,6,0.6149027033000813,0.1556321392750583,0.2294651574248614,-24.941402388725592
CD_Pure_13,Y,10,6,9,0.5195032738389412,0.0593718570404149,0.4211248691206446,-31.27586437046275
CB_Pure_13,Y,19,2,4,0.5951995993119108,0.1581936696017213,0.2466067310863683,-19.14602295604357
Dist_Pure_1,Y,25,0,0,0.8713325539935939,0.0677669586578743,0.0609004873485322,-3.4432891972130424
CW_Pure_8,Y,24,0,1,0.8505333662818131,0.0922647127840434,0.0572019209341443,-6.746567075447588
CB_Pure_3,Y,23,2,0,0.5876567214537015,0.1543306860931534,0.2580125924531462,-15.964398431095338
CB_Mixed_10,Y,19,3,3,0.6216496981481049,0.1568575857051267,0.2214927161467695,-19.1115397627288
Dist_Pure_4,Y,23,1,1,0.8201569322158866,0.1100248527409313,0.0698182150431827,-9.428879601980016
