Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_5_BC_N,Y,14,6,5,0.4867174303848885,0.1532498184380959,0.3600327511770165,-26.442918405636853
CW_1_CB_N,Y,17,4,4,0.702351097712165,0.1319854295328579,0.1656634727549775,-21.29791389628174
CD_7_BC_N,Y,10,5,10,0.2983205595069026,0.1753745466348124,0.5263048938582853,-27.21876918484076
Dist_3_BC_N,Y,16,5,4,0.4556129847076193,0.3084011866372281,0.2359858286551536,-24.235487804483444
Bal_1_BC_N,Y,4,18,3,0.0965927887914427,0.7415879252408965,0.1618192859676619,-20.194137862547
CD_6_CB_N,Y,8,7,10,0.3585557126348916,0.1425023363864592,0.4989419509786499,-28.796803202428286
CD_2_BC_N,Y,13,4,8,0.3557515648665741,0.1379396509529288,0.5063087841804982,-26.80441877097992
CD_3_BB_N,Y,7,3,15,0.4060355163674917,0.1292054309280696,0.4647590527044393,-23.941800080436373
CW_7_BB_N,Y,17,3,5,0.6396948728708237,0.162196461310935,0.1981086658182418,-21.146526387662966
Dist_4_BC_N,Y,16,4,5,0.5519756447471112,0.1753218171016412,0.2727025381512485,-22.96941825265499
Dist_1_CC_N,Y,14,8,3,0.5519354745587679,0.2117419037360977,0.236322621705135,-25.06730741703827
CD_6_CC_N,Y,9,7,9,0.4245132811379714,0.136788737794419,0.43869798106761,-29.052027763415225
Weight_2_BC_N,Y,11,7,7,0.3812951100622254,0.4626700198939577,0.156034870043818,-29.004916650962457
Bal_2_BB_N,Y,1,23,1,0.0220062172958405,0.945162098319698,0.0328316843844621,-8.52996467617377
Weight_5_BB_N,Y,18,6,1,0.6780283155001608,0.1383858719147047,0.1835858125851351,-20.555521128091428
CW_1_CC_N,Y,15,1,9,0.6711135241160031,0.1411212860690896,0.1877651898149079,-22.993457905579294
CD_6_BC_N,Y,8,9,8,0.3975827470397688,0.1453284315359381,0.457088821424294,-31.000669453654567
Weight_2_CC_N,Y,9,12,4,0.4660232209584973,0.3545511465919664,0.1794256324495368,-26.186488168266955
CD_5_CB_N,Y,11,6,8,0.5065837332402643,0.1314934978674633,0.3619227688922727,-27.78410489854433
CB_6_CC_N,Y,17,1,7,0.6017943988660411,0.1496704365015094,0.2485351646324503,-20.277786219414036
CD_4_BC_N,Y,14,8,3,0.3500357257925455,0.1572383315715997,0.4927259426358555,-31.61942796817841
CD_2_CB_N,Y,14,1,10,0.3558515410280644,0.1251596312705513,0.5189888277013848,-23.10227769827379
CW_5_BC_N,Y,17,2,6,0.6313901133861521,0.1392381500391735,0.2293717365746751,-20.59473987175093
Dist_2_CB_N,Y,20,4,1,0.8419852232358229,0.0808292842009222,0.0771854925632556,-16.063063853223422
CB_2_CC_N,Y,17,5,3,0.5624473679898545,0.157937170648958,0.2796154613611881,-22.833591005915125
CD_6_BB_N,Y,4,7,14,0.3322601330225526,0.1572375820946673,0.5105022848827808,-26.770372143230013
Dist_5_CC_N,Y,20,3,2,0.456648636942535,0.1958101820884304,0.3475411809690354,-22.682393487559835
Bal_5_CC_N,Y,5,16,4,0.2500478827603561,0.4896492384090373,0.2603028788306072,-23.7392076187218
Bal_5_BC_N,Y,3,21,1,0.179395217693293,0.5845651791325983,0.2360396031741099,-17.872874463583322
Bal_4_CC_N,Y,4,8,13,0.3191499107818448,0.4023024568073008,0.2785476324108555,-28.468946761611228
Bal_4_BC_N,Y,8,11,6,0.1488457234774216,0.5910211609195276,0.2601331156030511,-29.103068180505588
CD_7_BB_N,Y,8,0,17,0.2836011094699388,0.1592892449987556,0.5571096455313063,-20.02637711868286
CB_2_BB_N,Y,15,6,4,0.5752889017734846,0.1763593322357469,0.2483517659907692,-24.276270632917555
CD_2_BB_N,Y,9,0,16,0.2859144686765155,0.1685839204589781,0.5455016108645073,-20.96535549247869
Dist_3_BB_N,Y,12,12,1,0.4527049565350588,0.4296988064642396,0.1175962370007024,-21.78672354126193
CB_1_CC_N,Y,11,3,11,0.5776017090925988,0.1308404543448182,0.2915578365625841,-25.696593578164773
CB_7_CB_N,Y,14,2,9,0.5996572632175108,0.1604649419213061,0.2398777948611842,-23.667548851221223
CB_4_CB_N,Y,18,1,6,0.6264607546008711,0.1396845720749382,0.2338546733241913,-19.10474559959671
CB_7_BC_N,Y,16,1,8,0.5858778346528987,0.1385991352908507,0.2755230300562512,-20.843145663663428
CW_4_BC_N,Y,17,1,7,0.6559653644245178,0.1422611056324602,0.2017735299430226,-20.32236050636528
CW_6_BB_N,Y,16,7,2,0.6526928345962629,0.1495497267896419,0.1977574386140957,-23.368690783080545
CW_4_BB_N,Y,20,0,5,0.6537964548891554,0.1670164084787517,0.1791871366320938,-17.095806956497988
CD_3_CB_N,Y,17,0,8,0.5693714445708249,0.1222163467899087,0.3084122086392674,-18.985322750692745
CB_1_BC_N,Y,10,4,11,0.5897251879459863,0.1393497875715257,0.270925024482489,-27.52910328214604
Bal_3_BB_N,Y,1,22,2,0.0181196675498582,0.9689705705052554,0.0129097619448871,-13.40376320150192
CW_6_BC_N,Y,15,7,3,0.6492132839027944,0.1599778597547157,0.1908088563424909,-24.278397985364712
Weight_2_CB_N,Y,9,13,3,0.4284598397239042,0.4663900266679853,0.1051501336081112,-24.30065209463823
CB_4_BB_N,Y,14,4,7,0.5910471432543267,0.1688506158122522,0.2401022409334221,-24.46382958342173
CW_2_BC_N,Y,13,3,9,0.6802351865800584,0.1307084932760275,0.189056320143915,-26.10486670951932
Dist_1_CB_N,Y,10,11,4,0.5601899774471363,0.2735617755591291,0.1662482469937353,-27.23039158330953
Bal_5_CB_N,Y,2,20,3,0.2524546199852411,0.5853536860175399,0.1621916939972193,-18.920757038722783
Weight_4_CB_N,Y,17,6,2,0.4913866097287757,0.4312042905148197,0.0774090997564055,-22.243250894773404
CD_1_CB_N,Y,10,10,5,0.4550510862896323,0.1522242666287782,0.3927246470815898,-31.370692740708385
CW_3_CC_N,Y,9,4,12,0.4697380674702822,0.2282614581163341,0.3020004744133846,-27.077194918052538
CB_1_CB_N,Y,9,5,11,0.6125119564263829,0.1328452257568094,0.2546428178168082,-29.55136179914485
Bal_3_CC_N,Y,9,10,6,0.2609609557943673,0.5109119575132244,0.228127086692409,-27.67315472399641
CB_6_BB_N,Y,17,3,5,0.6052665812352439,0.1602349915429771,0.2344984272217798,-21.28034041617372
CB_5_CC_N,Y,11,7,7,0.5916555267527532,0.14215329790004,0.2661911753472073,-28.693865988672595
CD_4_CB_N,Y,10,6,9,0.3866040594660945,0.1388179182876345,0.4745780222462717,-28.059058184071446
CW_6_CC_N,Y,12,10,3,0.6465350780622603,0.1340752079957279,0.2193897139420125,-29.87779455847211
CD_7_CC_N,Y,13,3,9,0.3627865578355341,0.145043328444033,0.4921701137204337,-25.353774020705814
Weight_1_BC_N,Y,12,12,1,0.3648873396314762,0.4835217121473281,0.1515909482211964,-22.704477801694445
CD_2_CC_N,Y,12,1,12,0.4007963611852174,0.1257915665243925,0.4734120722903909,-22.01821964506584
CD_4_BB_N,Y,5,8,12,0.3227083957495807,0.1732363321512482,0.5040552720991716,-27.90065129545876
Weight_3_CC_N,Y,8,13,4,0.4182745311296211,0.3487347089742125,0.2329907598961673,-26.49473354177077
CD_4_CC_N,Y,7,7,11,0.3730452907476534,0.1486269718936262,0.4783277373587213,-28.35864822462281
Bal_4_CB_N,Y,5,11,9,0.2791584205655326,0.5868220194518746,0.1340195599825936,-30.33117568695982
Weight_3_CB_N,Y,12,9,4,0.4313354787172376,0.4481985566536276,0.1204659646291353,-25.778651935194173
Dist_5_BB_N,Y,9,15,1,0.3492059475172968,0.4268111698640812,0.2239828826186225,-23.736230287453797
Bal_4_BB_N,Y,0,23,2,0.040591055347085,0.9133404202205424,0.0460685244323735,-8.24012266418125
Bal_1_CB_N,Y,0,21,4,0.1536962563787478,0.7573765031763225,0.0889272404449307,-15.515537593785025
CD_7_CB_N,Y,13,5,7,0.3497326959984564,0.1494741739444006,0.5007931300571442,-28.001713339699585
Weight_3_BB_N,Y,19,5,1,0.6560011627831733,0.1656795668956204,0.1783192703212065,-18.72293969445713
CW_1_BC_N,Y,16,0,9,0.6726913003592898,0.1277772244167677,0.1995314752239433,-20.84954950426488
