Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Uncentered_CD_4_0_0.5,Y,9,7,8,0.7981520951229842,0.1153388977170772,0.0865090071599389,-36.72832270388126
Centered_W_4_0_0.25,Y,24,0,0,0.8391208869673387,0.0804395565163309,0.0804395565163309,-4.209611959403848
Uncentered_D_0_0_2.0,Y,8,14,2,0.4203287925583824,0.488610112298973,0.091061095142645,-21.752859455927887
Centered_D_3_0_0.25,Y,19,4,1,0.7753916552094541,0.1092694470734692,0.1153388977170772,-15.848987668734582
BalAdjust_Raw_CD_0.5_4,Y,20,12,16,0.5963428612230162,0.2094153826930022,0.1942417560839821,-55.3184440912143
BalAdjust_Raw_CD_0.5_1,Y,20,15,13,0.7222839620778835,0.1638945028659418,0.1138215350561752,-61.88532937260271
Uncentered_CD_4_0_1.0,Y,10,4,10,0.781461105853062,0.1320298869869994,0.0865090071599389,-35.03987426572334
Centered_D_2_0_0.25,Y,14,7,3,0.6646241809636069,0.1608597775441377,0.1745160414922559,-23.74724107550707
Uncentered_CD_0_0_0.25,Y,5,5,14,0.1289951616651954,0.1274777990042934,0.7435270393305117,-24.687869229614947
Uncentered_D_1_0_2.0,Y,10,11,3,0.4961969256034831,0.4157767045756764,0.088026369820841,-23.95185683073666
Centered_CD_3_0_1.0,Y,16,5,3,0.8057389084274944,0.1107868097343712,0.0834742818381349,-21.906316259405152
Uncentered_CW_1_0_0.5,Y,21,2,1,0.7465617646523157,0.1502382389178236,0.1031999964298611,-12.19996788654842
Centered_CD_3_0_0.25,Y,15,2,7,0.8193951723756125,0.094095820464449,0.0865090071599389,-24.847262571849456
BalAdjust_Adj_CW_0.25_0,Y,32,4,12,0.4415718698110106,0.1972764814057861,0.3611516487832038,-44.87134782358718
Uncentered_CW_3_0_0.5,Y,9,6,9,0.4476413204546187,0.2534188998591607,0.2989397796862211,-26.337753678259663
Centered_CD_2_0_1.0,Y,8,4,12,0.5599261573613677,0.2655578011463768,0.1745160414922559,-30.89215730624173
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.5432351680914456,0.2352105479283365,0.2215542839802183,-55.2992612598825
BalAdjust_Raw_CD_0.25_4,Y,25,8,15,0.7359402260260016,0.1320298869869994,0.1320298869869994,-54.2338796602352
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.6357942904064686,0.189689668101276,0.1745160414922559,-32.873739265341534
Centered_D_2_0_2.0,Y,6,14,4,0.4006030779666562,0.5053011015688952,0.094095820464449,-24.498882644612426
Uncentered_CW_4_0_1.0,Y,10,11,3,0.669176268946313,0.2185195586584143,0.1123041723952732,-27.306387821552832
Centered_CD_1_0_0.5,Y,7,6,11,0.5053011015688952,0.2382452732501405,0.2564536251809647,-28.35381468474359
Uncentered_CW_0_0_0.5,Y,18,1,5,0.770839567226748,0.1289951616651954,0.1001652711080571,-18.23759931198205
Uncentered_CD_1_0_0.5,Y,4,1,19,0.2215542839802183,0.2519015371982587,0.5265441788215235,-19.594048343893892
BalAdjust_Adj_CW_0.25_5,Y,35,8,5,0.4567454964200308,0.1957591187448841,0.3474953848350857,-45.75899540209125
BalAdjust_Adj_CW_0.5_3,Y,36,6,6,0.5735824213094859,0.2230716466411204,0.2033459320493941,-38.56938446252691
Uncentered_D_3_0_2.0,Y,11,8,5,0.5447525307523476,0.3717731874095179,0.0834742818381349,-27.01351431192001
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.5326136294651315,0.2564536251809647,0.2109327453539042,-51.975810633684944
Centered_W_4_0_1.0,Y,22,1,1,0.8391208869673387,0.0804395565163309,0.0804395565163309,-8.8993094174189
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.5447525307523476,0.1775507668140599,0.2776967024335929,-40.60518597587518
Uncentered_W_4_0_0.5,Y,20,3,1,0.8330514363237307,0.0865090071599389,0.0804395565163309,-13.51596726033916
Centered_CD_4_0_0.25,Y,17,3,4,0.8391208869673387,0.0804395565163309,0.0804395565163309,-20.62355306245653
Centered_CW_1_0_0.5,Y,18,5,1,0.5432351680914456,0.2519015371982587,0.2048632947102961,-19.462830666645104
Centered_CD_3_0_2.0,Y,12,10,2,0.6722109942681169,0.2458320865546506,0.0819569191772329,-23.800384700334703
Uncentered_D_1_0_0.25,Y,14,3,7,0.7162145114342754,0.1335472496479014,0.1502382389178236,-23.98148853795773
BalAdjust_Adj_CD_0.25_5,Y,12,6,30,0.4612975844027367,0.1684465908486478,0.3702558247486159,-49.77819520604736
Centered_W_0_0_0.25,Y,15,9,0,0.5265441788215235,0.188172305440374,0.285283515738103,-24.654875566430896
Centered_CD_2_0_0.5,Y,11,3,10,0.5978602238839182,0.2154848333366102,0.186654942779472,-27.047911385361413
Uncentered_W_1_0_1.0,Y,9,14,1,0.3914989020012441,0.3732905500704199,0.2352105479283365,-23.6828022420275
Uncentered_D_0_0_0.25,Y,13,3,8,0.6995235221643532,0.1320298869869994,0.1684465908486478,-24.968899436203184
Centered_W_2_0_1.0,Y,23,0,1,0.7162145114342754,0.1790681294749619,0.1047173590907631,-9.93332825454362
Uncentered_D_0_0_0.5,Y,16,3,5,0.6889019835380391,0.1623771402050397,0.1487208762569216,-20.944421521982637
Centered_CW_2_0_2.0,Y,19,5,0,0.4977142882643852,0.4172940672365783,0.0849916444990369,-17.626673156427433
Uncentered_CW_2_0_0.25,Y,10,1,13,0.3869468140185381,0.2018285693884921,0.4112246165929703,-22.647020994942288
Centered_D_2_0_0.5,Y,14,7,3,0.6160685758147424,0.2063806573711982,0.1775507668140599,-23.01328481237221
Centered_CW_1_0_2.0,Y,10,12,2,0.2746619771117889,0.6206206637974484,0.1047173590907631,-23.159544640484903
Centered_CW_3_0_1.0,Y,21,3,0,0.8284993483410246,0.091061095142645,0.0804395565163309,-11.13959766966938
Centered_CD_4_0_2.0,Y,18,5,1,0.8330514363237307,0.0865090071599389,0.0804395565163309,-18.045660962368892
BalAdjust_Adj_CD_0.5_1,Y,13,18,17,0.6175859384756444,0.1987938440666881,0.183620217457668,-64.15700347339822
Centered_W_1_0_0.25,Y,18,6,0,0.6191033011365464,0.1547903269005296,0.2261063719629244,-19.82479929871861
Uncentered_CD_4_0_0.25,Y,14,2,8,0.8057389084274944,0.0986479084471551,0.095613183125351,-26.43589038873188
Uncentered_CD_2_0_2.0,Y,6,7,11,0.1016826337689591,0.575099783970388,0.3232175822606534,-30.011599596576424
Uncentered_D_1_0_1.0,Y,15,3,6,0.6418637410500767,0.2336931852674345,0.1244430736824893,-23.51536862455976
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.5508219813959557,0.2321758226065324,0.2170021959975123,-43.98695217358197
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.7359402260260016,0.1502382389178236,0.1138215350561752,-31.71673444031368
BalAdjust_Raw_CD_0.5_5,Y,28,10,10,0.6600720929809009,0.2078980200321002,0.1320298869869994,-47.58571984060376
Centered_CD_1_0_2.0,Y,7,6,11,0.2594883505027687,0.6175859384756444,0.1229257110215873,-35.39285247418843
Centered_CW_4_0_2.0,Y,22,2,0,0.8376035243064367,0.0819569191772329,0.0804395565163309,-8.901752151146592
Uncentered_W_0_0_0.25,Y,15,4,5,0.5675129706658779,0.1669292281877458,0.2655578011463768,-22.287730246252284
Centered_W_2_0_2.0,Y,18,4,2,0.5644782453440739,0.3550821981395957,0.0804395565163309,-19.475484156640075
Uncentered_W_0_0_0.5,Y,18,1,5,0.5568914320395637,0.2473494492155526,0.1957591187448841,-20.08823450073168
Uncentered_CD_3_0_0.25,Y,6,2,16,0.5159226401952093,0.1972764814057861,0.286800878399005,-27.200562551626128
Centered_D_3_0_0.5,Y,20,3,1,0.77235692988765,0.1305125243260974,0.097130545786253,-13.606727455213832
Centered_CW_2_0_0.5,Y,20,1,3,0.7055929728079613,0.1684465908486478,0.1259604363433913,-14.970833473761228
Uncentered_W_2_0_2.0,Y,12,9,3,0.3004571423471232,0.5978602238839182,0.1016826337689591,-25.91668275065505
Uncentered_CD_0_0_2.0,Y,3,10,11,0.0865090071599389,0.4051551659493622,0.5083358268906992,-23.82011452471483
Centered_W_3_0_0.25,Y,23,1,0,0.7829784685139641,0.1123041723952732,0.1047173590907631,-7.813496151630885
Centered_CD_1_0_0.25,Y,8,3,13,0.5174400028561114,0.19272439342308,0.2898356037208091,-26.31011415463525
Uncentered_W_1_0_2.0,Y,1,22,1,0.2063806573711982,0.6646241809636069,0.1289951616651954,-12.613751214561995
Centered_CD_4_0_0.5,Y,18,2,4,0.8391208869673387,0.0804395565163309,0.0804395565163309,-18.278704333449003
Centered_CD_2_0_0.25,Y,7,3,14,0.6540026423372928,0.1623771402050397,0.183620217457668,-32.154407740982975
Centered_CW_4_0_0.5,Y,24,0,0,0.8391208869673387,0.0804395565163309,0.0804395565163309,-4.209611959403848
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.5128879148734053,0.18513758011857,0.3019745050080252,-49.73603161255589
Centered_CD_4_0_1.0,Y,20,3,1,0.8376035243064367,0.0819569191772329,0.0804395565163309,-13.569142100506214
Centered_CD_1_0_1.0,Y,8,5,11,0.4688843977072469,0.3080439556516332,0.2230716466411204,-28.449641197757657
BalAdjust_Adj_CD_0.25_2,Y,12,10,26,0.669176268946313,0.1563076895614317,0.1745160414922559,-68.76898566533794
Uncentered_W_2_0_1.0,Y,11,4,9,0.5007490135861892,0.3399085715305756,0.1593424148832357,-28.454765993080056
Uncentered_CW_2_0_2.0,Y,8,11,5,0.1821028547967659,0.6433811037109787,0.1745160414922559,-27.205360362907108
Centered_D_3_0_2.0,Y,15,8,1,0.6509679170154887,0.2655578011463768,0.0834742818381349,-19.530022547431027
Centered_CW_3_0_0.5,Y,22,1,1,0.8345687989846327,0.0849916444990369,0.0804395565163309,-8.96393366483946
Uncentered_CW_3_0_0.25,Y,17,1,6,0.4688843977072469,0.1805854921358639,0.3505301101568897,-20.87718646272652
Uncentered_CD_2_0_0.25,Y,5,1,18,0.2731446144508869,0.1684465908486478,0.5584087947004658,-18.757857652683043
Uncentered_D_4_0_0.5,Y,13,7,4,0.7450444019914138,0.1441687882742156,0.1107868097343712,-26.184032916203563
Uncentered_CD_1_0_0.25,Y,5,3,16,0.2807314277553969,0.1714813161704518,0.5477872560741517,-21.271519664840135
Uncentered_D_3_0_1.0,Y,12,9,3,0.7253186873996875,0.1805854921358639,0.094095820464449,-26.34801352469644
Centered_D_3_0_1.0,Y,18,3,3,0.7450444019914138,0.1638945028659418,0.091061095142645,-17.911877190718315
BalAdjust_Raw_CD_0.25_2,Y,30,7,11,0.7465617646523157,0.1214083483606853,0.1320298869869994,-45.80047386057644
Centered_W_0_0_0.5,Y,16,7,1,0.4476413204546187,0.285283515738103,0.2670751638072788,-22.96033561527292
Uncentered_D_4_0_2.0,Y,9,14,1,0.5690303333267799,0.3474953848350857,0.0834742818381349,-22.35566505561505
Centered_CD_0_0_0.5,Y,8,11,5,0.4263982432019905,0.2503841745373567,0.3232175822606534,-27.698547243265807
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.7936000071402782,0.1198909856997833,0.0865090071599389,-38.60340026991343
Uncentered_W_2_0_0.25,Y,9,6,9,0.5675129706658779,0.1760334041531578,0.2564536251809647,-27.768180963658228
BalAdjust_Raw_CD_0.25_0,Y,16,8,24,0.5857213225967021,0.1760334041531578,0.2382452732501405,-56.8821404510313
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.6631068183027049,0.1547903269005296,0.1821028547967659,-37.82006012327928
Centered_D_0_0_0.25,Y,5,18,1,0.4749538483508549,0.1972764814057861,0.3277696702433594,-34.05481570198501
Uncentered_D_3_0_0.5,Y,16,6,2,0.7374575886869037,0.1563076895614317,0.1062347217516651,-20.49252881407184
Uncentered_W_1_0_0.25,Y,14,8,2,0.4673670350463448,0.2109327453539042,0.3217002195997513,-25.366963262029984
Uncentered_CD_0_0_0.5,Y,4,4,16,0.1031999964298611,0.1684465908486478,0.7283534127214916,-21.28039429762969
Centered_CW_0_0_1.0,Y,14,7,3,0.3368738462087715,0.3444606595132816,0.3186654942779473,-26.12392240988885
