Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CB_Pure_12,Y,21,2,2,0.3383912088696735,0.3171481316170453,0.3444606595132816,-27.182928658268345
CD_Pure_1,Y,21,3,1,0.8193951723756125,0.097130545786253,0.0834742818381349,-13.661279730297014
Dist_Pure_5,Y,20,4,1,0.5235094534997194,0.2822487904162989,0.1942417560839821,-19.64252098769065
CB_Mixed_2,Y,23,2,0,0.3490127474959876,0.2943876917035151,0.3565995608004977,-26.656592530564083
Bal_Pure_5,Y,1,24,0,0.3657037367659098,0.3095613183125352,0.3247349449215554,-29.148309797919964
Dist_Mixed_6,Y,17,6,2,0.6464158290327827,0.2033459320493941,0.1502382389178236,-20.76545470934036
CD_Pure_14,Y,5,6,14,0.4294329685237945,0.2974224170253191,0.2731446144508869,-29.670613929549035
Weight_Pure_0,Y,21,4,0,0.5644782453440739,0.2291410972847284,0.2063806573711982,-17.90259139443613
Bal_Pure_0,Y,0,25,0,0.3505301101568897,0.292870329042613,0.3565995608004977,-30.700633272986742
CW_Pure_0,Y,22,1,2,0.4112246165929703,0.3247349449215554,0.2640404384854748,-23.3375974367652
CD_Mixed_13,Y,10,3,12,0.8027041831056904,0.1047173590907631,0.092578457803547,-37.52354697309636
CB_Mixed_11,Y,18,3,4,0.3611516487832038,0.3019745050080252,0.3368738462087715,-26.27665703052544
CW_Mixed_14,Y,22,2,1,0.8376035243064367,0.0819569191772329,0.0804395565163309,-11.42200137846261
CD_Pure_13,Y,10,6,9,0.7784263805312581,0.1365819749697055,0.0849916444990369,-36.636611298043285
CW_Pure_11,Y,25,0,0,0.669176268946313,0.2063806573711982,0.1244430736824893,-10.04269430809617
Weight_Pure_3,Y,23,2,0,0.5326136294651315,0.2716272517899848,0.1957591187448841,-17.095706457144498
Bal_Mixed_3,Y,1,24,0,0.382394726035832,0.2701098891290828,0.3474953848350857,-32.37553563388977
Dist_Pure_4,Y,23,1,1,0.7602180286004339,0.1472035135960196,0.092578457803547,-10.601088168387822
Weight_Pure_7,Y,24,1,0,0.4719191230290509,0.286800878399005,0.2412799985719446,-19.27171088974276
CB_Mixed_14,Y,16,3,6,0.3611516487832038,0.3034918676689272,0.3353564835478695,-26.427885755714165
Dist_Mixed_3,Y,21,2,2,0.6206206637974484,0.2306584599456304,0.1487208762569216,-16.762742320881408
Bal_Mixed_7,Y,2,23,0,0.3717731874095179,0.3141134062952413,0.3141134062952413,-28.612970053716182
CB_Pure_15,Y,15,5,5,0.3626690114441058,0.288318241059907,0.3490127474959876,-26.695656307661565
Weight_Mixed_1,Y,24,1,0,0.4066725286102642,0.2943876917035151,0.2989397796862211,-22.81678607094802
CD_Pure_11,Y,12,4,9,0.5887560479185061,0.2503841745373567,0.1608597775441377,-28.34095586851432
CW_Mixed_7,Y,25,0,0,0.6904193461989412,0.183620217457668,0.1259604363433913,-9.26140294701296
Weight_Mixed_3,Y,23,0,2,0.3702558247486159,0.2807314277553969,0.3490127474959876,-24.95719882588874
CD_Mixed_11,Y,5,4,16,0.481023298994463,0.2640404384854748,0.2549362625200627,-30.85367735839049
CB_Mixed_9,Y,10,6,9,0.3611516487832038,0.2761793397726909,0.3626690114441058,-27.03318442012832
