Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Weight_4_CB_N,Y,17,6,2,0.5917907732403102,0.2230716466411204,0.18513758011857,-21.29312196288427
CB_2_BB_N,Y,15,6,4,0.3490127474959876,0.3019745050080252,0.3490127474959876,-27.184765915780165
Bal_4_BB_N,Y,0,23,2,0.3550821981395957,0.3217002195997513,0.3232175822606534,-28.3439678351476
CB_1_CC_N,Y,11,3,11,0.3899815393403421,0.2321758226065324,0.3778426380531259,-25.44504783723718
CD_2_BB_N,Y,9,0,16,0.4582628590809328,0.2655578011463768,0.2761793397726909,-27.61008846234308
CB_3_CB_N,Y,11,6,8,0.3884641766794401,0.2731446144508869,0.3383912088696735,-26.85604199576477
Dist_5_BB_N,Y,9,15,1,0.4506760457764227,0.292870329042613,0.2564536251809647,-26.95424588969254
CD_1_BC_N,Y,14,6,5,0.4263982432019905,0.2792140650944949,0.2943876917035151,-25.70228906999857
CW_7_BB_N,Y,17,3,5,0.4537107710982268,0.283766153077201,0.2625230758245728,-23.90091680289022
CD_7_CC_N,Y,13,3,9,0.4051551659493622,0.2579709878418667,0.3368738462087715,-25.60245238543083
CB_1_BB_N,Y,18,0,7,0.3308043955651635,0.3141134062952413,0.3550821981395957,-27.15994631407812
Weight_5_CB_N,Y,10,11,4,0.4430892324719127,0.285283515738103,0.2716272517899848,-27.150129029078283
CD_4_CC_N,Y,7,7,11,0.4612975844027367,0.2655578011463768,0.2731446144508869,-28.97273566978798
CD_2_CB_N,Y,14,1,10,0.4339850565065005,0.2610057131636707,0.3050092303298292,-24.90377786176545
CD_3_CC_N,Y,16,7,2,0.6008949492057223,0.2170021959975123,0.1821028547967659,-22.250664319357707
CD_3_BB_N,Y,7,3,15,0.6327595650846646,0.2291410972847284,0.1380993376306075,-37.32063552355175
Weight_3_CC_N,Y,8,13,4,0.4415718698110106,0.2534188998591607,0.3050092303298292,-29.13421742544268
Bal_1_CC_N,Y,4,20,1,0.3550821981395957,0.2898356037208091,0.3550821981395957,-29.945857870514384
CD_6_BC_N,Y,8,9,8,0.5204747281779154,0.2519015371982587,0.2276237346238264,-29.47305489958056
Bal_3_CC_N,Y,9,10,6,0.3945336273230481,0.1987938440666881,0.4066725286102642,-29.92380971714996
Weight_2_BB_N,Y,20,4,1,0.4658496723854428,0.2792140650944949,0.2549362625200627,-21.747693614724696
Dist_1_BB_N,Y,12,11,2,0.5933081359012121,0.2473494492155526,0.1593424148832357,-25.304381241966887
Bal_1_BC_N,Y,4,18,3,0.3429432968523796,0.2989397796862211,0.3581169234613998,-29.09668424424021
Weight_2_CB_N,Y,9,13,3,0.4704017603681489,0.2731446144508869,0.2564536251809647,-27.74073625906576
CB_3_BB_N,Y,15,8,2,0.3414259341914776,0.3232175822606534,0.3353564835478695,-27.3399264009506
CB_7_BB_N,Y,19,1,5,0.3641863741050078,0.3171481316170453,0.3186654942779473,-26.05815397690896
CD_3_BC_N,Y,16,3,6,0.6175859384756444,0.2185195586584143,0.1638945028659418,-23.12482604224852
CB_7_CB_N,Y,14,2,9,0.3641863741050078,0.285283515738103,0.3505301101568897,-26.084574989892385
CD_2_CC_N,Y,12,1,12,0.4446065951328146,0.2367279105892385,0.3186654942779473,-24.890989182211765
Weight_4_BC_N,Y,17,6,2,0.5584087947004658,0.2306584599456304,0.2109327453539042,-21.81862264625915
Weight_4_BB_N,Y,21,4,0,0.5978602238839182,0.2336931852674345,0.1684465908486478,-16.617348917368638
CB_4_CB_N,Y,18,1,6,0.379360000714028,0.286800878399005,0.3338391208869675,-25.278397349827035
CW_2_CC_N,Y,15,3,7,0.488610112298973,0.2397626359110425,0.2716272517899848,-24.15044579725456
Dist_2_CC_N,Y,21,4,0,0.781461105853062,0.1183736230388813,0.1001652711080571,-13.714025316721376
Dist_3_CC_N,Y,11,9,5,0.488610112298973,0.2443147238937486,0.2670751638072788,-27.162902697195427
CD_6_CB_N,Y,8,7,10,0.5462698934132496,0.2276237346238264,0.2261063719629244,-30.0650632010108
CB_6_CC_N,Y,17,1,7,0.385429451357636,0.2792140650944949,0.3353564835478695,-25.131455654411194
CD_4_BC_N,Y,14,8,3,0.4658496723854428,0.285283515738103,0.2488668118764546,-24.90117869894837
Dist_5_CB_N,Y,17,4,4,0.4324676938455985,0.2579709878418667,0.3095613183125352,-24.36023902521333
CD_1_CB_N,Y,10,10,5,0.4567454964200308,0.2761793397726909,0.2670751638072788,-27.30446360230079
Dist_2_CB_N,Y,20,4,1,0.7951173698011802,0.1153388977170772,0.089543732481743,-15.637861137674438
CD_2_BC_N,Y,13,4,8,0.4658496723854428,0.2685925264681809,0.2655578011463768,-25.79622106755363
Dist_4_CB_N,Y,12,4,9,0.4506760457764227,0.2898356037208091,0.2594883505027687,-26.659234822667603
CW_1_BB_N,Y,20,0,5,0.5098531895516013,0.2701098891290828,0.2200369213193163,-21.04244877923509
Bal_3_BC_N,Y,8,14,3,0.3702558247486159,0.2792140650944949,0.3505301101568897,-28.95428622319063
CB_4_BC_N,Y,12,4,9,0.3383912088696735,0.2898356037208091,0.3717731874095179,-26.86163906041857
Dist_1_CC_N,Y,14,8,3,0.5675129706658779,0.2139674706757083,0.2185195586584143,-24.82897295629077
Bal_5_CC_N,Y,5,16,4,0.379360000714028,0.3095613183125352,0.3110786809734372,-28.27877126995372
Weight_2_BC_N,Y,11,7,7,0.4749538483508549,0.2534188998591607,0.2716272517899848,-26.922165905555065
Dist_5_CC_N,Y,20,3,2,0.4658496723854428,0.2412799985719446,0.292870329042613,-21.999288029039626
CB_7_BC_N,Y,16,1,8,0.379360000714028,0.2701098891290828,0.3505301101568897,-25.203710241742293
Dist_3_CB_N,Y,13,9,3,0.4931622002816791,0.2716272517899848,0.2352105479283365,-25.26166658644422
Dist_4_CC_N,Y,16,8,1,0.4704017603681489,0.2625230758245728,0.2670751638072788,-24.086245733108136
CB_5_CB_N,Y,14,5,6,0.3429432968523796,0.2898356037208091,0.3672210994268118,-27.18561622269541
Weight_3_BC_N,Y,6,13,6,0.4112246165929703,0.2943876917035151,0.2943876917035151,-28.56599052866678
Bal_3_CB_N,Y,12,9,4,0.3657037367659098,0.2534188998591607,0.38087736337493,-28.286695034602342
CB_1_CB_N,Y,9,5,11,0.3581169234613998,0.292870329042613,0.3490127474959876,-26.961303499481076
Weight_2_CC_N,Y,9,12,4,0.5219920908388174,0.2519015371982587,0.2261063719629244,-28.342528376662823
CB_2_CB_N,Y,14,5,6,0.3596342861223018,0.286800878399005,0.3535648354786937,-26.800312840222137
Dist_2_BB_N,Y,22,3,0,0.8011868204447883,0.1077520844125672,0.091061095142645,-11.56031136796046
Dist_5_BC_N,Y,12,4,9,0.4021204406275582,0.2822487904162989,0.3156307689561433,-26.37054883722319
CB_5_BC_N,Y,13,7,5,0.3687384620877139,0.2473494492155526,0.383912088696734,-27.53506021174057
Bal_4_BC_N,Y,8,11,6,0.3474953848350857,0.2822487904162989,0.3702558247486159,-28.332027701196488
CD_5_CB_N,Y,11,6,8,0.6008949492057223,0.2215542839802183,0.1775507668140599,-28.473202160297443
CW_3_CB_N,Y,10,6,9,0.4643323097245408,0.2519015371982587,0.283766153077201,-27.28029300475381
Weight_1_BC_N,Y,12,12,1,0.3869468140185381,0.2989397796862211,0.3141134062952413,-27.041775093512456
Weight_1_CB_N,Y,7,18,0,0.4188114298974804,0.3292870329042615,0.2519015371982587,-26.08719998477368
CW_6_BC_N,Y,15,7,3,0.4279156058628925,0.2640404384854748,0.3080439556516332,-25.58654874060323
CW_4_CB_N,Y,16,2,7,0.4233635178801864,0.2943876917035151,0.2822487904162989,-25.052865350975942
Bal_5_BC_N,Y,3,21,1,0.3125960436343393,0.3080439556516332,0.379360000714028,-29.185568860733405
CW_3_BC_N,Y,11,5,9,0.4279156058628925,0.2655578011463768,0.3065265929907312,-26.608792791090835
CD_5_BB_N,Y,11,3,11,0.5993775865448202,0.2291410972847284,0.1714813161704518,-29.44684123807155
CW_5_BC_N,Y,17,2,6,0.4263982432019905,0.2640404384854748,0.3095613183125352,-24.18938648406858
CD_5_BC_N,Y,14,6,5,0.5978602238839182,0.2397626359110425,0.1623771402050397,-24.85937937318176
Weight_5_BB_N,Y,18,6,1,0.4218461552192844,0.2974224170253191,0.2807314277553969,-24.082030731605457
Bal_1_BB_N,Y,0,24,1,0.3399085715305756,0.3247349449215554,0.3353564835478695,-28.0864647865904
CW_6_BB_N,Y,16,7,2,0.4112246165929703,0.288318241059907,0.3004571423471232,-25.328584371314665
