Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.6929949413438274,0.1161119661190747,0.1908930925370982,-43.00152958693572
Uncentered_CW_2_0_0.25,Y,10,1,13,0.4125657172762393,0.2376312965483629,0.3498029861753982,-23.94564002870432
Centered_D_0_0_0.25,Y,5,18,1,0.3965411901866629,0.2763572370148394,0.3271015727984981,-28.89145776773588
BalAdjust_Adj_CD_0.25_3,Y,13,8,27,0.27368648249991,0.1121058343466806,0.6142076831534098,-47.5119302829317
BalAdjust_Raw_CW_0.25_0,Y,44,2,2,0.6863180550565039,0.1121058343466806,0.2015761105968159,-24.14202165649543
Uncentered_W_2_0_1.0,Y,11,4,9,0.6943303186012921,0.173533188190057,0.1321364932086512,-29.233706458024912
Uncentered_D_2_0_1.0,Y,11,8,5,0.4058888309889158,0.3978765674441276,0.1962346015669571,-25.43356526844557
Centered_W_0_0_0.25,Y,15,9,0,0.3431260998880746,0.4098949627613099,0.2469789373506159,-24.07154798274756
Centered_CD_0_0_0.5,Y,8,11,5,0.3044001594215982,0.4245841125934217,0.2710157279849806,-25.46628577426073
Centered_CD_4_0_0.5,Y,18,2,4,0.7731175767917098,0.1161119661190747,0.1107704570892159,-17.739415822443824
BalAdjust_Raw_CD_0.5_3,Y,12,27,9,0.4833407119218687,0.1922284697945629,0.3244308182835688,-63.38045626249279
Uncentered_W_1_0_1.0,Y,9,14,1,0.377845908582157,0.2923817641044158,0.3297723273134276,-27.084500991819613
Centered_CD_2_0_1.0,Y,8,4,12,0.2322897875185041,0.1107704570892159,0.6569397553922804,-25.521293047644555
Centered_D_2_0_1.0,Y,7,11,6,0.4940237299815863,0.3618213814925805,0.1441548885258335,-27.740054454469757
Centered_CW_2_0_0.5,Y,20,1,3,0.7597638042170627,0.1107704570892159,0.1294657386937218,-13.828265728344704
Uncentered_CD_1_0_0.5,Y,4,1,19,0.1775393199624512,0.1948992243094923,0.6275614557280569,-17.40188517892586
Centered_D_3_0_0.5,Y,20,3,1,0.640915228302704,0.2456435600931512,0.1134412116041453,-15.285253344060264
Uncentered_W_4_0_0.5,Y,20,3,1,0.7744529540491745,0.11477658886161,0.1107704570892159,-13.806565702247036
Uncentered_CD_3_0_2.0,Y,6,5,13,0.4179072263060981,0.4045534537314511,0.1775393199624512,-32.23115318198521
