Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Bal_2_BC_N,Y,8,10,7,0.2656742189551218,0.377845908582157,0.3564798724627217,-27.55690634606712
Dist_4_CC_N,Y,16,8,1,0.4245841125934217,0.2603327099252629,0.3150831774813158,-25.627599483450155
CB_1_CB_N,Y,9,5,11,0.7010072048886157,0.1308011159511865,0.1681916791601982,-32.97668159556775
CW_6_BB_N,Y,16,7,2,0.7277147500379098,0.1121058343466806,0.16017941561541,-24.06664297026374
CB_4_CB_N,Y,18,1,6,0.7197024864931215,0.1294657386937218,0.1508317748131571,-19.314392402981
CB_7_CC_N,Y,13,5,7,0.7143609774632628,0.1161119661190747,0.169527056417663,-27.56197017973519
CB_4_BB_N,Y,14,4,7,0.7317208818103039,0.13747800223851,0.1308011159511865,-26.548692645745213
Weight_5_CB_N,Y,10,11,4,0.4472855259703217,0.3404553453731452,0.2122591286565335,-26.09755542920917
Weight_4_CC_N,Y,17,5,3,0.4312609988807452,0.2950525186193453,0.27368648249991,-24.288036410145843
CD_1_CC_N,Y,8,9,8,0.3230954410261041,0.2483143146080806,0.4285902443658158,-28.35403123253884
CB_4_BC_N,Y,12,4,9,0.6515982463624216,0.1334718704661159,0.2149298831714629,-27.03237410775491
Dist_4_CB_N,Y,12,4,9,0.4406086396829982,0.3084062911939923,0.25098506912301,-26.981784227654337
CD_5_CB_N,Y,11,6,8,0.4793345801494746,0.1975699788244218,0.3230954410261041,-26.857355446735497
CD_4_CC_N,Y,7,7,11,0.3003940276492041,0.1535025293280865,0.5461034430227099,-28.19130484106249
Weight_2_BC_N,Y,11,7,7,0.400547321959057,0.3538091179477923,0.2456435600931512,-27.164257223026347
CB_3_CB_N,Y,11,6,8,0.595512401548904,0.20558224236921,0.1989053560818865,-28.11252774794398
Weight_5_CC_N,Y,11,13,1,0.3925350584142688,0.3164185547387805,0.2910463868469511,-26.47965851362852
Dist_4_BC_N,Y,16,4,5,0.3765105313246923,0.3177539319962452,0.3057355366790629,-26.14003419544925
Weight_1_CC_N,Y,10,13,2,0.4325963761382099,0.3417907226306099,0.2256129012311806,-25.31360704128486
CB_6_CB_N,Y,14,3,8,0.7116902229483333,0.1214534751489335,0.1668563019027335,-25.41122606061772
CW_4_CC_N,Y,16,6,3,0.654269000877351,0.1334718704661159,0.2122591286565335,-23.520816658233848
