Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Uncentered_CW_1_0_0.25,Y,16,2,6,0.7331327758792727,0.1178689009383464,0.1489983231823814,-20.66614117407147
Uncentered_CD_4_0_0.5,Y,9,7,8,0.7880670504275697,0.1288557558480058,0.083077193724425,-36.39086110234759
Centered_CD_3_0_2.0,Y,12,10,2,0.687354213755692,0.2698537271886348,0.0427920590556738,-23.900423934514016
Centered_CW_4_0_2.0,Y,22,2,0,0.9290650217681988,0.0427920590556738,0.028142919176128,-7.921489591908244
Centered_CW_1_0_1.0,Y,18,5,1,0.515226820171028,0.2845028670681807,0.2002703127607919,-19.82981186036981
Uncentered_CW_2_0_0.25,Y,10,1,13,0.4291631233786961,0.1691408905167569,0.4016959861045476,-22.0929816423856
Uncentered_CW_3_0_0.25,Y,17,1,6,0.4529679756829581,0.1563228931221543,0.3907091311948882,-20.95745846563305
BalAdjust_Raw_CD_0.25_3,Y,15,13,20,0.5317071025355171,0.1709720330017002,0.2973208644627833,-56.69512365040785
Centered_CD_4_0_0.5,Y,18,2,4,0.9217404518284258,0.0482854865105035,0.0299740616610712,-21.55778884201128
Centered_D_1_0_2.0,Y,11,13,0,0.4987465378065389,0.436487693318469,0.0647657688749926,-18.42916605329278
Uncentered_D_1_0_0.5,Y,11,6,7,0.6745362163610893,0.1673097480318137,0.1581540356070975,-27.967780141688515
Centered_D_0_0_0.25,Y,5,18,1,0.3485928540411938,0.4035271285894908,0.247880017369316,-22.999271762733198
Centered_W_0_0_1.0,Y,11,12,1,0.4309942658636393,0.2698537271886348,0.2991520069477265,-26.183571491083697
BalAdjust_Adj_CD_0.5_4,Y,19,9,20,0.4932531103517092,0.2222440225801107,0.2845028670681807,-52.10397639483715
Uncentered_W_3_0_0.5,Y,12,7,5,0.680029643815919,0.1801277454264164,0.1398426107576652,-26.46223802415942
Uncentered_D_0_0_0.5,Y,16,3,5,0.6580559339966002,0.1544917506372111,0.1874523153661893,-20.66944317695849
Uncentered_CW_4_0_0.5,Y,16,6,2,0.6598870764815434,0.1947768853059622,0.1453360382124949,-20.323801623734084
Centered_D_3_0_1.0,Y,18,3,3,0.7184836359997269,0.1819588879113596,0.0995574760889141,-17.984006262512942
Centered_CD_3_0_0.5,Y,13,4,7,0.7898981929125131,0.1270246133630626,0.083077193724425,-28.7354587811638
Centered_W_2_0_2.0,Y,18,4,2,0.5811479496289844,0.3687354213755694,0.0501166289954468,-19.747006793684225
Uncentered_CD_4_0_0.25,Y,14,2,8,0.7935604778823995,0.1087131885136303,0.0977263336039708,-26.27991544697323
Uncentered_W_1_0_0.25,Y,14,8,2,0.4859285404119363,0.1911146003360758,0.3229568592519886,-25.60324111672188
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.5408628149602333,0.2295685925198837,0.2295685925198837,-44.06868595424959
Uncentered_D_4_0_0.5,Y,13,7,4,0.7093279235750107,0.161816320576984,0.1288557558480058,-25.409986030975315
Uncentered_D_2_0_1.0,Y,11,8,5,0.5188891051409145,0.2661914422187483,0.2149194526403378,-25.49249194932104
Uncentered_CW_4_0_2.0,Y,4,19,1,0.5005776802914822,0.4090205560443206,0.0904017636641979,-22.15726888336337
Centered_W_3_0_1.0,Y,23,1,0,0.742288488303989,0.1471671806974381,0.1105443309985735,-8.770584256613242
Uncentered_D_4_0_2.0,Y,9,14,1,0.5280448175656306,0.4108516985292638,0.0611034839051062,-20.995674894852726
Uncentered_D_1_0_1.0,Y,15,3,6,0.6397445091471679,0.2295685925198837,0.1306868983329491,-23.32466148399022
Uncentered_CW_4_0_1.0,Y,10,11,3,0.6543936490267137,0.216750595125281,0.1288557558480058,-27.206734097758897
Centered_W_4_0_0.25,Y,24,0,0,0.9363895917079716,0.0336363466309577,0.0299740616610712,-1.5773678075322626
Centered_CW_0_0_0.25,Y,21,0,3,0.4621236881076743,0.1489983231823814,0.388877988709945,-19.043845626452164
Uncentered_CW_0_0_0.25,Y,21,1,2,0.7789113380028536,0.1105443309985735,0.1105443309985735,-11.854035108299298
Uncentered_CD_1_0_1.0,Y,3,4,17,0.279009439613351,0.2497111598542592,0.4712794005323905,-22.16850116462809
Centered_CD_4_0_0.25,Y,17,3,4,0.9327273067380852,0.0372986316008441,0.0299740616610712,-25.08000819043001
Centered_CD_0_0_2.0,Y,6,16,2,0.2753471546434645,0.5445250999301198,0.1801277454264164,-20.891973394952096
Uncentered_W_1_0_0.5,Y,12,10,2,0.4309942658636393,0.247880017369316,0.3211257167670453,-26.31987560990793
Uncentered_D_3_0_0.25,Y,18,3,3,0.78257362297274,0.1105443309985735,0.106882046028687,-17.728115171641242
Centered_CD_2_0_0.5,Y,11,3,10,0.5976282319934735,0.2185817376102243,0.1837900303963028,-27.16404931273158
Uncentered_D_0_0_2.0,Y,8,14,2,0.412682841014207,0.491421967866766,0.0958951911190276,-21.71593586332285
Uncentered_CW_0_0_1.0,Y,19,4,1,0.7624310556383646,0.1599851780920408,0.0775837662695953,-15.040714166138162
Uncentered_W_1_0_2.0,Y,1,22,1,0.247880017369316,0.5573430973247223,0.1947768853059622,-15.891344615011125
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.5079022502312551,0.1837900303963028,0.3083077193724427,-41.55815374096191
Uncentered_W_4_0_0.25,Y,14,6,4,0.9034290269789936,0.0592723414201629,0.0372986316008441,-31.530677711652743
BalAdjust_Raw_CW_0.5_3,Y,45,2,1,0.7074967810900675,0.1636474630619273,0.1288557558480058,-21.240142195409195
Centered_W_3_0_0.5,Y,24,0,0,0.7624310556383646,0.1325180408178923,0.1050509035437438,-6.509836642164753
Uncentered_D_0_0_1.0,Y,13,5,6,0.5994593744784167,0.2552045873090889,0.1453360382124949,-25.053140981445445
Centered_D_3_0_0.25,Y,19,4,1,0.8027161903071156,0.1032197610588006,0.0940640486340844,-15.622686425347164
Centered_W_1_0_2.0,Y,6,18,0,0.3430994265863641,0.5500185273849494,0.106882046028687,-17.178869675384085
Centered_CW_1_0_0.25,Y,21,1,2,0.5555119548397791,0.1654786055468705,0.279009439613351,-16.697100826805467
BalAdjust_Adj_CW_0.25_4,Y,31,8,9,0.5976282319934735,0.1654786055468705,0.2368931624596566,-43.31099971389371
Centered_W_1_0_0.25,Y,18,6,0,0.6177707993278491,0.1526606081522679,0.2295685925198837,-19.946708186906186
Centered_CW_3_0_0.5,Y,22,1,1,0.8777930321897882,0.0739214812997088,0.0482854865105035,-8.502953732969535
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.6269265117525652,0.1892834578511325,0.1837900303963028,-32.11092174455953
Uncentered_CD_3_0_2.0,Y,6,5,13,0.2753471546434645,0.5811479496289844,0.1435048957275517,-35.690104783035125
