Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CB_Pure_4,Y,18,5,2,0.4767728279872202,0.1197000434232896,0.4035271285894908,-25.761727395411764
Bal_Pure_0,Y,0,25,0,0.028142919176128,0.9437141616477444,0.028142919176128,-1.4482988388233715
Dist_Pure_4,Y,23,1,1,0.7514442007287051,0.1087131885136303,0.1398426107576652,-10.75872129106856
CD_Pure_10,Y,13,4,8,0.5573430973247223,0.1361803257877787,0.3064765768874994,-25.03547828404997
CW_Mixed_10,Y,24,1,0,0.90709131194888,0.05194777148039,0.0409609165707306,-5.297808281481815
CB_Mixed_10,Y,19,3,3,0.4016959861045476,0.1581540356070975,0.4401499782883555,-25.323611555930484
Dist_Mixed_6,Y,17,6,2,0.4419811207732987,0.4383188358034123,0.1197000434232896,-23.07468268107711
CD_Mixed_4,Y,12,2,11,0.8265210426113777,0.075752623784652,0.0977263336039708,-33.028349651111874
Weight_Pure_6,Y,22,3,0,0.5866413770838141,0.1435048957275517,0.2698537271886348,-17.55767331478356
Bal_Mixed_3,Y,1,24,0,0.0299740616610712,0.9418830191628014,0.028142919176128,-4.944403576917384
CD_Pure_13,Y,10,6,9,0.7935604778823995,0.0739214812997088,0.1325180408178923,-36.13009450017536
CB_Pure_12,Y,21,2,2,0.4236696959238664,0.1508294656673246,0.4255008384088096,-23.527011688975893
Weight_Mixed_2,Y,24,1,0,0.6836919287858054,0.1270246133630626,0.1892834578511325,-11.189323029226136
CW_Mixed_15,Y,25,0,0,0.6965099261804081,0.1197000434232896,0.1837900303963028,-9.041830858713157
CD_Pure_4,Y,15,7,3,0.8466636099457533,0.0702591963298223,0.083077193724425,-28.54968093986269
Dist_Pure_0,Y,19,5,1,0.4328254083485826,0.3925402736798314,0.1746343179715866,-22.33163787663285
CW_Pure_1,Y,25,0,0,0.8411701824909236,0.0794149087545385,0.0794149087545385,-4.324032054468391
Weight_Mixed_4,Y,22,2,1,0.5426939574451765,0.1526606081522679,0.3046454344025562,-18.39429693543797
Weight_Mixed_7,Y,24,0,1,0.5957970895085303,0.1508294656673246,0.2533734448241457,-13.801413781569815
Dist_Mixed_4,Y,22,2,1,0.7734179105480239,0.1087131885136303,0.1178689009383464,-12.2288529280323
Weight_Pure_0,Y,21,4,0,0.5829790921139276,0.1508294656673246,0.2661914422187483,-18.89810486031324
Dist_Pure_1,Y,25,0,0,0.8521570374005829,0.075752623784652,0.0720903388147656,-3.999611323477438
CB_Pure_13,Y,19,2,4,0.4309942658636393,0.1306868983329491,0.4383188358034123,-23.360685973845825
Weight_Mixed_0,Y,19,3,3,0.4547991181679014,0.1782966029414731,0.3669042788906262,-23.1509729415686
Bal_Pure_4,Y,0,23,2,0.028142919176128,0.9437141616477444,0.028142919176128,-8.473353921865485
CW_Pure_0,Y,22,1,2,0.5115645352011415,0.161816320576984,0.326619144221875,-18.805408103996115
Weight_Mixed_6,Y,21,3,1,0.4657859730775608,0.1288557558480058,0.405358271074434,-23.094778746502143
Bal_Mixed_0,Y,0,21,4,0.028142919176128,0.9437141616477444,0.028142919176128,-15.498409004907598
Bal_Pure_7,Y,3,22,0,0.138011468272722,0.7734179105480239,0.0885706211792547,-11.593841802962537
CB_Mixed_2,Y,23,2,0,0.4255008384088096,0.1691408905167569,0.405358271074434,-23.207278772276844
CB_Pure_0,Y,18,4,3,0.4529679756829581,0.1508294656673246,0.3962025586497179,-24.598720144968357
CB_Mixed_11,Y,18,3,4,0.4218385534389232,0.1361803257877787,0.4419811207732987,-24.783665516636013
Dist_Pure_6,Y,17,6,2,0.4236696959238664,0.3321125716767047,0.2442177323994295,-24.032697477360443
CW_Mixed_2,Y,24,1,0,0.7514442007287051,0.1142066159684599,0.1343491833028355,-9.02794580402006
CB_Pure_3,Y,23,2,0,0.3980337011346611,0.1526606081522679,0.4493056907130717,-24.947103962321385
CW_Pure_14,Y,22,2,1,0.5024088227764254,0.1581540356070975,0.3394371416164777,-19.912342382850447
CD_Mixed_5,Y,10,1,14,0.5738233796892115,0.1270246133630626,0.2991520069477265,-24.512959018996664
Bal_Mixed_7,Y,2,23,0,0.028142919176128,0.9418830191628014,0.0299740616610712,-8.518025488859665
CD_Pure_6,Y,7,11,7,0.5719922372042682,0.1508294656673246,0.2771782971284077,-33.699729083602406
CW_Pure_2,Y,25,0,0,0.7569376281835348,0.1050509035437438,0.138011468272722,-6.961860558898576
Weight_Pure_4,Y,21,3,1,0.5976282319934735,0.1398426107576652,0.2625291572488619,-18.04962070455904
CW_Mixed_9,Y,24,1,0,0.4346565508335258,0.1636474630619273,0.4016959861045476,-21.8068191337349
CD_Pure_14,Y,5,6,14,0.5280448175656306,0.138011468272722,0.333943714161648,-30.43034103826906
CB_Pure_6,Y,13,8,4,0.4456434057431852,0.1471671806974381,0.4071894135593773,-29.430466097919904
CB_Pure_15,Y,15,5,5,0.4547991181679014,0.161816320576984,0.3833845612551153,-25.718542479675506
Dist_Pure_5,Y,20,4,1,0.5280448175656306,0.1654786055468705,0.3064765768874994,-21.14974974684061
Dist_Mixed_3,Y,21,2,2,0.6232642267826788,0.1489983231823814,0.2277374500349404,-16.695243482301954
CW_Pure_3,Y,20,4,1,0.5719922372042682,0.1361803257877787,0.2918274370079536,-20.3792911872611
CB_Pure_11,Y,14,5,6,0.4145139834991502,0.1911146003360758,0.3943714161647746,-26.18626291229102
CD_Mixed_15,Y,7,2,16,0.5646676672644952,0.1581540356070975,0.2771782971284077,-28.21850599360684
Weight_Mixed_3,Y,23,0,2,0.4493056907130717,0.1599851780920408,0.3907091311948882,-20.28077514850873
CD_Pure_2,Y,7,7,11,0.5280448175656306,0.161816320576984,0.3101388618573859,-30.097159237722117
CD_Pure_5,Y,5,5,15,0.4859285404119363,0.1526606081522679,0.3614108514357965,-28.2722569824746
CB_Mixed_12,Y,14,6,5,0.4236696959238664,0.1599851780920408,0.4163451259840935,-27.40046434377414
CB_Mixed_8,Y,17,3,5,0.3760599913153423,0.1544917506372111,0.4694482580474473,-26.009941846681315
CB_Pure_14,Y,12,4,9,0.4291631233786961,0.1544917506372111,0.4163451259840935,-25.50764320436779
CB_Pure_2,Y,17,4,4,0.3907091311948882,0.1782966029414731,0.4309942658636393,-26.24033159902299
CD_Mixed_9,Y,10,2,13,0.8301833275812641,0.0775837662695953,0.0922329061491411,-37.95857946380288
CW_Mixed_11,Y,25,0,0,0.7624310556383646,0.1142066159684599,0.1233623283931761,-6.781079835588284
CW_Mixed_13,Y,25,0,0,0.4786039704721634,0.138011468272722,0.3833845612551153,-18.42204518821405
CD_Mixed_1,Y,8,3,14,0.522551390110801,0.161816320576984,0.3156322893122156,-26.80061917860389
Bal_Mixed_2,Y,0,24,1,0.028142919176128,0.9437141616477444,0.028142919176128,-4.960826380344429
CD_Mixed_13,Y,10,3,12,0.8576504648554126,0.0684280538448791,0.0739214812997088,-40.838525396146224
Dist_Pure_2,Y,16,8,1,0.3467617115562506,0.4328254083485826,0.2204128800951675,-25.157498656180543
CW_Mixed_8,Y,25,0,0,0.6177707993278491,0.1270246133630626,0.2552045873090889,-12.040944129739303
