Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_5_CB_N,Y,11,6,8,0.625095369267622,0.1215311859082329,0.2533734448241457,-28.79699429718175
CB_1_BB_N,Y,18,0,7,0.4273319808937529,0.1728031754866434,0.3998648436196044,-21.7198944696394
CD_4_BC_N,Y,14,8,3,0.5170579626559713,0.1526606081522679,0.3302814291917615,-27.594139230262805
CB_6_CC_N,Y,17,1,7,0.3907091311948882,0.1361803257877787,0.4731105430173337,-23.20922122697505
CW_6_CC_N,Y,12,10,3,0.4602925456227311,0.1636474630619273,0.3760599913153423,-30.345143869339083
Dist_1_CC_N,Y,14,8,3,0.5188891051409145,0.2130883101553946,0.2680225847036915,-25.50335211698006
Weight_3_BC_N,Y,6,13,6,0.2991520069477265,0.4511368331980149,0.2497111598542592,-25.91332265715293
Weight_2_BC_N,Y,11,7,7,0.3119700043423292,0.4456434057431852,0.2423865899144863,-28.391533330309034
Weight_1_CB_N,Y,7,18,0,0.2881651520380671,0.5298759600505739,0.1819588879113596,-20.141572704797177
Dist_4_CB_N,Y,12,4,9,0.5207202476258577,0.1453360382124949,0.333943714161648,-25.41638024788451
CB_2_BB_N,Y,15,6,4,0.4145139834991502,0.1728031754866434,0.412682841014207,-27.283644495889195
CW_6_BC_N,Y,15,7,3,0.4767728279872202,0.1728031754866434,0.3504239965261371,-26.545775936990648
Dist_3_CC_N,Y,11,9,5,0.5133956776860847,0.2423865899144863,0.2442177323994295,-27.13726038990929
CD_6_CB_N,Y,8,7,10,0.5500185273849494,0.1306868983329491,0.3192945742821021,-30.443494580454512
Weight_1_BB_N,Y,15,9,1,0.4804351129571066,0.1746343179715866,0.3449305690713073,-27.76590856311812
Bal_2_CC_N,Y,4,16,5,0.3247880017369318,0.3394371416164777,0.3357748566465912,-27.24236649702541
CW_5_CB_N,Y,18,1,6,0.5481873849000062,0.1416737532426085,0.3101388618573859,-19.79912514926164
CD_2_BB_N,Y,9,0,16,0.546356242415063,0.1306868983329491,0.3229568592519886,-23.52414095411544
CB_4_BB_N,Y,14,4,7,0.4236696959238664,0.1599851780920408,0.4163451259840935,-25.48759759965385
CB_7_CB_N,Y,14,2,9,0.4346565508335258,0.1526606081522679,0.412682841014207,-23.38954679486028
CB_1_BC_N,Y,10,4,11,0.4236696959238664,0.1636474630619273,0.412682841014207,-25.564009710577672
Weight_3_CB_N,Y,12,9,4,0.3174634317971588,0.4657859730775608,0.216750595125281,-26.761004703706146
Bal_5_BC_N,Y,3,21,1,0.2112571676704513,0.6104462293880761,0.1782966029414731,-16.753210436216015
Dist_4_BC_N,Y,16,4,5,0.5353693875054035,0.1508294656673246,0.3138011468272724,-23.358173929884963
Weight_4_BB_N,Y,21,4,0,0.6342510816923381,0.1270246133630626,0.2387243049445998,-17.81501549695728
CW_1_CB_N,Y,17,4,4,0.5500185273849494,0.1398426107576652,0.3101388618573859,-22.71454770973224
Bal_2_CB_N,Y,5,10,10,0.2991520069477265,0.4712794005323905,0.2295685925198837,-28.27259294989999
CB_5_CB_N,Y,14,5,6,0.4383188358034123,0.1526606081522679,0.4090205560443206,-26.308951303302884
CD_6_CC_N,Y,9,7,9,0.5664988097494386,0.1325180408178923,0.3009831494326698,-30.06808707590945
Bal_2_BB_N,Y,1,23,1,0.0299740616610712,0.9418830191628014,0.028142919176128,-8.454988876395214
CW_1_BC_N,Y,16,0,9,0.5188891051409145,0.1306868983329491,0.3504239965261371,-19.934544373584025
CW_4_CC_N,Y,16,6,3,0.4712794005323905,0.1709720330017002,0.35774856646591,-25.718172776521666
Dist_4_CC_N,Y,16,8,1,0.4786039704721634,0.161816320576984,0.3595797089508532,-27.38327561005845
Bal_5_CB_N,Y,2,20,3,0.2368931624596566,0.5774856646590979,0.185621172881246,-18.91386742283261
Weight_5_BC_N,Y,10,10,5,0.3247880017369318,0.4035271285894908,0.271684869673578,-26.836503980512006
CW_3_CB_N,Y,10,6,9,0.4456434057431852,0.2387243049445998,0.3156322893122156,-27.055633885968398
CD_5_BC_N,Y,14,6,5,0.625095369267622,0.1251934708781193,0.2497111598542592,-25.98253647631937
CB_5_BB_N,Y,15,4,6,0.4273319808937529,0.1508294656673246,0.4218385534389232,-25.498128890057096
Bal_5_CC_N,Y,5,16,4,0.2460488748843727,0.515226820171028,0.2387243049445998,-23.351277900872077
Weight_2_CB_N,Y,9,13,3,0.3614108514357965,0.4273319808937529,0.2112571676704513,-24.876219362178528
CW_5_CC_N,Y,16,5,4,0.5957970895085303,0.1215311859082329,0.2826717245832374,-23.87748000842263
Dist_5_BB_N,Y,9,15,1,0.4474745482281284,0.3083077193724427,0.2442177323994295,-26.296769259278264
CD_4_BB_N,Y,5,8,12,0.5317071025355171,0.1654786055468705,0.302814291917613,-31.885246127117547
CB_4_CC_N,Y,18,2,5,0.4383188358034123,0.1526606081522679,0.4090205560443206,-23.07558202282309
Bal_1_CC_N,Y,4,20,1,0.1837900303963028,0.5976282319934735,0.2185817376102243,-18.59216857745689
CD_3_BC_N,Y,16,3,6,0.6342510816923381,0.1361803257877787,0.2295685925198837,-22.09561253671874
CB_6_BC_N,Y,13,5,7,0.381553418770172,0.1563228931221543,0.4621236881076743,-27.20817421565497
Bal_3_CC_N,Y,9,10,6,0.2625291572488619,0.4767728279872202,0.2606980147639186,-27.510045120891647
CB_2_CB_N,Y,14,5,6,0.4236696959238664,0.1489983231823814,0.4273319808937529,-26.643481754076277
CB_7_CC_N,Y,13,5,7,0.4273319808937529,0.1416737532426085,0.4309942658636393,-26.715288573160844
Dist_2_BC_N,Y,21,4,0,0.7752490530329671,0.1087131885136303,0.1160377584534032,-14.222158443496324
Weight_5_BB_N,Y,18,6,1,0.5005776802914822,0.1306868983329491,0.3687354213755694,-25.663246105412995
CD_3_BB_N,Y,7,3,15,0.6177707993278491,0.1361803257877787,0.2460488748843727,-30.38616666200068
Dist_1_BB_N,Y,12,11,2,0.4804351129571066,0.3376059991315344,0.1819588879113596,-24.14933943165717
Weight_3_CC_N,Y,8,13,4,0.3614108514357965,0.3522551390110803,0.2863340095531239,-26.708498147096527
CW_2_CC_N,Y,15,3,7,0.5133956776860847,0.1526606081522679,0.333943714161648,-23.3167203952
CB_6_BB_N,Y,17,3,5,0.3760599913153423,0.1691408905167569,0.4547991181679014,-25.89667914740924
CB_7_BB_N,Y,19,1,5,0.4529679756829581,0.1325180408178923,0.4145139834991502,-21.471022478704217
CD_2_CB_N,Y,14,1,10,0.5591742398096656,0.1197000434232896,0.3211257167670453,-21.620110392508685
CW_2_BB_N,Y,18,3,4,0.4932531103517092,0.1837900303963028,0.3229568592519886,-22.324020954633134
Weight_5_CB_N,Y,10,11,4,0.3430994265863641,0.4163451259840935,0.2405554474295431,-26.035216727326983
CW_3_BB_N,Y,17,2,6,0.5060711077463118,0.1508294656673246,0.3430994265863641,-21.77994843322371
Bal_1_CB_N,Y,0,21,4,0.1508294656673246,0.7514442007287051,0.0977263336039708,-15.303261668131032
CB_2_BC_N,Y,13,7,5,0.3980337011346611,0.161816320576984,0.4401499782883555,-28.82809444014759
Bal_1_BC_N,Y,4,18,3,0.1123754734835167,0.7404573458190457,0.1471671806974381,-19.900966933762756
CD_5_BB_N,Y,11,3,11,0.6324199392073949,0.1489983231823814,0.2185817376102243,-27.47822651414181
CD_2_BC_N,Y,13,4,8,0.515226820171028,0.1435048957275517,0.3412682841014209,-24.987159965156327
CB_5_BC_N,Y,13,7,5,0.3742288488303991,0.1581540356070975,0.467617115562504,-29.48736897362496
CW_1_CC_N,Y,15,1,9,0.5317071025355171,0.1306868983329491,0.3376059991315344,-21.282770129938083
Bal_4_CB_N,Y,5,11,9,0.1966080277909054,0.6781985013309758,0.1251934708781193,-31.10523878557409
Dist_3_CB_N,Y,13,9,3,0.4712794005323905,0.2845028670681807,0.2442177323994295,-25.322146847153213
CD_4_CB_N,Y,10,6,9,0.515226820171028,0.1508294656673246,0.333943714161648,-27.85215854468385
Bal_1_BB_N,Y,0,24,1,0.028142919176128,0.9437141616477444,0.028142919176128,-4.960826380344429
CD_7_CC_N,Y,13,3,9,0.436487693318469,0.1343491833028355,0.4291631233786961,-24.412139065927
CD_3_CB_N,Y,17,0,8,0.6049528019332464,0.1361803257877787,0.2588668722789754,-19.35581308316896
CD_1_BC_N,Y,14,6,5,0.4932531103517092,0.1563228931221543,0.3504239965261371,-26.27230628989189
CB_4_CB_N,Y,18,1,6,0.4309942658636393,0.1599851780920408,0.4090205560443206,-22.346502172612063
CD_7_BC_N,Y,10,5,10,0.4547991181679014,0.1563228931221543,0.388877988709945,-26.603048859019797
CW_2_BC_N,Y,13,3,9,0.5188891051409145,0.1270246133630626,0.3540862814960235,-24.06290133408499
Dist_2_CB_N,Y,20,4,1,0.8246899001264344,0.0629346263900494,0.1123754734835167,-17.103501482409975
