WID,Strategy,CVOrder,CVLLH
S179,base_strats,0,-45.16544262637081
S179,base_strats,1,-47.86609982646464
S179,base_strats,10,-40.7610014732889
S179,base_strats,11,-39.81061855133432
S179,base_strats,12,-47.98982051158749
S179,base_strats,13,-37.76653092114587
S179,base_strats,14,-35.670957602127515
S179,base_strats,15,-45.1788180206368
S179,base_strats,16,-44.088767462791004
S179,base_strats,17,-46.948987272991744
S179,base_strats,18,-48.7496724884418
S179,base_strats,19,-40.59092599887141
S179,base_strats,2,-42.14068525358876
S179,base_strats,20,-36.418045896797054
S179,base_strats,21,-40.88273302975183
S179,base_strats,22,-35.40927942157866
S179,base_strats,23,-47.03450420274434
S179,base_strats,24,-32.79915136253857
S179,base_strats,25,-37.25353736029852
S179,base_strats,26,-38.47356134495936
S179,base_strats,27,-49.94536684492167
S179,base_strats,28,-42.577055865505095
S179,base_strats,29,-47.706754973791206
S179,base_strats,3,-40.5723821029193
S179,base_strats,30,-36.676129061803024
S179,base_strats,31,-45.57305764056667
S179,base_strats,32,-33.15716596366143
S179,base_strats,33,-43.68517195360558
S179,base_strats,34,-45.25310794246211
S179,base_strats,35,-39.70219646181929
S179,base_strats,36,-32.71593627447647
S179,base_strats,37,-44.98651748351541
S179,base_strats,38,-39.48111386832158
S179,base_strats,39,-45.168556042176405
S179,base_strats,4,-41.05024759579024
S179,base_strats,40,-38.83481044288175
S179,base_strats,41,-44.39098738157333
S179,base_strats,42,-51.5919904597361
S179,base_strats,43,-39.33244070746937
S179,base_strats,44,-35.965995686541504
S179,base_strats,45,-38.25244958038853
S179,base_strats,46,-45.94476254622603
S179,base_strats,47,-42.77578490167284
S179,base_strats,48,-43.70798300070184
S179,base_strats,49,-44.90460624805061
S179,base_strats,5,-47.51533743500305
S179,base_strats,6,-34.853717577652475
S179,base_strats,7,-47.50983757367403
S179,base_strats,8,-32.66489160554647
S179,base_strats,9,-39.77468727860784
S129,base_strats,0,-63.90197989227056
S129,base_strats,1,-63.65483230881303
S129,base_strats,10,-61.51133885116633
S129,base_strats,11,-63.41944141734415
S129,base_strats,12,-68.75824009542124
