Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_0.25,Y,8,6,10,0.1881968407319348,0.2110925943699543,0.6007105648981116,-27.791305641546654
Uncentered_W_1_0_2.0,Y,1,22,1,0.3422168358860168,0.3437292933266171,0.3140538707873667,-25.72432059158293
Uncentered_D_2_0_0.5,Y,16,3,5,0.3723641970491143,0.2432236815939729,0.3844121213569135,-24.82764769099226
BalAdjust_Raw_CD_0.25_1,Y,12,25,11,0.2327303071954792,0.1738125041698789,0.5934571886346425,-66.9786449967109
Centered_CW_2_0_1.0,Y,19,1,4,0.6503610666240851,0.1808612417964306,0.1687776915794848,-17.00104070028455
Uncentered_CD_4_0_1.0,Y,10,4,10,0.162735916471012,0.178847316760273,0.6584167667687156,-29.220328268421863
Uncentered_W_1_0_1.0,Y,9,14,1,0.3486183757613587,0.3198844058717263,0.3314972183669156,-26.54527089015141
Centered_D_2_0_0.5,Y,14,7,3,0.2693832597206625,0.4425293698701829,0.2880873704091553,-27.80289571998616
Centered_D_4_0_2.0,Y,22,2,0,0.6906395673472377,0.1436036286275145,0.1657568040252484,-12.024415140540826
Centered_W_3_0_0.5,Y,24,0,0,0.6533819541783215,0.162735916471012,0.1838821293506671,-10.21424156481584
Uncentered_CW_0_0_1.0,Y,19,4,1,0.6443192915156122,0.1687776915794848,0.1869030169049035,-17.145513628431868
BalAdjust_Raw_CW_0.25_2,Y,42,1,5,0.6402914414432969,0.206035304748401,0.1536732538083026,-29.669277857400377
Uncentered_CW_2_0_2.0,Y,8,11,5,0.3125060484872563,0.1778403542421942,0.5096535972705502,-31.67073085559832
BalAdjust_Raw_CW_0.5_4,Y,35,4,9,0.6584167667687156,0.1687776915794848,0.1728055416518001,-37.544087378665125
Centered_CD_0_0_2.0,Y,6,16,2,0.3652943144312809,0.1657568040252484,0.4689488815434712,-36.31257209188897
Uncentered_W_4_0_1.0,Y,20,3,1,0.6654655043952673,0.1717985791337213,0.162735916471012,-15.245293688322686
BalAdjust_Adj_CW_0.25_4,Y,31,8,9,0.6634515793591097,0.162735916471012,0.1738125041698789,-42.99229696781326
Centered_CW_3_0_0.5,Y,22,1,1,0.666472466913346,0.1617289539529331,0.1717985791337213,-12.509907912495978
BalAdjust_Adj_CW_0.5_0,Y,31,7,10,0.6453262540336909,0.1728055416518001,0.1818682043145095,-42.91182590291082
Uncentered_W_2_0_0.25,Y,9,6,9,0.661437654322952,0.1728055416518001,0.1657568040252484,-30.428688467110195
BalAdjust_Raw_CD_0.5_4,Y,20,12,16,0.199997727927124,0.162735916471012,0.6372663556018646,-61.18558501610418
Uncentered_CD_2_0_1.0,Y,9,4,11,0.1979796046037705,0.1587080663986967,0.6433123289975333,-26.791450935513577
Uncentered_D_4_0_1.0,Y,16,6,2,0.3429044429175375,0.336968623046015,0.3201269340364482,-25.92952354718791
BalAdjust_Adj_CW_0.5_2,Y,37,3,8,0.6543889166964003,0.1637428789890908,0.1818682043145095,-34.754134654040655
BalAdjust_Raw_CW_0.25_4,Y,38,6,4,0.6443192915156122,0.1697846540975637,0.1858960543868247,-34.07293024427285
Centered_CW_0_0_0.5,Y,20,2,2,0.6503610666240851,0.1707916166156425,0.178847316760273,-15.581619460100104
Uncentered_CD_4_0_2.0,Y,15,8,1,0.5388597085820316,0.1597150289167755,0.3014252625011935,-25.148646490316672
BalAdjust_Adj_CW_0.5_3,Y,36,6,6,0.6109975681587128,0.1617289539529331,0.2272734778883547,-37.55645103879189
Uncentered_D_0_0_2.0,Y,8,14,2,0.6491360916645844,0.186250914214235,0.1646129941211812,-30.594466404177155
Uncentered_W_2_0_1.0,Y,11,4,9,0.6624446168410308,0.1607219914348543,0.1768333917241154,-27.435243726125695
Centered_CW_1_0_2.0,Y,10,12,2,0.640751041715785,0.1506523662540662,0.2085965920301494,-30.29921270620748
Centered_CW_3_0_1.0,Y,21,3,0,0.6735212045398978,0.1738125041698789,0.1526662912902238,-13.549286159111094
BalAdjust_Adj_CD_0.5_5,Y,22,12,14,0.3447748291959277,0.1637428789890908,0.4914822918149821,-55.08510824333037
Uncentered_D_1_0_0.5,Y,11,6,7,0.3343339779139073,0.3264779577195683,0.3391880643665251,-26.33652437217617
Uncentered_D_3_0_0.25,Y,18,3,3,0.319978359831874,0.3294997001273447,0.3505219400407819,-26.986569837557774
BalAdjust_Raw_CW_0.25_3,Y,35,8,5,0.6735212045398978,0.178847316760273,0.1476314786998297,-37.168216108707895
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.6372705538890605,0.1879099794229823,0.1748194666879577,-34.12807673169978
Centered_D_1_0_1.0,Y,16,6,2,0.3498638525956568,0.3435092421930545,0.3066269052112895,-25.578873780425823
Uncentered_D_0_0_1.0,Y,13,5,6,0.355000039368637,0.3281092447819488,0.3168907158494148,-25.930519092362985
BalAdjust_Adj_CD_0.25_4,Y,18,10,20,0.1828751668325883,0.1728055416518001,0.6443192915156122,-56.92822829568852
Centered_D_2_0_2.0,Y,6,14,4,0.263277936640748,0.4590656848913818,0.2776563784678709,-24.032621630566048
Uncentered_CW_0_0_2.0,Y,16,4,4,0.6535490815501354,0.1607219914348543,0.1857289270150109,-20.851587160277127
Centered_W_1_0_1.0,Y,15,9,0,0.666472466913346,0.1647498415071696,0.1687776915794848,-22.31629036119364
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.6553958792144792,0.178847316760273,0.1657568040252484,-30.974458874767336
Centered_D_4_0_0.25,Y,21,1,2,0.3435174455738776,0.3296201362472195,0.3268624181789036,-25.78511126126177
Centered_CD_1_0_2.0,Y,7,6,11,0.603108995385896,0.1728055416518001,0.2240854629623045,-30.52613698092256
Centered_CD_4_0_2.0,Y,18,5,1,0.6674794294314249,0.1818682043145095,0.1506523662540662,-17.691586055554964
BalAdjust_Adj_CW_0.25_1,Y,22,8,18,0.6433123289975333,0.1778403542421942,0.178847316760273,-54.50171141084619
Centered_CD_2_0_2.0,Y,6,11,7,0.6482175977718713,0.1728055416518001,0.1789768605763292,-33.9561361911524
Centered_CW_0_0_0.25,Y,21,0,3,0.6715072795037402,0.1536732538083026,0.1748194666879577,-13.594843240161367
Centered_CW_2_0_0.25,Y,19,2,3,0.6553958792144792,0.1768333917241154,0.167770729061406,-16.84836615090357
Centered_D_4_0_0.5,Y,23,0,1,0.4039351648557767,0.3005447975826865,0.2955200375615375,-22.06853926481852
Uncentered_D_4_0_2.0,Y,9,14,1,0.6274981265792391,0.1808381031053,0.1916637703154615,-29.78828746347085
