Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Dist_Mixed_1,Y,21,3,1,0.2548661751361774,0.4770726710057602,0.2680611538580629,-32.24414966155089
CB_Mixed_10,Y,19,3,3,0.6684863919495038,0.1697846540975637,0.1617289539529331,-18.437219098913243
CD_Mixed_0,Y,9,2,14,0.162735916471012,0.1919378294952976,0.6453262540336909,-25.773796133690148
CB_Mixed_11,Y,18,3,4,0.6644585418771884,0.1687776915794848,0.1667637665433272,-19.8603170208638
CW_Pure_2,Y,25,0,0,0.6604306918048732,0.1838821293506671,0.1556871788444603,-10.37157733619555
Dist_Pure_5,Y,20,4,1,0.3267315105550804,0.3612702850138998,0.3119982044310204,-27.609603681300623
Weight_Pure_4,Y,21,3,1,0.6483471415879274,0.1919378294952976,0.1597150289167755,-15.886024701969546
CW_Mixed_0,Y,24,1,0,0.6624446168410308,0.1667637665433272,0.1707916166156425,-11.674816763708058
CD_Pure_12,Y,9,4,12,0.1597150289167755,0.1858960543868247,0.6543889166964003,-28.328188689641323
CW_Mixed_7,Y,25,0,0,0.6594237292867944,0.1768333917241154,0.1637428789890908,-10.40972407031112
CW_Mixed_15,Y,25,0,0,0.6553958792144792,0.1778403542421942,0.1667637665433272,-10.56289575432844
CW_Mixed_5,Y,24,1,0,0.6514098109851174,0.1751790964779521,0.1734110925369311,-12.028738216820278
CB_Mixed_5,Y,13,5,7,0.6493541041060062,0.1778403542421942,0.1728055416518001,-26.53656581025411
CB_Mixed_1,Y,19,6,0,0.6463332165517698,0.1758264292060366,0.1778403542421942,-18.72190957822425
CB_Pure_6,Y,13,8,4,0.6543889166964003,0.1758264292060366,0.1697846540975637,-26.51165588364647
CW_Mixed_12,Y,23,0,2,0.6564028417325579,0.1808612417964306,0.162735916471012,-13.313806654393892
CW_Pure_5,Y,23,2,0,0.6715072795037402,0.1597150289167755,0.1687776915794848,-12.828027957602377
CW_Mixed_11,Y,25,0,0,0.6453262540336909,0.1909308669772188,0.1637428789890908,-10.94998174657526
Weight_Mixed_7,Y,24,0,1,0.6312287787805876,0.1738125041698789,0.1949587170495341,-12.677053451813478
CB_Mixed_9,Y,10,6,9,0.3157969945972284,0.3417533072800824,0.3424496981226899,-27.61322818536921
CB_Pure_8,Y,10,6,9,0.6483471415879274,0.1748194666879577,0.1768333917241154,-30.390224390817355
CW_Pure_7,Y,24,1,0,0.6503610666240851,0.1808612417964306,0.1687776915794848,-12.035487158532838
CB_Pure_11,Y,14,5,6,0.6574098042506368,0.1728055416518001,0.1697846540975637,-25.28955593870247
CD_Mixed_5,Y,10,1,14,0.1978542590749101,0.1566941413625391,0.6454515995625515,-24.18497610334489
CW_Mixed_8,Y,25,0,0,0.6584167667687156,0.18992390445914,0.151659328772145,-10.44792910032288
Bal_Mixed_4,Y,0,24,1,0.0572189936177289,0.8933480187612972,0.0494329876209745,-5.713834640883222
CB_Pure_12,Y,21,2,2,0.6367067848468829,0.1727637598088467,0.190529455344271,-16.307924036819834
CB_Mixed_8,Y,17,3,5,0.6493541041060062,0.1707916166156425,0.1798542792783518,-21.22018545725085
CW_Pure_4,Y,23,2,0,0.6463332165517698,0.1748194666879577,0.178847316760273,-13.52612505402751
CW_Pure_13,Y,25,0,0,0.6604306918048732,0.1657568040252484,0.1738125041698789,-10.37157733619555
CD_Mixed_14,Y,7,7,11,0.1838821293506671,0.1728055416518001,0.6433123289975333,-28.99571506030231
Bal_Pure_0,Y,0,25,0,0.0170477079156907,0.966111108012256,0.0168411840720539,-0.8619108184382197
Weight_Mixed_1,Y,24,1,0,0.6543889166964003,0.1919378294952976,0.1536732538083026,-11.82786609431815
CD_Pure_1,Y,21,3,1,0.1798542792783518,0.167770729061406,0.6523749916602427,-41.81038118669429
CD_Pure_7,Y,4,7,14,0.1647498415071696,0.2020074546760858,0.6332427038167452,-24.806084183564025
CD_Mixed_12,Y,17,4,4,0.1786384075455057,0.1476314786998297,0.6737301137546652,-38.51250412755719
Bal_Pure_4,Y,0,23,2,0.0177962126587987,0.9677652682815444,0.0144385190596575,-9.229322806733888
CB_Pure_5,Y,17,6,2,0.6553958792144792,0.1647498415071696,0.1798542792783518,-21.433948149718425
Bal_Pure_3,Y,1,24,0,0.0267446267191514,0.9404322745188964,0.0328230987619526,-5.09539712608505
CD_Pure_5,Y,5,5,15,0.1657568040252484,0.1768333917241154,0.6574098042506368,-23.940619963940204
CW_Pure_9,Y,24,0,1,0.6553958792144792,0.1758264292060366,0.1687776915794848,-11.919552788598644
CD_Pure_10,Y,13,4,8,0.1717985791337213,0.1687776915794848,0.6594237292867944,-33.34642617940794
CD_Pure_2,Y,7,7,11,0.1617289539529331,0.1738125041698789,0.6644585418771884,-29.497891862097557
Dist_Pure_6,Y,17,6,2,0.2890507780605408,0.402547184901035,0.3084020370384248,-28.911959183246687
CB_Mixed_0,Y,14,5,6,0.6179251585435999,0.1858960543868247,0.196178787069576,-24.92464222550567
CW_Mixed_2,Y,24,1,0,0.6765420920941343,0.1687776915794848,0.1546802163263815,-11.157427574438383
Weight_Pure_0,Y,21,4,0,0.631354124309448,0.2080492297845587,0.1605966459059939,-15.93757779699237
CB_Pure_14,Y,12,4,9,0.6390084578134223,0.192297459285292,0.1686940829012864,-27.985913701546703
CB_Pure_2,Y,17,4,4,0.6674794294314249,0.1647498415071696,0.167770729061406,-21.22613003965014
CB_Mixed_7,Y,13,6,6,0.6523749916602427,0.1496454037359874,0.1979796046037705,-26.667232758777363
CW_Mixed_1,Y,23,1,1,0.6543889166964003,0.1738125041698789,0.1717985791337213,-13.264439562720824
CB_Mixed_3,Y,12,4,9,0.6433123289975333,0.1607219914348543,0.1959656795676129,-27.27415755148093
CB_Pure_3,Y,23,2,0,0.6433123289975333,0.1939517545314552,0.162735916471012,-13.426165194409704
Weight_Pure_1,Y,23,2,0,0.6564028417325579,0.1758264292060366,0.167770729061406,-13.159069518137354
CW_Pure_12,Y,23,2,0,0.6483471415879274,0.1728055416518001,0.178847316760273,-13.477744022909402
Bal_Mixed_7,Y,2,23,0,0.0221595595300361,0.9595892175320956,0.0182512229378689,-8.567722231684316
Dist_Pure_2,Y,16,8,1,0.2310702018798814,0.541019878012213,0.2279099201079063,-29.833738243306414
Dist_Mixed_5,Y,17,8,0,0.2862240309713499,0.4440736193056527,0.269702349722998,-27.760787013734426
Weight_Mixed_0,Y,19,3,3,0.6493541041060062,0.167770729061406,0.1828751668325883,-18.656090167135417
Bal_Pure_2,Y,2,21,2,0.026342855147871,0.9427145439341832,0.0309426009179465,-15.463185941072156
