Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_D_4_0_0.25,Y,21,1,2,0.8928290812156511,0.0535854614454486,0.0535854573389008,-11.159995033060238
Uncentered_W_0_0_1.0,Y,17,4,3,0.6481910605993633,0.2390655389433767,0.1127434004572605,-19.64267892825375
Centered_W_4_0_0.5,Y,22,1,1,0.8928292284647208,0.0535853857676398,0.0535853857676398,-8.346876701477344
BalAdjust_Raw_CW_0.25_1,Y,22,12,14,0.7119120035190765,0.1776613363862868,0.1104266600946372,-59.05778662410673
Centered_W_3_0_1.0,Y,23,1,0,0.84348908435906,0.1029255298733006,0.0535853857676398,-6.188540876502431
Centered_D_4_0_1.0,Y,20,3,1,0.8911506897408046,0.0552638992656199,0.0535854109935761,-13.918219460782735
Centered_CD_1_0_0.25,Y,8,3,13,0.2364341551003828,0.187819601349217,0.5757462435504007,-23.730651664228013
Uncentered_CW_4_0_2.0,Y,4,19,1,0.3284811124472584,0.4216365906083106,0.2498822969444316,-22.24848745788121
Uncentered_W_3_0_1.0,Y,15,6,3,0.7874081076152504,0.1123145344698035,0.1002773579149466,-23.60328711827146
Uncentered_W_3_0_2.0,Y,8,15,1,0.5548687136431102,0.2933974743333387,0.1517338120235517,-24.99122281545111
BalAdjust_Raw_CW_0.5_2,Y,39,6,3,0.7484367479202134,0.186368420640227,0.06519483143956,-29.572278874853826
Uncentered_CW_1_0_1.0,Y,19,2,3,0.8217213737242097,0.1239676501536559,0.0543109761221348,-16.645280221419775
Centered_CD_0_0_0.5,Y,8,11,5,0.2051386009812141,0.4080944830442619,0.3867669159745245,-27.28104277440006
Centered_D_0_0_0.25,Y,5,18,1,0.3750857674500382,0.4114962324390698,0.2134180001108926,-22.43070288682736
Centered_W_1_0_2.0,Y,6,18,0,0.4765575893261201,0.4041071049676515,0.119335305706229,-20.75635607229836
Centered_W_0_0_1.0,Y,11,12,1,0.4398749570991617,0.3649778480603985,0.1951471948404403,-22.762937159247585
Uncentered_D_2_0_0.25,Y,12,7,5,0.5300395687947154,0.2843858327537942,0.185574598451491,-24.841098831990195
Uncentered_CW_3_0_2.0,Y,4,18,2,0.0871551617682109,0.5266109146239977,0.3862339236077919,-23.206164767350916
BalAdjust_Adj_CD_0.5_0,Y,15,17,16,0.4722544097852812,0.2226479383649776,0.3050976518497417,-55.78431527570832
BalAdjust_Adj_CW_0.5_4,Y,25,10,13,0.7919721691899142,0.1522656739789614,0.0557621568311248,-62.17858780435528
Centered_W_4_0_2.0,Y,21,3,0,0.8921036381102259,0.0543109761221348,0.0535853857676398,-11.136719107329853
Centered_W_2_0_0.25,Y,24,0,0,0.8594520721579504,0.0847857710109253,0.0557621568311248,-3.635045236390857
BalAdjust_Raw_CW_0.5_1,Y,38,6,4,0.8180934219517346,0.126144421217141,0.0557621568311248,-31.59819846348676
Centered_W_2_0_0.5,Y,23,1,0,0.8253493254966847,0.1203396983811809,0.0543109761221348,-6.532253536287616
Uncentered_CW_0_0_1.0,Y,19,4,1,0.8287499702927558,0.1159861562542108,0.055263873453034,-15.081672310648518
