Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_6_CC_N,Y,9,7,9,0.3482377475770751,0.2130406054148515,0.438721647008074,-27.732747274284137
CW_5_CB_N,Y,18,1,6,0.6906078684469746,0.2237844720736989,0.085607659479327,-22.908250796335057
CB_1_CC_N,Y,11,3,11,0.5849157799955627,0.1981615103164152,0.2169227096880227,-27.56553592350352
CD_3_CC_N,Y,16,7,2,0.4760916872359617,0.172320209645814,0.3515881031182248,-26.27371301197392
CB_4_BB_N,Y,14,4,7,0.5662609396666918,0.3184258651583191,0.1153131951749896,-27.65999024730961
CB_2_CC_N,Y,17,5,3,0.5824859481238255,0.2300874806343486,0.1874265712418265,-21.557236542743183
CD_6_BB_N,Y,4,7,14,0.2389345318408283,0.2277270708464427,0.5333383973127297,-24.88390303614608
CB_1_BC_N,Y,10,4,11,0.5873288143655448,0.202786028845072,0.2098851567893836,-28.877262629143654
CW_3_CC_N,Y,9,4,12,0.4670095993448551,0.2683702021866876,0.2646201984684578,-28.06771712876731
CB_3_BB_N,Y,15,8,2,0.572965931144927,0.2874527880647371,0.1395812807903364,-22.265724875432333
CD_1_CB_N,Y,10,10,5,0.3160587223173863,0.3409729170345159,0.3429683606480984,-27.628380191197436
Weight_1_CB_N,Y,7,18,0,0.5034559418660807,0.3657482200653588,0.130795838068561,-22.90839542204797
Bal_4_CB_N,Y,5,11,9,0.3486935617525182,0.42474049930435,0.2265659389431324,-28.04932799317082
CW_5_BC_N,Y,17,2,6,0.6255577996972745,0.2294581907403589,0.1449840095623671,-22.505756123942604
CD_1_BB_N,Y,9,6,10,0.1961773278542976,0.2835538593039257,0.5202688128417773,-28.7548423491918
CW_1_BC_N,Y,16,0,9,0.6570907428410658,0.2124460033901151,0.1304632537688196,-25.048903498912164
Weight_2_BC_N,Y,11,7,7,0.4754020172390872,0.3230783643157883,0.2015196184451251,-27.301641669713568
CB_2_BB_N,Y,15,6,4,0.5849426513324406,0.2756160342431135,0.1394413144244465,-23.65654720524261
CW_7_CB_N,Y,18,4,3,0.6268869284605098,0.2496784190324145,0.1234346525070762,-20.232259885328613
Weight_4_BB_N,Y,21,4,0,0.7768221094227848,0.1597488845003157,0.0634290060769,-12.64003057892451
CW_2_BB_N,Y,18,3,4,0.7099804591319779,0.2066849505660873,0.0833345903019353,-20.8345661043914
Weight_5_BC_N,Y,10,10,5,0.4387989055703697,0.340990811508562,0.2202102829210689,-26.561999713539933
