Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Centered_CD_0_0_0.25,Y,8,6,10,0.4451501819624456,0.2090148426369587,0.3458349754005962,-26.48478427649463
Centered_CD_2_0_1.0,Y,8,4,12,0.5891043942767755,0.2462239345643454,0.1646716711588796,-31.48489029673725
Centered_W_2_0_2.0,Y,18,4,2,0.576780850052491,0.3552851655196437,0.0679339844278658,-19.423047930408536
Uncentered_W_0_0_0.25,Y,15,4,5,0.5758750608323017,0.1631971633978344,0.2609277757698645,-22.24671127805853
Centered_CW_1_0_1.0,Y,18,5,1,0.4214662577539343,0.3227724811418465,0.2557612611042197,-22.569828862396403
Centered_CW_1_0_0.5,Y,18,5,1,0.5223660585056028,0.2387183593223983,0.2389155821719993,-20.282959332666955
Centered_D_1_0_2.0,Y,11,13,0,0.4807981637594837,0.4512793268166247,0.0679225094238921,-18.39907902047621
BalAdjust_Raw_CD_0.5_2,Y,21,13,14,0.611139537882588,0.1977186490656114,0.191141813051801,-54.579217359358935
Centered_D_3_0_1.0,Y,18,3,3,0.7434265949858393,0.1665286155636296,0.0900447894505314,-17.936843018163962
Centered_CW_3_0_0.25,Y,23,0,1,0.903964542918386,0.0556104402035813,0.0404250168780334,-5.53050471727998
Uncentered_D_4_0_0.5,Y,13,7,4,0.7532362717406444,0.1416206519041035,0.1051430763552525,-26.37584797326936
Uncentered_D_3_0_1.0,Y,12,9,3,0.7101933351819567,0.1898530531363833,0.0999536116816604,-25.969307962097123
Uncentered_W_4_0_0.25,Y,14,6,4,0.896447492672465,0.0502467026883355,0.0533058046391999,-31.202120105339823
Uncentered_D_3_0_0.25,Y,18,3,3,0.7511059090179169,0.1251464686631378,0.1237476223189458,-17.655099745960957
Uncentered_CD_0_0_1.0,Y,2,5,17,0.1306959540240109,0.2025251430439751,0.6667789029320144,-18.944264468849923
Centered_CD_4_0_0.5,Y,18,2,4,0.9032972129527296,0.0523770654110632,0.0443257216362077,-20.193999043533708
Centered_CW_2_0_2.0,Y,19,5,0,0.4835838473923705,0.4495095188327014,0.0669066337749285,-17.802071913649137
Centered_CW_3_0_0.5,Y,22,1,1,0.876914207480635,0.0692227443432836,0.053863048176082,-8.481350954199574
Uncentered_CD_4_0_0.5,Y,9,7,8,0.7951761962295417,0.1156962785440904,0.0891275252263683,-36.50172823257404
Uncentered_W_3_0_0.5,Y,12,7,5,0.6925290034503739,0.1858537369534084,0.1216172595962182,-26.72281075051955
Centered_CW_0_0_0.5,Y,20,2,2,0.3730366336720535,0.2418875477020369,0.3850758186259101,-24.468767755911852
Centered_CD_3_0_0.5,Y,13,4,7,0.8262900342631468,0.0939454942087057,0.0797644715281477,-29.641424371523875
Uncentered_CD_1_0_2.0,Y,1,11,12,0.1328148417427649,0.587641361519704,0.2795437967375315,-23.16197782329871
Centered_CW_4_0_0.5,Y,24,0,0,0.917182401358886,0.0436813416784988,0.0391362569626156,-2.074773972875873
Uncentered_D_2_0_1.0,Y,11,8,5,0.4590468453725757,0.2997329368910441,0.2412202177363807,-25.313765429633243
Centered_W_0_0_0.5,Y,16,7,1,0.4961573258751618,0.2238287702712519,0.2800139038535867,-22.96482899814248
Uncentered_CW_1_0_1.0,Y,19,2,3,0.6747431102860431,0.2088176197873577,0.1164392699265998,-17.058785891521936
BalAdjust_Raw_CW_0.5_5,Y,41,3,4,0.7650897088488738,0.1425379161282666,0.0923723750228601,-26.35040058434451
Centered_CD_4_0_0.25,Y,17,3,4,0.9021942008829392,0.0525628132566905,0.0452429858603707,-22.96980285280352
Uncentered_W_0_0_0.5,Y,18,1,5,0.5258952675725225,0.2204853090499596,0.2536194233775183,-19.939284104345127
Centered_CD_2_0_2.0,Y,6,11,7,0.3634121707113524,0.5257966561477221,0.1107911731409261,-28.54531099142128
Uncentered_CD_2_0_0.5,Y,6,3,15,0.2658443561770024,0.2087304833665308,0.5254251604564674,-22.30241256934848
Centered_D_4_0_0.5,Y,23,0,1,0.9134903944542864,0.0461717250885075,0.0403378804572065,-5.2915599111917935
Uncentered_CW_1_0_2.0,Y,14,9,1,0.5151448425340835,0.4172811937253321,0.0675739637405848,-19.846787535622937
BalAdjust_Raw_CD_0.25_4,Y,25,8,15,0.709821839490702,0.1425493911322402,0.1476287693770581,-52.84888271732285
