Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CD_5_CB_N,Y,11,6,8,0.6335461771796551,0.111075532411354,0.2553782904089913,-29.1259900389114
Dist_2_BC_N,Y,21,4,0,0.8176699719474358,0.0836651762863221,0.0986648517662426,-14.150955870362168
Bal_3_BC_N,Y,8,14,3,0.1371329212512208,0.6644518581605182,0.1984152205882614,-26.46971679784724
Weight_2_BB_N,Y,20,4,1,0.530231654434831,0.147355885110604,0.3224124604545654,-21.48036782554132
Bal_1_CC_N,Y,4,20,1,0.2227638045048119,0.5768670212319467,0.2003691742632418,-18.617036805265997
CW_5_BB_N,Y,14,4,7,0.5256109083020947,0.1337435809709017,0.3406455107270041,-24.59043066357584
CW_6_CC_N,Y,12,10,3,0.4914494433215987,0.1611424620919599,0.3474080945864419,-29.951184330655582
CD_6_BC_N,Y,8,9,8,0.5822661490004847,0.1278340749227475,0.2898997760767683,-32.74558051525251
CB_2_BC_N,Y,13,7,5,0.4259012560410433,0.1672721409976624,0.4068266029612948,-28.1098943368227
Weight_2_CC_N,Y,9,12,4,0.3992311391360959,0.3226280867703858,0.2781407740935189,-26.957504890761363
Bal_2_BB_N,Y,1,23,1,0.0244554409205426,0.9565548494252764,0.0189897096541815,-8.696354999779949
CD_4_CC_N,Y,7,7,11,0.5338365249186038,0.1640272912011706,0.302136183880226,-30.213368182428702
Bal_1_CB_N,Y,0,21,4,0.1357443037907813,0.7370308851204294,0.1272248110887897,-14.654833469205276
Dist_3_CC_N,Y,11,9,5,0.4886664299463288,0.2228047058322629,0.2885288642214088,-27.604764457993497
CD_7_BB_N,Y,8,0,17,0.480971902549614,0.1653160511165884,0.3537120463337981,-23.523197531961333
Dist_3_BB_N,Y,12,12,1,0.425340726290213,0.359464614903471,0.2151946588063166,-24.07226336239427
Dist_4_BC_N,Y,16,4,5,0.5241249255370759,0.1361583029640572,0.3397167714988674,-23.71036692777018
CB_6_BB_N,Y,17,3,5,0.4226678812485252,0.1504149870614684,0.4269171316900069,-24.57876395479805
CB_2_BB_N,Y,15,6,4,0.4218262784412153,0.1772566246456446,0.4009170969131406,-26.984368576201398
CB_1_BB_N,Y,18,0,7,0.3956404958187216,0.1503163756366679,0.454043128544611,-22.21742936089025
Weight_5_CB_N,Y,10,11,4,0.3850614134423371,0.3441893848994792,0.2707492016581842,-26.501969378359234
Weight_3_CC_N,Y,8,13,4,0.3666410131697009,0.3127206886766524,0.3206382981536472,-27.68852607463358
Dist_4_CB_N,Y,12,4,9,0.5332036199648686,0.1746561548068617,0.2921402252282701,-25.600659406402865
CW_7_BB_N,Y,17,3,5,0.4803504725998524,0.1681894052218255,0.3514601221783225,-23.04135662515236
CB_4_BB_N,Y,14,4,7,0.4277587344973168,0.1442967831597395,0.4279444823429441,-25.573608321483267
Bal_2_BC_N,Y,8,10,7,0.2752757867954817,0.4340917565338014,0.2906324566707174,-27.314718967849984
CD_6_CB_N,Y,8,7,10,0.5390259895921959,0.1398503098686568,0.3211237005391477,-30.07349913534319
Weight_1_CC_N,Y,10,13,2,0.3104524153562434,0.4275172347432591,0.262030349900498,-25.422725086443197
CB_3_CC_N,Y,9,7,9,0.4313750799850633,0.1328148417427649,0.4358100782721723,-29.17352940326819
CW_4_BB_N,Y,20,0,5,0.4658965656528402,0.1690080580211881,0.3650953763259721,-20.31381590489787
Dist_4_BB_N,Y,17,8,0,0.4982005521770627,0.1413362926336756,0.3604631551892621,-27.49769904631203
Weight_1_BB_N,Y,15,9,1,0.4878560478417996,0.1745690183860349,0.3375749337721661,-27.5609071282675
Weight_5_CC_N,Y,11,13,1,0.3637830504462757,0.3465070976224044,0.2897098519313204,-26.1401247130664
CD_7_CC_N,Y,13,3,9,0.4765490913351765,0.1440230088074131,0.3794278998574109,-24.17056178556626
Bal_1_BB_N,Y,0,24,1,0.0186192820659736,0.9648905524705595,0.0164901654634672,-4.962765537194263
CW_7_CB_N,Y,18,4,3,0.5062633709558919,0.164015816197197,0.3297208128469116,-22.812265159770664
CB_4_BC_N,Y,12,4,9,0.4524700093587653,0.1445811424301674,0.4029488482110678,-25.432573980751133
CD_1_BC_N,Y,14,6,5,0.472461926662677,0.159580817910088,0.3679572554272356,-26.507344837800243
Dist_3_CB_N,Y,13,9,3,0.4498639390827661,0.2701408346594079,0.2799952262578265,-25.98278608414102
Dist_3_BC_N,Y,16,5,4,0.4326607317037073,0.2831810379319396,0.2841582303643536,-24.74606276893096
CD_3_CB_N,Y,17,0,8,0.6406687817263739,0.0968073733099691,0.2625238449636574,-18.26843241027407
CB_4_CC_N,Y,18,2,5,0.4204618571089444,0.1535497504291859,0.4259883924618702,-23.609404436881928
CB_3_BC_N,Y,9,12,4,0.4317351006723443,0.1650431668501343,0.403221732477522,-32.811140964372775
CW_4_CC_N,Y,16,6,3,0.4866314743392613,0.1393916777565753,0.3739768479041639,-26.29745975683243
CW_2_BC_N,Y,13,3,9,0.5043944174956447,0.1534740890123328,0.3421314934920229,-24.172869422917767
Bal_4_BB_N,Y,0,23,2,0.0351958150924036,0.9415548179110068,0.0232493669965901,-8.908077043515721
Bal_5_BB_N,Y,0,25,0,0.2306403413864903,0.5939843383104001,0.1753753203031101,-13.022558161197544
CW_1_BC_N,Y,16,0,9,0.5370928497190693,0.1394788141774021,0.3234283361035291,-20.10434816542361
CD_3_BC_N,Y,16,3,6,0.6046613132935781,0.1276368520731465,0.2677018346332759,-22.13237591930672
CW_6_BC_N,Y,15,7,3,0.4763626314208513,0.1493004999877043,0.3743368685914449,-27.383995346582893
Bal_5_CB_N,Y,2,20,3,0.2723920257893177,0.5045526078436564,0.2230553663670262,-20.78369508271721
CB_5_CC_N,Y,11,7,7,0.4262842267362717,0.1278225999187739,0.445893173344955,-29.43265306165924
CD_2_BC_N,Y,13,4,8,0.5063619823806924,0.133569308129248,0.3600687094900601,-25.070767652117528
Bal_1_BC_N,Y,4,18,3,0.1065757927029743,0.7439894457092469,0.1494347615877792,-19.9813933319354
CW_2_CB_N,Y,17,2,6,0.4913508318967981,0.1361583029640572,0.3724908651391451,-21.99327772158224
CB_4_CB_N,Y,18,1,6,0.4625645794355217,0.1295814669502469,0.407853953614232,-21.301966070317352
CB_7_BC_N,Y,16,1,8,0.4271900159564611,0.1629128041274066,0.4098971799161328,-22.557753416690662
CW_4_BC_N,Y,17,1,7,0.4887618370619889,0.1652174396917879,0.3460207232462236,-21.39924827161881
CD_1_BB_N,Y,9,6,10,0.4831137402763153,0.1479246036514597,0.3689616560722255,-27.984469446552158
CB_5_BC_N,Y,13,7,5,0.3974864992710215,0.1650431668501343,0.4374703338788447,-28.73829549728316
CW_1_BB_N,Y,20,0,5,0.4909793362055434,0.1509607555943767,0.3580599082000802,-19.36233957008841
Dist_1_BC_N,Y,13,10,2,0.4828287650495562,0.295776576336806,0.2213946586136383,-24.66233771706938
CW_3_CC_N,Y,9,4,12,0.4626552761998378,0.245594137807384,0.2917505859927787,-27.33552921316548
CW_5_CB_N,Y,18,1,6,0.562634252383854,0.1463400094616404,0.291025738154506,-19.680142988177675
CB_6_BC_N,Y,13,5,7,0.4060079501619322,0.165971906078271,0.4280201437597973,-26.63775185734557
Weight_3_CB_N,Y,12,9,4,0.3546175756320051,0.4007650478031778,0.2446173765648176,-26.302243384701868
CB_2_CB_N,Y,14,5,6,0.4438728970510015,0.1364311872305114,0.4196959157184877,-26.540061968437925
CB_1_BC_N,Y,10,4,11,0.4159052973890875,0.13513095231112,0.4489637502997931,-25.587965182567103
CD_4_BB_N,Y,5,8,12,0.5163464660286745,0.1465257573072677,0.3371277766640582,-31.71683798561739
CD_5_BB_N,Y,11,3,11,0.6294711995798271,0.1202413632599736,0.2502874371601998,-26.682987545488167
CW_5_CC_N,Y,16,5,4,0.5456028256060061,0.1311545861360925,0.3232425882579018,-24.368125682022445
Weight_1_BC_N,Y,12,12,1,0.3244222479427842,0.4291907455256499,0.2463870065315664,-25.05961027648634
Dist_1_BB_N,Y,12,11,2,0.4552349753021649,0.3603039034875128,0.1844611212103228,-24.05281359513776
CD_4_BC_N,Y,14,8,3,0.4954143344926524,0.1628141927026061,0.3417714728047419,-27.57505570412529
CD_4_CB_N,Y,10,6,9,0.5418993436974331,0.1423521682826392,0.3157484880199283,-28.19874123186317
CD_2_BB_N,Y,9,0,16,0.4966274329912171,0.1568932116504782,0.3464793553583051,-23.25814917423798
Bal_2_CB_N,Y,5,10,10,0.3064615478852763,0.4355775612816458,0.2579608908330784,-27.77361186423037
CB_1_CC_N,Y,11,3,11,0.4469205239978922,0.1098624339127894,0.4432170420893189,-24.43535098826669
Weight_5_BC_N,Y,10,10,5,0.3666392329979563,0.317343036963959,0.3160177300380852,-27.271273650446894
CD_2_CB_N,Y,14,1,10,0.4913508318967981,0.1601265864429963,0.348522581660206,-22.32066948807592
CD_7_CB_N,Y,13,5,7,0.4880188456794795,0.1429965482403481,0.3689846060801728,-26.029892736053867
CD_7_BC_N,Y,10,5,10,0.4699718992870171,0.1483712267080442,0.3816568740049391,-26.72334613014275
CD_5_BC_N,Y,14,6,5,0.5931793718766035,0.1393916777565753,0.2674289503668217,-25.728929878437693
Dist_5_CB_N,Y,17,4,4,0.4791299934923269,0.1930909602630709,0.3277790462446027,-23.548354430861355
Weight_5_BB_N,Y,18,6,1,0.4744180165437509,0.149671995678959,0.3759099877772905,-25.796256187157457
CD_3_BB_N,Y,7,3,15,0.6236373549485261,0.1436524032020307,0.2327102418494436,-30.99579793092195
CB_2_CC_N,Y,17,5,3,0.3849015457842565,0.1516166105560593,0.4634818436596847,-27.970016363084227
CB_7_BB_N,Y,19,1,5,0.4554304998848292,0.1509722305983504,0.3935972695168208,-21.49652553898549
Bal_3_BB_N,Y,1,22,2,0.0149190044665407,0.9721101662875088,0.012970829245951,-13.517519210331082
Dist_1_CB_N,Y,10,11,4,0.4860713006227798,0.2867952472135925,0.2271334521636281,-26.881723888327503
CW_6_CB_N,Y,12,8,5,0.5059904866894377,0.1263366171537551,0.3676728961568077,-29.72809991355204
CW_3_BC_N,Y,11,5,9,0.4071023355025404,0.242251922706313,0.3506457417911471,-26.40629263955556
Dist_2_CB_N,Y,20,4,1,0.7998955537870787,0.0832065441742405,0.1168979020386813,-16.557653822604046
Weight_4_CC_N,Y,17,5,3,0.4769830893799325,0.3231819479809529,0.199834962639115,-23.06315145210042
CB_3_CB_N,Y,11,6,8,0.4015500018668758,0.1756949804637726,0.422755017669352,-27.35838986785292
CB_3_BB_N,Y,15,8,2,0.4268414702731537,0.1606723549759047,0.412486174750942,-29.16834855784017
Weight_2_CB_N,Y,9,13,3,0.4096896462779715,0.4003940861634464,0.1899162675585826,-24.91369231816858
Dist_4_CC_N,Y,16,8,1,0.5262667632637772,0.1459685137703857,0.3277647229658376,-26.78152659808449
CD_6_CC_N,Y,9,7,9,0.5587450226296533,0.1384744135324122,0.3027805638379349,-29.830768870441545
CW_3_CB_N,Y,10,6,9,0.4417344416506149,0.2490123703596571,0.3092531879897284,-27.07433473449887
CD_3_CC_N,Y,16,7,2,0.5842979002984117,0.1518894948225135,0.2638126048790752,-24.454755895127484
Bal_4_CB_N,Y,5,11,9,0.2027752695272151,0.6332442151658231,0.1639805153069622,-29.276244183267664
CB_7_CB_N,Y,14,2,9,0.4454345412328734,0.1607939164086526,0.3937715423584745,-23.364992594521624
CW_7_BC_N,Y,18,1,6,0.4832123517011158,0.1287513391469106,0.388036309151974,-20.821193786115074
Bal_5_CC_N,Y,5,16,4,0.2873990818781993,0.453440361983051,0.2591605561387503,-24.289911892316223
Weight_3_BB_N,Y,19,5,1,0.4599755846007125,0.1513322512856314,0.3886921641136566,-25.141410688577253
CW_6_BB_N,Y,16,7,2,0.4861728422271797,0.1489290042964496,0.3648981534763711,-26.885330180402985
Dist_2_BB_N,Y,22,3,0,0.8123933708530168,0.0883845338438589,0.0992220953031247,-11.849128247287924
CW_3_BB_N,Y,17,2,6,0.4826551081642338,0.1720786349760261,0.3452662568597405,-22.28394387344313
Weight_4_BB_N,Y,21,4,0,0.6250247262887444,0.1373714014626219,0.2376038722486342,-17.809513673676385
Weight_1_CB_N,Y,7,18,0,0.3624732987118297,0.4196518168312055,0.2178748844569653,-22.733569806076957
Bal_5_BC_N,Y,3,21,1,0.2331395295428557,0.5160309889171418,0.250829481540003,-19.64469406788072
CW_1_CB_N,Y,17,4,4,0.5502235717387426,0.1384629385284386,0.3113134897328193,-22.73274981756117
CB_6_CC_N,Y,17,1,7,0.4070123508069221,0.1717942757055983,0.4211933734874801,-23.095599925290056
Weight_4_BC_N,Y,17,6,2,0.4197755896255456,0.4235401564995337,0.1566842538749212,-23.618282289551548
CW_2_BB_N,Y,18,3,4,0.541254963739724,0.1435652667812038,0.3151797694790725,-21.49091192281753
CD_5_CC_N,Y,16,4,5,0.617890646738052,0.1230161059404101,0.2590932473215383,-22.837696774667243
CB_6_CB_N,Y,14,3,8,0.4315608278306907,0.1480002650683128,0.4204389071009971,-24.428127755246454
Dist_1_CC_N,Y,14,8,3,0.5328148708152494,0.2401316108501633,0.2270535183345877,-24.67439108870565
CW_1_CC_N,Y,15,1,9,0.5602310053946722,0.1370755671882203,0.3026934274171081,-21.433626967510488
Weight_2_BC_N,Y,11,7,7,0.3902623531199028,0.3384448128950986,0.271292833984999,-27.065951675269307
CW_4_CB_N,Y,16,2,7,0.5299587701683768,0.1583677194115234,0.3116735104201003,-22.005561865729632
CD_1_CB_N,Y,10,10,5,0.5080107629833912,0.1483717607595676,0.3436174762570417,-31.194000163623365
Weight_4_CB_N,Y,17,6,2,0.467634714994826,0.3875219251314621,0.1448433598737123,-22.47325469215508
CW_7_CC_N,Y,16,5,4,0.5101411257061188,0.1439367624724585,0.3459221118214231,-24.70715867677251
Bal_3_CB_N,Y,12,9,4,0.2245221374847615,0.6082489370682956,0.1672289254469433,-29.553477404973947
CW_5_BC_N,Y,17,2,6,0.4636561165013384,0.1664305381903525,0.3699133453083096,-22.619679711036344
Bal_4_BC_N,Y,8,11,6,0.1980532417120612,0.5710319304804246,0.2309148278075147,-27.911404835327563
CB_5_CB_N,Y,14,5,6,0.4396993080263729,0.15550584031026,0.4047948516633676,-26.234907696407312
CD_6_BB_N,Y,4,7,14,0.5282985145617044,0.15003201636624,0.321669469072056,-31.70995166164601
CB_1_CB_N,Y,9,5,11,0.457833746874011,0.1315260818273472,0.4106401712986422,-26.96441033980645
Weight_3_BC_N,Y,6,13,6,0.315725100072824,0.3671521996303816,0.3171227002967948,-26.83382381191234
CB_5_BB_N,Y,15,4,6,0.4302605929112992,0.1447668902757948,0.4249725168129066,-25.515369962254447
Bal_2_CC_N,Y,4,16,5,0.3448023803447916,0.2719718027642448,0.3832258168909642,-29.887699813091157
Dist_2_CC_N,Y,21,4,0,0.7839671390790214,0.1030127136325248,0.1130201472884543,-14.202763113131072
CD_1_CC_N,Y,8,9,8,0.5079121515585907,0.1237590973229195,0.3683287511184903,-32.21457466294187
Dist_5_CC_N,Y,20,3,2,0.4737528227841883,0.1980973473486526,0.3281498298671595,-22.026951384941416
Dist_5_BC_N,Y,12,4,9,0.4108197846555299,0.2538308733935179,0.3353493419509527,-25.992798344156583
CW_2_CC_N,Y,15,3,7,0.5299587701683768,0.1446682788509942,0.3253729509806294,-23.183759174069888
