Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Uncentered_CW_4_0_1.0,Y,10,11,3,0.3067485904456365,0.1132772121599836,0.5799741973943797,-37.4086727509074
Centered_D_2_0_0.5,Y,14,7,3,0.484094985417736,0.4048083408843573,0.1110966736979066,-23.079092430579838
Centered_CW_2_0_2.0,Y,19,5,0,0.3085766870722817,0.1156967137411924,0.5757265991865257,-33.12382807756305
Centered_W_0_0_1.0,Y,11,12,1,0.6621358404406315,0.1222419595986705,0.2156221999606981,-31.290392569904185
Uncentered_CW_2_0_2.0,Y,8,11,5,0.2933746694958319,0.1135161752791154,0.5931091552250527,-36.35623145728661
BalAdjust_Adj_CW_0.25_0,Y,32,4,12,0.7276604913053863,0.1260318686436399,0.1463076400509738,-41.52286924433066
Uncentered_CW_0_0_1.0,Y,19,4,1,0.7432676258948638,0.1260318686436399,0.1307005054614963,-15.957011656535968
BalAdjust_Adj_CW_0.25_4,Y,31,8,9,0.7466737001524368,0.1259422574739655,0.1273840423735976,-44.176330299696765
Centered_D_1_0_1.0,Y,16,6,2,0.6116432586782524,0.277260067623841,0.1110966736979066,-19.957202324179654
Uncentered_D_2_0_1.0,Y,11,8,5,0.5997327190027154,0.2695930764345676,0.1306742045627169,-26.2859559617521
Uncentered_D_4_0_0.5,Y,13,7,4,0.5266834839080592,0.2482961136429345,0.2250204024490063,-24.05321112119457
Centered_CW_0_0_0.25,Y,21,0,3,0.6264517339406279,0.1259123870840741,0.2476358789752982,-14.008742041612395
Centered_CD_1_0_0.25,Y,8,3,13,0.396247940804184,0.1259422574739655,0.4778098017218504,-23.22256934766377
BalAdjust_Adj_CW_0.5_3,Y,36,6,6,0.7021865434326504,0.1222383291274236,0.1755751274399261,-35.776847680593335
BalAdjust_Adj_CD_0.5_3,Y,18,15,15,0.5680631703901502,0.1201474018350209,0.3117894277748288,-59.44635528820192
Uncentered_W_3_0_2.0,Y,8,15,1,0.7399474295006593,0.1113953775968212,0.1486571929025194,-37.23556312613472
BalAdjust_Raw_CW_0.25_5,Y,33,3,12,0.7339076423601782,0.1254045904559191,0.1406877671839027,-39.97245611142856
BalAdjust_Adj_CD_0.25_1,Y,11,15,22,0.4878688144407909,0.1234928855028652,0.3886383000563437,-60.06070816311768
BalAdjust_Raw_CW_0.5_0,Y,40,4,4,0.7368829925290646,0.1260318686436399,0.1370851388272955,-28.446540741786883
Centered_CW_0_0_2.0,Y,13,7,4,0.3724671334753018,0.1172201036256572,0.5103127628990408,-30.535723315301084
Uncentered_CW_4_0_2.0,Y,4,19,1,0.1110966736979066,0.4791205820541732,0.4097827442479201,-23.66180278934012
Centered_CW_2_0_0.5,Y,20,1,3,0.7468873439205517,0.1259422574739655,0.1271703986054828,-14.095432194135782
Centered_CD_0_0_1.0,Y,9,9,6,0.386947459209334,0.1570817240483505,0.4559708167423154,-29.916057718232143
Uncentered_W_2_0_2.0,Y,12,9,3,0.6000891508031481,0.1501840379329514,0.2497268112639005,-27.35333209870143
