Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CW_Mixed_14,Y,22,2,1,0.776791059347877,0.1116044703260615,0.1116044703260615,-12.135227696077724
CB_Pure_2,Y,17,4,4,0.5965595368692499,0.1258825166941826,0.2775579464365675,-22.198323008556866
CD_Pure_8,Y,14,4,7,0.4482352569311938,0.1256136831851594,0.4261510598836467,-25.503024920093544
Weight_Pure_5,Y,23,2,0,0.7747671652765935,0.1113356368170383,0.1138971979063682,-10.259844483207644
CB_Mixed_12,Y,14,6,5,0.7778066526041868,0.1110966736979066,0.1110966736979066,-27.68878200617806
Bal_Mixed_7,Y,2,23,0,0.1239586844468662,0.7507492111484549,0.1252921044046788,-10.7693372437065
CB_Pure_10,Y,19,3,3,0.5917676054525187,0.1260318686436399,0.2822005259038414,-19.97725787374701
CW_Mixed_3,Y,22,1,2,0.7605431835071669,0.1120525261744335,0.1274042903183996,-12.331459743465922
CD_Pure_1,Y,21,3,1,0.4387885201722955,0.1260318686436399,0.4351796111840645,-24.344149837260943
CD_Mixed_6,Y,5,4,16,0.4318390103914444,0.1260318686436399,0.4421291209649157,-25.541846990666976
CD_Mixed_14,Y,7,7,11,0.4330671515229617,0.1260318686436399,0.4409009798333984,-29.364865305457776
CB_Mixed_10,Y,19,3,3,0.7501916603235522,0.1120525261744335,0.1377558135020143,-17.974285089456266
Bal_Pure_7,Y,3,22,0,0.1250305186759462,0.7531544653353475,0.1218150159887063,-12.47426092359344
Bal_Mixed_2,Y,0,24,1,0.1282460213631861,0.7424361230445479,0.1293178555922661,-9.193124506260157
CB_Mixed_7,Y,13,6,6,0.6386241153615816,0.1208045504126332,0.2405713342257852,-27.0596297789474
CB_Mixed_9,Y,10,6,9,0.1142921979289381,0.262631076629278,0.6230767254417838,-33.96977011001672
CW_Mixed_4,Y,19,3,3,0.7575331522446478,0.112978508261069,0.1294883394942831,-17.9502379125707
Bal_Mixed_5,Y,1,24,0,0.1516734265180478,0.7049152524395124,0.1434113210424398,-10.278290204073675
CB_Pure_6,Y,13,8,4,0.5920866677327412,0.1259123870840741,0.2820009451831848,-28.454060397311395
CW_Mixed_9,Y,24,1,0,0.6752133257731489,0.1160252880299986,0.2087613861968524,-11.57938550793684
CD_Mixed_4,Y,12,2,11,0.4346368062694037,0.1259422574739655,0.4394209362566308,-23.188069999957012
Dist_Mixed_3,Y,21,2,2,0.6341517774889318,0.2547515488131616,0.1110966736979066,-16.694448186350563
CB_Mixed_11,Y,18,3,4,0.6011733974964044,0.1260318686436399,0.2727947338599558,-20.569497743355317
CB_Pure_14,Y,12,4,9,0.5951909626970303,0.1268368760674196,0.27797216123555,-26.00799837250028
CD_Pure_13,Y,10,6,9,0.4358250675316115,0.1259123870840741,0.4382625453843145,-28.16259126648144
CW_Pure_10,Y,22,2,1,0.749617979839873,0.1229253480949273,0.1274566720651997,-12.592549240452144
CW_Pure_7,Y,24,1,0,0.7773287263659234,0.1113356368170383,0.1113356368170383,-8.240612608783422
CW_Mixed_0,Y,24,1,0,0.7493700414275106,0.1253149792862447,0.1253149792862447,-9.001461760841629
CW_Mixed_7,Y,25,0,0,0.7723369161080812,0.1132174713802007,0.114445612511718,-6.458360108291893
Weight_Pure_1,Y,23,2,0,0.7773172836286246,0.1113356368170383,0.111347079554337,-10.1842651229265
Dist_Mixed_1,Y,21,3,1,0.4851668196468159,0.4037365066552773,0.1110966736979066,-20.106845269805014
CB_Mixed_0,Y,14,5,6,0.7526949688682589,0.1114252479867127,0.1358797831450282,-26.92524815759645
Weight_Pure_6,Y,22,3,0,0.74954374710502,0.1115447295462786,0.1389115233487013,-12.922381904686675
CD_Pure_14,Y,5,6,14,0.11758162130092,0.1166693166482885,0.7657490620507914,-27.330193495758884
CW_Pure_3,Y,20,4,1,0.768965878237359,0.1146512500949911,0.1163828716676498,-16.068485011057774
Weight_Mixed_6,Y,21,3,1,0.7714576164259862,0.1114849887664956,0.1170573948075181,-14.175631342380097
Bal_Pure_3,Y,1,24,0,0.1185995133014664,0.7552981337935074,0.1261023529050262,-8.867428379660966
CD_Pure_7,Y,4,7,14,0.3859555660424548,0.1260318686436399,0.4880125653139052,-28.350473216096688
Dist_Mixed_0,Y,18,6,1,0.4594427981488967,0.4294605281531966,0.1110966736979066,-21.268042162077677
Dist_Pure_2,Y,16,8,1,0.4369342793382173,0.4519690469638759,0.1110966736979066,-21.79804694743084
Weight_Pure_3,Y,23,2,0,0.7768341373597306,0.1112758960372554,0.111889966603014,-10.19963881046774
Weight_Mixed_5,Y,25,0,0,0.7773884671457063,0.1113057664271468,0.1113057664271468,-6.295377395880664
Dist_Mixed_6,Y,17,6,2,0.4401497820254572,0.448753544276636,0.1110966736979066,-23.153281028757675
CB_Mixed_15,Y,18,4,3,0.7666703494060627,0.1113356368170383,0.1219940137768988,-19.874743967307825
Dist_Pure_4,Y,23,1,1,0.6392025823683105,0.246402700872428,0.1143947167592615,-13.862166893695282
CW_Pure_2,Y,25,0,0,0.749973897425281,0.12277599614547,0.127250106429249,-7.192921912259828
CB_Pure_3,Y,23,2,0,0.5976543758573327,0.1234928855028652,0.2788527386398021,-16.02222461866188
CB_Pure_15,Y,15,5,5,0.6272613694213273,0.1210290179711837,0.2517096126074889,-24.45190017633362
CW_Mixed_10,Y,24,1,0,0.7760741699904817,0.1119629150047591,0.1119629150047591,-8.273759982108828
CD_Pure_3,Y,2,1,22,0.2212785821346934,0.1158161953007583,0.6629052225645481,-14.21712803606406
Dist_Mixed_4,Y,22,2,1,0.6427264513215716,0.2461768749805218,0.1110966736979066,-14.725558076948428
CW_Pure_11,Y,25,0,0,0.7548372620614271,0.1207448096328503,0.1244179283057226,-7.031327497629988
CD_Mixed_5,Y,10,1,14,0.2032008558114559,0.114770731654557,0.682028412533987,-23.457997754099782
CD_Pure_15,Y,7,3,15,0.172271064484667,0.1139343607375959,0.713794574777737,-23.884601969419663
CD_Mixed_15,Y,7,2,16,0.1379261461529909,0.1192201748113606,0.7428536790356484,-22.876923924043236
CW_Mixed_2,Y,24,1,0,0.7555830825249358,0.1222084587375321,0.1222084587375321,-8.828399807743562
CB_Pure_7,Y,20,1,4,0.5968749035360938,0.1260318686436399,0.2770932278202663,-17.525780133074242
CW_Mixed_8,Y,25,0,0,0.7535283229524524,0.1217006621093772,0.1247710149381704,-7.074716827463104
CD_Pure_4,Y,15,7,3,0.4482352569311938,0.1256136831851594,0.4261510598836467,-29.117248662776102
CD_Pure_10,Y,13,4,8,0.2016763007623519,0.1168436635793656,0.6814800356582824,-32.46976776857014
Weight_Mixed_1,Y,24,1,0,0.7676994824210632,0.1115447295462786,0.1207557880326582,-8.537895718902455
CD_Mixed_11,Y,5,4,16,0.3150740533871841,0.12053571690361,0.5643902297092058,-23.39012446625349
CD_Mixed_7,Y,7,2,16,0.1454296936954756,0.1118135630553018,0.7427567432492226,-22.63646939323475
CD_Mixed_10,Y,14,2,9,0.2231423999810258,0.1162941215390218,0.6605634784799524,-29.03445605850632
CB_Mixed_14,Y,16,3,6,0.584440474482696,0.1252253681165703,0.2903341574007337,-22.246862668138007
CW_Mixed_6,Y,19,2,4,0.7581519360556019,0.1209240319721991,0.1209240319721991,-17.936114524514544
CB_Mixed_8,Y,17,3,5,0.5948173206223791,0.1224474218566638,0.282735257520957,-21.44795823687109
CW_Pure_12,Y,23,2,0,0.7575545282577725,0.1212227358711137,0.1212227358711137,-10.606425739373272
CD_Pure_0,Y,14,4,7,0.4361474639124987,0.1258227759143997,0.4380297601731017,-25.68665080686144
Bal_Mixed_3,Y,1,24,0,0.1185995133014664,0.7617291391679872,0.1196713475305463,-8.663944821628103
CB_Mixed_4,Y,14,6,5,0.5905394643210015,0.1260318686436399,0.2834286670353587,-26.105360273456213
Bal_Mixed_4,Y,0,24,1,0.1250305186759462,0.7531544653353475,0.1218150159887063,-8.908890182646887
Weight_Mixed_7,Y,24,0,1,0.7759811036748402,0.1113953775968212,0.1126235187283385,-8.270755356103127
CB_Mixed_6,Y,21,2,2,0.5895657975267731,0.1260019982537485,0.2844322042194785,-17.75318366727017
Weight_Mixed_3,Y,23,0,2,0.7716965795451179,0.1113655072069298,0.1169379132479522,-10.252992553577869
CB_Pure_13,Y,19,2,4,0.5956467624045766,0.1260318686436399,0.2783213689517835,-19.102398169497278
CW_Pure_5,Y,23,2,0,0.7746668065196156,0.1120525261744335,0.1132806673059508,-10.24998725819453
Dist_Pure_7,Y,24,0,1,0.6234334351981321,0.2654698911039613,0.1110966736979066,-13.537673229730892
Weight_Pure_4,Y,21,3,1,0.7667211074832058,0.1193062861740222,0.113972606342772,-14.128256260399002
CD_Mixed_3,Y,21,1,3,0.3583700006675488,0.1225669034162297,0.5190630959162214,-25.61626314354887
CB_Pure_4,Y,18,5,2,0.7654988260450897,0.1117239518856274,0.122777222069283,-19.96348511840957
Weight_Pure_0,Y,21,4,0,0.7655554040754897,0.1115148591563871,0.1229297367681232,-14.384617217720884
CW_Pure_6,Y,24,0,1,0.746176183357042,0.1251954977266788,0.1286283189162791,-9.07787314473628
CD_Mixed_8,Y,9,4,12,0.3186121459466706,0.1205655872935015,0.5608222667598279,-25.69648722359885
CW_Pure_8,Y,24,0,1,0.7764326146691793,0.1117836926654103,0.1117836926654103,-8.264279694811247
CD_Pure_5,Y,5,5,15,0.2680638813301855,0.1184746600010988,0.6134614586687155,-24.577498306056725
CW_Pure_15,Y,24,1,0,0.7770300224670087,0.1114849887664956,0.1114849887664956,-8.248496296816896
CD_Mixed_12,Y,17,4,4,0.3590986094117463,0.1216110509397028,0.5192903396485509,-28.459568513472263
