WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S179,Uncentered_CW_0_0_0.5,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Centered_CW_1_0_1.0,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_CD_2_0_0.25,Y,0,0,1,0.0571255782740437,0.0571255782740437,0.8857488434519124,-0.1213218409648567
S179,BalAdjust_Raw_CW_0.25_3,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Centered_D_4_0_0.25,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_CW_1_0_0.25,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Centered_CW_3_0_1.0,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_CW_1_0_1.0,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,BalAdjust_Adj_CW_0.25_5,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Centered_CW_3_0_0.25,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_CD_2_0_1.0,Y,1,0,0,0.0571255782740437,0.0571255782740437,0.8857488434519124,-2.8625033068598142
S179,Centered_D_3_0_0.5,Y,1,0,0,0.8393459406019517,0.1035284811240044,0.0571255782740437,-0.1751323325845542
S179,Centered_W_1_0_1.0,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Centered_CD_2_0_1.0,Y,0,0,1,0.0836415227597355,0.0571255782740437,0.8592328989662206,-0.1517152657298853
S179,Uncentered_CW_4_0_0.5,Y,1,0,0,0.736596655719896,0.0571255782740437,0.2062777660060601,-0.3057148151391002
S179,Centered_D_0_0_0.25,Y,0,1,0,0.5443560581986305,0.289140092523847,0.1665038492775224,-1.2408439591051876
S179,BalAdjust_Raw_CD_0.25_1,Y,1,0,0,0.1963342868239257,0.0571255782740437,0.7465401349020304,-1.627936527521867
S179,BalAdjust_Raw_CD_0.5_0,Y,0,0,1,0.4747517039236896,0.0571255782740437,0.4681227178022666,-0.7590247999112864
S179,Centered_CW_1_0_0.25,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Centered_D_3_0_2.0,Y,1,0,0,0.8592328989662206,0.0836415227597355,0.0571255782740437,-0.1517152657298853
S179,Uncentered_CW_3_0_1.0,Y,1,0,0,0.3653734329202109,0.0571255782740437,0.5775009888057453,-1.0068353445227411
S179,Uncentered_D_3_0_0.5,Y,1,0,0,0.8327169544805288,0.1101574672454273,0.0571255782740437,-0.1830614850967614
S179,Uncentered_CW_0_0_2.0,Y,1,0,0,0.8327169544805288,0.0571255782740437,0.1101574672454273,-0.1830614850967614
S179,BalAdjust_Raw_CW_0.5_2,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,BalAdjust_Adj_CD_0.25_5,Y,0,0,1,0.0703835505168896,0.0571255782740437,0.8724908712090665,-0.1364030877579217
S179,BalAdjust_Raw_CW_0.5_1,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_D_1_0_0.5,Y,1,0,0,0.6703067945056665,0.2725676272202896,0.0571255782740437,-0.4000197691551033
S179,Centered_D_0_0_1.0,Y,0,1,0,0.5973879471700141,0.3023980647666929,0.1002139880632929,-1.1960110342782786
S179,BalAdjust_Raw_CW_0.25_0,Y,1,0,0,0.8724908712090665,0.0571255782740437,0.0703835505168896,-0.1364030877579217
S179,Uncentered_CD_1_0_0.5,Y,0,0,1,0.0968994950025814,0.0770125366383126,0.8260879683591059,-0.1910540119076995
S179,Centered_CW_4_0_2.0,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_D_3_0_2.0,Y,0,0,1,0.7200241904163387,0.09358500194187,0.1863908076417912,-1.6799096931731237
S179,Uncentered_CD_0_0_1.0,Y,0,0,1,0.0571255782740437,0.0571255782740437,0.8857488434519124,-0.1213218409648567
S179,BalAdjust_Adj_CD_0.25_2,Y,0,0,1,0.1366734117311192,0.0571255782740437,0.806201009994837,-0.2154221755153897
S179,BalAdjust_Adj_CW_0.25_3,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_W_0_0_0.5,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Uncentered_W_4_0_0.5,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,Centered_D_2_0_1.0,Y,0,1,0,0.5708720026843223,0.3720024190416339,0.0571255782740437,-0.9888549219300424
S179,BalAdjust_Raw_CD_0.5_5,Y,0,0,1,0.3554299537380765,0.0571255782740437,0.5874444679878797,-0.5319735600051847
S179,Centered_CW_2_0_0.5,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,BalAdjust_Raw_CW_0.5_5,Y,1,0,0,0.8857488434519124,0.0571255782740437,0.0571255782740437,-0.1213218409648567
S179,BalAdjust_Adj_CW_0.5_3,Y,1,0,0,0.7697415863270107,0.0571255782740437,0.1731328353989454,-0.2617004226341327
S179,BalAdjust_Raw_CW_0.25_1,Y,1,0,0,0.875805364269778,0.0571255782740437,0.0670690574561782,-0.1326113996395593
