WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S154,CD_Pure_8,Y,0,0,1,0.1038694611390677,0.0493433924988462,0.8467871463620861,-0.1663059189083283
S154,CW_Pure_13,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CB_Pure_5,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CB_Pure_1,Y,1,0,0,0.8774580599722106,0.0493433924988462,0.0731985475289431,-0.1307261196877926
S154,CD_Pure_5,Y,0,0,1,0.0493433924988462,0.0493433924988462,0.9013132150023077,-0.1039024513700356
S154,CB_Mixed_6,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CW_Pure_6,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,Weight_Pure_1,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CB_Mixed_0,Y,1,0,0,0.7888531984318506,0.0493433924988462,0.1618034090693031,-0.2371750357367884
S154,CB_Mixed_11,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,Bal_Pure_5,Y,0,1,0,0.1140930990091093,0.7956689570118783,0.0902379439790123,-0.2285720627920426
S154,CB_Pure_6,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CW_Pure_9,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CW_Pure_11,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CD_Mixed_1,Y,0,0,1,0.0493433924988462,0.0493433924988462,0.9013132150023077,-0.1039024513700356
S154,CB_Pure_7,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CW_Mixed_12,Y,1,0,0,0.8944974564222798,0.0493433924988462,0.0561591510788739,-0.1114932196122749
S154,CB_Pure_10,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CB_Pure_2,Y,1,0,0,0.9013132150023077,0.0493433924988462,0.0493433924988462,-0.1039024513700356
S154,CD_Mixed_6,Y,0,0,1,0.0493433924988462,0.0493433924988462,0.9013132150023077,-0.1039024513700356
S154,CW_Mixed_5,Y,1,0,0,0.8774580599722106,0.0493433924988462,0.0731985475289431,-0.1307261196877926
S154,Bal_Mixed_2,Y,0,1,0,0.1072773404290816,0.7990768363018922,0.0936458232690262,-0.2242981722551301
