WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S179,BalAdjust_Raw_CD_0.5_3,Y,0,1,0,0.5663021663007106,0.121776817057992,0.3119210166412971,-2.1055652779638434
S179,BalAdjust_Raw_CD_0.25_4,Y,1,0,0,0.4150628792438271,0.1404680008343819,0.4444691199217911,-0.8793252539786807
S179,Centered_W_2_0_0.5,Y,1,0,0,0.8102924704419053,0.0948537647790472,0.0948537647790472,-0.2103600218677694
S179,Uncentered_CW_1_0_0.25,Y,1,0,0,0.7188693708513055,0.1405648463461767,0.1405657828025179,-0.3300756194761048
S179,Centered_CD_1_0_0.5,Y,0,0,1,0.3816111314255652,0.1397900822518186,0.4785987863226164,-0.7368926394019771
S179,Uncentered_CW_0_0_0.5,Y,1,0,0,0.7188690429604297,0.1405648463461767,0.1405661106933937,-0.3300760755964569
S179,Uncentered_CW_3_0_1.0,Y,1,0,0,0.2760512230303762,0.1043446249349343,0.6196041520346892,-1.2871688397950396
S179,Centered_CW_4_0_2.0,Y,1,0,0,0.7521962338042746,0.1224547356405553,0.1253490305551698,-0.2847580398658079
S179,BalAdjust_Raw_CW_0.5_0,Y,1,0,0,0.7024693587564609,0.1402743098107924,0.1572563314327469,-0.3531534961540293
S179,Uncentered_W_3_0_0.25,Y,1,0,0,0.8122293806778006,0.0938853096610996,0.0938853096610996,-0.2079724901933694
S179,Uncentered_CW_0_0_2.0,Y,1,0,0,0.7000680620865761,0.1391121636692552,0.1608197742441688,-0.3565777171131618
S179,Centered_W_3_0_1.0,Y,1,0,0,0.8107428178262709,0.0940790006846891,0.0951781814890398,-0.2098043925126148
S179,BalAdjust_Raw_CW_0.25_4,Y,1,0,0,0.7191266016768959,0.1398869277636133,0.1409864705594909,-0.3297178565431784
S179,Uncentered_CW_4_0_0.5,Y,1,0,0,0.6453261398894883,0.1236168817820925,0.2310569783284193,-0.4379994467413136
S179,Centered_W_0_0_2.0,Y,1,0,0,0.1146098372591316,0.7588666419238017,0.1265235208170665,-2.1662216384280177
S179,Centered_W_2_0_2.0,Y,1,0,0,0.8089681159453718,0.0952411468262263,0.0957907372284017,-0.2119957743871149
S179,Centered_CD_1_0_2.0,Y,0,0,1,0.72819319099059,0.0989212762744274,0.1728855327349822,-1.7551255639696983
S179,BalAdjust_Raw_CW_0.5_4,Y,1,0,0,0.7301043630676968,0.1349478066620801,0.1349478302702232,-0.3145677919515173
S179,Centered_CD_2_0_0.25,Y,0,0,1,0.4027195049075908,0.1405648463461767,0.4567156487462326,-0.7836942945517751
S179,Centered_D_2_0_0.25,Y,0,1,0,0.5091210149765145,0.3987368945746916,0.0921420904487938,-0.9194534916935564
S179,BalAdjust_Raw_CD_0.5_2,Y,0,0,1,0.5968434094009144,0.1175156145390223,0.2856409760600628,-1.2530195852084005
S179,Centered_CW_4_0_0.5,Y,1,0,0,0.7510230172235092,0.1244884913882454,0.1244884913882454,-0.2863189789213423
S179,BalAdjust_Raw_CD_0.25_1,Y,1,0,0,0.4626677974476156,0.1313645227256737,0.4059676798267105,-0.7707459825354411
S179,BalAdjust_Raw_CD_0.5_5,Y,0,0,1,0.5006627744616181,0.1143197126497951,0.3850175128885869,-0.954466457706598
S179,Centered_CD_0_0_0.25,Y,0,0,1,0.3874383044492406,0.1538805104487005,0.4586811851020587,-0.7793998960923862
S179,Uncentered_W_2_0_2.0,Y,1,0,0,0.6250546924647516,0.1381291587627822,0.236816148772466,-0.4699161251307296
S179,BalAdjust_Adj_CW_0.25_0,Y,1,0,0,0.6765035856236344,0.1394995457164342,0.1839968686599314,-0.3908175311286748
S179,Centered_CD_2_0_1.0,Y,0,0,1,0.412029579412877,0.1393058546928447,0.4486645658942784,-0.8014797397129728
S179,BalAdjust_Adj_CD_0.25_2,Y,0,0,1,0.4382146156916402,0.1364004893390017,0.4253848949693582,-0.8547608846758534
S179,BalAdjust_Raw_CD_0.25_2,Y,0,0,1,0.4387067864687513,0.136691025874386,0.4246021876568628,-0.8566025774491398
S179,BalAdjust_Raw_CW_0.25_0,Y,1,0,0,0.684573914628116,0.1400806187872029,0.1753454665846813,-0.3789586566968367
S179,BalAdjust_Raw_CW_0.25_1,Y,1,0,0,0.6933581639900751,0.1399837732754081,0.166658062734517,-0.3662085821489456
S179,Centered_D_2_0_1.0,Y,0,1,0,0.5400965922271452,0.3677613173240608,0.0921420904487938,-1.000321145469531
S179,Uncentered_W_0_0_2.0,Y,1,0,0,0.2730355226121984,0.4915547886655912,0.2354096887222103,-1.2981533728033774
S179,Uncentered_D_4_0_1.0,Y,0,0,1,0.5165409988191839,0.372661655363918,0.1107973458168979,-2.20005245967701
S179,Centered_CW_0_0_2.0,Y,1,0,0,0.3803895305957429,0.1145134036733847,0.5050970657308722,-0.9665594707828516
S179,Centered_W_3_0_0.25,Y,1,0,0,0.8131978357957482,0.0934010821021258,0.0934010821021258,-0.2067808585746395
S179,BalAdjust_Adj_CW_0.25_3,Y,1,0,0,0.7177710635482479,0.1405648463461767,0.1416640901055755,-0.331604613775207
S179,BalAdjust_Adj_CD_0.5_5,Y,1,0,0,0.5221276895173376,0.111898574854926,0.3659737356277365,-0.6498431050795008
S179,BalAdjust_Raw_CD_0.5_4,Y,0,0,1,0.4179616956427159,0.1318487502846476,0.4501895540726366,-0.7980865536382322
S179,Centered_D_1_0_0.5,Y,0,1,0,0.6556593227391134,0.2521985868120926,0.0921420904487938,-1.3775384589083628
S179,Centered_CD_0_0_1.0,Y,0,0,1,0.4092129182028741,0.1628155489068341,0.4279715328902916,-0.8486985975509282
S179,BalAdjust_Adj_CW_0.25_2,Y,1,0,0,0.7144724010599642,0.1405648463461767,0.1449627525938592,-0.3362109092862256
S179,BalAdjust_Adj_CD_0.25_3,Y,1,0,0,0.3970414955976425,0.1308802951666999,0.4720782092356576,-0.9237144808411096
S179,Uncentered_CD_0_0_0.25,Y,0,0,1,0.131267677213879,0.131267677213879,0.737464645572242,-0.3045371301243642
S179,Centered_CD_3_0_0.5,Y,1,0,0,0.5074428848215136,0.1294276124897783,0.3631295026887078,-0.6783711166231645
S179,BalAdjust_Raw_CW_0.25_3,Y,1,0,0,0.7133743586927342,0.1405648463461767,0.1460607949610892,-0.3377489491020359
S179,Uncentered_CD_3_0_2.0,Y,1,0,0,0.7378541968117468,0.1680463955204531,0.0940994076677999,-0.3040090391959945
S179,Centered_CW_2_0_0.5,Y,1,0,0,0.7146672751138335,0.1404680008343819,0.1448647240517846,-0.3359381940879479
S179,Centered_CD_4_0_0.25,Y,0,0,1,0.4337776641621816,0.138337399574897,0.4278849362629214,-0.8489009600516205
S179,Uncentered_D_1_0_0.5,Y,1,0,0,0.585456116899073,0.3224017926521331,0.0921420904487938,-0.5353640485413313
S179,BalAdjust_Adj_CD_0.5_1,Y,0,1,0,0.5792656380044754,0.1203241343810705,0.3004102276144538,-2.11756605782615
S179,Centered_W_1_0_0.25,Y,1,0,0,0.810774279509848,0.0937884641493048,0.0954372563408469,-0.2097655872682757
S179,BalAdjust_Adj_CW_0.25_1,Y,1,0,0,0.6989294997371155,0.1404680008343819,0.1606024994285027,-0.3582054005800973
S179,BalAdjust_Adj_CD_0.5_3,Y,0,0,1,0.5587499607685733,0.1223578901287606,0.3188921491026659,-1.1429023239500542
S179,Uncentered_CD_1_0_2.0,Y,0,0,1,0.4411206654951194,0.2775344919784366,0.2813448425264439,-1.2681741644368745
S179,Uncentered_CW_3_0_0.25,Y,1,0,0,0.5427487325109084,0.1363036438272069,0.3209476236618849,-0.6111088055357057
S179,BalAdjust_Adj_CW_0.25_5,Y,1,0,0,0.7077739812020583,0.1381437085513075,0.1540823102466345,-0.3456304718452587
S179,Centered_D_4_0_0.25,Y,1,0,0,0.69959210701517,0.208265802536036,0.0921420904487938,-0.3572578180408849
S179,BalAdjust_Adj_CD_0.25_4,Y,0,0,1,0.4147149152139975,0.1404680008343819,0.4448170839516207,-0.8100921286187241
S179,Uncentered_CD_0_0_1.0,Y,0,0,1,0.1313645410875628,0.1313645227256737,0.7372709361867634,-0.3047998340137782
S179,Uncentered_W_0_0_0.5,Y,1,0,0,0.7956472206067607,0.0947569192672525,0.1095958601259866,-0.2285993815680654
S179,Centered_CW_1_0_1.0,Y,1,0,0,0.7022993009274515,0.1345604246149011,0.1631402744576474,-0.3533956112221123
S179,BalAdjust_Adj_CW_0.5_5,Y,1,0,0,0.7489947966954332,0.1247790279236296,0.1262261753809369,-0.2890232424911399
S179,BalAdjust_Raw_CW_0.5_3,Y,1,0,0,0.6715212173637918,0.1251664099708087,0.2033123726653997,-0.3982096665503464
S179,Uncentered_CD_4_0_1.0,Y,0,0,1,0.4161620233243997,0.1404680008343819,0.4433699758412185,-0.813350697576533
S179,Uncentered_CD_2_0_1.0,Y,1,0,0,0.142764008008615,0.1405648463461767,0.7166711456452085,-1.9465623056028687
S179,Uncentered_W_4_0_0.5,Y,1,0,0,0.808742942253189,0.0956285288734054,0.0956285288734054,-0.2122741599399562
S179,BalAdjust_Adj_CD_0.5_2,Y,1,0,0,0.6054395201381756,0.1169345414682538,0.2776259383935703,-0.5018006051426083
S179,Uncentered_W_1_0_0.25,Y,1,0,0,0.6472632667242945,0.1264606688121438,0.2262760644635616,-0.4350021634971383
S179,BalAdjust_Raw_CD_0.25_5,Y,1,0,0,0.3500707808296966,0.1307834496549051,0.5191457695153981,-1.0496199140026077
S179,BalAdjust_Raw_CD_0.5_0,Y,0,0,1,0.6155385890498802,0.1163534683974852,0.2681079425526342,-1.3163656088428486
S179,Uncentered_W_3_0_1.0,Y,1,0,0,0.787564905943264,0.0962040667245597,0.116231027332176,-0.2388094914332961
S179,Uncentered_D_4_0_0.25,Y,1,0,0,0.5444960648378133,0.3011795357541207,0.1543243994080658,-0.6078945637466916
S179,Centered_W_4_0_0.5,Y,1,0,0,0.8110672319131363,0.0944663827318682,0.0944663853549952,-0.2094043282865428
S179,Uncentered_CW_2_0_0.5,Y,1,0,0,0.5458725467075636,0.1275875477656778,0.3265399055267586,-0.6053697614250024
S179,Uncentered_CD_2_0_0.25,Y,0,0,1,0.1405661159396478,0.1405648463461767,0.7188690377141757,-0.3300760828943844
S179,BalAdjust_Adj_CW_0.5_1,Y,1,0,0,0.7183206880510743,0.1405648463461767,0.1411144656027491,-0.3308391689085403
S179,BalAdjust_Adj_CD_0.5_4,Y,0,0,1,0.41242298765609,0.1297181490251626,0.4578588633187472,-0.7811943010512903
S179,BalAdjust_Raw_CW_0.25_5,Y,0,0,1,0.7011474241998689,0.1384342450866918,0.1604183307134394,-1.8299703088234711
S179,Centered_CW_2_0_2.0,Y,1,0,0,0.3335804898169515,0.1103490466662098,0.5560704635168384,-1.097871093969923
S179,Uncentered_CW_2_0_2.0,Y,1,0,0,0.2872659890078812,0.0987275852508379,0.6140064257412807,-1.2473467014598691
S179,Centered_CW_3_0_0.25,Y,1,0,0,0.7440501403742861,0.1279749298128569,0.1279749298128569,-0.2956468534436588
S179,BalAdjust_Adj_CD_0.25_5,Y,0,0,1,0.3597673405242643,0.1322361323318266,0.5079965271439091,-0.6772806677579106
S179,Centered_W_1_0_1.0,Y,1,0,0,0.8090310576744152,0.0946600737554577,0.0963088685701268,-0.2119179724572977
S179,BalAdjust_Adj_CD_0.5_0,Y,0,1,0,0.6067307909275689,0.1174187690272276,0.2758504400452032,-2.142008511902773
