Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CBO_Pure_10,Y,3,10,12,0.1196572400978263,0.0738695058330749,0.8064732540690989,-35.00493817811174
CWCD_Pure_6,Y,15,4,6,0.4688175861467986,0.1398509176192774,0.391331496233924,-24.86103768668657
CWCD_Mixed_4,Y,25,0,0,0.8879518838378763,0.0839663445938004,0.0280817715683234,-2.97094305813191
WW_Pure_12,Y,0,0,25,0.1677932041320159,0.1398509176192774,0.6923558782487066,-9.191379515815497
CWCD_Mixed_10,Y,18,2,5,0.6364713052232295,0.1957354906447544,0.1677932041320159,-20.31978405972569
CWCB_Pure_11,Y,20,3,2,0.6364713052232295,0.1398509176192774,0.2236777771574929,-17.932951291530188
WW_Pure_11,Y,1,6,18,0.1119086311065389,0.2236777771574929,0.664413591735968,-18.5346730771307
CWCB_Pure_0,Y,18,2,5,0.4688175861467986,0.2795623501829699,0.2516200636702314,-23.083982442065487
WW_Mixed_4,Y,21,2,2,0.552644445685014,0.2795623501829699,0.1677932041320159,-18.572955070254963
CBO_Pure_3,Y,19,4,2,0.664413591735968,0.2516200636702314,0.0839663445938004,-18.242176933700826
CWCB_Mixed_9,Y,11,3,11,0.608529018710491,0.1677932041320159,0.2236777771574929,-27.29192275662843
CWCD_Pure_5,Y,12,2,11,0.4688175861467986,0.2236777771574929,0.3075046366957084,-25.05751209971149
CWCB_Pure_6,Y,16,7,2,0.5805867321977526,0.2516200636702314,0.1677932041320159,-21.92834833482578
WW_Mixed_1,Y,18,0,7,0.8320673108123992,0.1119086311065389,0.0560240580810619,-23.482973405646483
CWCB_Pure_5,Y,23,1,1,0.5805867321977526,0.1677932041320159,0.2516200636702314,-15.6703278278773
CWCD_Mixed_0,Y,25,0,0,0.6923558782487066,0.1957354906447544,0.1119086311065389,-9.191379515815497
CWCB_Pure_8,Y,18,5,2,0.5805867321977526,0.1957354906447544,0.2236777771574929,-20.936942290405888
CWCB_Pure_9,Y,14,5,6,0.5805867321977526,0.2236777771574929,0.1957354906447544,-24.885715313754407
WB_Mixed_9,Y,25,0,0,0.664413591735968,0.1119086311065389,0.2236777771574929,-10.221261107348797
CBO_Pure_0,Y,14,5,6,0.4688175861467986,0.2236777771574929,0.3075046366957084,-25.168915863273813
WW_Pure_2,Y,1,0,24,0.0560240580810619,0.0560240580810619,0.8879518838378763,-5.734079407718578
CBO_Mixed_8,Y,19,1,5,0.6364713052232295,0.2516200636702314,0.1119086311065389,-20.914700623132884
CWCB_Pure_1,Y,20,1,4,0.6923558782487066,0.0839663445938004,0.2236777771574929,-15.8206378630211
CWCB_Mixed_4,Y,20,3,2,0.7202981647614451,0.1957354906447544,0.0839663445938004,-16.40945234563439
WW_Pure_0,Y,0,1,24,0.0560240580810619,0.0839663445938004,0.8600095973251377,-6.0968207428169725
WW_Mixed_9,Y,23,1,1,0.8600095973251377,0.0839663445938004,0.0560240580810619,-8.827983084612457
