Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
CW_mixed_centered_1.0_1_mixed,Y,24,2,1,0.7539103406910135,0.1230448296544932,0.1230448296544932,-13.065183474112189
CW_mixed_uncentered_1.0_0_blocks,Y,26,0,1,0.7733260941204668,0.1133369529397666,0.1133369529397666,-8.860806079051704
CD_mixed_centered_1.0_1_blocks,Y,10,10,7,0.5729654309827186,0.1200577906653466,0.3069767783519348,-35.034001795716094
CD_pure_centered_1.0_1_blocks,Y,9,4,14,0.4847780766851454,0.1237915894017799,0.3914303339130745,-28.004468195107805
CD_pure_centered_0.25_1_mixed,Y,6,6,15,0.4467939679986701,0.1310779923673813,0.4221280396339484,-29.96242189477314
CD_mixed_centered_0.25_0_blocks,Y,2,3,22,0.3888970700011586,0.1252851088963532,0.485817821102488,-24.002645686293512
D_mixed_uncentered_1.0_1_blocks,Y,17,10,0,0.5089818732607296,0.2476446622554023,0.2433734644838681,-25.4384326214643
CB_mixed_uncentered_1.0_0_mixed,Y,17,6,4,0.5599962033630601,0.1260318686436399,0.3139719279933,-26.91815933781009
CD_pure_uncentered_0.25_0_blocks,Y,5,6,16,0.4387885201722955,0.1260318686436399,0.4351796111840645,-29.857954374990623
CB_mixed_uncentered_1.0_0_blocks,Y,16,5,6,0.7132277763702544,0.1260318686436399,0.1607403549861057,-26.73116306000582
D_mixed_centered_1.0_0_blocks,Y,19,8,0,0.6089883700966716,0.1809736643647743,0.2100379655385541,-23.09839612774098
W_mixed_uncentered_1.0_0_mixed,Y,12,10,5,0.6778001557682447,0.1444321726432206,0.1777676715885346,-32.65267521605894
D_mixed_uncentered_1.0_0_mixed,Y,19,2,6,0.6076081814061361,0.1178175114234866,0.2745743071703772,-21.4987126788882
B_mixed_uncentered_0.25_0_blocks,Y,7,17,3,0.1110966736979066,0.7510107968771875,0.1378925294249058,-26.193022927127387
B_pure_centered_1.0_1_mixed,Y,1,20,6,0.2111031705338486,0.5843333021506175,0.2045635273155338,-21.82234325532636
CW_pure_centered_0.25_1_blocks,Y,25,1,1,0.7509233017018668,0.1245383491490666,0.1245383491490666,-11.32757718692711
B_pure_centered_1.0_1_blocks,Y,1,26,0,0.1378925294249058,0.7510107968771875,0.1110966736979066,-9.42599718651251
W_pure_uncentered_0.25_0_blocks,Y,20,6,1,0.7778066526041868,0.1110966736979066,0.1110966736979066,-20.407027741347008
B_mixed_centered_1.0_1_mixed,Y,3,9,15,0.3938791891516714,0.2451854292264493,0.3609353816218792,-30.73264266039054
B_mixed_centered_1.0_0_blocks,Y,0,26,1,0.1712280283702198,0.6843397989865596,0.1444321726432206,-11.796763541944934
CB_mixed_uncentered_0.25_0_mixed,Y,23,1,3,0.7340780180633274,0.1252851088963532,0.1406368730403193,-15.072104685648446
CW_mixed_centered_0.25_1_blocks,Y,25,2,0,0.7524168211964402,0.1237915894017799,0.1237915894017799,-11.289932343159345
W_mixed_uncentered_0.25_0_blocks,Y,19,5,3,0.644109588491166,0.1125901931924799,0.2433002183163541,-23.51822228092769
CB_pure_centered_1.0_1_blocks,Y,17,7,3,0.5733454884797594,0.1260318686436399,0.3006226428766007,-27.56077733748434
CW_mixed_centered_1.0_0_mixed,Y,26,0,1,0.7494297822072935,0.1252851088963532,0.1252851088963532,-9.576672219990764
D_pure_uncentered_1.0_1_mixed,Y,12,13,2,0.6470137882378915,0.241889538064202,0.1110966736979066,-28.069924576170884
CW_pure_uncentered_1.0_1_blocks,Y,25,2,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-10.676641649825182
B_pure_uncentered_0.25_1_blocks,Y,0,27,0,0.2045635273155338,0.6843397989865596,0.1110966736979066,-10.241118969414051
B_pure_uncentered_0.25_1_mixed,Y,1,21,5,0.3777806652604186,0.2111031705338486,0.4111161642057326,-38.08141324242929
CD_mixed_centered_0.25_1_mixed,Y,2,2,23,0.418287524243929,0.1260318686436399,0.455680607112431,-23.96276557947974
D_mixed_centered_0.25_1_blocks,Y,14,13,0,0.4594427981488967,0.4294605281531966,0.1110966736979066,-21.87630241664216
W_mixed_centered_0.25_0_blocks,Y,24,3,0,0.7763131331096135,0.1118434334451932,0.1118434334451932,-12.648749539497606
CB_pure_centered_1.0_1_mixed,Y,15,6,6,0.5733629561809341,0.1434105190567242,0.2832265247623416,-27.5648585284328
CD_pure_centered_1.0_0_mixed,Y,11,7,9,0.6395313765980806,0.1359429215838575,0.2245257018180618,-32.32974261571833
D_pure_uncentered_1.0_0_mixed,Y,20,3,4,0.5130345096028952,0.3425333177538841,0.1444321726432206,-24.30218346195615
B_mixed_centered_1.0_0_mixed,Y,2,24,1,0.2444386694791626,0.4444516631510466,0.3111096673697907,-23.447126867181915
CD_mixed_uncentered_0.25_1_blocks,Y,9,2,16,0.4330671515229617,0.1260318686436399,0.4409009798333983,-24.77716269279112
CD_pure_centered_0.25_0_mixed,Y,15,4,8,0.436837573343152,0.1245383491490666,0.4386240775077812,-27.34837430705327
D_pure_uncentered_0.25_1_mixed,Y,13,7,7,0.5916920716208618,0.1505157275150604,0.2577922008640777,-29.5670200538642
W_pure_centered_0.25_1_blocks,Y,15,12,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-30.13741383286883
W_mixed_centered_0.25_1_blocks,Y,23,3,1,0.7778066526041868,0.1110966736979066,0.1110966736979066,-14.568796086433911
D_pure_centered_0.25_0_blocks,Y,17,10,0,0.5934220767838929,0.2954812495182005,0.1110966736979066,-21.062938230457288
CD_mixed_uncentered_0.25_0_blocks,Y,2,3,22,0.3256048025151991,0.1260318686436399,0.548363328841161,-21.675781688898518
B_pure_uncentered_0.25_0_mixed,Y,7,5,15,0.2111031705338486,0.2777741684244766,0.5111226610416747,-27.35977747810931
B_mixed_uncentered_1.0_1_mixed,Y,8,16,3,0.2444386694791626,0.3777806652604186,0.3777806652604186,-29.765715282603253
B_pure_uncentered_1.0_0_blocks,Y,5,15,7,0.2444386694791626,0.4509913063693614,0.3045700241514759,-27.31054222794782
D_pure_centered_0.25_0_mixed,Y,10,11,6,0.5606966523334047,0.1490222080204871,0.2902811396461082,-34.14744404245393
D_pure_uncentered_1.0_0_blocks,Y,17,8,2,0.5927847939301528,0.2961185323719406,0.1110966736979066,-23.020378268001508
CB_mixed_centered_1.0_1_blocks,Y,21,6,0,0.2145896709282037,0.1715186997710316,0.6138916293007647,-42.89795710592695
D_mixed_uncentered_1.0_0_blocks,Y,16,8,3,0.664856983876287,0.1910659118122571,0.1440771043114558,-25.584247780565796
B_pure_centered_0.25_1_mixed,Y,7,17,3,0.1777676715885346,0.5908729453689323,0.2313593830425331,-25.426916140595985
CW_pure_uncentered_0.25_0_mixed,Y,15,11,1,0.6414776178337841,0.1459256921377939,0.2125966900284219,-29.37930836340812
CD_pure_uncentered_1.0_0_mixed,Y,13,7,7,0.5668806565121656,0.1258506741363747,0.3072686693514597,-30.147728029509363
W_mixed_centered_1.0_0_blocks,Y,25,2,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-10.676641649825182
