Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
Weight_4_1,Y,21,0,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-5.276823388057241
CD_4_3,Y,14,4,3,0.4387885201722955,0.1260318686436399,0.4351796111840645,-22.313199193667685
CD_3_0,Y,4,5,12,0.4339253568203617,0.1260318686436399,0.4400427745359982,-23.54623348888997
Dist_3_5,Y,19,2,0,0.6470137882378915,0.241889538064202,0.1110966736979066,-11.110914022469595
CD_4_0,Y,10,4,7,0.4387885201722955,0.1260318686436399,0.4351796111840645,-22.346234077859044
Dist_4_2,Y,18,2,1,0.6470137882378915,0.241889538064202,0.1110966736979066,-12.87288087129114
Dist_1_5,Y,10,10,1,0.4862386538758959,0.4026646724261974,0.1110966736979066,-18.50442312254495
Weight_2_7,Y,18,3,0,0.7763131331096135,0.1118434334451932,0.1118434334451932,-11.129553630636163
Dist_2_4,Y,12,9,0,0.4326469424218975,0.4562563838801958,0.1110966736979066,-17.11630254763137
Weight_3_4,Y,20,1,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-7.222900606361605
Dist_1_6,Y,15,5,1,0.2986676637869013,0.5902356625151921,0.1110966736979066,-22.95987873333092
Weight_2_6,Y,20,1,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-7.222900606361605
CW_3_0,Y,17,4,0,0.7658584966476002,0.1170707516761999,0.1170707516761999,-13.114790808111715
CB_4,Y,9,6,6,0.5886972526237254,0.1260318686436399,0.2852708787326346,-24.72180852839131
Dist_1_1,Y,12,8,1,0.3522593752408998,0.5366439510611937,0.1110966736979066,-19.697368183799483
Dist_4_6,Y,19,2,0,0.6470137882378915,0.241889538064202,0.1110966736979066,-11.110914022469595
Weight_1_4,Y,15,6,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-16.953286697883428
Weight_4_6,Y,21,0,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-5.276823388057241
CW_3_2,Y,17,3,1,0.7539103406910135,0.1230448296544932,0.1230448296544932,-13.183017188223088
Dist_2_5,Y,16,5,0,0.6470137882378915,0.241889538064202,0.1110966736979066,-14.062573335379248
Dist_3_1,Y,17,4,0,0.6202179325108922,0.2686853937912012,0.1110966736979066,-13.377490591697644
CW_3_5,Y,19,2,0,0.7658584966476002,0.1170707516761999,0.1170707516761999,-9.358352897634932
Dist_4_7,Y,19,2,0,0.6470137882378915,0.241889538064202,0.1110966736979066,-11.110914022469595
CW_3_3,Y,19,1,1,0.7509233017018668,0.1245383491490666,0.1245383491490666,-9.608866622967188
CW_2_4,Y,18,2,1,0.7325844985687541,0.1260318686436399,0.141383632787606,-11.6998978299532
CD_1_5,Y,3,3,15,0.2901829155289537,0.1193110309180599,0.5905060535529864,-17.991426783678023
Weight_2_4,Y,20,1,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-7.222900606361605
CD_4_7,Y,16,4,1,0.45573942679389,0.1252851088963532,0.4189754643097566,-21.75194103376901
CW_1_3,Y,17,4,0,0.657319197343497,0.1252851088963532,0.2173956937601498,-15.44160721315379
Weight_1_7,Y,17,3,1,0.7778066526041868,0.1110966736979066,0.1110966736979066,-13.0611322612747
CW_4_6,Y,21,0,0,0.7613779381638801,0.1193110309180599,0.1193110309180599,-5.725133627001906
CD_4_4,Y,13,4,4,0.4387885201722955,0.1260318686436399,0.4351796111840645,-22.321457914715523
