Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
WW_Mixed_1,Y,18,0,7,0.7778066526041868,0.1110966736979066,0.1110966736979066,-19.904473132960604
CWCD_Mixed_4,Y,25,0,0,0.7509233017018668,0.1245383491490666,0.1245383491490666,-7.161294016499673
WW_Mixed_4,Y,21,2,2,0.7763131331096135,0.1118434334451932,0.1118434334451932,-14.079806886417494
CWCB_Mixed_0,Y,20,4,1,0.7325844985687541,0.1260318686436399,0.141383632787606,-16.464691963161012
CBO_Mixed_4,Y,24,0,1,0.6048732577350726,0.1208045504126332,0.2743221918522942,-13.35912400260185
WB_Mixed_5,Y,20,1,4,0.7778066526041868,0.1110966736979066,0.1110966736979066,-16.012318696351873
WB_Pure_9,Y,0,25,0,0.1110966736979066,0.7510107968771875,0.1378925294249058,-7.158381266349635
CBO_Mixed_10,Y,14,6,5,0.6196868493441243,0.1260318686436399,0.2542812820122357,-25.973468088966364
WB_Mixed_9,Y,25,0,0,0.7111356547135588,0.1110966736979066,0.1777676715885346,-8.522301828131521
CWCB_Mixed_11,Y,24,0,1,0.6662803143109369,0.1208045504126332,0.2129151352764298,-11.291936929797508
CWCD_Pure_7,Y,10,3,12,0.4577462634719377,0.1252851088963532,0.4169686276317089,-24.542823908116027
CBO_Pure_4,Y,20,3,2,0.5419726816646349,0.1215513101599199,0.3364760081754452,-20.751506892585446
WW_Mixed_7,Y,23,1,1,0.7778066526041868,0.1110966736979066,0.1110966736979066,-10.174087041438778
CWCD_Pure_10,Y,15,2,8,0.5052950753984093,0.1245383491490666,0.370166575452524,-22.355891225690133
CWCD_Mixed_8,Y,17,4,4,0.6558256778489236,0.1260318686436399,0.2181424535074364,-21.54693423140785
CWCB_Pure_10,Y,20,1,4,0.5971827691619791,0.1237915894017799,0.279025641436241,-17.505603573251577
CBO_Pure_0,Y,14,5,6,0.4678856184992634,0.1260318686436399,0.4060825128570965,-26.3967356796202
CWCD_Mixed_3,Y,21,2,2,0.6895162451260025,0.1245383491490666,0.1859454057249309,-15.337952949492244
WB_Mixed_3,Y,25,0,0,0.7609613689656474,0.1118434334451932,0.1271951975891593,-6.829317148080576
CWCD_Mixed_5,Y,22,0,3,0.680807837487522,0.1260318686436399,0.1931602938688381,-13.391158861360768
CBO_Mixed_1,Y,19,2,4,0.7778066526041868,0.1110966736979066,0.1110966736979066,-17.958395914656236
CWCD_Pure_9,Y,18,3,4,0.4716045081213305,0.1260318686436399,0.4023636232350295,-23.38431961085967
CWCD_Mixed_10,Y,18,2,5,0.701880970280822,0.1260318686436399,0.1720871610755382,-19.313057909030235
WW_Pure_7,Y,1,3,21,0.1444321726432206,0.1110966736979066,0.7444711536588727,-14.723713486801518
CBO_Pure_7,Y,0,0,25,0.1110966736979066,0.1110966736979066,0.7778066526041868,-6.281932604830049
CBO_Pure_11,Y,0,2,23,0.1118434334451932,0.1118434334451932,0.7763131331096135,-10.204894920003422
WB_Mixed_12,Y,25,0,0,0.7778066526041868,0.1110966736979066,0.1110966736979066,-6.281932604830049
CBO_Mixed_3,Y,18,3,4,0.6418708967637838,0.1230448296544932,0.2350842735817229,-20.057490072545093
CWCD_Pure_8,Y,10,6,9,0.4027713174354487,0.1376176355856961,0.4596110469788551,-27.9898927379147
CWCD_Pure_0,Y,14,4,7,0.501925431541049,0.1237915894017799,0.3742829790571711,-24.886077389274107
CBO_Mixed_0,Y,22,0,3,0.701880970280822,0.1260318686436399,0.1720871610755382,-13.06707438167606
CBO_Pure_12,Y,17,3,5,0.5475683008760007,0.1252851088963532,0.3271465902276459,-22.056781673564902
CBO_Pure_6,Y,20,1,4,0.7609613689656474,0.1118434334451932,0.1271951975891593,-15.90223855417928
CBO_Pure_3,Y,19,4,2,0.6761336009057961,0.1215513101599199,0.202315088934284,-19.061460271169523
WW_Mixed_11,Y,17,3,5,0.7778066526041868,0.1110966736979066,0.1110966736979066,-21.850550351264967
CWCD_Pure_4,Y,17,4,4,0.4351796111840645,0.1260318686436399,0.4387885201722955,-25.72377213950285
WW_Mixed_5,Y,21,2,2,0.7748196136150401,0.1125901931924799,0.1125901931924799,-14.0936283453772
WB_Pure_1,Y,0,25,0,0.1378925294249058,0.7242149411501884,0.1378925294249058,-8.066676265372086
WW_Pure_13,Y,1,0,24,0.1118434334451932,0.1118434334451932,0.7763131331096135,-8.267438936796385
CWCB_Pure_6,Y,16,7,2,0.6196868493441243,0.1260318686436399,0.2542812820122357,-24.893827942143112
WB_Pure_2,Y,0,25,0,0.1110966736979066,0.7778066526041868,0.1110966736979066,-6.281932604830049
WW_Mixed_3,Y,22,2,1,0.7748196136150401,0.1125901931924799,0.1125901931924799,-12.164752717448977
WB_Mixed_10,Y,21,4,0,0.7444711536588727,0.1110966736979066,0.1444321726432206,-14.986122734197313
WB_Pure_7,Y,2,22,1,0.1378925294249058,0.7242149411501884,0.1378925294249058,-13.0425171220541
CWCB_Pure_9,Y,14,5,6,0.6040490167676915,0.1260318686436399,0.2699191145886685,-25.271299064634
CWCB_Mixed_6,Y,19,4,2,0.7340780180633274,0.1252851088963532,0.1406368730403193,-18.105460552304105
WB_Pure_5,Y,1,24,0,0.1110966736979066,0.7778066526041868,0.1110966736979066,-8.228009823134414
CWCD_Mixed_7,Y,21,0,4,0.6603062363326436,0.1237915894017799,0.2159021742655764,-14.847802182959978
CWCD_Mixed_13,Y,21,2,2,0.7325844985687541,0.1260318686436399,0.141383632787606,-14.589705878329312
CBO_Mixed_8,Y,19,1,5,0.5974056602622059,0.1245383491490666,0.2780559905887275,-18.270824558014997
WW_Pure_10,Y,0,1,24,0.1110966736979066,0.1110966736979066,0.7778066526041868,-8.228009823134414
WW_Pure_4,Y,2,3,20,0.1118434334451932,0.1118434334451932,0.7763131331096135,-16.01726286962453
CBO_Pure_5,Y,3,7,15,0.1110966736979066,0.241889538064202,0.6470137882378915,-23.057797451821077
CWCB_Pure_0,Y,18,2,5,0.6251221495609914,0.1260318686436399,0.2488459817953686,-19.553594323841704
CWCD_Pure_2,Y,13,4,8,0.4409009798333983,0.1260318686436399,0.4330671515229617,-25.62593627785437
WW_Mixed_2,Y,23,1,1,0.7778066526041868,0.1110966736979066,0.1110966736979066,-10.174087041438778
CBO_Mixed_6,Y,20,2,3,0.744116085327108,0.1125901931924799,0.1432937214804121,-16.10774215241173
WW_Mixed_12,Y,22,1,2,0.7778066526041868,0.1110966736979066,0.1110966736979066,-12.120164259743142
WW_Mixed_13,Y,21,2,2,0.7778066526041868,0.1110966736979066,0.1110966736979066,-14.066241478047507
WW_Mixed_9,Y,23,1,1,0.7778066526041868,0.1110966736979066,0.1110966736979066,-10.174087041438778
WW_Pure_9,Y,1,6,18,0.127481266021626,0.1118434334451932,0.7606753005331807,-20.127594030618887
WB_Mixed_4,Y,17,5,3,0.7778066526041868,0.1110966736979066,0.1110966736979066,-21.850550351264967
WW_Pure_1,Y,0,0,25,0.1110966736979066,0.1110966736979066,0.7778066526041868,-6.281932604830049
WB_Pure_12,Y,1,24,0,0.1378925294249058,0.7510107968771875,0.1110966736979066,-8.85332668520454
CWCB_Mixed_3,Y,20,2,3,0.7494297822072935,0.1252851088963532,0.1252851088963532,-16.154669378922925
WW_Mixed_6,Y,11,8,6,0.7609613689656474,0.1118434334451932,0.1271951975891593,-32.90233625750665
CWCB_Mixed_8,Y,21,1,3,0.7778066526041868,0.1110966736979066,0.1110966736979066,-14.066241478047507
WW_Pure_3,Y,0,3,22,0.1110966736979066,0.1110966736979066,0.7778066526041868,-12.120164259743142
CWCD_Mixed_1,Y,22,2,1,0.7014644010825891,0.1185642711707732,0.1799713277466376,-13.780430723221215
CWCB_Pure_11,Y,20,3,2,0.5696891709634204,0.1230448296544932,0.3072659993820864,-19.898990101732515
WB_Pure_6,Y,1,24,0,0.1378925294249058,0.7510107968771875,0.1110966736979066,-8.85332668520454
CWCD_Mixed_11,Y,23,2,0,0.6074934830914083,0.1245383491490666,0.267968167759525,-15.629801289097465
CWCD_Mixed_6,Y,24,1,0,0.6057654273624917,0.1260318686436399,0.2682027039938684,-14.101519312089737
WW_Mixed_8,Y,19,1,5,0.7748196136150401,0.1125901931924799,0.1125901931924799,-17.951379601233654
WB_Pure_0,Y,0,25,0,0.1110966736979066,0.7510107968771875,0.1378925294249058,-7.158381266349635
CWCB_Pure_12,Y,20,2,3,0.7452179134061594,0.1118434334451932,0.1429386531486473,-16.098901865016515
CWCD_Pure_5,Y,12,2,11,0.4716045081213305,0.1260318686436399,0.4023636232350295,-23.176205272224976
CBO_Mixed_9,Y,22,1,2,0.7778066526041868,0.1110966736979066,0.1110966736979066,-12.120164259743142
CWCD_Mixed_9,Y,23,2,0,0.7494297822072935,0.1252851088963532,0.1252851088963532,-10.788507531709747
CBO_Pure_8,Y,3,8,14,0.1110966736979066,0.3222771052451997,0.5666262210568938,-23.60358759991215
CWCD_Mixed_12,Y,20,3,2,0.6865292061368559,0.1260318686436399,0.1874389252195042,-17.084396095275498
WW_Pure_2,Y,1,0,24,0.1110966736979066,0.1110966736979066,0.7778066526041868,-8.228009823134414
CBO_Pure_2,Y,0,0,25,0.1110966736979066,0.1110966736979066,0.7778066526041868,-6.281932604830049
WB_Pure_11,Y,0,25,0,0.1110966736979066,0.6908794422048743,0.1980238840972191,-9.244748475626633
CWCB_Pure_4,Y,17,6,2,0.621752505703631,0.1252851088963532,0.2529623854000157,-23.290632383531158
WB_Pure_10,Y,0,25,0,0.1378925294249058,0.6908794422048743,0.1712280283702198,-9.244748475626633
CBO_Mixed_2,Y,12,4,9,0.6194007809116576,0.1260318686436399,0.2545673504447024,-26.346623478749464
WB_Mixed_6,Y,18,4,3,0.7444711536588727,0.1110966736979066,0.1444321726432206,-19.905715038901626
WW_Pure_6,Y,0,1,24,0.1110966736979066,0.1110966736979066,0.7778066526041868,-8.228009823134414
WB_Pure_8,Y,0,25,0,0.1646883851519051,0.7242149411501884,0.1110966736979066,-8.066676265372086
CBO_Pure_13,Y,1,1,23,0.1110966736979066,0.1110966736979066,0.7778066526041868,-10.174087041438778
WB_Mixed_8,Y,22,2,1,0.7778066526041868,0.1110966736979066,0.1110966736979066,-12.120164259743142
WB_Mixed_13,Y,23,0,2,0.7778066526041868,0.1110966736979066,0.1110966736979066,-10.174087041438778
CWCD_Pure_6,Y,15,4,6,0.4869562722652966,0.1260318686436399,0.3870118590910634,-24.774395818833995
CBO_Mixed_12,Y,22,1,2,0.5290697839749011,0.1252851088963532,0.3456451071287456,-18.20781739130191
CBO_Pure_1,Y,18,3,4,0.7778066526041868,0.1110966736979066,0.1110966736979066,-19.904473132960604
CWCD_Pure_3,Y,18,4,3,0.5052950753984093,0.1245383491490666,0.370166575452524,-23.60100168035536
WW_Pure_0,Y,0,1,24,0.1118434334451932,0.1118434334451932,0.7763131331096135,-8.267438936796385
WW_Pure_11,Y,1,6,18,0.1271951975891593,0.1118434334451932,0.7609613689656474,-20.123072538312726
WW_Pure_5,Y,0,0,25,0.1110966736979066,0.1110966736979066,0.7778066526041868,-6.281932604830049
WB_Pure_4,Y,1,24,0,0.1110966736979066,0.7778066526041868,0.1110966736979066,-8.228009823134414
CWCB_Pure_13,Y,15,4,6,0.5579937243357933,0.1260318686436399,0.3159744070205668,-23.948559718381247
CBO_Mixed_7,Y,11,7,7,0.5958156043318855,0.1230448296544932,0.2811395660136212,-29.244838579573724
WB_Mixed_2,Y,23,2,0,0.7609613689656474,0.1118434334451932,0.1271951975891593,-10.66428237893535
WW_Pure_8,Y,0,0,25,0.1118434334451932,0.1118434334451932,0.7763131331096135,-6.329982953589348
CWCB_Mixed_5,Y,23,1,1,0.7479362627127202,0.1260318686436399,0.1260318686436399,-10.822503799589214
CWCD_Pure_12,Y,8,1,16,0.4244107645266237,0.1252851088963532,0.4503041265770229,-21.69890473788719
CWCB_Mixed_10,Y,22,1,2,0.7385585765470475,0.1230448296544932,0.1383965937984593,-12.717677177403552
