Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
WW_Mixed_7,Y,23,1,1,0.2113623136203502,0.1160656578604324,0.6725720285139796,-38.29641961374372
CWCB_Pure_5,Y,23,1,1,0.7043256075578834,0.1145010641501204,0.1811733282867582,-11.937306190548949
CBO_Pure_10,Y,3,10,12,0.3352291320749359,0.1316326423477246,0.5331382255721017,-31.10392014164953
CWCD_Mixed_4,Y,25,0,0,0.6631398004318558,0.1165871890972031,0.2202730104657033,-10.26923626610817
WW_Mixed_4,Y,21,2,2,0.2236725266130731,0.1160656578604324,0.6602618155212565,-36.58645299155408
WB_Mixed_13,Y,23,0,2,0.2257777777768768,0.5351111111077798,0.2391111111101054,-37.09034696543318
WW_Pure_2,Y,1,0,24,0.1343487563888022,0.1145010641501204,0.7511501794558395,-8.87490839004117
WW_Pure_0,Y,0,1,24,0.1379994750461969,0.1163264234788178,0.7456741014697474,-9.194554296978463
CWCD_Mixed_3,Y,21,2,2,0.6651421912089301,0.1142402985317351,0.2206175102540968,-15.924395169983857
CBO_Mixed_3,Y,18,3,4,0.7284930758977115,0.1163264234788178,0.1551805006182329,-19.608719254504003
CBO_Pure_11,Y,0,2,23,0.1447498758828194,0.1152833610052764,0.7399667631066662,-11.247174540945757
CWCB_Mixed_6,Y,19,4,2,0.702067232716604,0.1160656578604324,0.1818671094177257,-18.74415100353385
CBO_Pure_8,Y,3,8,14,0.2604444444432712,0.1617777777773797,0.5777777777741113,-26.28827346196393
WB_Mixed_5,Y,20,1,4,0.2577777777766254,0.4884444444414798,0.2537777777766569,-33.314862516237824
CBO_Mixed_13,Y,16,4,5,0.1322921366831156,0.1153128662466726,0.7523949970649739,-42.42677655098561
WW_Pure_7,Y,1,3,21,0.2036478029260143,0.1155441266236618,0.6808080704450861,-16.13964334950056
CWCB_Mixed_8,Y,21,1,3,0.7001238524223219,0.1163264234788178,0.1835497240936224,-14.723622639572472
WB_Pure_3,Y,0,25,0,0.1727052100623479,0.6417777777736084,0.1855170121588058,-11.08782939380477
CBO_Mixed_2,Y,12,4,9,0.1184125484259005,0.1113718767294964,0.7702155748393651,-36.73225221547002
CWCB_Mixed_2,Y,21,2,2,0.7123256075578206,0.1186733140442858,0.1690010783926557,-14.942085328928794
CWCB_Pure_11,Y,20,3,2,0.7105002482291232,0.1184125484259005,0.1710872033397384,-16.76762516074419
WB_Mixed_1,Y,24,1,0,0.2321836788251058,0.5329659756779048,0.2348503454917515,-35.6747337280266
WW_Pure_8,Y,0,0,25,0.1204986733729832,0.1150225953868911,0.7644787312348877,-6.714026862267016
CWCD_Pure_4,Y,17,4,4,0.6770241702432511,0.1158048922420471,0.2071709375094638,-21.551059215550804
WW_Mixed_8,Y,19,1,5,0.1233670951752219,0.1121541735846524,0.7644787312348877,-43.28991241822941
CWCB_Mixed_11,Y,24,0,1,0.7107610138475084,0.1160656578604324,0.1731733282868211,-9.947519067931257
WW_Pure_1,Y,0,0,25,0.1264962825958459,0.1152833610052764,0.7582203563936398,-6.919530698593013
WB_Pure_4,Y,1,24,0,0.2991406163510302,0.4118934079639101,0.2889659756798218,-22.49461788670849
WB_Pure_7,Y,2,22,1,0.2631111111099169,0.4271111111086284,0.3097777777762169,-22.557901702228676
WB_Mixed_10,Y,21,4,0,0.2249954809217208,0.5313718767261967,0.2436326423468447,-33.85434687737156
