WID,LearnCondition,TrialName,LearnTest,TrialBase,TrialNumber,Response,NormResp,TrialType,IsLearning,RevType,CorrectResp,TrialOrd,Time
S078,0,Learning_CW_5_N,Weight,Learning_CW_5,5,L,L,CW,Learning,N,L,0,3675
S078,0,Learning_IB_6_R,Weight,Learning_IB_6,6,R,L,IB,Learning,R,L,1,6087
S078,0,Learning_IB_3_N,Weight,Learning_IB_3,3,B,B,IB,Learning,N,L,2,5672
S078,0,Learning_CD_3_N,Weight,Learning_CD_3,3,B,B,CD,Learning,N,L,3,8332
S078,0,Learning_CW_13_N,Weight,Learning_CW_13,13,L,L,CW,Learning,N,L,4,4250
S078,0,Learning_CW_15_N,Weight,Learning_CW_15,15,L,L,CW,Learning,N,L,5,2150
S078,0,Learning_CW_3_N,Weight,Learning_CW_3,3,L,L,CW,Learning,N,L,6,2106
S078,0,Learning_IB_2_R,Weight,Learning_IB_2,2,B,B,IB,Learning,R,L,7,5821
S078,0,Learning_CW_4_R,Weight,Learning_CW_4,4,R,L,CW,Learning,R,L,8,2255
S078,0,Learning_CW_6_R,Weight,Learning_CW_6,6,R,L,CW,Learning,R,L,9,1356
S078,0,Learning_IB_4_R,Weight,Learning_IB_4,4,B,B,IB,Learning,R,L,10,2424
S078,0,Learning_IB_5_N,Weight,Learning_IB_5,5,B,B,IB,Learning,N,L,11,2528
S078,0,Learning_CD_2_R,Weight,Learning_CD_2,2,B,B,CD,Learning,R,L,12,10505
S078,0,Learning_CW_7_N,Weight,Learning_CW_7,7,L,L,CW,Learning,N,L,13,33683
S078,0,Learning_CW_0_R,Weight,Learning_CW_0,0,R,L,CW,Learning,R,L,14,1120
S078,0,Learning_CW_11_N,Weight,Learning_CW_11,11,L,L,CW,Learning,N,L,15,2393
S078,0,Learning_IB_1_N,Weight,Learning_IB_1,1,B,B,IB,Learning,N,L,16,2050
S078,0,Learning_CW_14_R,Weight,Learning_CW_14,14,R,L,CW,Learning,R,L,17,1354
S078,0,Learning_CD_0_R,Weight,Learning_CD_0,0,L,R,CD,Learning,R,L,18,2249
S078,0,Learning_IB_7_N,Weight,Learning_IB_7,7,B,B,IB,Learning,N,L,19,3344
S078,0,Learning_CW_8_R,Weight,Learning_CW_8,8,R,L,CW,Learning,R,L,20,2316
S078,0,Learning_IB_8_R,Weight,Learning_IB_8,8,B,B,IB,Learning,R,L,21,1652
S078,0,Learning_CD_1_N,Weight,Learning_CD_1,1,B,B,CD,Learning,N,L,22,2250
S078,0,Learning_IB_0_R,Weight,Learning_IB_0,0,B,B,IB,Learning,R,L,23,2072
S078,0,Learning_CW_2_R,Weight,Learning_CW_2,2,R,L,CW,Learning,R,L,24,3453
S078,0,Learning_IB_9_N,Weight,Learning_IB_9,9,B,B,IB,Learning,N,L,25,1121
S078,0,Learning_CW_12_R,Weight,Learning_CW_12,12,R,L,CW,Learning,R,L,26,1575
S078,0,Learning_CW_1_N,Weight,Learning_CW_1,1,B,B,CW,Learning,N,L,27,2944
S078,0,Learning_CW_10_R,Weight,Learning_CW_10,10,R,L,CW,Learning,R,L,28,2593
S078,0,Learning_CW_9_N,Weight,Learning_CW_9,9,L,L,CW,Learning,N,L,29,2498
S078,0,Testing_CB_7_N,Weight,Testing_CB_7,7,B,B,CB,Testing,N,B,0,15550
S078,0,Testing_CD_24_R,Weight,Testing_CD_24,24,B,B,CD,Testing,R,L,1,2965
S078,0,Testing_CW_38_R,Weight,Testing_CW_38,38,R,L,CW,Testing,R,L,2,1025
