WID,TrialName,TrialBase,Response,NormResp,TrialType,Materials,Centering,StrutSize,ShapeType,TrialNumber,RevType,CorrectResp,TrialOrd,Time
S048,D_pure_centered_1.0_1_blocks_R,D_pure_centered_1.0_1,R,L,D,pure,centered,1.0,blocks,1.0,R,L,0,2158
S048,D_mixed_centered_0.25_1_blocks_R,D_mixed_centered_0.25_1,R,L,D,mixed,centered,0.25,blocks,0.25,R,L,1,1946
S048,B_pure_uncentered_1.0_1_mixed_N,B_pure_uncentered_1.0_1,R,R,B,pure,uncentered,1.0,mixed,1.0,N,B,2,2912
S048,CD_mixed_uncentered_0.25_0_blocks_N,CD_mixed_uncentered_0.25_0,B,B,CD,mixed,uncentered,0.25,blocks,0.25,N,L,3,4378
S048,W_mixed_centered_1.0_0_blocks_N,W_mixed_centered_1.0_0,L,L,W,mixed,centered,1.0,blocks,1.0,N,L,4,2843
S048,B_pure_uncentered_1.0_0_blocks_N,B_pure_uncentered_1.0_0,R,R,B,pure,uncentered,1.0,blocks,1.0,N,B,5,2101
S048,CB_mixed_centered_1.0_1_mixed_N,CB_mixed_centered_1.0_1,L,L,CB,mixed,centered,1.0,mixed,1.0,N,B,6,2538
S048,W_pure_centered_0.25_0_mixed_R,W_pure_centered_0.25_0,B,B,W,pure,centered,0.25,mixed,0.25,R,L,7,5060
S048,CW_mixed_uncentered_1.0_1_blocks_R,CW_mixed_uncentered_1.0_1,R,L,CW,mixed,uncentered,1.0,blocks,1.0,R,L,8,2346
S048,CD_mixed_uncentered_0.25_1_mixed_N,CD_mixed_uncentered_0.25_1,B,B,CD,mixed,uncentered,0.25,mixed,0.25,N,L,9,3421
S048,CB_mixed_centered_0.25_0_blocks_N,CB_mixed_centered_0.25_0,R,R,CB,mixed,centered,0.25,blocks,0.25,N,B,10,3352
S048,B_mixed_uncentered_0.25_1_blocks_R,B_mixed_uncentered_0.25_1,R,L,B,mixed,uncentered,0.25,blocks,0.25,R,B,11,4646
S048,CW_mixed_uncentered_1.0_0_mixed_R,CW_mixed_uncentered_1.0_0,B,B,CW,mixed,uncentered,1.0,mixed,1.0,R,L,12,4043
S048,B_mixed_uncentered_1.0_1_blocks_R,B_mixed_uncentered_1.0_1,B,B,B,mixed,uncentered,1.0,blocks,1.0,R,B,13,2782
S048,W_mixed_uncentered_1.0_1_blocks_R,W_mixed_uncentered_1.0_1,L,R,W,mixed,uncentered,1.0,blocks,1.0,R,L,14,4436
S048,W_mixed_centered_0.25_0_mixed_R,W_mixed_centered_0.25_0,L,R,W,mixed,centered,0.25,mixed,0.25,R,L,15,50
S048,CB_mixed_uncentered_1.0_1_blocks_R,CB_mixed_uncentered_1.0_1,R,L,CB,mixed,uncentered,1.0,blocks,1.0,R,B,16,2721
S048,B_mixed_uncentered_1.0_1_mixed_N,B_mixed_uncentered_1.0_1,B,B,B,mixed,uncentered,1.0,mixed,1.0,N,B,17,5008
S048,W_pure_centered_1.0_1_blocks_R,W_pure_centered_1.0_1,R,L,W,pure,centered,1.0,blocks,1.0,R,L,18,1639
S048,B_mixed_uncentered_0.25_0_blocks_N,B_mixed_uncentered_0.25_0,R,R,B,mixed,uncentered,0.25,blocks,0.25,N,B,19,5197
S048,CB_mixed_uncentered_0.25_0_blocks_N,CB_mixed_uncentered_0.25_0,L,L,CB,mixed,uncentered,0.25,blocks,0.25,N,B,20,4325
S048,CD_pure_centered_1.0_1_blocks_R,CD_pure_centered_1.0_1,R,L,CD,pure,centered,1.0,blocks,1.0,R,L,21,4072
S048,B_pure_centered_1.0_1_blocks_R,B_pure_centered_1.0_1,B,B,B,pure,centered,1.0,blocks,1.0,R,B,22,2737
S048,D_pure_centered_1.0_1_mixed_N,D_pure_centered_1.0_1,L,L,D,pure,centered,1.0,mixed,1.0,N,L,23,6739
S048,D_pure_uncentered_0.25_1_mixed_N,D_pure_uncentered_0.25_1,R,R,D,pure,uncentered,0.25,mixed,0.25,N,L,24,4431
S048,CD_mixed_uncentered_0.25_0_mixed_R,CD_mixed_uncentered_0.25_0,L,R,CD,mixed,uncentered,0.25,mixed,0.25,R,L,25,3079
S048,CW_pure_uncentered_1.0_0_blocks_N,CW_pure_uncentered_1.0_0,L,L,CW,pure,uncentered,1.0,blocks,1.0,N,L,26,3804
S048,W_mixed_uncentered_1.0_0_mixed_R,W_mixed_uncentered_1.0_0,R,L,W,mixed,uncentered,1.0,mixed,1.0,R,L,27,5351
S048,CB_pure_centered_1.0_0_blocks_N,CB_pure_centered_1.0_0,R,R,CB,pure,centered,1.0,blocks,1.0,N,B,28,4051
S048,CB_mixed_uncentered_0.25_1_mixed_N,CB_mixed_uncentered_0.25_1,B,B,CB,mixed,uncentered,0.25,mixed,0.25,N,B,29,3688
S048,B_mixed_uncentered_0.25_0_mixed_R,B_mixed_uncentered_0.25_0,B,B,B,mixed,uncentered,0.25,mixed,0.25,R,B,30,4445
S048,D_pure_centered_0.25_0_mixed_R,D_pure_centered_0.25_0,B,B,D,pure,centered,0.25,mixed,0.25,R,L,31,8029
S048,CB_mixed_centered_0.25_0_mixed_R,CB_mixed_centered_0.25_0,B,B,CB,mixed,centered,0.25,mixed,0.25,R,B,32,4447
S048,CB_mixed_uncentered_0.25_0_mixed_R,CB_mixed_uncentered_0.25_0,R,L,CB,mixed,uncentered,0.25,mixed,0.25,R,B,33,4022
S048,CB_mixed_uncentered_1.0_1_mixed_N,CB_mixed_uncentered_1.0_1,L,L,CB,mixed,uncentered,1.0,mixed,1.0,N,B,34,3111
S048,W_pure_centered_1.0_1_mixed_N,W_pure_centered_1.0_1,B,B,W,pure,centered,1.0,mixed,1.0,N,L,35,10618
S048,CW_mixed_centered_0.25_0_mixed_R,CW_mixed_centered_0.25_0,B,B,CW,mixed,centered,0.25,mixed,0.25,R,L,36,4190
