WID,TrialName,TrialBase,Response,NormResp,TrialType,DifferenceAmt,RevType,CorrectResp,TrialOrd,Time
S027,Dist_2_3_R,Dist_2_3,R,L,Dist,2,R,L,0,1446
S027,CD_3_1_R,CD_3_1,B,B,CD,3,R,L,1,4481
S027,CW_1_1_R,CW_1_1,R,L,CW,1,R,L,2,1361
S027,CB_1_R,CB_1,B,B,CB,0,R,B,3,3502
S027,CW_2_0_N,CW_2_0,L,L,CW,2,N,L,4,1084
S027,Dist_3_2_N,Dist_3_2,L,L,Dist,3,N,L,5,1186
S027,Weight_3_4_N,Weight_3_4,L,L,Weight,3,N,L,6,1160
S027,CW_4_5_R,CW_4_5,R,L,CW,4,R,L,7,906
S027,Bal_3_R,Bal_3,B,B,Bal,0,R,B,8,960
S027,Dist_2_7_R,Dist_2_7,R,L,Dist,2,R,L,9,1430
S027,Bal_7_R,Bal_7,B,B,Bal,0,R,B,10,1428
S027,CB_0_N,CB_0,B,B,CB,0,N,B,11,5235
S027,Dist_4_7_R,Dist_4_7,R,L,Dist,4,R,L,12,1089
S027,CW_3_2_N,CW_3_2,L,L,CW,3,N,L,13,2787
S027,CW_1_2_N,CW_1_2,R,R,CW,1,N,L,14,4920
S027,CD_1_6_N,CD_1_6,B,B,CD,1,N,L,15,2546
S027,Weight_3_1_R,Weight_3_1,R,L,Weight,3,R,L,16,1099
S027,Bal_4_N,Bal_4,B,B,Bal,0,N,B,17,788
S027,CD_3_7_R,CD_3_7,R,L,CD,3,R,L,18,1119
S027,Dist_4_2_N,Dist_4_2,L,L,Dist,4,N,L,19,1057
S027,Weight_1_3_R,Weight_1_3,B,B,Weight,1,R,L,20,830
S027,Weight_2_5_R,Weight_2_5,R,L,Weight,2,R,L,21,1476
S027,Dist_3_0_N,Dist_3_0,L,L,Dist,3,N,L,22,1235
S027,CD_2_3_R,CD_2_3,R,L,CD,2,R,L,23,1440
S027,CW_4_4_N,CW_4_4,L,L,CW,4,N,L,24,798
S027,Weight_4_7_R,Weight_4_7,R,L,Weight,4,R,L,25,1071
S027,CD_3_6_N,CD_3_6,B,B,CD,3,N,L,26,3867
S027,CW_3_4_N,CW_3_4,L,L,CW,3,N,L,27,1034
S027,Dist_1_7_R,Dist_1_7,B,B,Dist,1,R,L,28,803
S027,CD_1_7_R,CD_1_7,B,B,CD,1,R,L,29,1106
S027,Dist_1_6_N,Dist_1_6,L,L,Dist,1,N,L,30,2951
S027,Dist_2_4_N,Dist_2_4,L,L,Dist,2,N,L,31,1328
S027,Weight_3_5_R,Weight_3_5,R,L,Weight,3,R,L,32,990
S027,CW_2_2_N,CW_2_2,L,L,CW,2,N,L,33,4725
S027,Dist_2_6_N,Dist_2_6,L,L,Dist,2,N,L,34,1985
S027,Dist_4_0_N,Dist_4_0,L,L,Dist,4,N,L,35,862
S027,Weight_2_1_R,Weight_2_1,B,B,Weight,2,R,L,36,1461
S027,Weight_1_6_N,Weight_1_6,B,B,Weight,1,N,L,37,783
S027,Dist_1_1_R,Dist_1_1,B,B,Dist,1,R,L,38,754
S027,CB_4_N,CB_4,B,B,CB,0,N,B,39,2399
S027,CD_1_1_R,CD_1_1,B,B,CD,1,R,L,40,3938
S027,Bal_5_R,Bal_5,B,B,Bal,0,R,B,41,963
S027,CD_1_2_N,CD_1_2,B,B,CD,1,N,L,42,1132
S027,CW_3_6_N,CW_3_6,B,B,CW,3,N,L,43,1598
S027,CD_1_3_R,CD_1_3,B,B,CD,1,R,L,44,1376
S027,Bal_2_N,Bal_2,B,B,Bal,0,N,B,45,656
S027,Dist_3_6_N,Dist_3_6,B,B,Dist,3,N,L,46,1259
S027,CW_2_7_R,CW_2_7,B,B,CW,2,R,L,47,2226
S027,Dist_4_3_R,Dist_4_3,R,L,Dist,4,R,L,48,797
S027,CD_2_6_N,CD_2_6,B,B,CD,2,N,L,49,951
S027,Weight_1_7_R,Weight_1_7,B,B,Weight,1,R,L,50,612
S027,Bal_1_R,Bal_1,B,B,Bal,0,R,B,51,1161
S027,Dist_1_4_N,Dist_1_4,B,B,Dist,1,N,L,52,841
S027,CB_3_R,CB_3,R,L,CB,0,R,B,53,2721
S027,CW_3_0_N,CW_3_0,L,L,CW,3,N,L,54,2451
S027,Weight_1_5_R,Weight_1_5,B,B,Weight,1,R,L,55,959
S027,CW_3_7_R,CW_3_7,B,B,CW,3,R,L,56,1408
S027,CD_2_0_N,CD_2_0,L,L,CD,2,N,L,57,1334
S027,Weight_3_0_N,Weight_3_0,L,L,Weight,3,N,L,58,932
S027,Dist_2_2_N,Dist_2_2,L,L,Dist,2,N,L,59,3189
S027,Weight_3_3_R,Weight_3_3,R,L,Weight,3,R,L,60,1205
S027,CW_1_6_N,CW_1_6,B,B,CW,1,N,L,61,1367
S027,Dist_2_0_N,Dist_2_0,B,B,Dist,2,N,L,62,663
S027,Dist_1_2_N,Dist_1_2,B,B,Dist,1,N,L,63,588
S027,Weight_2_3_R,Weight_2_3,B,B,Weight,2,R,L,64,881
S027,CW_4_7_R,CW_4_7,R,L,CW,4,R,L,65,833
S027,Weight_1_0_N,Weight_1_0,B,B,Weight,1,N,L,66,854
S027,Weight_2_4_N,Weight_2_4,B,B,Weight,2,N,L,67,709
S027,CW_4_0_N,CW_4_0,L,L,CW,4,N,L,68,868
S027,CW_2_5_R,CW_2_5,B,B,CW,2,R,L,69,1470
S027,CD_2_7_R,CD_2_7,R,L,CD,2,R,L,70,924
S027,CD_3_5_R,CD_3_5,R,L,CD,3,R,L,71,1402
S027,CD_3_0_N,CD_3_0,L,L,CD,3,N,L,72,2433
S027,Weight_4_4_N,Weight_4_4,L,L,Weight,4,N,L,73,860
S027,Weight_4_5_R,Weight_4_5,R,L,Weight,4,R,L,74,931
S027,Dist_3_4_N,Dist_3_4,L,L,Dist,3,N,L,75,1575
S027,CD_2_4_N,CD_2_4,L,L,CD,2,N,L,76,1124
S027,Weight_2_0_N,Weight_2_0,B,B,Weight,2,N,L,77,876
S027,Bal_0_N,Bal_0,B,B,Bal,0,N,B,78,1140
S027,CD_4_0_N,CD_4_0,L,L,CD,4,N,L,79,1109
S027,CW_3_1_R,CW_3_1,B,B,CW,3,R,L,80,2534
S027,Dist_3_5_R,Dist_3_5,R,L,Dist,3,R,L,81,1161
S027,CD_4_7_R,CD_4_7,R,L,CD,4,R,L,82,1063
S027,CB_7_R,CB_7,B,B,CB,0,R,B,83,952
S027,CD_3_2_N,CD_3_2,B,B,CD,3,N,L,84,818
S027,CW_1_5_R,CW_1_5,B,B,CW,1,R,L,85,595
S027,Dist_2_5_R,Dist_2_5,B,B,Dist,2,R,L,86,929
S027,Weight_4_2_N,Weight_4_2,L,L,Weight,4,N,L,87,747
S027,CB_5_R,CB_5,B,B,CB,0,R,B,88,1060
S027,CD_4_5_R,CD_4_5,R,L,CD,4,R,L,89,1078
S027,Weight_2_6_N,Weight_2_6,B,B,Weight,2,N,L,90,870
S027,CW_1_7_R,CW_1_7,R,L,CW,1,R,L,91,3244
S027,CD_3_4_N,CD_3_4,B,B,CD,3,N,L,92,852
S027,Weight_4_6_N,Weight_4_6,L,L,Weight,4,N,L,93,1101
S027,Weight_2_2_N,Weight_2_2,B,B,Weight,2,N,L,94,838
S027,Dist_1_0_N,Dist_1_0,B,B,Dist,1,N,L,95,713
S027,CW_4_3_R,CW_4_3,R,L,CW,4,R,L,96,908
S027,Weight_1_1_R,Weight_1_1,B,B,Weight,1,R,L,97,705
S027,CW_4_1_R,CW_4_1,R,L,CW,4,R,L,98,693
S027,CW_1_4_N,CW_1_4,B,B,CW,1,N,L,99,1466
S027,CW_1_3_R,CW_1_3,B,B,CW,1,R,L,100,851
S027,CD_1_4_N,CD_1_4,B,B,CD,1,N,L,101,532
S027,Weight_1_2_N,Weight_1_2,B,B,Weight,1,N,L,102,557
S027,Weight_3_7_R,Weight_3_7,R,L,Weight,3,R,L,103,621
S027,CW_2_4_N,CW_2_4,L,L,CW,2,N,L,104,1809
S027,CW_3_5_R,CW_3_5,R,L,CW,3,R,L,105,898
S027,CW_4_6_N,CW_4_6,L,L,CW,4,N,L,106,1095
S027,CB_2_N,CB_2,B,B,CB,0,N,B,107,1632
S027,Dist_4_6_N,Dist_4_6,L,L,Dist,4,N,L,108,796
S027,CD_2_2_N,CD_2_2,L,L,CD,2,N,L,109,1450
S027,CW_1_0_N,CW_1_0,B,B,CW,1,N,L,110,1389
S027,Weight_3_6_N,Weight_3_6,L,L,Weight,3,N,L,111,892
S027,CD_2_1_R,CD_2_1,B,B,CD,2,R,L,112,1622
S027,Weight_4_1_R,Weight_4_1,R,L,Weight,4,R,L,113,705
S027,Weight_2_7_R,Weight_2_7,B,B,Weight,2,R,L,114,691
S027,Dist_4_1_R,Dist_4_1,R,L,Dist,4,R,L,115,693
