WID,TrialName,TrialBase,Type,Materials,RevType,Response,NormResp,Falls,TrialOrd,Time
S001,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,81,4406
S002,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,73,3017
S003,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,77,3961
S004,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,103,2060
S005,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,127,1312
S006,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,104,9626
S007,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,66,1849
S008,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,96,829
S009,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,50,1700
S010,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,62,1775
S011,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,100,11770
S012,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,32,1609
S013,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,46,2602
S014,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,91,1224
S015,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,38,3546
S016,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,23,2285
S017,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,6,3868
S018,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,63,1357
S019,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,63,5611
S020,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,92,1680
S021,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,R,R,B,118,1105
S022,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,0,4618
S023,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,R,R,B,32,2946
S024,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,R,R,B,13,24533
S025,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,110,1947
S021,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,26,2925
S010,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,B,B,B,7,4120
S013,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,128,2613
S002,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,118,3631
S012,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,B,B,B,11,1217
S020,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,20,1717
S024,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,52,4297
S011,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,52,7611
S016,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,132,1411
S008,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,89,763
S025,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,137,1620
S009,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,R,R,B,41,1056
S003,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,88,1364
S007,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,131,3023
S023,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,L,R,B,3,4511
S018,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,58,3088
S017,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,8,3973
S022,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,92,1931
S019,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,23,2624
S015,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,111,6095
S014,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,43,1669
S001,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,86,4341
S006,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,L,R,B,12,4068
S005,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,46,2264
S004,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,R,R,B,12,7750
S007,CBO_Mixed_10_N,CBO_Mixed_10,CBO,Mixed,N,R,R,B,114,4345
S005,CBO_Mixed_10_N,CBO_Mixed_10,CBO,Mixed,N,R,R,B,42,2118
S016,CBO_Mixed_10_R,CBO_Mixed_10,CBO,Mixed,R,R,L,B,9,4438
S019,CBO_Mixed_10_N,CBO_Mixed_10,CBO,Mixed,N,B,B,B,64,2448
S001,CBO_Mixed_10_R,CBO_Mixed_10,CBO,Mixed,R,B,B,B,22,7582
S022,CBO_Mixed_10_R,CBO_Mixed_10,CBO,Mixed,R,R,L,B,17,3285
