Strategy,FitType,CVOrder,FitLLH,CVLLH
comb,all,0,-5671.276553515555,-5559.72970737828
comb,all,1,-5664.316765496606,-5566.548801972156
comb,all,2,-5909.54286590353,-5381.994786733744
comb,all,3,-5787.401863972761,-5451.587517510915
comb,all,4,-5405.424897011666,-5919.955351634767
comb,all,5,-5595.66868363326,-5748.6656074549865
comb,all,6,-5536.493079747476,-5693.269096571798
comb,all,7,-5644.3743870818,-5627.063930289063
comb,all,8,-5657.526156732464,-5585.833092240822
comb,all,9,-5570.165626825747,-5663.622179285081
comb,all,10,-5557.823287842519,-5687.00252762785
comb,all,11,-5735.714204198734,-5508.050616088602
comb,all,12,-5479.659384898629,-5745.736205810852
comb,all,13,-5686.020052809168,-5552.328699572733
comb,all,14,-5846.058297849404,-5734.715087326647
comb,all,15,-5697.574430859714,-5551.955337744682
comb,all,16,-5669.391491072876,-5630.592197072109
comb,all,17,-5712.937451911917,-5512.952623678919
comb,all,18,-5835.799591926138,-5417.748447068497
comb,all,19,-5731.923441744138,-5568.060210632804
comb,all,20,-5588.453410788775,-5634.332745894891
comb,all,21,-5625.50619582604,-5663.046071211989
comb,all,22,-5728.642834185845,-5509.121900237055
comb,all,23,-5612.333661315161,-5624.118189484135
comb,all,24,-5441.480759033556,-5791.762532958652
comb,all,25,-5531.024341344414,-5689.337665885912
comb,all,26,-5746.520850687552,-5514.677772048924
comb,all,27,-5671.548983928176,-5599.690368630936
comb,all,28,-5518.106493332764,-5715.418545135009
comb,all,29,-5679.173093723706,-5618.39392301042
comb,all,30,-5558.803941252853,-5673.975203508195
comb,all,31,-5783.593657113591,-5458.874351308611
comb,all,32,-5621.475415267987,-5618.254878833199
comb,all,33,-5496.1258009336525,-5750.683699017836
comb,all,34,-5566.134443938315,-5633.572969302514
comb,all,35,-5715.563208528448,-5511.008642501824
comb,all,36,-5742.641696910189,-5498.364594786383
comb,all,37,-5567.162326226699,-5670.873503263769
comb,all,38,-5627.072972272037,-5619.310074514395
comb,all,39,-5658.219171232153,-5603.29590811491
comb,all,40,-5782.432927207687,-5517.337221426313
comb,all,41,-5553.374746180892,-5670.279055588891
comb,all,42,-5602.220295711618,-5708.507449975499
comb,all,43,-5613.197330684634,-5613.760836658977
comb,all,44,-5522.242445113818,-5717.186614293312
comb,all,45,-5628.7280114464775,-5609.319851148377
comb,all,46,-5616.50850488655,-5620.373048969897
comb,all,47,-5607.66440588047,-5664.0277391288855
comb,all,48,-5689.350768089706,-5542.629466023218
comb,all,49,-5536.644905682939,-5680.057656667566
inc_dist,all,0,-5668.107562609919,-5571.957656610934
inc_dist,all,1,-5657.100346508907,-5555.966634222908
inc_dist,all,2,-5865.412745685998,-5342.098491462373
inc_dist,all,3,-5786.091475029506,-5432.443842117048
inc_dist,all,4,-5352.6488326564495,-5865.996113476619
