WID,SpltIdx,ModLLH_CV,RuleLLH_CV
S179,0,-45.16544262637081,-46.843927141537534
S129,0,-63.90197989227056,-77.33388732398205
S180,0,-54.36393576186143,-58.44934075096473
S154,0,-27.196467451915105,-44.33076728715596
S155,0,-41.79045647695106,-40.2700058690376
S181,0,-55.78557902196757,-65.18245261265415
S156,0,-38.713136017222055,-39.52606243085242
S182,0,-35.35553906678641,-43.87522412764318
S183,0,-45.22518028240139,-57.15329560688036
S184,0,-58.49750723998624,-55.26954431338572
S130,0,-61.252125293849154,-58.22637777257915
S185,0,-65.4412160085261,-71.27061478267404
S131,0,-46.93584851198092,-43.8225441050776
S157,0,-71.56793522390512,-73.4480434499613
S132,0,-69.86034411966472,-66.47119701853985
S133,0,-66.89389079206192,-75.14095004624079
S186,0,-69.99933019850074,-76.84631256794688
S187,0,-68.31161100277153,-70.25660032899711
S158,0,-40.7785329539919,-39.35751386479211
S159,0,-39.9850200067222,-36.80471969470407
S188,0,-45.459090549459226,-47.795502451646726
S189,0,-68.48017724976468,-68.27665599513529
S190,0,-46.59349845039996,-46.74218847309854
S160,0,-13.116780216040736,-10.375496193318956
S191,0,-42.035049412466975,-46.37905587641043
S192,0,-44.77203516428327,-52.09122594794262
S134,0,-71.91858482466647,-70.7530502589472
S161,0,-42.6074361954494,-45.66252520322102
S135,0,-61.48607869605436,-69.42950271706046
S162,0,-54.29536813001833,-45.0020455892718
S136,0,-58.72085118615267,-62.12687099225315
S193,0,-56.35785730248844,-54.222076587229736
S194,0,-61.88472059093394,-60.22183057759109
S163,0,-46.55970292339129,-53.1895039056382
S137,0,-37.64541528020937,-34.8941083192098
S138,0,-50.31416863633597,-50.35422636186473
S195,0,-59.521269855720014,-60.070940206498406
S196,0,-59.82277646833696,-67.77168719024327
S139,0,-77.30393086943886,-77.74660022996137
S197,0,-62.46387631955493,-65.85130981923845
S140,0,-66.9939190406739,-61.29418441929732
S198,0,-57.39396123118002,-60.06015441518839
S199,0,-64.4196645603392,-77.4762170410614
S164,0,-62.36704341135473,-66.56147109894042
S200,0,-60.84795125404731,-70.6705646859731
S141,0,-61.64785001660099,-59.41273948102312
S165,0,-38.426144631558365,-42.58502100495188
S142,0,-69.50269794594075,-68.24548915017695
S201,0,-57.58133228964701,-53.411017812865545
S166,0,-58.63445508007759,-66.06250847271056
S143,0,-62.16039743027304,-65.59655025641953
S167,0,-27.14287201375048,-27.28886454482135
S202,0,-52.58718343855012,-57.77146634431614
S144,0,-58.66824027322698,-62.24086304774948
S203,0,-54.34503614468184,-66.84343329098147
S168,0,-45.37606164212255,-49.14922399476438
S204,0,-56.58152784818157,-59.82663243539483
S145,0,-70.62637918018311,-70.20113032586333
S146,0,-51.74197593630606,-49.41230726510077
S169,0,-46.64944444208072,-45.46956284104232
S205,0,-58.83529690719067,-58.623099918073976
S147,0,-75.81892070633383,-80.98969783173057
S170,0,-46.26933434482231,-42.12841668135964
S206,0,-60.61298702567496,-60.92175623452347
S207,0,-67.5139407379682,-74.52912816428638
S171,0,-33.70400119804577,-36.49174611884408
S208,0,-56.34104209626311,-58.66995614775272
S172,0,-27.01288228930861,-28.306963024697858
S209,0,-48.42485158509613,-42.52147723029741
S148,0,-73.69018628417277,-75.20077316702458
S173,0,-47.30154434631166,-45.6280585015126
S149,0,-48.75152499804685,-51.05932720394811
S174,0,-27.959707570887847,-32.30576569824977
S210,0,-58.45953285908759,-60.666531686503646
S211,0,-63.28580452489096,-60.882736745382175
S150,0,-40.62887849410662,-32.77782408846446
S212,0,-43.90263950764444,-48.344631257374
S175,0,-43.32941296528138,-44.17096404543403
S213,0,-45.26947832933466,-53.364851558526034
S214,0,-56.13964424916315,-50.76674891474636
S215,0,-63.08946254039192,-63.644512118633614
S216,0,-48.65340965048264,-59.92971643207616
S217,0,-45.61065709862863,-47.55679501097406
S218,0,-60.54030715906512,-65.95938073448207
S176,0,-51.17478277843061,-54.84243227586509
S151,0,-58.8116382431343,-58.63973768281699
S152,0,-66.30206866818844,-79.0766871948391
S219,0,-56.91609865214758,-48.46382837236449
S220,0,-62.60274228422897,-76.31839238695518
S221,0,-54.01402477604989,-57.10254936494012
S177,0,-31.40784568531437,-33.63168478448504
S222,0,-65.76904996965496,-78.24459882932378
S223,0,-60.54201873874384,-65.08805009863799
S224,0,-50.500284850584656,-55.27781608028625
S225,0,-44.98108074021156,-52.9449432539962
S153,0,-66.09098853163596,-56.77576771544072
S226,0,-46.49299204059325,-48.20921328858296
S178,0,-25.4565788555314,-25.78328307511517
S179,1,-47.86609982646464,-49.15866562761051
S129,1,-63.65483230881303,-79.32709594546262
S180,1,-67.56764941694081,-66.43487222640557
S154,1,-28.387681122935632,-34.09116667177823
S155,1,-49.22393165860443,-55.90507905388479
S181,1,-57.37195815072212,-59.624509419431774
S156,1,-36.53674413730548,-34.72223110670748
S182,1,-38.760301694746765,-46.65961392676464
S183,1,-56.22348671971648,-67.20948436126517
S184,1,-62.89988893910501,-53.94689566171841
S130,1,-60.38484148850037,-67.07415764259306
S185,1,-60.06431201886453,-66.03855133519806
S131,1,-47.404122102125775,-61.12940915086298
S157,1,-72.79823383934702,-73.0735391459809
S132,1,-71.4161581220512,-69.36204583547224
S133,1,-64.66244614065924,-78.14268695858317
S186,1,-64.66097820084376,-63.311815789613085
S187,1,-81.387672482558,-89.11120293161584
S158,1,-46.533146138646494,-45.7057961339772
S159,1,-39.78014038698941,-38.67530345119314
S188,1,-46.50666886739505,-44.2642412155089
S189,1,-67.06453481063102,-61.77325758972205
S190,1,-58.29698566058479,-57.63719205892273
S160,1,-20.642150099681256,-17.82036116200088
S191,1,-55.8843963881813,-59.61359563073936
S192,1,-45.6234095854872,-58.26313641466248
S134,1,-65.62592427776106,-67.49236580754538
S161,1,-40.05404067148879,-41.65166716390184
S135,1,-62.04056573604254,-61.48141476523077
