Strategy,FitType,CVOrder,FitLLH,CVLLH,AddStratParam
add1_smdp,all,0,-5669.419653583212,-5556.632742657775,0.29136295446082
add1_smdp,all,1,-5664.310478320873,-5563.493727224485,0.2219987866180892
add1_smdp,all,2,-5872.149794685185,-5360.256917911261,0.2868228101006496
add1_smdp,all,3,-5794.895130201079,-5448.152744107291,0.1106187014588225
add1_smdp,all,4,-5354.187438433351,-5893.578307654622,0.0603511466056804
add1_smdp,all,5,-5519.383012753836,-5707.166629245236,0.1926285090642836
add1_smdp,all,6,-5534.593814640525,-5711.538064484994,0.1344714651116721
add1_smdp,all,7,-5636.276695134559,-5618.104144711941,0.0679510936245613
add1_smdp,all,8,-5656.115632917531,-5575.339651077984,0.1830949466952948
add1_smdp,all,9,-5572.749653227103,-5658.911776379031,0.2372202236241407
add1_smdp,all,10,-5553.786765288824,-5673.824796304666,0.1330743774297425
add1_smdp,all,11,-5740.762617266931,-5513.495324032767,0.1207166441338585
add1_smdp,all,12,-5483.188018470773,-5748.387295105326,0.1562412712478208
add1_smdp,all,13,-5693.739936432088,-5540.809728128973,0.1239762271298116
add1_smdp,all,14,-5590.087078158858,-5645.287333628948,0.2802597793536786
add1_smdp,all,15,-5696.422260659359,-5543.516149190803,0.0859759380858162
add1_smdp,all,16,-5637.270275128534,-5613.471236462597,0.2048527448057149
add1_smdp,all,17,-5719.043355501061,-5506.069628218319,0.1447723838127021
add1_smdp,all,18,-5807.692281547953,-5440.555522244612,0.1779175598074447
add1_smdp,all,19,-5691.687750061384,-5541.819274408791,0.1369723620983997
add1_smdp,all,20,-5605.617896815499,-5634.280015071804,0.1789998555395978
add1_smdp,all,21,-5566.944275272197,-5667.548220280887,0.1119084774946251
add1_smdp,all,22,-5726.024109529065,-5505.6849602327775,0.148561143125148
add1_smdp,all,23,-5602.157470365142,-5627.543680408828,0.1035295655482335
add1_smdp,all,24,-5443.090056938112,-5795.864447229556,0.2187752234516247
add1_smdp,all,25,-5547.692296471204,-5684.8988536677625,0.1402469193229621
add1_smdp,all,26,-5717.450375244745,-5510.481468580734,0.1411654986127916
add1_smdp,all,27,-5651.417644875649,-5589.220168992311,0.17626288556038
add1_smdp,all,28,-5515.101241708636,-5710.000128185983,0.2002305028736326
add1_smdp,all,29,-5634.175889106471,-5615.304385348403,0.0734359652055292
add1_smdp,all,30,-5556.225094028248,-5676.9695139662135,0.1888014505896857
add1_smdp,all,31,-5791.26327920691,-5455.530205388309,0.2763667054176826
add1_smdp,all,32,-5624.925008948071,-5603.354521410834,0.1140009127277525
add1_smdp,all,33,-5511.465205347298,-5739.880351863918,0.1348651748358889
add1_smdp,all,34,-5580.30217691886,-5655.0282921658445,0.1685556738640365
add1_smdp,all,35,-5723.394781083222,-5523.962490835493,0.1027159555568927
