WID,SpltIdx,ModLLH_CV,RuleLLH_CV,PhysOnlyLLH_CV
S179,0,-45.16544262637081,-46.843927141537534,-66.23834510414733
S129,0,-63.90197989227056,-77.33388732398205,-73.08226411571798
S180,0,-54.36393576186143,-58.44934075096473,-54.74451446341074
S154,0,-27.196467451915105,-44.33076728715596,-66.36366150684705
S155,0,-41.79045647695106,-40.2700058690376,-49.95837751451183
S181,0,-55.78557902196757,-65.18245261265415,-55.20416922434564
S156,0,-38.713136017222055,-39.52606243085242,-76.29086880235305
S182,0,-35.35553906678641,-43.87522412764318,-36.65476662176626
S183,0,-45.22518028240139,-57.15329560688036,-46.38794805007412
S184,0,-58.49750723998624,-55.26954431338572,-59.230824107833655
S130,0,-61.252125293849154,-58.22637777257915,-65.75220081884719
S185,0,-65.4412160085261,-71.27061478267404,-67.73334019440352
S131,0,-46.93584851198092,-43.8225441050776,-63.2913015217428
S157,0,-71.56793522390512,-73.4480434499613,-81.0674030993302
S132,0,-69.86034411966472,-66.47119701853985,-69.75404946268205
S133,0,-66.89389079206192,-75.14095004624079,-72.17477758096639
S186,0,-69.99933019850074,-76.84631256794688,-68.44294842412876
S187,0,-68.31161100277153,-70.25660032899711,-68.25651277390917
S158,0,-40.7785329539919,-39.35751386479211,-58.57036219416844
S159,0,-39.9850200067222,-36.80471969470407,-54.106708729188725
S188,0,-45.459090549459226,-47.795502451646726,-48.60873197611071
S189,0,-68.48017724976468,-68.27665599513529,-70.67913723293624
S190,0,-46.59349845039996,-46.74218847309854,-57.06504679116348
S160,0,-13.116780216040736,-10.375496193318956,-66.20117065204064
S191,0,-42.035049412466975,-46.37905587641043,-54.71398957221671
S192,0,-44.77203516428327,-52.09122594794262,-49.14285673027935
S134,0,-71.91858482466647,-70.7530502589472,-71.39978714285385
S161,0,-42.6074361954494,-45.66252520322102,-61.0088255912132
S135,0,-61.48607869605436,-69.42950271706046,-73.9679229825482
S162,0,-54.29536813001833,-45.0020455892718,-70.50226331462498
S136,0,-58.72085118615267,-62.12687099225315,-71.80456306396324
S193,0,-56.35785730248844,-54.222076587229736,-53.76439328788808
S194,0,-61.88472059093394,-60.22183057759109,-62.00903956498192
S163,0,-46.55970292339129,-53.1895039056382,-60.45546393856801
S137,0,-37.64541528020937,-34.8941083192098,-77.69891314177498
S138,0,-50.31416863633597,-50.35422636186473,-72.67447650792782
