"WID","TrialName","TrialNorm","TrialBase","TrialType","ConfigType","SubType","StrutSize","ResultingConfig","Response","NormResp","Falls","RevType","TrialOrd","Time","CenterOfMass","BalancePos"
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.25_0_R","BalAdjust_Adj_CD_0.25_0","BalAdjust_Adj_CD_0","BalAdjust","CD","Adj",0.25,"CW","L","R","R","R",14,2956,-1.39366644631,-2.03258827278
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.5_0_R","BalAdjust_Adj_CD_0.5_0","BalAdjust_Adj_CD_0","BalAdjust","CD","Adj",0.5,"CW","B","B","R","R",44,2483,-0.843855524638,-1.27600247089
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.25_1_R","BalAdjust_Adj_CD_0.25_1","BalAdjust_Adj_CD_1","BalAdjust","CD","Adj",0.25,"CW","B","B","R","R",21,4157,-0.759142204597,-1.40052037391
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.5_1_N","BalAdjust_Adj_CD_0.5_1","BalAdjust_Adj_CD_1","BalAdjust","CD","Adj",0.5,"CW","B","B","R","N",63,2518,-1.5522326876,-1.88098075522
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.25_2_N","BalAdjust_Adj_CD_0.25_2","BalAdjust_Adj_CD_2","BalAdjust","CD","Adj",0.25,"CW","R","R","R","N",114,1468,-1.66684323321,-1.99681782027
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.5_2_N","BalAdjust_Adj_CD_0.5_2","BalAdjust_Adj_CD_2","BalAdjust","CD","Adj",0.5,"CW","L","L","R","N",1,2432,-1.22244411189,-1.55692774208
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.25_3_N","BalAdjust_Adj_CD_0.25_3","BalAdjust_Adj_CD_3","BalAdjust","CD","Adj",0.25,"CW","L","L","R","N",53,1897,-1.3701255037,-2.05372191947
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.5_3_R","BalAdjust_Adj_CD_0.5_3","BalAdjust_Adj_CD_3","BalAdjust","CD","Adj",0.5,"CW","L","R","R","R",65,3636,-1.24413370827,-1.55358154514
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.25_4_R","BalAdjust_Adj_CD_0.25_4","BalAdjust_Adj_CD_4","BalAdjust","CD","Adj",0.25,"CW","L","R","R","R",124,2057,-0.894825997653,-1.0211259729
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.5_4_R","BalAdjust_Adj_CD_0.5_4","BalAdjust_Adj_CD_4","BalAdjust","CD","Adj",0.5,"CW","L","R","R","R",88,4289,-1.65793739316,-1.9107038268
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.25_5_R","BalAdjust_Adj_CD_0.25_5","BalAdjust_Adj_CD_5","BalAdjust","CD","Adj",0.25,"CW","L","R","R","R",62,1183,-1.48018009957,-2.0283648774
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CD_0.5_5_N","BalAdjust_Adj_CD_0.5_5","BalAdjust_Adj_CD_5","BalAdjust","CD","Adj",0.5,"CW","L","L","R","N",47,1302,-1.92676085145,-2.18995607906
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CW_0.25_0_N","BalAdjust_Adj_CW_0.25_0","BalAdjust_Adj_CW_0","BalAdjust","CW","Adj",0.25,"CD","L","L","R","N",101,1253,-2.43390338789,-3.22125345661
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CW_0.5_0_N","BalAdjust_Adj_CW_0.5_0","BalAdjust_Adj_CW_0","BalAdjust","CW","Adj",0.5,"CD","L","L","R","N",84,793,-1.03763510684,-1.28897416992
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CW_0.25_1_R","BalAdjust_Adj_CW_0.25_1","BalAdjust_Adj_CW_1","BalAdjust","CW","Adj",0.25,"CD","R","L","R","R",126,1035,-1.08414974022,-1.24589357233
"A002160837SWJFPIAI7L7:37W3JXSD67SKZW14BEVDWNMDM78WYV","BalAdjust_Adj_CW_0.5_1_N","BalAdjust_Adj_CW_0.5_1","BalAdjust_Adj_CW_1","BalAdjust","CW","Adj",0.5,"CD","L","L","R","N",117,1286,-1.50919970441,-1.87186413816
