WID,TrialName,TrialBase,Response,NormResp,TrialType,Materials,Centering,StrutSize,ShapeType,TrialNumber,RevType,CorrectResp,TrialOrd,Time
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,B_pure_centered_1.0_1_mixed_N,B_pure_centered_1.0_1,B,B,B,pure,centered,1.0,mixed,1.0,N,B,0,59745
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,B_pure_centered_0.25_0_mixed_R,B_pure_centered_0.25_0,L,R,B,pure,centered,0.25,mixed,0.25,R,B,1,5322
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,B_pure_centered_1.0_0_mixed_R,B_pure_centered_1.0_0,L,R,B,pure,centered,1.0,mixed,1.0,R,B,2,1453
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CB_pure_centered_1.0_1_mixed_N,CB_pure_centered_1.0_1,R,R,CB,pure,centered,1.0,mixed,1.0,N,B,3,3296
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CW_mixed_uncentered_0.25_1_blocks_R,CW_mixed_uncentered_0.25_1,L,R,CW,mixed,uncentered,0.25,blocks,0.25,R,L,4,1078
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CD_mixed_centered_0.25_1_blocks_R,CD_mixed_centered_0.25_1,L,R,CD,mixed,centered,0.25,blocks,0.25,R,L,5,826
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,D_mixed_uncentered_1.0_1_mixed_N,D_mixed_uncentered_1.0_1,B,B,D,mixed,uncentered,1.0,mixed,1.0,N,L,6,3079
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CB_pure_centered_1.0_0_mixed_R,CB_pure_centered_1.0_0,L,R,CB,pure,centered,1.0,mixed,1.0,R,B,7,2455
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CD_pure_centered_0.25_0_mixed_R,CD_pure_centered_0.25_0,R,L,CD,pure,centered,0.25,mixed,0.25,R,L,8,1216
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CD_pure_centered_1.0_1_mixed_N,CD_pure_centered_1.0_1,L,L,CD,pure,centered,1.0,mixed,1.0,N,L,9,774
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,W_pure_uncentered_0.25_1_mixed_N,W_pure_uncentered_0.25_1,R,R,W,pure,uncentered,0.25,mixed,0.25,N,L,10,2871
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CD_mixed_uncentered_0.25_0_mixed_R,CD_mixed_uncentered_0.25_0,L,R,CD,mixed,uncentered,0.25,mixed,0.25,R,L,11,2230
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,W_mixed_uncentered_0.25_0_blocks_N,W_mixed_uncentered_0.25_0,R,R,W,mixed,uncentered,0.25,blocks,0.25,N,L,12,1776
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,W_pure_uncentered_1.0_0_blocks_N,W_pure_uncentered_1.0_0,R,R,W,pure,uncentered,1.0,blocks,1.0,N,L,13,1383
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CW_mixed_centered_1.0_0_blocks_N,CW_mixed_centered_1.0_0,L,L,CW,mixed,centered,1.0,blocks,1.0,N,L,14,1418
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CB_pure_uncentered_0.25_1_mixed_N,CB_pure_uncentered_0.25_1,L,L,CB,pure,uncentered,0.25,mixed,0.25,N,B,15,808
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CD_mixed_centered_1.0_1_blocks_R,CD_mixed_centered_1.0_1,L,R,CD,mixed,centered,1.0,blocks,1.0,R,L,16,2678
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CW_mixed_centered_0.25_1_mixed_N,CW_mixed_centered_0.25_1,L,L,CW,mixed,centered,0.25,mixed,0.25,N,L,17,1049
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,B_pure_uncentered_1.0_1_blocks_R,B_pure_uncentered_1.0_1,B,B,B,pure,uncentered,1.0,blocks,1.0,R,B,18,2966
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,B_pure_uncentered_0.25_1_blocks_R,B_pure_uncentered_0.25_1,B,B,B,pure,uncentered,0.25,blocks,0.25,R,B,19,1275
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CW_pure_centered_0.25_1_mixed_N,CW_pure_centered_0.25_1,L,L,CW,pure,centered,0.25,mixed,0.25,N,L,20,2360
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,D_mixed_centered_1.0_0_mixed_R,D_mixed_centered_1.0_0,L,R,D,mixed,centered,1.0,mixed,1.0,R,L,21,1103
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,CB_mixed_uncentered_0.25_0_blocks_N,CB_mixed_uncentered_0.25_0,L,L,CB,mixed,uncentered,0.25,blocks,0.25,N,B,22,760
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,B_pure_uncentered_0.25_0_blocks_N,B_pure_uncentered_0.25_0,B,B,B,pure,uncentered,0.25,blocks,0.25,N,B,23,1177
A0017268R9SKD8U2Y3F:3MHW492WW1X7QQCL2126GQGUOSRVMN,B_mixed_uncentered_0.25_0_mixed_R,B_mixed_uncentered_0.25_0,R,L,B,mixed,uncentered,0.25,mixed,0.25,R,B,24,1791
