ParamName,Default,FitInitialization,LowerBound,UpperBound
mass_heur_p,0,0.36,0,1
dist_heur_p,0,0.1,0,1
mass_jnd,0.0001,0.8,0.00001,5
dist_jnd,0.0001,0.4,0.00001,5
com_u,None,0.5,0.00001,5
lapse,0.01,0.12,0.00001,1
block_mass_u,None,0.01,0.00001,1.5
distance_u,None,0.01,0.00001,1.5
com_range,0.25,0.3,0.00001,10
tower_mass_u,None,0.2,0.00001,1.5
brick_density,2.4,2.4,1,40
brick_u,None,0.2,0.00001,1.5
iron_density,9,9,1,40
iron_u,None,0.2,0.00001,1.5
strut_u,None,0.01,0.00001,5
com_slope_range,0,1,0.00001,10
com_range_vs,0.25,0.3,0.00001,1
com_range_s,0.25,0.3,0.00001,1
com_range_m,0.25,0.3,0.00001,2
com_range_l,0.25,0.3,0.00001,2
beam_mass_mean,4,0.8,0.00001,20
beam_mass_sd,None,0.5,0.00001,10
beam_use_prob,1,0.5,0.00001,1
msprt_thresh,.51,.65,.500001,.9999999
use_rule1,.2,.2,.000001,.999999
use_rule2,.25,.25,.000001,.999999
use_rule3,.3333,.3333,.000001,.999999
use_rule3a,.5,.5,.000001,.999999
