WID,TrialName,TrialBase,Response,NormResp,TrialType,DifferenceAmt,RevType,CorrectResp,TrialOrd,Time
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_2_3_R,Dist_2_3,R,L,Dist,2,R,L, 0, 1446
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CD_3_1_R,CD_3_1,B,B,CD,3,R,L, 1, 4481
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CW_1_1_R,CW_1_1,R,L,CW,1,R,L, 2, 1361
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CB_1_R,CB_1,B,B,CB,0,R,B, 3, 3502
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CW_2_0_N,CW_2_0,L,L,CW,2,N,L, 4, 1084
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_3_2_N,Dist_3_2,L,L,Dist,3,N,L, 5, 1186
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Weight_3_4_N,Weight_3_4,L,L,Weight,3,N,L, 6, 1160
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CW_4_5_R,CW_4_5,R,L,CW,4,R,L, 7, 906
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Bal_3_R,Bal_3,B,B,Bal,0,R,B, 8, 960
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_2_7_R,Dist_2_7,R,L,Dist,2,R,L, 9, 1430
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Bal_7_R,Bal_7,B,B,Bal,0,R,B, 10, 1428
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CB_0_N,CB_0,B,B,CB,0,N,B, 11, 5235
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_4_7_R,Dist_4_7,R,L,Dist,4,R,L, 12, 1089
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CW_3_2_N,CW_3_2,L,L,CW,3,N,L, 13, 2787
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CW_1_2_N,CW_1_2,R,R,CW,1,N,L, 14, 4920
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CD_1_6_N,CD_1_6,B,B,CD,1,N,L, 15, 2546
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Weight_3_1_R,Weight_3_1,R,L,Weight,3,R,L, 16, 1099
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Bal_4_N,Bal_4,B,B,Bal,0,N,B, 17, 788
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CD_3_7_R,CD_3_7,R,L,CD,3,R,L, 18, 1119
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_4_2_N,Dist_4_2,L,L,Dist,4,N,L, 19, 1057
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Weight_1_3_R,Weight_1_3,B,B,Weight,1,R,L, 20, 830
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Weight_2_5_R,Weight_2_5,R,L,Weight,2,R,L, 21, 1476
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_3_0_N,Dist_3_0,L,L,Dist,3,N,L, 22, 1235
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CD_2_3_R,CD_2_3,R,L,CD,2,R,L, 23, 1440
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CW_4_4_N,CW_4_4,L,L,CW,4,N,L, 24, 798
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Weight_4_7_R,Weight_4_7,R,L,Weight,4,R,L, 25, 1071
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CD_3_6_N,CD_3_6,B,B,CD,3,N,L, 26, 3867
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CW_3_4_N,CW_3_4,L,L,CW,3,N,L, 27, 1034
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_1_7_R,Dist_1_7,B,B,Dist,1,R,L, 28, 803
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,CD_1_7_R,CD_1_7,B,B,CD,1,R,L, 29, 1106
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_1_6_N,Dist_1_6,L,L,Dist,1,N,L, 30, 2951
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Dist_2_4_N,Dist_2_4,L,L,Dist,2,N,L, 31, 1328
A1L2VPVPD5Q73:3U5JL4WY5LTJQPSAWC3SIHWEOGJX4E,Weight_3_5_R,Weight_3_5,R,L,Weight,3,R,L, 32, 990
